MBID,Dastgah,Gushe,Artist,Instrument,Type,Duration,Shahed
d47cdd3b-4e68-4430-8f5b-03aa243447e9,Abuata,Daramad,Farahnaz Sahebghalam,Avaz,performance,140,331.37
b3b24299-823c-4355-94f1-48ba5d93ce9a,Abuata,Daramad,Farahnaz Sahebghalam,Avaz,shahed,3,331.37
3bead33c-91b2-4696-a960-8269006ff436,Abuata,Daramad,Reza Zalpour,Avaz,performance,78,337.11
54815fd7-dec3-4e2e-aa05-7bfe208318ca,Abuata,Daramad,Reza Zalpour,Avaz,shahed,6,337.11
bf5ab3a7-2c0a-4ffb-b455-fb4003d94182,Abuata,Daramad,Reza Zalpour,Avaz,ist,8,337.11
ac59a0a0-70d0-43e5-b862-274ff7790297,Abuata,Daramad,Mohammad Khodadadi,Ney,performance,86,387.5
5b234fd5-76eb-4927-a8b8-0a6a1550b3b2,Abuata,Daramad,Mohammad Khodadadi,Ney,shahed,4,387.5
1a446993-7ac0-45e7-b34c-c683052f88ff,Abuata,Daramad,Mohammad Khodadadi,Ney,radif,38,387.5
d3982c80-1d1a-489a-bb75-13b872c92fc5,Abuata,Daramad,Mohammad Khodadadi,Ney,pitchset,10,387.5
c0527cb1-be5a-4b32-9151-b4d5a06d1d49,Abuata,Daramad,Reza Zalpour,Ney,performance,29,387.83
8f193815-5a5a-4ee2-a2a7-5a215b3cb5f1,Abuata,Daramad,Reza Zalpour,Ney,shahed,6,387.83
cacb3aab-f7d1-43cd-97fd-09bf23a14271,Abuata,Daramad,Reza Zalpour,Ney,ist,7,387.83
c890c152-e94c-47ec-8352-2a7c3e2343c4,Abuata,Daramad,Masoud Shaari,Setar,performance,74,465.87
a7ac2446-8926-4a37-a773-cbdfa2502628,Abuata,Daramad,Masoud Shaari,Setar,shahed,5,465.87
7d76964d-fca0-4054-9fac-4dfcb3ea7dc4,Abuata,Daramad,Masoud Shaari,Setar,ist,7,465.87
f46ef618-32bc-467d-ab69-891733467fb5,Abuata,Daramad,Masoud Shaari,Setar,radif,83,465.87
41067770-0249-4fb8-8bdd-ae650faf99ef,Afshari,Daramad,Farahnaz Sahebghalam,Avaz,performance,147,327.62
9ec8f5d6-5702-4817-9bb9-f8321357f460,Afshari,Daramad,Farahnaz Sahebghalam,Avaz,shahed,2,327.62
e80cf1ff-ec88-4974-973a-02a2cc58ac9a,Afshari,Daramad,Reza Zalpour,Avaz,performance,145,182.29
0df664b1-e91a-4bdf-98f3-404294b2a7fe,Afshari,Daramad,Reza Zalpour,Avaz,shahed,6,182.29
8a154aa3-6efb-4789-9110-6c36f29ec4fc,Afshari,Daramad,Reza Zalpour,Avaz,ist,6,182.29
35157171-cea0-46ba-8127-cd9a1a085365,Afshari,Daramad,Mohammad Khodadadi,Ney,performance,102,384.85
12c51a74-a12b-4220-9d2a-f55f8518b001,Afshari,Daramad,Mohammad Khodadadi,Ney,shahed,3,384.85
ab89e8ad-f33d-4e0f-968c-695af3572fb5,Afshari,Daramad,Mohammad Khodadadi,Ney,ist,3,384.85
07b318fa-bd9f-40f5-bb19-e9fc6e27902e,Afshari,Daramad,Mohammad Khodadadi,Ney,radif,28,384.85
eacd8814-9066-4696-8e1e-fd90c6e01343,Afshari,Daramad,Mohammad Khodadadi,Ney,pitchset,14,384.85
c49373b0-cf8d-4f92-b38f-bb41ab02647b,Afshari,Daramad,Reza Zalpour,Ney,performance,77,387.58
8a68cddb-9711-4f62-a2fb-2bacfd91df46,Afshari,Daramad,Reza Zalpour,Ney,shahed,7,387.58
0a71d7e4-6393-4396-bd42-cae15b401392,Afshari,Daramad,Reza Zalpour,Ney,ist,12,387.58
bc6820f6-ba5b-41dd-89cc-23abf8c195c2,Afshari,Daramad,Masoud Shaari,Setar,performance,105,464.61
c71c2bb8-d328-4d37-84b6-a9c595256cc4,Afshari,Daramad,Masoud Shaari,Setar,shahed,6,464.61
a1978ff3-79e4-4390-b688-5d552715ca5b,Afshari,Daramad,Masoud Shaari,Setar,ist,6,464.61
bbe6f17a-54c6-4491-b824-2399992af84a,Afshari,Daramad,Masoud Shaari,Setar,radif,88,464.61
5368460a-6a55-4a76-9855-5a4e8c10c486,Bayat-e Tork,Daramad,Farahnaz Sahebghalam,Avaz,performance,141,290.6
2711f444-b2b6-4606-9611-ab4657d5560d,Bayat-e Tork,Daramad,Farahnaz Sahebghalam,Avaz,shahed,1,290.6
e70686cc-fd5f-4bd1-9a20-bf95ad19483f,Bayat-e Tork,Daramad,Reza Zalpour,Avaz,performance,102,185.17
fbb4dd48-68d9-48e0-8122-4c08551c66ba,Bayat-e Tork,Daramad,Reza Zalpour,Avaz,shahed,5,185.17
cee8c437-4d77-492f-8a74-9f09ad2a90ae,Bayat-e Tork,Daramad,Reza Zalpour,Avaz,ist,5,185.17
47672aa5-f396-425e-a779-0750054d2f83,Bayat-e Tork,Daramad,Mohammad Khodadadi,Ney,performance,109,344.88
d5f49e0c-0e64-4f1a-8e0a-3b6d35b50b22,Bayat-e Tork,Daramad,Mohammad Khodadadi,Ney,shahed,3,344.88
65b65c03-2003-453b-870e-7f6ce7e281ff,Bayat-e Tork,Daramad,Mohammad Khodadadi,Ney,radif,40,344.88
7c59b658-a494-4144-a977-68d65a137f8f,Bayat-e Tork,Daramad,Mohammad Khodadadi,Ney,pitchset,10,344.88
a54d9e69-1fcc-434c-b1ba-8ec3bd37c023,Bayat-e Tork,Daramad,Reza Zalpour,Ney,performance,45,344.23
6186c195-a5dd-4217-90ad-818a37c8c221,Bayat-e Tork,Daramad,Reza Zalpour,Ney,shahed,8,344.23
d92f45fe-faa7-4e1c-89f2-4ff89ae1d61d,Bayat-e Tork,Daramad,Reza Zalpour,Ney,ist,9,344.23
7aba96b8-7a39-4e4b-8640-4bba8ddb677c,Bayat-e Tork,Daramad,Masoud Shaari,Setar,performance,86,411.56
a8d4ecb2-cdc0-4cef-bfcb-e14dd721bee2,Bayat-e Tork,Daramad,Masoud Shaari,Setar,shahed,7,411.56
9f07a927-3c03-4b2b-af57-fec850c4aec0,Bayat-e Tork,Daramad,Masoud Shaari,Setar,ist,8,411.56
b079f2c8-aadc-4ab7-9983-2afc4c2093e1,Bayat-e Tork,Daramad,Masoud Shaari,Setar,radif,67,411.56
7bfccadd-3b2b-4156-9fe1-ecf7e05c59a1,Chahargah,Daramad,Farahnaz Sahebghalam,Avaz,performance,125,247.93
c99f4f90-8084-43cd-9619-edecdc74c318,Chahargah,Daramad,Farahnaz Sahebghalam,Avaz,shahed,2,247.93
1cc72241-f336-482d-a4a7-49f7fc9d1f1f,Chahargah,Daramad,Reza Zalpour,Avaz,performance,59,196.2
ffd6e77b-555f-4f4f-8ed3-5db3f6de209c,Chahargah,Daramad,Reza Zalpour,Avaz,shahed,6,196.2
53d6df1f-faaf-4a73-a951-ac2562b96195,Chahargah,Daramad,Reza Zalpour,Avaz,ist,5,196.2
65638fc4-0258-44d4-b2cd-2186a439465f,Chahargah,Daramad,Mohammad Khodadadi,Ney,performance,82,1191.68
3267d33c-405a-4c65-981e-71b6272e58d5,Chahargah,Daramad,Mohammad Khodadadi,Ney,shahed,3,1191.68
ef6abb27-c279-4257-952e-9c5ad47f1123,Chahargah,Daramad,Mohammad Khodadadi,Ney,radif,30,1191.68
97d08a83-7364-4bfb-b700-86fc22c9fae5,Chahargah,Daramad,Mohammad Khodadadi,Ney,pitchset,11,1191.68
17c31c65-0da7-421a-bc76-267ffc8cce7d,Chahargah,Daramad,Reza Zalpour,Ney,performance,50,1200.47
