time,frequency,confidence
0.000,571.148,0.087228
0.010,579.258,0.075696
0.020,579.074,0.091430
0.030,575.622,0.148057
0.040,574.204,0.229264
0.050,525.280,0.562597
0.060,521.601,0.801783
0.070,521.612,0.700296
0.080,524.380,0.347589
0.090,519.640,0.039847
0.100,575.394,0.271365
0.110,543.537,0.273182
0.120,496.021,0.291836
0.130,497.272,0.656187
0.140,505.266,0.737051
0.150,515.246,0.817963
0.160,520.432,0.925827
0.170,521.680,0.928789
0.180,522.304,0.940777
0.190,522.292,0.944019
0.200,522.520,0.947569
0.210,522.785,0.953924
0.220,522.948,0.956733
0.230,523.171,0.959052
0.240,523.022,0.958037
0.250,523.075,0.956667
0.260,522.945,0.958501
0.270,522.555,0.950934
0.280,522.284,0.947707
0.290,522.122,0.941920
0.300,521.839,0.941487
0.310,521.509,0.947624
0.320,520.932,0.949614
0.330,521.170,0.943038
0.340,522.633,0.926332
0.350,524.640,0.950084
0.360,525.473,0.947937
0.370,523.911,0.921535
0.380,523.217,0.900572
0.390,523.714,0.877734
0.400,525.885,0.846710
0.410,530.030,0.793705
0.420,530.967,0.785444
0.430,530.048,0.742936
0.440,526.558,0.596035
0.450,520.059,0.356364
0.460,490.815,0.279691
0.470,514.773,0.363718
0.480,517.316,0.847716
0.490,518.872,0.936331
0.500,520.617,0.941524
0.510,522.321,0.927479
0.520,524.118,0.952116
0.530,525.887,0.960712
0.540,526.499,0.960757
0.550,526.767,0.959536
0.560,525.638,0.964283
0.570,524.293,0.959472
0.580,523.434,0.948288
0.590,523.747,0.939649
0.600,525.143,0.943567
0.610,526.626,0.931318
0.620,525.620,0.919773
0.630,523.239,0.837003
0.640,520.647,0.429827
0.650,459.070,0.381200
0.660,459.418,0.335079
0.670,457.105,0.470199
0.680,455.207,0.517967
0.690,457.430,0.658018
0.700,460.500,0.743983
0.710,463.207,0.791073
0.720,466.670,0.826262
0.730,471.377,0.783284
0.740,475.157,0.802684
0.750,479.758,0.824802
0.760,483.449,0.836345
0.770,482.180,0.841390
0.780,480.360,0.896080
0.790,479.757,0.913102
0.800,479.258,0.883788
0.810,477.294,0.809156
0.820,470.069,0.817375
0.830,464.177,0.761480
0.840,463.290,0.510270
0.850,457.853,0.315578
0.860,451.089,0.405647
0.870,450.375,0.378703
0.880,449.952,0.429889
0.890,454.522,0.545350
0.900,461.473,0.693221
0.910,466.861,0.813462
0.920,469.578,0.876081
0.930,471.561,0.789543
0.940,474.594,0.558522
0.950,480.304,0.528870
0.960,482.078,0.605642
0.970,478.154,0.623692
0.980,476.986,0.742209
0.990,477.702,0.813603
1.000,476.263,0.801466
1.010,474.137,0.897125
1.020,471.223,0.890396
1.030,467.619,0.934615
1.040,465.640,0.895003
1.050,464.726,0.760143
1.060,461.133,0.514542
1.070,456.773,0.717948
1.080,457.731,0.894376
1.090,458.871,0.921913
1.100,458.116,0.915328
1.110,459.996,0.875212
1.120,463.005,0.908601
1.130,465.406,0.887525
1.140,467.569,0.929854
1.150,469.506,0.908664
1.160,470.763,0.811299
1.170,471.063,0.679587
