time,frequency,confidence
0.000,176.700,0.020847
0.010,178.861,0.013300
0.020,177.625,0.148379
0.030,166.174,0.141417
0.040,166.543,0.061570
0.050,165.616,0.157974
0.060,184.635,0.123037
0.070,215.307,0.123413
0.080,242.674,0.132990
0.090,247.694,0.218286
0.100,245.906,0.258357
0.110,247.564,0.233197
0.120,246.672,0.106857
0.130,242.855,0.326577
0.140,243.534,0.333216
0.150,257.623,0.428636
0.160,290.097,0.452139
0.170,312.216,0.304988
0.180,352.578,0.116615
0.190,364.280,0.147380
0.200,397.392,0.089011
0.210,443.191,0.077807
0.220,472.107,0.026590
0.230,515.323,0.037837
0.240,523.849,0.364455
0.250,526.520,0.731825
0.260,526.442,0.823910
0.270,526.422,0.895375
0.280,525.623,0.921290
0.290,525.637,0.920134
0.300,524.139,0.883082
0.310,521.329,0.764322
0.320,520.897,0.722934
0.330,522.579,0.762780
0.340,523.309,0.877270
0.350,524.490,0.943215
0.360,525.199,0.956982
0.370,526.541,0.953140
0.380,527.417,0.943299
0.390,527.467,0.940237
0.400,526.920,0.951022
0.410,526.620,0.952912
0.420,526.724,0.941667
0.430,526.878,0.926762
0.440,526.175,0.892903
0.450,525.164,0.895525
0.460,525.229,0.899534
0.470,525.507,0.927567
0.480,526.479,0.936082
0.490,526.453,0.942134
0.500,526.423,0.948841
0.510,526.185,0.954411
0.520,525.672,0.961179
0.530,525.774,0.960854
0.540,526.149,0.951212
0.550,526.836,0.922379
0.560,527.254,0.871916
0.570,527.309,0.862579
0.580,527.043,0.909909
0.590,527.265,0.933467
0.600,527.704,0.937244
0.610,528.078,0.934554
0.620,528.139,0.932671
0.630,527.481,0.941146
0.640,526.729,0.947021
0.650,526.273,0.942934
0.660,526.125,0.942002
0.670,526.179,0.929550
0.680,526.495,0.922416
0.690,526.647,0.915746
0.700,526.582,0.918642
0.710,526.372,0.915016
0.720,526.178,0.914665
0.730,526.246,0.911919
0.740,526.043,0.926275
0.750,526.187,0.939083
0.760,526.010,0.945708
0.770,526.024,0.947624
0.780,525.984,0.951024
0.790,525.912,0.949482
0.800,525.845,0.955216
0.810,525.865,0.957394
0.820,525.472,0.961958
0.830,525.221,0.960776
0.840,525.525,0.961213
0.850,526.039,0.957222
0.860,526.458,0.953060
0.870,526.771,0.948352
0.880,527.065,0.947446
0.890,526.934,0.945678
0.900,526.353,0.948781
0.910,525.967,0.948231
0.920,525.911,0.951276
0.930,525.936,0.949406
0.940,526.003,0.951630
0.950,526.138,0.947977
0.960,526.307,0.948894
0.970,526.952,0.944354
