time,frequency,confidence
0.000,218.008,0.060048
0.010,210.603,0.019350
0.020,203.395,0.023619
0.030,221.212,0.112511
0.040,220.995,0.151026
0.050,219.432,0.050079
0.060,213.091,0.017476
0.070,211.951,0.026337
0.080,200.927,0.035615
0.090,187.400,0.161098
0.100,177.916,0.119255
0.110,175.790,0.061631
0.120,179.626,0.011140
0.130,185.719,0.023724
0.140,190.086,0.120667
0.150,194.981,0.099719
0.160,194.147,0.127978
0.170,190.273,0.101066
0.180,186.963,0.035312
0.190,181.181,0.066683
0.200,176.258,0.165411
0.210,172.006,0.061366
0.220,168.744,0.088463
0.230,165.259,0.166049
0.240,163.636,0.084104
0.250,159.468,0.181642
0.260,155.285,0.060567
0.270,149.260,0.072628
0.280,143.106,0.033620
0.290,141.147,0.022820
0.300,141.325,0.025065
0.310,142.651,0.039414
0.320,142.039,0.065589
0.330,140.108,0.087469
0.340,133.774,0.207227
0.350,127.922,0.176481
0.360,128.487,0.596623
0.370,127.866,0.589682
0.380,126.555,0.470041
0.390,128.407,0.489843
0.400,128.761,0.561801
0.410,129.424,0.549155
0.420,129.637,0.707299
0.430,129.217,0.788572
0.440,129.523,0.829722
0.450,130.162,0.850620
0.460,130.511,0.884864
0.470,130.845,0.920380
0.480,130.912,0.916949
0.490,130.646,0.911355
0.500,130.515,0.884731
0.510,130.482,0.884659
0.520,130.606,0.904290
0.530,130.764,0.919137
0.540,130.838,0.926426
0.550,130.586,0.901606
0.560,130.238,0.901438
0.570,130.187,0.894499
0.580,130.091,0.860157
0.590,130.537,0.861524
0.600,146.247,0.814917
0.610,166.582,0.560624
0.620,191.485,0.385179
0.630,201.303,0.468019
0.640,234.706,0.516851
0.650,262.466,0.471226
0.660,262.570,0.493163
0.670,262.113,0.556018
0.680,262.240,0.529625
0.690,262.906,0.657399
0.700,262.295,0.532764
0.710,261.951,0.559427
0.720,262.387,0.668500
0.730,262.389,0.558352
0.740,261.935,0.562778
0.750,262.358,0.576622
0.760,262.596,0.481585
0.770,235.432,0.405506
0.780,201.451,0.523003
0.790,192.350,0.557236
0.800,164.309,0.539060
0.810,147.821,0.557106
0.820,130.974,0.617446
0.830,130.685,0.677970
0.840,130.807,0.747748
0.850,130.875,0.759185
0.860,130.790,0.784324
0.870,130.603,0.749088
0.880,130.798,0.806408
0.890,130.753,0.729581
0.900,130.711,0.732247
0.910,130.719,0.787422
0.920,130.599,0.757694
0.930,130.707,0.784146
0.940,130.774,0.812973
0.950,130.722,0.789733
0.960,130.784,0.806008
0.970,130.696,0.805911
0.980,130.865,0.785177
0.990,130.917,0.826188
1.000,130.893,0.856631
1.010,131.066,0.834205
1.020,131.058,0.846986
1.030,131.069,0.827423
1.040,131.296,0.865139
1.050,131.092,0.853606
1.060,130.870,0.796589
1.070,131.111,0.825150
1.080,130.832,0.833491
1.090,130.752,0.847026
1.100,130.547,0.858844
1.110,130.533,0.864256
1.120,130.512,0.877297
1.130,130.254,0.887300
1.140,130.475,0.885377
1.150,130.705,0.895175
1.160,130.666,0.890083
1.170,130.785,0.902589
1.180,130.928,0.901459
1.190,130.849,0.891502
1.200,130.978,0.904305
1.210,130.939,0.881158
1.220,130.846,0.886294
1.230,130.936,0.907362
1.240,130.955,0.890774
1.250,130.805,0.866391
1.260,131.005,0.903681
1.270,131.042,0.911381
1.280,130.879,0.893609
1.290,130.893,0.898240
1.300,130.918,0.906457
1.310,131.043,0.893164
1.320,130.983,0.899070
1.330,130.950,0.890550
1.340,130.927,0.884896
1.350,131.058,0.880599
1.360,131.038,0.900793
1.370,130.909,0.890304
1.380,130.998,0.887541
1.390,131.008,0.913692
1.400,130.888,0.896962
1.410,130.831,0.901085
1.420,131.039,0.916199
1.430,130.929,0.903730
1.440,130.895,0.920241
1.450,130.937,0.915774
1.460,130.800,0.909351
1.470,130.859,0.923929
1.480,130.951,0.930651
1.490,130.800,0.908999
