time,frequency,confidence
0.000,148.771,0.023291
0.010,147.640,0.060224
0.020,142.964,0.124274
0.030,144.698,0.171504
0.040,147.461,0.185193
0.050,146.789,0.146952
0.060,147.746,0.040206
0.070,149.072,0.056969
0.080,152.973,0.022916
0.090,153.434,0.015517
0.100,151.768,0.068684
0.110,152.939,0.066743
0.120,154.474,0.061141
0.130,151.926,0.119569
0.140,145.770,0.049201
0.150,147.301,0.273500
0.160,155.705,0.549325
0.170,162.022,0.546293
0.180,164.368,0.686477
0.190,169.277,0.584217
0.200,175.821,0.505083
0.210,180.732,0.056333
0.220,182.704,0.050624
0.230,185.289,0.424426
0.240,189.661,0.518311
0.250,193.236,0.733512
0.260,195.942,0.566711
0.270,202.861,0.305306
0.280,209.624,0.465916
0.290,210.936,0.839417
0.300,211.464,0.913859
0.310,211.166,0.929979
0.320,210.950,0.938220
0.330,210.788,0.939359
0.340,210.616,0.939576
0.350,210.472,0.942069
0.360,209.558,0.907432
0.370,207.893,0.881063
0.380,203.887,0.663153
0.390,197.417,0.791609
0.400,195.720,0.864411
0.410,195.799,0.803763
0.420,196.344,0.796510
0.430,196.340,0.716935
0.440,196.123,0.886191
0.450,196.767,0.801335
0.460,198.551,0.612655
0.470,204.400,0.237006
0.480,206.959,0.584886
0.490,209.443,0.584421
0.500,209.965,0.696021
0.510,208.837,0.854344
0.520,208.637,0.901859
0.530,208.516,0.903558
0.540,208.337,0.882234
0.550,208.013,0.914976
0.560,207.803,0.914753
0.570,208.076,0.917688
0.580,208.040,0.908441
0.590,208.047,0.901217
0.600,208.535,0.892655
0.610,208.916,0.888137
0.620,209.051,0.881187
0.630,209.201,0.845493
0.640,209.921,0.832830
0.650,210.082,0.757859
0.660,209.413,0.557093
0.670,209.344,0.222563
0.680,237.818,0.307375
0.690,261.197,0.443761
0.700,261.276,0.713754
0.710,261.428,0.641122
0.720,261.692,0.775895
0.730,261.995,0.852132
0.740,261.749,0.864076
0.750,261.951,0.848959
0.760,262.086,0.855296
0.770,262.083,0.855771
0.780,262.191,0.863899
0.790,262.558,0.839581
0.800,262.390,0.881722
0.810,262.343,0.842793
0.820,262.272,0.805540
0.830,262.182,0.826185
0.840,261.803,0.771267
0.850,261.719,0.798156
0.860,261.648,0.818650
0.870,261.496,0.764914
0.880,261.342,0.713035
0.890,261.026,0.656823
0.900,260.629,0.706038
0.910,277.097,0.746313
0.920,315.094,0.705087
0.930,365.761,0.636848
0.940,393.377,0.628898
0.950,392.896,0.641428
0.960,392.702,0.669067
0.970,392.532,0.682080
0.980,392.641,0.637135
0.990,392.415,0.678782
1.000,392.416,0.688094
1.010,392.458,0.637844
1.020,392.419,0.684861
1.030,392.594,0.774173
1.040,392.772,0.779469
1.050,391.989,0.774053
1.060,392.361,0.795823
1.070,392.658,0.756461
1.080,392.940,0.745115
1.090,392.915,0.712914
1.100,393.122,0.704169
1.110,393.251,0.469508
1.120,393.215,0.674413
1.130,393.753,0.615077
1.140,363.601,0.681157
1.150,315.841,0.704174
1.160,278.398,0.667981
1.170,261.121,0.678512
1.180,260.871,0.780069
1.190,261.133,0.802838
1.200,260.883,0.762309
1.210,260.935,0.813700
1.220,261.221,0.795904
1.230,260.988,0.738047
1.240,261.055,0.805592
1.250,260.985,0.643015
1.260,260.828,0.813825
1.270,260.807,0.866525
1.280,260.671,0.851232
1.290,261.246,0.764403
1.300,261.206,0.578329
1.310,260.943,0.638560
1.320,261.321,0.582672
1.330,260.974,0.659616
1.340,261.096,0.583482
1.350,261.022,0.636664
1.360,261.258,0.805371
1.370,261.504,0.853654
1.380,261.395,0.845176
1.390,261.401,0.798918
1.400,261.373,0.863359
1.410,260.792,0.815185
1.420,261.023,0.772146
1.430,260.925,0.726815
1.440,260.773,0.606213
1.450,260.588,0.751585
1.460,260.771,0.791480
1.470,261.129,0.726838
1.480,261.046,0.656779
1.490,261.020,0.737637
1.500,260.949,0.627892
1.510,261.027,0.627515
1.520,261.142,0.820789
1.530,261.164,0.822843
1.540,261.070,0.813427
1.550,261.002,0.693538
1.560,261.338,0.658378
1.570,261.345,0.729661
1.580,261.300,0.761513
1.590,261.123,0.770476
1.600,261.405,0.738253
1.610,261.265,0.732401
1.620,261.116,0.798222
1.630,261.064,0.848868
1.640,261.154,0.662576
1.650,261.182,0.636117
1.660,261.248,0.726581
1.670,261.322,0.789188
1.680,261.374,0.784806
1.690,261.435,0.824447
1.700,261.421,0.733355
1.710,261.299,0.783694
1.720,261.148,0.760815
1.730,261.218,0.790973
1.740,261.360,0.825325
1.750,261.297,0.827287
1.760,261.163,0.830203
1.770,261.453,0.865718
1.780,261.463,0.850702
1.790,261.205,0.692545
1.800,260.762,0.600052
1.810,260.810,0.735409
1.820,260.359,0.636300
1.830,260.978,0.630684
1.840,260.789,0.705364
1.850,260.798,0.679551
1.860,261.066,0.612914
1.870,261.123,0.710757
1.880,261.009,0.742720
1.890,261.305,0.743486
1.900,261.000,0.721152
1.910,261.273,0.775916
1.920,261.360,0.797834
1.930,261.322,0.691175
1.940,261.401,0.647743
1.950,261.323,0.597861
1.960,261.227,0.659202
1.970,261.266,0.695533
1.980,261.556,0.835413
1.990,261.602,0.874976
2.000,261.489,0.885373
2.010,261.476,0.776658
2.020,261.281,0.680757
2.030,255.703,0.816526
2.040,229.346,0.879664
2.050,217.500,0.816425
2.060,195.651,0.847775
2.070,188.873,0.825896
2.080,169.990,0.655871
2.090,161.177,0.784188
2.100,152.918,0.764070
2.110,134.797,0.651877
2.120,130.722,0.659990
2.130,130.486,0.693469
2.140,130.489,0.754707
2.150,130.648,0.783986
2.160,130.480,0.704975
2.170,130.441,0.629201
2.180,130.414,0.681990
2.190,130.382,0.695438
2.200,130.143,0.678545
2.210,130.144,0.659217
2.220,130.176,0.598743
2.230,130.293,0.562547
2.240,133.551,0.452616
2.250,151.282,0.512233
2.260,160.414,0.530939
2.270,167.597,0.425054
2.280,186.032,0.599147
2.290,194.013,0.724916
2.300,205.823,0.815606
2.310,220.520,0.818117
2.320,233.641,0.775304
2.330,255.345,0.585659
2.340,260.514,0.630636
2.350,260.705,0.629653
2.360,261.589,0.735871
2.370,261.513,0.787704
2.380,261.056,0.829380
2.390,260.475,0.878438
2.400,260.273,0.886544
2.410,260.358,0.806123
2.420,260.559,0.769666
2.430,260.801,0.783934
2.440,261.207,0.674542
2.450,260.786,0.609341
2.460,261.073,0.658675
2.470,260.427,0.790389
2.480,261.019,0.724511
2.490,260.302,0.608979
2.500,260.082,0.512605
2.510,260.782,0.572734
2.520,261.147,0.670220
2.530,261.204,0.763297
2.540,260.882,0.826146
2.550,260.570,0.802781
2.560,260.416,0.788803
2.570,261.316,0.778864
2.580,260.589,0.774202
2.590,260.636,0.767448
2.600,261.119,0.826499
2.610,261.095,0.681175
2.620,260.629,0.767937
2.630,260.660,0.772738
2.640,260.678,0.662275
2.650,233.368,0.668200
2.660,209.774,0.595832
2.670,188.379,0.469791
2.680,164.109,0.562608
2.690,148.991,0.646446
2.700,130.415,0.626095
2.710,130.071,0.538434
2.720,129.012,0.467604
2.730,129.472,0.374792
2.740,130.382,0.553404
2.750,130.722,0.743570
2.760,130.483,0.580105
2.770,130.657,0.507224
2.780,131.315,0.374584
2.790,131.618,0.348085
2.800,131.382,0.538554
2.810,131.177,0.673736
2.820,130.523,0.441875
2.830,130.610,0.356050
2.840,130.905,0.082313
2.850,131.003,0.109779
2.860,131.311,0.153582
2.870,130.044,0.313786
2.880,130.070,0.580453
2.890,129.941,0.759889
2.900,129.330,0.607069
2.910,128.751,0.658338
2.920,129.315,0.705415
2.930,129.988,0.738332
2.940,129.809,0.796773
2.950,129.139,0.811156
2.960,129.048,0.755397
2.970,129.148,0.800585
2.980,129.808,0.814303
2.990,129.911,0.433309
3.000,130.691,0.553341
3.010,131.055,0.574637
3.020,131.265,0.230000
3.030,130.483,0.273911
3.040,129.204,0.220808
3.050,129.619,0.142322
3.060,129.597,0.205820
3.070,129.976,0.352539
3.080,129.883,0.635078
3.090,130.178,0.743110
3.100,130.194,0.780073
3.110,130.130,0.771573
3.120,129.789,0.664799
3.130,129.537,0.689907
3.140,129.723,0.707801
3.150,129.790,0.744847
3.160,129.834,0.786642
3.170,130.098,0.801496
3.180,130.127,0.607298
3.190,130.064,0.649213
3.200,129.727,0.635681
3.210,129.807,0.693842
3.220,129.830,0.741372
3.230,130.038,0.707844
3.240,130.810,0.593229
