time,frequency,confidence
0.000,208.717,0.014635
0.010,206.068,0.029062
0.020,207.001,0.084481
0.030,217.770,0.177271
0.040,211.440,0.071716
0.050,240.115,0.080828
0.060,239.204,0.352251
0.070,237.489,0.509196
0.080,236.152,0.782424
0.090,233.284,0.796565
0.100,232.478,0.747812
0.110,232.977,0.770294
0.120,232.782,0.669515
0.130,235.243,0.577418
0.140,228.334,0.235952
0.150,222.050,0.101130
0.160,205.948,0.084377
0.170,194.558,0.245765
0.180,177.975,0.194939
0.190,156.234,0.238413
0.200,139.303,0.191912
0.210,142.422,0.496047
0.220,144.342,0.699197
0.230,145.825,0.520345
0.240,143.520,0.352850
0.250,143.495,0.707312
0.260,145.167,0.834452
0.270,146.096,0.896497
0.280,146.883,0.919824
0.290,147.173,0.962814
0.300,147.143,0.957016
0.310,147.232,0.962272
0.320,147.194,0.961648
0.330,147.254,0.963822
0.340,147.385,0.957313
0.350,147.370,0.957799
0.360,147.409,0.964789
0.370,147.365,0.964080
0.380,147.345,0.965983
0.390,147.249,0.969723
0.400,146.996,0.955312
0.410,146.274,0.821086
0.420,144.487,0.527021
0.430,142.027,0.304318
0.440,152.562,0.592712
0.450,154.564,0.743247
0.460,155.744,0.910432
0.470,156.365,0.920800
0.480,156.692,0.895540
0.490,157.413,0.919915
0.500,157.506,0.939696
0.510,157.217,0.927021
0.520,156.813,0.915422
0.530,156.980,0.916388
0.540,157.109,0.930923
0.550,157.004,0.921126
0.560,156.603,0.920649
0.570,156.493,0.929622
0.580,156.757,0.906492
0.590,156.882,0.864469
0.600,157.183,0.742814
0.610,148.243,0.365180
0.620,146.327,0.721586
0.630,146.491,0.847950
0.640,146.686,0.902275
0.650,146.864,0.940262
0.660,147.109,0.961202
0.670,147.356,0.962343
0.680,147.200,0.959166
0.690,147.383,0.945657
0.700,147.331,0.954021
0.710,147.462,0.949948
0.720,147.431,0.955638
0.730,147.487,0.964762
0.740,147.279,0.967441
0.750,147.339,0.967717
0.760,147.230,0.965003
0.770,147.271,0.962901
0.780,147.169,0.959895
0.790,147.226,0.953191
0.800,147.224,0.952751
0.810,147.211,0.941432
0.820,147.377,0.887601
0.830,148.944,0.688475
0.840,152.093,0.503533
0.850,154.224,0.671143
0.860,156.156,0.597942
0.870,158.416,0.432704
0.880,155.413,0.451124
0.890,155.654,0.601556
0.900,155.593,0.696691
0.910,156.214,0.796644
0.920,156.276,0.789799
0.930,156.698,0.824251
0.940,157.000,0.866049
0.950,157.349,0.859840
0.960,156.618,0.845846
0.970,156.302,0.866021
0.980,156.013,0.883498
0.990,156.304,0.857256
1.000,156.951,0.800425
1.010,157.748,0.835166
1.020,158.528,0.788290
1.030,158.640,0.753002
1.040,158.787,0.778331
1.050,157.435,0.752918
1.060,156.610,0.760794
1.070,156.623,0.766090
1.080,156.561,0.755127
1.090,156.469,0.738290
1.100,155.848,0.759297
1.110,155.277,0.779323
1.120,155.179,0.751409
1.130,155.521,0.751053
1.140,155.759,0.691628
1.150,155.114,0.722169
1.160,154.753,0.743190
1.170,155.320,0.763440
1.180,156.009,0.713078
1.190,156.341,0.677082
1.200,156.710,0.659312
1.210,156.540,0.659153
1.220,157.061,0.694542
1.230,157.519,0.727158
1.240,155.723,0.680426
1.250,154.582,0.771691
1.260,154.463,0.807465
1.270,155.139,0.821954
1.280,156.111,0.727586
1.290,155.714,0.592910
1.300,156.232,0.582131
1.310,155.825,0.633954
1.320,155.969,0.678621
1.330,156.545,0.656167
1.340,154.517,0.689534
1.350,154.010,0.678265
1.360,153.204,0.620450
1.370,153.052,0.594234
1.380,150.460,0.580756
1.390,148.657,0.806596
1.400,148.017,0.857493
1.410,146.411,0.737119
1.420,143.484,0.742251
1.430,145.139,0.742562
1.440,146.096,0.763184
1.450,146.634,0.804412
1.460,146.708,0.884371
1.470,146.623,0.901505
1.480,146.142,0.835016
