time,frequency,confidence
0.000,100.021,0.071654
0.010,99.608,0.034740
0.020,99.297,0.019939
0.030,99.335,0.019656
0.040,91.932,0.046523
0.050,85.032,0.043888
0.060,83.496,0.070114
0.070,81.572,0.108828
0.080,81.054,0.112341
0.090,80.098,0.185758
0.100,84.323,0.152156
0.110,92.107,0.150019
0.120,99.155,0.009275
0.130,99.582,0.040539
0.140,98.623,0.049163
0.150,97.176,0.060586
0.160,95.750,0.242449
0.170,100.920,0.099891
0.180,109.351,0.078004
0.190,119.822,0.093442
0.200,124.863,0.048861
0.210,132.413,0.148353
0.220,141.174,0.145858
0.230,150.918,0.089020
0.240,156.924,0.173556
0.250,162.649,0.164657
0.260,165.250,0.122546
0.270,151.432,0.016705
0.280,138.487,0.086610
0.290,137.887,0.021207
0.300,138.554,0.326169
0.310,137.715,0.160546
0.320,136.371,0.080918
0.330,133.169,0.096674
0.340,132.239,0.347616
0.350,131.282,0.257534
0.360,119.814,0.172862
0.370,116.284,0.130916
0.380,128.757,0.017456
0.390,140.694,0.071774
0.400,140.479,0.043859
0.410,141.157,0.014281
0.420,142.749,0.022290
0.430,148.531,0.038841
0.440,156.563,0.093869
0.450,163.405,0.014557
0.460,171.795,0.019691
0.470,180.990,0.025099
0.480,187.484,0.020363
0.490,194.569,0.002898
0.500,197.641,0.002808
0.510,203.454,0.007747
0.520,210.443,0.035353
0.530,219.367,0.018337
0.540,228.286,0.019764
0.550,227.726,0.215966
0.560,250.256,0.208396
0.570,249.361,0.275612
0.580,249.018,0.432459
0.590,237.321,0.093474
0.600,234.967,0.348604
0.610,239.261,0.103613
0.620,256.670,0.086887
0.630,259.017,0.082608
0.640,257.815,0.233670
0.650,225.945,0.053445
0.660,205.698,0.035099
0.670,203.170,0.063350
0.680,216.044,0.157392
0.690,216.307,0.284201
0.700,215.860,0.597067
0.710,207.562,0.337133
0.720,213.461,0.097951
0.730,198.578,0.468389
0.740,195.564,0.731435
0.750,196.081,0.837032
0.760,195.892,0.887161
0.770,195.925,0.921889
0.780,196.293,0.939122
0.790,196.035,0.923336
0.800,196.095,0.935695
0.810,196.450,0.949237
0.820,196.648,0.953751
0.830,196.389,0.950417
0.840,196.242,0.946630
0.850,196.316,0.949456
0.860,196.483,0.955951
0.870,196.601,0.955339
0.880,196.553,0.949358
0.890,196.163,0.880478
0.900,193.030,0.445508
0.910,176.313,0.718151
0.920,173.089,0.811826
0.930,171.751,0.849194
0.940,172.509,0.867033
0.950,173.897,0.881372
0.960,174.707,0.903684
0.970,174.036,0.909713
0.980,173.347,0.922698
0.990,173.597,0.931947
1.000,174.180,0.917453
1.010,173.879,0.933079
1.020,173.411,0.938211
1.030,173.008,0.928825
1.040,173.809,0.922903
1.050,174.514,0.919673
1.060,174.197,0.917108
1.070,173.558,0.934433
1.080,173.440,0.937983
1.090,174.146,0.923068
1.100,174.547,0.922299
1.110,174.346,0.919439
1.120,173.846,0.933929
1.130,173.989,0.929367
1.140,174.549,0.932901
1.150,174.803,0.945003
1.160,174.527,0.923180
1.170,173.848,0.919126
1.180,173.899,0.911766
1.190,174.347,0.908409
1.200,174.414,0.926293
1.210,173.896,0.917496
1.220,173.426,0.923074
1.230,173.582,0.924212
1.240,173.955,0.919719
1.250,173.454,0.925904
1.260,173.236,0.922823
1.270,173.371,0.919603
1.280,173.530,0.923276
1.290,173.428,0.934847
1.300,173.278,0.926737
1.310,173.526,0.922578
1.320,174.152,0.907749
1.330,174.452,0.926932
1.340,174.057,0.923902
1.350,174.040,0.920520
1.360,174.442,0.932817
1.370,174.930,0.946940
1.380,174.834,0.943666
1.390,174.185,0.923342
1.400,174.098,0.926252
1.410,174.396,0.933799
1.420,174.603,0.941784
1.430,174.190,0.920915
1.440,173.651,0.941210
1.450,173.409,0.942071
1.460,173.738,0.936894
1.470,173.499,0.939438
1.480,173.219,0.937474
1.490,173.038,0.947952
1.500,173.148,0.939296
1.510,173.345,0.945028
1.520,173.375,0.939366
1.530,173.344,0.932497
1.540,173.697,0.931066
1.550,174.358,0.912720
1.560,174.520,0.911341
1.570,174.470,0.890806
1.580,174.344,0.886534
1.590,174.738,0.911051
1.600,174.920,0.920786
1.610,174.883,0.912793
1.620,174.649,0.889022
1.630,174.209,0.897700
1.640,174.123,0.899727
1.650,174.100,0.875929
1.660,173.842,0.876020
1.670,173.951,0.888654
1.680,173.509,0.912762
1.690,173.418,0.916720
1.700,173.413,0.920056
1.710,173.674,0.918195
1.720,173.729,0.922173
1.730,173.547,0.926660
1.740,174.014,0.918271
1.750,174.229,0.902528
1.760,174.473,0.922217
1.770,174.205,0.912497
1.780,174.391,0.912576
1.790,174.519,0.924341
1.800,174.478,0.929143
1.810,174.253,0.912459
1.820,173.950,0.929528
1.830,173.648,0.935983
1.840,173.366,0.935231
1.850,173.179,0.934913
1.860,173.121,0.933751
1.870,173.129,0.926440
1.880,173.243,0.926712
1.890,173.311,0.932508
1.900,173.642,0.926875
1.910,173.944,0.920858
1.920,173.878,0.919055
1.930,174.209,0.911771
1.940,174.307,0.912090
1.950,174.611,0.917894
1.960,174.313,0.895172
1.970,174.391,0.899739
1.980,174.218,0.906546
1.990,176.751,0.727326
2.000,185.370,0.510270
2.010,194.293,0.826866
2.020,196.080,0.837635
2.030,196.093,0.899977
2.040,196.019,0.908858
2.050,195.817,0.823061
2.060,194.888,0.702584
2.070,194.571,0.696470
2.080,195.354,0.745741
2.090,195.747,0.778117
2.100,193.690,0.684672
2.110,191.721,0.581978
2.120,193.903,0.724199
2.130,195.307,0.767362
2.140,195.567,0.855756
2.150,194.954,0.895763
2.160,194.582,0.902096
2.170,195.354,0.865580
2.180,196.048,0.868307
2.190,196.458,0.867475
2.200,195.847,0.781779
2.210,195.568,0.809278
2.220,196.489,0.852735
2.230,196.374,0.909951
2.240,196.270,0.925544
2.250,196.046,0.837956
2.260,195.462,0.606866
2.270,195.153,0.662069
2.280,195.152,0.743187
2.290,195.223,0.881720
2.300,195.885,0.902625
2.310,195.907,0.916514
2.320,195.629,0.893233
2.330,195.547,0.910520
2.340,195.787,0.913919
2.350,195.934,0.930948
2.360,196.062,0.940532
2.370,196.062,0.940887
2.380,196.189,0.944391
2.390,196.483,0.915307
2.400,197.207,0.603727
2.410,209.007,0.420999
2.420,214.494,0.489249
2.430,209.135,0.445303
2.440,204.485,0.613805
2.450,206.971,0.409254
2.460,215.015,0.294116
2.470,194.710,0.482491
2.480,195.609,0.490951
2.490,195.435,0.754250
2.500,195.285,0.888033
2.510,195.007,0.930175
2.520,195.494,0.912611
2.530,195.981,0.932703
2.540,196.123,0.940426
2.550,195.691,0.893133
2.560,196.000,0.879671
2.570,196.267,0.893112
2.580,196.107,0.919612
2.590,195.954,0.920786
2.600,195.958,0.918399
2.610,196.594,0.938951
2.620,197.641,0.876094
2.630,198.365,0.755803
2.640,177.305,0.565594
2.650,176.490,0.729746
2.660,175.543,0.807651
2.670,175.357,0.805228
2.680,176.892,0.832671
2.690,177.807,0.892895
2.700,177.768,0.877749
2.710,177.198,0.841539
2.720,176.158,0.843951
2.730,176.422,0.830723
2.740,176.971,0.873221
2.750,177.914,0.830554
2.760,178.515,0.728827
2.770,177.441,0.662643
2.780,176.099,0.465699
2.790,176.830,0.295509
2.800,199.285,0.522138
2.810,197.334,0.639959
2.820,196.916,0.772353
2.830,196.331,0.823579
2.840,195.311,0.862695
2.850,194.648,0.831597
2.860,193.985,0.821126
2.870,195.006,0.851859
2.880,196.186,0.880877
2.890,195.497,0.803056
2.900,194.484,0.834410
2.910,194.437,0.859944
2.920,195.314,0.866053
2.930,196.681,0.924995
2.940,196.588,0.927219
2.950,196.400,0.923017
2.960,195.561,0.897364
2.970,195.406,0.892869
2.980,196.035,0.903383
2.990,196.205,0.927661
3.000,196.241,0.914503
3.010,194.426,0.783800
3.020,193.688,0.681816
3.030,195.122,0.640358
3.040,200.115,0.505101
3.050,199.795,0.619311
3.060,196.276,0.655072
3.070,194.254,0.660870
3.080,195.336,0.685892
3.090,197.836,0.642024
3.100,200.528,0.449552
3.110,198.345,0.406088
3.120,195.297,0.513620
3.130,194.139,0.532318
3.140,194.656,0.778747
3.150,195.022,0.880201
3.160,195.113,0.910943
3.170,195.591,0.912817
3.180,196.332,0.940040
3.190,196.217,0.940503
3.200,196.067,0.932506
3.210,196.230,0.934489
3.220,196.446,0.945927
3.230,196.334,0.948544
3.240,195.984,0.937478
3.250,195.747,0.922892
3.260,195.644,0.926615
3.270,195.829,0.926368
3.280,195.693,0.923834
3.290,195.643,0.924407
3.300,195.600,0.926541
3.310,195.549,0.928024
3.320,195.681,0.925469
3.330,195.830,0.933359
3.340,195.807,0.934703
3.350,195.906,0.936667
3.360,195.879,0.934002
3.370,195.907,0.933736
3.380,195.857,0.936050
3.390,195.884,0.940009
3.400,195.826,0.931017
3.410,195.856,0.930882
3.420,195.742,0.925570
3.430,195.667,0.926610
3.440,195.559,0.929360
3.450,195.516,0.933691
3.460,195.925,0.931782
3.470,196.114,0.941354
3.480,195.843,0.936848
3.490,195.917,0.926997
3.500,196.566,0.897321
3.510,198.576,0.788240
3.520,201.717,0.698250
3.530,204.689,0.649956
3.540,203.314,0.452356
3.550,197.432,0.420143
3.560,219.422,0.344984
3.570,221.388,0.694959
3.580,220.643,0.851365
3.590,220.496,0.915528
3.600,219.727,0.907833
3.610,218.735,0.887800
3.620,218.798,0.868908
3.630,218.927,0.866233
3.640,219.014,0.876182
3.650,219.308,0.897787
3.660,219.511,0.917625
3.670,219.524,0.920976
3.680,219.644,0.929289
3.690,220.058,0.948157
3.700,220.251,0.955684
3.710,220.141,0.948600
3.720,219.921,0.931286
3.730,219.930,0.923706
3.740,220.121,0.928854
3.750,220.344,0.944002
3.760,220.189,0.945336
3.770,220.108,0.942989
3.780,219.921,0.935251
3.790,219.873,0.929042
3.800,220.559,0.950854
3.810,220.587,0.945846
3.820,220.445,0.919301
3.830,220.010,0.890584
3.840,220.189,0.899719
3.850,220.346,0.902645
3.860,220.422,0.910720
3.870,219.944,0.908393
3.880,219.755,0.886398
3.890,220.250,0.922238
3.900,220.308,0.926036
3.910,219.820,0.903289
3.920,219.243,0.856757
3.930,219.902,0.882958
3.940,220.733,0.890615
3.950,220.157,0.856877
3.960,219.114,0.650654
3.970,219.203,0.675146
3.980,220.557,0.756355
3.990,221.235,0.749520
4.000,221.143,0.594931
4.010,220.144,0.300304
4.020,219.208,0.180104
4.030,218.664,0.455966
4.040,220.178,0.707395
4.050,220.082,0.819556
4.060,218.830,0.806178
4.070,217.533,0.855059
4.080,216.339,0.806774
4.090,214.532,0.638433
4.100,215.252,0.636130
4.110,217.629,0.788529
4.120,217.749,0.879232
4.130,218.139,0.912631
4.140,218.348,0.900996
4.150,218.530,0.905283
4.160,219.061,0.892398
4.170,219.436,0.910904
4.180,219.656,0.927051
4.190,219.696,0.928368
4.200,219.756,0.936850
4.210,220.033,0.940360
4.220,220.283,0.936219
4.230,220.622,0.932998
4.240,220.331,0.942464
4.250,220.106,0.935108
4.260,219.635,0.907448
4.270,219.392,0.877553
4.280,219.958,0.918678
4.290,220.407,0.939747
4.300,220.558,0.945735
4.310,220.511,0.947574
4.320,220.059,0.937559
4.330,220.382,0.949999
4.340,220.355,0.948596
4.350,219.875,0.922291
4.360,219.246,0.873277
4.370,219.918,0.916268
4.380,220.678,0.931993
4.390,220.967,0.930577
4.400,220.899,0.918406
4.410,221.113,0.891723
4.420,221.431,0.868493
4.430,221.294,0.850758
4.440,221.484,0.860376
4.450,221.577,0.859455
4.460,220.868,0.860038
4.470,219.898,0.852562
4.480,219.858,0.861008
4.490,220.783,0.888939
4.500,220.872,0.892254
4.510,220.204,0.864279
4.520,220.059,0.829932
4.530,220.713,0.844473
4.540,221.201,0.862756
4.550,221.103,0.852297
4.560,220.915,0.881260
4.570,220.904,0.873211
4.580,221.288,0.900664
4.590,221.106,0.877608
4.600,221.060,0.852045
4.610,221.283,0.813918
4.620,221.202,0.829592
4.630,220.265,0.846111
4.640,219.244,0.764166
4.650,220.057,0.853946
4.660,220.122,0.856328
4.670,220.068,0.804778
4.680,220.261,0.861724
4.690,220.449,0.887875
4.700,220.539,0.887828
4.710,220.557,0.867251
4.720,220.757,0.858094
4.730,220.904,0.863126
4.740,220.480,0.878014
4.750,220.583,0.859522
4.760,220.540,0.861445
4.770,220.753,0.882389
4.780,220.655,0.890651
4.790,220.626,0.836931
4.800,220.685,0.835350
4.810,220.635,0.844046
4.820,220.362,0.841150
4.830,220.556,0.778346
4.840,220.869,0.709426
4.850,220.960,0.708835
4.860,220.365,0.624901
4.870,220.788,0.490700
4.880,221.128,0.592692
4.890,220.846,0.442080
4.900,220.042,0.612228
4.910,220.268,0.595329
4.920,221.050,0.640117
4.930,220.660,0.577020
4.940,219.627,0.453200
4.950,220.454,0.393122
4.960,221.479,0.415386
4.970,220.266,0.546838
4.980,219.448,0.571911
4.990,219.596,0.740890
5.000,220.406,0.824025
5.010,219.444,0.790567
5.020,217.744,0.817872
5.030,218.172,0.862230
5.040,219.076,0.849862
5.050,220.116,0.852129
5.060,220.466,0.800752
5.070,219.653,0.644055
5.080,219.902,0.502981
5.090,220.704,0.433050
5.100,221.325,0.345398
5.110,221.204,0.452856
5.120,220.551,0.793558
5.130,220.140,0.873721
5.140,219.424,0.851963
5.150,218.778,0.805686
5.160,218.933,0.804362
5.170,219.761,0.839824
5.180,219.697,0.861492
5.190,219.179,0.836752
5.200,218.519,0.852380
5.210,218.301,0.896838
5.220,217.905,0.900796
5.230,217.476,0.856543
5.240,216.894,0.786892
5.250,216.934,0.795974
5.260,217.247,0.840479
5.270,217.186,0.828221
5.280,215.503,0.634920
5.290,212.608,0.683328
5.300,211.281,0.714599
5.310,213.847,0.721126
5.320,217.090,0.780173
5.330,217.919,0.903777
5.340,217.242,0.898671
5.350,216.186,0.847809
5.360,215.927,0.815809
5.370,217.607,0.820117
5.380,219.185,0.840977
5.390,219.047,0.840661
5.400,218.239,0.809008
5.410,217.721,0.815247
5.420,219.850,0.804798
5.430,220.354,0.841924
5.440,220.498,0.884722
5.450,219.767,0.883696
5.460,219.406,0.882648
5.470,218.929,0.918016
5.480,218.562,0.931128
5.490,217.925,0.921567
5.500,218.215,0.893722
5.510,217.641,0.815376
5.520,216.537,0.772888
5.530,216.151,0.857700
5.540,216.202,0.852473
5.550,216.192,0.772533
5.560,215.531,0.752752
5.570,215.168,0.796208
5.580,215.860,0.787680
5.590,217.616,0.824412
5.600,218.757,0.880570
5.610,219.550,0.875985
5.620,219.432,0.879300
5.630,219.230,0.882374
5.640,219.201,0.895168
5.650,219.620,0.908132
5.660,219.274,0.873294
5.670,218.989,0.748150
5.680,218.654,0.699159
5.690,216.819,0.677203
5.700,215.504,0.734820
5.710,214.727,0.716643
5.720,215.467,0.684881
5.730,214.860,0.606180
5.740,212.754,0.635064
5.750,210.591,0.704908
5.760,215.727,0.442410
5.770,221.828,0.609591
5.780,222.111,0.729627
5.790,221.233,0.878427
5.800,220.351,0.931638
5.810,219.969,0.940897
5.820,219.288,0.903677
5.830,219.468,0.896261
5.840,219.744,0.857732
5.850,219.312,0.844820
5.860,218.769,0.870737
5.870,218.222,0.937839
5.880,218.571,0.927533
5.890,218.761,0.921404
5.900,218.572,0.922969
5.910,218.202,0.925873
5.920,217.754,0.917158
5.930,218.333,0.901764
5.940,218.996,0.836564
5.950,218.950,0.861389
5.960,218.599,0.904617
5.970,218.044,0.931710
5.980,218.491,0.939670
5.990,218.440,0.946609
6.000,218.473,0.887672
6.010,219.631,0.841695
6.020,220.734,0.778704
6.030,219.559,0.820047
6.040,217.518,0.872051
6.050,217.757,0.915199
6.060,217.837,0.902475
6.070,217.603,0.866325
6.080,217.347,0.846941
6.090,217.631,0.865287
6.100,218.476,0.883720
6.110,220.081,0.903614
6.120,220.683,0.930448
6.130,220.391,0.927726
6.140,219.922,0.931348
6.150,219.400,0.918326
6.160,218.866,0.927141
6.170,218.211,0.924677
6.180,218.043,0.900401
6.190,218.678,0.886127
6.200,219.515,0.886078
6.210,219.295,0.886238
6.220,218.680,0.915997
6.230,218.174,0.929471
6.240,218.231,0.903787
6.250,218.057,0.885601
6.260,218.725,0.861570
6.270,218.300,0.825390
6.280,216.726,0.796827
6.290,216.251,0.871625
6.300,216.928,0.874961
6.310,217.181,0.900156
6.320,216.687,0.862762
6.330,216.453,0.874777
6.340,217.819,0.924029
6.350,218.505,0.900730
6.360,217.867,0.802534
6.370,215.036,0.702386
6.380,213.364,0.851680
6.390,213.734,0.878010
6.400,214.316,0.837012
6.410,214.427,0.816961
6.420,214.672,0.825525
6.430,216.849,0.789996
6.440,219.578,0.852866
6.450,221.120,0.921655
6.460,221.060,0.937429
6.470,219.777,0.938271
6.480,219.117,0.935398
6.490,218.950,0.930926
6.500,219.022,0.900825
6.510,219.638,0.812825
6.520,219.535,0.688496
6.530,217.865,0.659303
6.540,216.445,0.805209
6.550,216.857,0.871563
6.560,217.332,0.908005
6.570,217.629,0.895557
6.580,217.151,0.864061
6.590,216.913,0.857721
6.600,216.879,0.891425
6.610,217.446,0.913359
6.620,218.619,0.911695
6.630,219.525,0.867478
6.640,220.004,0.905382
6.650,219.840,0.925348
6.660,219.627,0.932633
6.670,218.563,0.930374
6.680,216.945,0.883214
6.690,216.010,0.845555
6.700,216.469,0.869698
6.710,217.085,0.906879
6.720,217.717,0.924034
6.730,218.391,0.862891
6.740,218.306,0.805992
6.750,217.120,0.584389
6.760,214.543,0.508592
6.770,213.496,0.718130
6.780,215.356,0.818513
6.790,217.132,0.858734
6.800,219.269,0.870001
6.810,219.729,0.893888
6.820,219.183,0.827116
6.830,220.549,0.775438
6.840,222.204,0.725923
6.850,221.186,0.702896
6.860,218.907,0.839910
6.870,218.175,0.928190
6.880,218.019,0.862073
6.890,217.694,0.723962
6.900,215.519,0.641523
6.910,215.733,0.753997
6.920,215.393,0.812022
6.930,214.595,0.838686
6.940,214.347,0.876861
6.950,214.451,0.865975
6.960,214.706,0.844118
6.970,215.883,0.812191
6.980,217.689,0.886022
6.990,218.541,0.931118
7.000,218.510,0.937986
7.010,218.260,0.912471
7.020,217.796,0.864981
7.030,218.561,0.816393
7.040,219.098,0.668011
7.050,219.591,0.624161
7.060,219.231,0.531295
7.070,218.488,0.489230
7.080,196.395,0.584700
7.090,174.214,0.805440
7.100,173.758,0.885267
7.110,173.362,0.924309
7.120,173.624,0.924659
7.130,173.853,0.922807
7.140,174.060,0.916186
7.150,173.701,0.932375
7.160,173.232,0.930942
7.170,173.249,0.932720
7.180,173.869,0.920784
7.190,173.908,0.915747
7.200,173.802,0.910710
7.210,173.477,0.912921
7.220,173.420,0.922990
7.230,174.159,0.917426
7.240,173.702,0.910374
7.250,173.335,0.918747
7.260,173.389,0.907870
7.270,173.839,0.904017
7.280,173.757,0.908496
7.290,173.469,0.913674
7.300,173.505,0.895430
7.310,173.726,0.896109
7.320,173.881,0.882608
7.330,173.341,0.894392
7.340,173.118,0.869749
7.350,173.327,0.860608
7.360,173.726,0.848793
7.370,173.558,0.849808
7.380,173.150,0.851943
7.390,172.810,0.779726
7.400,173.525,0.744130
7.410,173.594,0.705220
7.420,173.273,0.833451
7.430,172.843,0.827461
7.440,173.394,0.789404
7.450,173.738,0.812758
7.460,173.281,0.877209
7.470,172.794,0.859271
7.480,173.188,0.848269
7.490,173.645,0.834841
7.500,173.818,0.879410
7.510,173.462,0.868778
7.520,173.144,0.844476
7.530,173.348,0.877030
7.540,174.038,0.897699
7.550,174.046,0.867167
7.560,172.962,0.814451
7.570,172.770,0.774045
7.580,172.924,0.672641
7.590,173.089,0.610549
7.600,173.089,0.738790
7.610,173.506,0.860840
7.620,174.044,0.884932
7.630,173.621,0.900057
7.640,173.303,0.911789
7.650,173.403,0.892491
7.660,173.398,0.848949
7.670,173.643,0.838709
7.680,173.029,0.796555
7.690,172.816,0.767618
7.700,173.275,0.710199
7.710,194.836,0.471242
7.720,218.866,0.468608
7.730,220.719,0.776035
7.740,220.056,0.802919
7.750,218.036,0.783915
7.760,215.731,0.728462
7.770,214.942,0.636380
7.780,216.776,0.672250
7.790,217.653,0.748507
7.800,217.293,0.806757
7.810,216.668,0.831054
7.820,215.766,0.741221
7.830,216.690,0.718912
7.840,217.200,0.760698
7.850,218.598,0.831084
7.860,219.465,0.829959
7.870,220.594,0.895548
7.880,220.678,0.911835
7.890,220.535,0.920257
7.900,220.112,0.921822
7.910,219.151,0.905917
7.920,218.569,0.928402
7.930,217.801,0.906736
7.940,216.469,0.805767
7.950,214.764,0.786457
7.960,213.768,0.815849
7.970,214.749,0.799281
7.980,214.799,0.761955
7.990,215.578,0.757545
8.000,215.227,0.787006
8.010,214.739,0.742291
8.020,215.171,0.805637
8.030,215.899,0.832360
8.040,217.492,0.883610
8.050,217.324,0.876850
8.060,216.549,0.856991
8.070,216.138,0.864027
8.080,215.771,0.832357
8.090,215.802,0.850876
8.100,215.608,0.845943
8.110,216.123,0.799906
8.120,216.901,0.736780
8.130,215.292,0.720417
8.140,215.636,0.782980
8.150,216.374,0.849982
8.160,217.245,0.845505
8.170,216.481,0.790456
8.180,214.895,0.761138
8.190,215.458,0.851204
8.200,216.242,0.882385
8.210,217.741,0.881184
8.220,218.732,0.883281
8.230,219.082,0.891637
8.240,218.284,0.901481
8.250,217.159,0.904338
8.260,217.350,0.914425
8.270,217.727,0.932982
8.280,217.867,0.917213
8.290,218.003,0.836636
8.300,217.297,0.704345
8.310,215.868,0.694343
8.320,216.185,0.829074
8.330,216.748,0.836022
8.340,216.841,0.821084
8.350,216.658,0.782593
8.360,216.800,0.821718
8.370,216.645,0.868091
8.380,216.237,0.881547
8.390,215.231,0.825030
8.400,213.459,0.815395
8.410,213.277,0.830945
8.420,214.671,0.833517
8.430,216.303,0.880652
8.440,217.341,0.922129
8.450,218.267,0.940316
8.460,218.568,0.938621
8.470,219.384,0.900124
8.480,219.528,0.888424
8.490,219.343,0.839010
8.500,219.732,0.829930
8.510,220.897,0.810660
8.520,220.269,0.861617
8.530,220.126,0.902992
8.540,220.314,0.905810
8.550,219.504,0.877208
8.560,217.779,0.847971
8.570,217.169,0.820280
8.580,216.537,0.769842
8.590,216.098,0.788156
8.600,216.755,0.849842
8.610,217.107,0.906019
8.620,217.249,0.919391
8.630,217.593,0.920615
8.640,217.035,0.854402
8.650,215.892,0.814871
8.660,215.359,0.801254
8.670,216.304,0.774525
8.680,218.144,0.876276
8.690,219.744,0.919415
8.700,220.696,0.912029
8.710,221.132,0.874911
8.720,220.633,0.834298
8.730,218.437,0.699291
8.740,216.944,0.713428
8.750,217.333,0.853084
8.760,217.167,0.895065
8.770,218.104,0.924471
8.780,219.302,0.844529
8.790,219.136,0.838622
8.800,218.893,0.837547
8.810,218.334,0.851465
8.820,218.244,0.926656
8.830,218.339,0.928614
8.840,218.643,0.889421
8.850,218.420,0.853882
8.860,217.201,0.820974
8.870,216.446,0.836837
8.880,216.074,0.892866
8.890,216.429,0.895840
8.900,216.414,0.889431
8.910,216.237,0.827423
8.920,216.540,0.778298
8.930,217.903,0.887008
8.940,218.462,0.938660
8.950,218.931,0.939703
8.960,220.011,0.944486
8.970,220.846,0.952167
8.980,220.189,0.900197
8.990,218.050,0.659101
9.000,204.603,0.465138
9.010,170.081,0.631925
9.020,156.821,0.730744
9.030,136.722,0.844848
9.040,120.963,0.832808
9.050,110.063,0.858950
9.060,109.749,0.873660
9.070,109.572,0.893833
9.080,109.568,0.900928
9.090,109.457,0.912960
