time,frequency,confidence
0.000,201.253,0.248527
0.010,198.265,0.595799
0.020,197.091,0.762794
0.030,197.645,0.809752
0.040,196.279,0.846092
0.050,196.958,0.923125
0.060,197.712,0.816024
0.070,197.474,0.640590
0.080,197.459,0.641342
0.090,195.290,0.394222
0.100,178.705,0.092117
0.110,166.286,0.262794
0.120,151.985,0.378237
0.130,145.264,0.263389
0.140,146.532,0.721843
0.150,146.636,0.836408
0.160,147.158,0.885437
0.170,147.205,0.947637
0.180,147.199,0.949367
0.190,147.187,0.951022
0.200,147.173,0.950608
0.210,147.116,0.949856
0.220,147.226,0.952940
0.230,147.127,0.954712
0.240,147.197,0.958169
0.250,147.174,0.955897
0.260,147.188,0.959673
0.270,147.088,0.959506
0.280,147.110,0.953773
0.290,147.098,0.955509
0.300,147.123,0.960167
0.310,147.083,0.959609
0.320,147.162,0.959950
0.330,155.053,0.948174
0.340,180.825,0.743707
0.350,195.390,0.629092
0.360,195.333,0.773587
0.370,195.269,0.858648
0.380,195.659,0.869043
0.390,195.807,0.874547
0.400,196.245,0.884753
0.410,196.129,0.888098
0.420,196.023,0.841495
0.430,195.788,0.791605
0.440,195.780,0.679245
0.450,195.640,0.573333
0.460,185.965,0.555086
0.470,159.237,0.687550
0.480,147.414,0.676653
0.490,147.112,0.808728
0.500,147.466,0.786989
0.510,147.262,0.832901
0.520,147.143,0.791899
0.530,146.648,0.756444
0.540,146.049,0.711501
0.550,146.249,0.476329
0.560,151.641,0.473792
0.570,166.776,0.311651
0.580,175.886,0.243922
0.590,181.214,0.551558
0.600,181.665,0.856761
0.610,181.860,0.921685
0.620,182.234,0.912963
0.630,182.320,0.900070
0.640,181.754,0.900408
0.650,181.078,0.913475
0.660,180.864,0.901237
0.670,181.015,0.924630
0.680,181.573,0.930279
0.690,181.946,0.926961
0.700,182.093,0.908652
0.710,181.749,0.925846
0.720,181.276,0.930673
0.730,180.939,0.919916
0.740,181.740,0.917427
0.750,183.623,0.895365
0.760,185.450,0.919068
0.770,185.733,0.926251
0.780,185.461,0.937728
0.790,185.796,0.921419
0.800,186.152,0.901193
0.810,185.530,0.920525
0.820,185.070,0.910867
0.830,184.917,0.906921
0.840,184.900,0.912623
0.850,185.214,0.900826
0.860,184.389,0.845376
0.870,185.015,0.759891
0.880,189.301,0.548390
0.890,193.343,0.737432
0.900,194.380,0.885154
0.910,195.160,0.913304
0.920,195.964,0.922251
0.930,196.370,0.949330
0.940,196.495,0.956660
0.950,196.394,0.960670
0.960,196.099,0.951445
0.970,195.894,0.936883
0.980,195.627,0.925145
0.990,195.843,0.935483
1.000,196.134,0.941432
1.010,196.512,0.954906
1.020,196.435,0.963289
1.030,196.174,0.958217
1.040,195.664,0.917173
1.050,195.250,0.901093
1.060,195.231,0.887302
1.070,195.946,0.910954
1.080,196.660,0.930915
1.090,196.273,0.927128
1.100,195.612,0.893371
1.110,194.554,0.848472
1.120,194.509,0.852196
1.130,195.571,0.875332
1.140,196.320,0.926597
1.150,196.745,0.925286
1.160,196.402,0.920029
1.170,195.848,0.904282
1.180,195.328,0.903294
1.190,195.457,0.910560
1.200,195.913,0.930975
1.210,196.181,0.939330
1.220,196.111,0.931602
1.230,196.170,0.920993
1.240,196.158,0.912810
1.250,195.999,0.894040
1.260,195.888,0.874440
1.270,196.061,0.859072
1.280,196.060,0.839088
1.290,196.184,0.816421
1.300,195.993,0.718793
1.310,196.056,0.662424
1.320,196.036,0.614368
1.330,195.987,0.602000
1.340,195.521,0.674179
1.350,195.161,0.766474
1.360,194.816,0.804351
1.370,195.041,0.872917
1.380,194.951,0.916129
1.390,195.217,0.905637
1.400,194.960,0.872089
1.410,195.214,0.879246
1.420,196.207,0.858283
1.430,198.740,0.667614
1.440,206.430,0.573349
1.450,207.390,0.636568
1.460,204.803,0.507010
1.470,200.619,0.622245
1.480,198.630,0.785717
1.490,199.680,0.625468
1.500,213.357,0.517442
1.510,217.235,0.769432
1.520,217.908,0.871747
1.530,218.477,0.813391
1.540,218.592,0.652742
1.550,219.524,0.527841
1.560,220.098,0.546483
1.570,220.827,0.707653
1.580,220.192,0.581488
1.590,213.414,0.637758
1.600,213.580,0.759306
1.610,213.803,0.357119
1.620,195.339,0.351133
1.630,195.440,0.620941
1.640,195.248,0.781447
1.650,195.723,0.812678
1.660,196.120,0.889574
1.670,195.629,0.881475
1.680,195.787,0.896309
1.690,196.012,0.926355
1.700,196.092,0.926824
1.710,195.787,0.897762
1.720,195.522,0.909718
1.730,195.802,0.890831
1.740,196.314,0.926140
1.750,196.084,0.921096
1.760,195.447,0.911751
1.770,195.617,0.899813
1.780,196.029,0.870122
1.790,195.989,0.709802
1.800,196.045,0.576988
1.810,195.181,0.650361
1.820,193.482,0.355092
1.830,184.775,0.519259
1.840,183.985,0.751255
1.850,183.223,0.874984
1.860,182.319,0.869443
1.870,182.199,0.903530
1.880,182.960,0.900482
1.890,183.532,0.898154
1.900,183.945,0.903656
1.910,183.937,0.912129
1.920,183.332,0.886557
1.930,182.970,0.849323
1.940,182.563,0.871694
1.950,183.086,0.845510
1.960,183.743,0.889484
1.970,184.428,0.871225
1.980,183.838,0.822199
1.990,183.386,0.708870
2.000,184.937,0.603322
2.010,190.541,0.519102
2.020,192.331,0.712777
2.030,193.155,0.755966
2.040,193.138,0.694803
2.050,194.451,0.735176
2.060,195.810,0.776365
2.070,195.713,0.779245
2.080,195.082,0.754737
2.090,193.183,0.708622
2.100,192.129,0.679512
2.110,191.804,0.619924
2.120,192.478,0.620095
2.130,194.136,0.663742
2.140,194.733,0.573705
2.150,193.639,0.588082
2.160,193.012,0.645313
2.170,190.849,0.609136
2.180,190.958,0.647790
2.190,191.417,0.697649
2.200,193.206,0.692869
2.210,195.451,0.692212
2.220,195.285,0.707684
2.230,194.100,0.726866
2.240,192.910,0.710332
2.250,192.415,0.702611
2.260,192.956,0.785183
2.270,194.003,0.857000
2.280,195.271,0.780116
2.290,195.488,0.748835
2.300,195.429,0.798588
2.310,194.425,0.807561
2.320,194.154,0.849198
2.330,193.927,0.855667
2.340,194.141,0.868365
2.350,194.472,0.835208
2.360,195.892,0.839367
2.370,195.609,0.819558
2.380,195.703,0.830966
2.390,195.579,0.844222
2.400,195.967,0.901842
2.410,195.949,0.909814
2.420,196.363,0.927191
2.430,196.196,0.909170
2.440,195.604,0.766228
2.450,196.374,0.573698
2.460,195.237,0.673769
2.470,195.693,0.820649
2.480,196.046,0.895573
2.490,196.220,0.930630
2.500,195.727,0.900796
2.510,195.533,0.908503
2.520,195.670,0.921256
2.530,195.986,0.933853
2.540,196.109,0.923218
2.550,196.168,0.937895
2.560,196.395,0.955134
2.570,196.375,0.957866
2.580,196.166,0.951281
2.590,195.557,0.920097
2.600,195.540,0.911879
2.610,196.179,0.931675
2.620,196.592,0.945211
2.630,196.251,0.947172
2.640,195.824,0.923966
2.650,195.707,0.918339
2.660,195.884,0.927725
2.670,195.991,0.929648
2.680,196.035,0.937396
2.690,196.216,0.942601
2.700,196.349,0.949314
2.710,196.185,0.946602
2.720,196.102,0.942957
2.730,196.055,0.939773
2.740,196.193,0.942860
2.750,196.389,0.948977
2.760,196.286,0.944214
2.770,196.272,0.942083
2.780,196.146,0.939183
2.790,196.149,0.938167
2.800,196.230,0.940019
2.810,196.347,0.941414
2.820,196.211,0.932097
2.830,196.243,0.926272
2.840,196.011,0.909351
2.850,196.078,0.907937
2.860,196.225,0.911373
2.870,196.141,0.902342
2.880,195.937,0.886353
2.890,196.003,0.889214
2.900,196.020,0.888086
2.910,196.305,0.900509
2.920,196.239,0.911187
2.930,196.000,0.910812
2.940,196.038,0.912300
2.950,195.973,0.911868
2.960,196.063,0.925766
2.970,196.136,0.926629
2.980,196.195,0.930588
2.990,196.004,0.911525
3.000,196.048,0.918094
3.010,196.174,0.931962
3.020,195.933,0.929804
3.030,195.835,0.919537
3.040,196.005,0.924690
3.050,196.030,0.926824
3.060,195.891,0.917699
3.070,195.975,0.923168
3.080,195.984,0.928401
3.090,196.054,0.933412
3.100,195.876,0.926434
3.110,195.784,0.916710
3.120,196.009,0.928922
3.130,196.177,0.938130
3.140,195.996,0.936539
3.150,195.941,0.923764
3.160,196.066,0.923917
3.170,196.026,0.923742
3.180,195.969,0.925150
3.190,196.052,0.931778
3.200,196.085,0.921469
3.210,196.258,0.926079
3.220,196.227,0.927476
3.230,196.000,0.925837
3.240,196.133,0.925073
3.250,196.298,0.936185
3.260,196.395,0.930521
3.270,196.241,0.931357
3.280,196.030,0.920381
3.290,196.104,0.932103
3.300,196.369,0.936796
3.310,196.294,0.932475
3.320,196.313,0.903900
3.330,196.264,0.914221
3.340,196.311,0.886879
3.350,196.315,0.905014
3.360,196.333,0.904759
3.370,196.293,0.903403
3.380,196.588,0.892795
3.390,196.318,0.899256
3.400,196.292,0.870294
3.410,196.356,0.898162
3.420,196.478,0.859053
3.430,196.533,0.890674
3.440,196.380,0.868067
3.450,196.170,0.860547
3.460,196.477,0.860459
3.470,196.598,0.880034
3.480,196.521,0.872765
3.490,196.482,0.886852
3.500,196.509,0.867440
3.510,196.352,0.856362
3.520,196.286,0.865953
3.530,196.295,0.867150
3.540,196.424,0.848301
3.550,196.297,0.870803
3.560,196.229,0.858135
3.570,196.225,0.881048
3.580,196.532,0.879994
3.590,196.678,0.872856
3.600,196.492,0.880189
3.610,196.188,0.881081
3.620,196.147,0.860458
3.630,196.298,0.871650
3.640,196.478,0.866009
3.650,196.307,0.872016
3.660,196.337,0.860413
3.670,196.459,0.848595
3.680,196.294,0.867895
3.690,196.144,0.846199
3.700,196.308,0.865834
3.710,196.476,0.845971
3.720,196.548,0.834652
3.730,196.203,0.873327
3.740,196.076,0.865035
3.750,196.281,0.869769
3.760,196.345,0.861621
3.770,196.277,0.885386
3.780,196.165,0.896712
3.790,196.185,0.900740
3.800,196.303,0.901129
3.810,196.271,0.896652
3.820,196.151,0.899218
3.830,196.258,0.911053
3.840,196.233,0.910941
3.850,196.190,0.914626
3.860,196.228,0.910463
3.870,196.161,0.912047
3.880,196.221,0.915319
3.890,196.190,0.917018
3.900,196.231,0.918711
3.910,196.374,0.924256
3.920,196.305,0.915663
3.930,196.393,0.920582
3.940,196.229,0.919545
3.950,196.304,0.917863
3.960,196.363,0.912352
3.970,196.552,0.915180
3.980,196.316,0.915621
3.990,196.290,0.918155
4.000,196.309,0.913393
4.010,196.440,0.892210
4.020,196.509,0.889199
4.030,196.439,0.889253
4.040,196.315,0.875625
4.050,196.680,0.887325
4.060,196.666,0.898645
4.070,196.608,0.888081
4.080,196.521,0.872287
4.090,196.747,0.879624
4.100,196.822,0.866038
4.110,196.686,0.862918
4.120,196.471,0.883105
4.130,196.594,0.889223
4.140,196.614,0.911657
4.150,196.581,0.916386
4.160,196.490,0.919350
4.170,196.518,0.914883
4.180,196.605,0.927456
4.190,196.503,0.926552
4.200,196.330,0.929627
4.210,196.358,0.921296
4.220,196.570,0.930425
4.230,196.634,0.931475
4.240,196.502,0.934604
4.250,196.299,0.929623
4.260,196.376,0.938535
4.270,196.601,0.937045
4.280,196.444,0.939013
4.290,196.361,0.935459
4.300,196.277,0.941154
4.310,196.293,0.940273
4.320,196.340,0.940832
4.330,196.305,0.935348
4.340,196.247,0.935138
4.350,196.399,0.941425
4.360,196.200,0.936882
4.370,196.122,0.933022
4.380,196.139,0.929703
4.390,196.330,0.938335
4.400,196.378,0.944438
4.410,195.976,0.930045
4.420,195.923,0.926290
4.430,196.224,0.936424
4.440,196.414,0.936917
4.450,196.266,0.941687
4.460,195.918,0.923125
4.470,195.927,0.911906
4.480,196.209,0.903688
4.490,196.231,0.913168
4.500,196.284,0.915360
4.510,196.063,0.904847
4.520,196.206,0.907160
4.530,196.184,0.919730
4.540,196.450,0.919834
4.550,196.314,0.926470
4.560,196.347,0.928021
4.570,196.077,0.914861
4.580,196.282,0.921296
4.590,196.217,0.908511
4.600,196.493,0.888979
4.610,196.333,0.866479
4.620,196.331,0.897512
4.630,196.083,0.908297
4.640,196.378,0.912332
4.650,196.336,0.901461
4.660,196.413,0.907563
4.670,196.256,0.911501
4.680,196.519,0.916065
4.690,196.320,0.899771
4.700,196.574,0.901639
4.710,196.333,0.909533
4.720,196.479,0.896792
4.730,196.446,0.898969
4.740,196.505,0.908223
4.750,196.467,0.916647
4.760,196.509,0.908909
4.770,196.407,0.899418
4.780,196.480,0.892209
4.790,196.487,0.915203
4.800,196.685,0.917254
4.810,196.526,0.907471
4.820,196.305,0.883896
4.830,196.329,0.898686
4.840,196.486,0.909231
4.850,196.504,0.917139
4.860,196.442,0.907734
4.870,196.354,0.917044
4.880,196.291,0.910178
4.890,196.501,0.907094
4.900,196.404,0.898401
4.910,196.371,0.908188
4.920,196.095,0.908051
4.930,196.219,0.904561
4.940,196.095,0.878173
4.950,196.316,0.897073
4.960,196.184,0.897947
4.970,196.291,0.901236
4.980,195.935,0.888531
4.990,196.118,0.876519
5.000,196.232,0.876577
5.010,196.337,0.881972
5.020,195.923,0.881443
5.030,195.927,0.854440
5.040,195.894,0.846154
5.050,196.194,0.844873
5.060,195.819,0.848063
5.070,196.020,0.791974
5.080,195.674,0.810606
5.090,195.809,0.757697
5.100,195.878,0.774730
5.110,196.195,0.730581
5.120,195.323,0.788287
5.130,195.242,0.779981
5.140,195.647,0.780246
5.150,196.372,0.787655
5.160,195.930,0.826077
5.170,195.483,0.840798
5.180,195.831,0.858038
5.190,196.542,0.825911
5.200,196.051,0.845390
5.210,195.674,0.818563
5.220,195.733,0.838834
5.230,196.394,0.861450
5.240,195.969,0.866716
5.250,195.804,0.844637
5.260,195.727,0.861291
5.270,196.498,0.882295
5.280,196.349,0.888420
5.290,195.957,0.863899
5.300,195.671,0.858080
5.310,196.209,0.850998
5.320,196.486,0.879625
5.330,196.217,0.866048
5.340,195.792,0.863310
5.350,196.499,0.884112
5.360,196.578,0.884264
5.370,196.544,0.891371
5.380,196.044,0.878026
5.390,196.428,0.894431
5.400,196.783,0.895275
5.410,196.395,0.886913
5.420,195.893,0.862890
5.430,196.305,0.878670
5.440,196.637,0.892273
5.450,196.476,0.891265
5.460,195.525,0.835105
5.470,194.252,0.763603
5.480,191.091,0.454870
5.490,193.038,0.598617
5.500,195.289,0.781442
5.510,195.299,0.871156
5.520,195.955,0.830210
5.530,195.688,0.803042
5.540,194.848,0.858550
5.550,194.322,0.784248
5.560,193.284,0.643160
5.570,193.328,0.691540
5.580,194.710,0.840746
5.590,194.816,0.923377
5.600,195.433,0.936372
5.610,196.017,0.943001
5.620,196.118,0.947910
5.630,196.219,0.948189
5.640,196.364,0.951239
5.650,196.584,0.953040
5.660,196.682,0.959131
5.670,196.295,0.957705
5.680,195.991,0.939216
5.690,195.283,0.879850
5.700,193.699,0.510798
5.710,182.379,0.519003
5.720,180.809,0.658275
5.730,182.362,0.792868
5.740,183.394,0.853927
5.750,184.336,0.846541
5.760,184.538,0.877861
5.770,184.434,0.911130
5.780,184.137,0.910542
5.790,183.459,0.915042
5.800,182.429,0.852373
5.810,181.323,0.848325
5.820,181.085,0.850159
5.830,180.594,0.798386
5.840,180.293,0.681183
5.850,178.539,0.540931
5.860,173.370,0.489125
5.870,155.006,0.243548
5.880,154.155,0.196785
5.890,155.516,0.543353
5.900,156.294,0.742697
5.910,157.148,0.745548
5.920,157.709,0.864633
5.930,157.644,0.917598
5.940,157.476,0.893528
5.950,157.370,0.900932
5.960,157.424,0.887754
5.970,157.446,0.871930
5.980,158.115,0.849399
5.990,158.372,0.882256
6.000,157.853,0.840662
6.010,156.755,0.738458
6.020,156.838,0.553041
6.030,147.704,0.538758
6.040,145.531,0.732209
6.050,145.874,0.854844
6.060,146.102,0.896192
6.070,146.563,0.923217
6.080,146.914,0.954915
6.090,147.127,0.968908
6.100,147.154,0.968042
6.110,147.119,0.967218
6.120,147.180,0.968458
6.130,147.262,0.966922
6.140,147.258,0.965778
6.150,147.195,0.966279
6.160,147.306,0.969141
6.170,147.219,0.966524
6.180,147.113,0.967196
6.190,147.135,0.967876
6.200,147.361,0.959908
6.210,147.642,0.902218
6.220,148.439,0.726247
6.230,151.331,0.338184
6.240,156.014,0.395590
6.250,156.628,0.549410
6.260,157.261,0.583255
6.270,155.871,0.733073
6.280,156.074,0.862732
6.290,155.978,0.887667
6.300,156.131,0.882048
6.310,156.902,0.825296
6.320,157.082,0.820920
6.330,157.217,0.887897
6.340,157.230,0.833321
6.350,157.857,0.850126
6.360,158.286,0.835782
6.370,156.725,0.801764
6.380,156.478,0.867480
6.390,156.152,0.845465
6.400,155.256,0.774696
6.410,152.499,0.620222
6.420,148.854,0.718617
6.430,147.399,0.880041
6.440,146.960,0.907927
6.450,146.941,0.938730
6.460,147.130,0.953723
6.470,147.159,0.952749
6.480,147.247,0.958150
6.490,147.401,0.952308
6.500,147.629,0.945144
6.510,148.063,0.905580
6.520,147.714,0.908299
6.530,147.317,0.870280
6.540,147.522,0.873209
6.550,147.767,0.824011
6.560,148.141,0.768262
6.570,147.942,0.814834
6.580,147.733,0.883583
6.590,147.558,0.901966
6.600,147.229,0.909681
6.610,147.346,0.898598
6.620,147.410,0.887165
6.630,147.466,0.894173
6.640,147.550,0.868874
6.650,147.645,0.876841
6.660,147.486,0.914063
6.670,147.413,0.911156
6.680,146.955,0.930419
6.690,146.937,0.939367
6.700,146.800,0.945812
6.710,146.876,0.953996
6.720,146.955,0.956117
6.730,147.057,0.957882
6.740,147.066,0.956548
6.750,147.123,0.958867
6.760,147.223,0.957824
6.770,147.237,0.955193
6.780,147.274,0.955998
6.790,147.266,0.958402
6.800,147.322,0.958963
6.810,147.165,0.956478
6.820,147.269,0.951652
6.830,147.390,0.955345
6.840,147.262,0.946562
6.850,147.347,0.945856
6.860,147.271,0.942349
6.870,147.158,0.941311
6.880,147.045,0.942949
6.890,147.221,0.936321
6.900,147.162,0.947139
6.910,147.137,0.945912
6.920,147.005,0.939788
6.930,147.131,0.937752
6.940,147.078,0.941685
6.950,147.097,0.941921
6.960,146.949,0.940228
6.970,147.016,0.937835
6.980,147.018,0.945175
6.990,146.917,0.933433
7.000,147.021,0.939075
7.010,147.054,0.940350
7.020,146.990,0.949893
7.030,147.105,0.944150
7.040,147.083,0.951411
7.050,147.072,0.943842
7.060,146.980,0.952547
7.070,147.115,0.948870
7.080,147.247,0.948241
7.090,147.183,0.947845
7.100,147.150,0.949127
7.110,147.280,0.947451
7.120,147.139,0.952606
7.130,147.416,0.950682
7.140,147.237,0.950181
7.150,147.385,0.938694
7.160,147.177,0.942290
7.170,147.268,0.936619
7.180,147.285,0.924618
7.190,147.355,0.928574
7.200,147.059,0.931291
7.210,147.342,0.910421
7.220,147.085,0.913292
7.230,147.339,0.925807
7.240,147.120,0.908305
7.250,147.200,0.925253
7.260,147.009,0.923346
7.270,147.185,0.919568
7.280,147.250,0.930057
7.290,147.439,0.914469
7.300,147.247,0.916680
7.310,147.326,0.898981
7.320,147.202,0.844837
7.330,147.317,0.881535
7.340,147.181,0.853437
7.350,147.268,0.854511
7.360,147.276,0.849526
7.370,147.189,0.848536
7.380,147.198,0.852453
7.390,147.273,0.888045
7.400,147.247,0.836638
7.410,147.216,0.801696
7.420,147.235,0.793004
7.430,147.327,0.632168
7.440,147.238,0.736300
7.450,146.914,0.608336
7.460,146.873,0.636622
7.470,146.717,0.644366
7.480,146.874,0.779476
7.490,146.721,0.861302
7.500,146.820,0.864886
7.510,146.801,0.894073
7.520,146.850,0.873490
7.530,146.800,0.895768
7.540,147.147,0.903798
7.550,147.051,0.910603
7.560,147.169,0.914244
7.570,147.131,0.936374
7.580,147.200,0.926501
7.590,147.115,0.948894
7.600,147.143,0.938892
7.610,147.024,0.939654
7.620,147.151,0.939106
7.630,147.232,0.938335
