time,frequency,confidence
0.000,261.101,0.528748
0.010,262.155,0.593794
0.020,258.990,0.762440
0.030,258.997,0.656597
0.040,263.752,0.101424
0.050,271.775,0.432613
0.060,279.883,0.182221
0.070,285.373,0.181135
0.080,288.975,0.338294
0.090,291.667,0.540007
0.100,291.097,0.637501
0.110,297.516,0.737360
0.120,302.023,0.922416
0.130,302.931,0.922750
0.140,302.603,0.934401
0.150,302.315,0.952671
0.160,302.180,0.952657
0.170,302.399,0.945817
0.180,303.162,0.924797
0.190,304.196,0.961303
0.200,304.881,0.968883
0.210,305.579,0.964534
0.220,306.112,0.958848
0.230,306.275,0.967879
0.240,305.654,0.968345
0.250,302.350,0.898682
0.260,293.132,0.872473
0.270,290.936,0.944353
0.280,291.861,0.955911
0.290,293.007,0.937800
0.300,293.319,0.935223
0.310,293.018,0.929646
0.320,292.802,0.937461
0.330,292.706,0.933136
0.340,292.730,0.927786
0.350,292.596,0.906036
0.360,293.190,0.807307
0.370,296.591,0.767165
0.380,300.503,0.895238
0.390,298.868,0.940735
0.400,296.298,0.841542
0.410,295.421,0.742562
0.420,296.060,0.385050
0.430,263.350,0.652843
0.440,262.736,0.842321
0.450,262.047,0.913017
0.460,261.329,0.927593
0.470,261.227,0.928611
0.480,261.477,0.937011
0.490,261.610,0.937313
0.500,261.780,0.937322
0.510,262.126,0.860444
0.520,265.839,0.697689
0.530,268.756,0.596544
0.540,272.160,0.357395
0.550,268.489,0.440138
0.560,265.795,0.326898
0.570,269.046,0.707311
0.580,273.921,0.862942
0.590,275.866,0.922842
0.600,278.794,0.872962
0.610,280.328,0.801281
0.620,280.232,0.805579
0.630,278.815,0.749185
0.640,271.062,0.664495
0.650,260.882,0.218568
0.660,261.307,0.833187
0.670,261.472,0.923666
0.680,261.910,0.942905
0.690,261.753,0.943665
0.700,261.200,0.935429
0.710,261.035,0.934070
0.720,261.829,0.949242
0.730,261.745,0.948346
0.740,261.494,0.951876
0.750,261.574,0.960159
0.760,261.425,0.958701
0.770,261.137,0.951773
0.780,261.000,0.948264
0.790,260.860,0.943273
0.800,260.785,0.942589
0.810,261.212,0.947986
0.820,261.258,0.954760
0.830,261.189,0.950656
0.840,260.965,0.940082
0.850,260.958,0.945261
0.860,260.798,0.937348
0.870,260.825,0.941630
0.880,260.899,0.944136
0.890,261.152,0.949093
0.900,261.338,0.960190
0.910,261.626,0.961535
0.920,261.622,0.956449
0.930,261.801,0.961141
0.940,261.895,0.958206
0.950,261.945,0.960376
0.960,261.794,0.952968
0.970,261.363,0.950654
0.980,261.249,0.947630
0.990,261.402,0.952690
1.000,261.150,0.944851
1.010,261.190,0.945605
1.020,260.904,0.932258
1.030,260.736,0.938900
1.040,260.784,0.935732
1.050,261.100,0.937429
1.060,261.202,0.938530
1.070,261.008,0.924295
1.080,261.109,0.924794
1.090,261.247,0.920549
1.100,261.538,0.929068
1.110,261.328,0.933930
1.120,261.473,0.941997
1.130,261.416,0.954619
1.140,261.230,0.951604
1.150,261.370,0.956355
1.160,261.495,0.958111
1.170,261.607,0.961666
1.180,261.739,0.966012
1.190,262.454,0.964534
1.200,264.566,0.934119
1.210,265.466,0.952982
1.220,266.552,0.829151
1.230,265.598,0.594877
1.240,266.289,0.423583
1.250,268.849,0.323333
1.260,266.569,0.760870
1.270,262.001,0.699094
1.280,260.012,0.642265
1.290,259.214,0.432776
1.300,252.941,0.437153
1.310,249.452,0.379347
1.320,251.055,0.589209
1.330,248.817,0.604928
1.340,246.992,0.728554
1.350,247.011,0.867142
1.360,246.514,0.916304
1.370,245.708,0.961842
1.380,245.219,0.967992
1.390,245.838,0.960188
1.400,245.963,0.958474
1.410,245.455,0.960909
1.420,245.214,0.948065
1.430,245.766,0.933252
1.440,248.073,0.764955
1.450,255.836,0.615388
1.460,258.785,0.707341
1.470,260.964,0.807111
1.480,259.509,0.801246
1.490,259.975,0.836478
1.500,259.029,0.897229
1.510,259.315,0.913896
1.520,260.067,0.912002
1.530,260.236,0.912628
1.540,260.598,0.922142
1.550,260.517,0.943077
1.560,260.234,0.944976
1.570,260.506,0.939649
1.580,260.914,0.933721
1.590,261.120,0.932773
1.600,260.812,0.918210
1.610,260.424,0.939223
1.620,260.167,0.953219
1.630,260.349,0.941956
1.640,260.909,0.928463
1.650,260.843,0.923072
1.660,260.541,0.929915
1.670,260.289,0.944396
1.680,260.578,0.941197
1.690,261.224,0.949801
1.700,261.347,0.940193
1.710,260.976,0.906200
1.720,260.286,0.932886
