time,frequency,confidence
0.000,32.260,0.048784
0.010,32.233,0.012222
0.020,32.372,0.029032
0.030,32.280,0.031746
0.040,32.523,0.048624
0.050,32.139,0.267593
0.060,32.258,0.454740
0.070,32.182,0.138813
0.080,32.264,0.016456
0.090,32.177,0.001821
0.100,32.113,0.005195
0.110,32.387,0.015398
0.120,33.453,0.091287
0.130,35.243,0.043180
0.140,35.549,0.050488
0.150,32.332,0.030514
0.160,32.567,0.073757
0.170,32.511,0.047790
0.180,32.472,0.055359
0.190,32.422,0.102182
0.200,32.498,0.139610
0.210,32.509,0.060258
0.220,32.523,0.049158
0.230,32.482,0.089807
0.240,32.418,0.049015
0.250,32.435,0.079096
0.260,32.313,0.031404
0.270,32.390,0.004039
0.280,32.279,0.005496
0.290,32.149,0.025452
0.300,32.250,0.018675
0.310,32.383,0.062025
0.320,32.352,0.043980
0.330,32.221,0.105711
0.340,32.127,0.042457
0.350,32.326,0.024448
0.360,32.682,0.117740
0.370,32.489,0.248570
0.380,32.719,0.053623
0.390,32.354,0.046731
0.400,32.285,0.161466
0.410,32.208,0.107585
0.420,32.216,0.168611
0.430,32.317,0.105267
0.440,32.347,0.178508
0.450,32.545,0.255833
0.460,32.560,0.139875
0.470,36.080,0.477026
0.480,41.889,0.523804
0.490,46.435,0.644608
0.500,53.033,0.662492
0.510,57.194,0.832764
0.520,65.620,0.818280
0.530,74.954,0.677246
0.540,82.019,0.719001
0.550,96.444,0.616958
0.560,102.438,0.809738
0.570,113.185,0.859516
0.580,132.064,0.773066
0.590,150.230,0.721128
0.600,165.279,0.747267
0.610,191.755,0.805994
0.620,200.594,0.538898
0.630,235.889,0.261131
0.640,262.911,0.756329
0.650,261.770,0.886094
0.660,260.706,0.910471
0.670,259.551,0.930044
0.680,258.699,0.922719
0.690,257.798,0.936781
0.700,257.542,0.959076
0.710,256.903,0.966539
0.720,256.299,0.947175
0.730,256.904,0.883501
0.740,257.881,0.695956
0.750,258.660,0.636178
0.760,258.393,0.540505
0.770,258.390,0.686989
0.780,258.573,0.608627
0.790,258.996,0.676486
0.800,257.595,0.753151
0.810,257.327,0.819572
0.820,256.967,0.887913
0.830,256.895,0.912251
0.840,257.410,0.893724
0.850,258.117,0.848963
0.860,259.053,0.782052
0.870,259.252,0.822012
0.880,259.281,0.879098
0.890,259.350,0.917611
0.900,259.352,0.925195
0.910,259.046,0.940316
0.920,258.643,0.932339
0.930,258.700,0.920481
0.940,258.609,0.922435
0.950,258.547,0.906133
0.960,258.304,0.900538
0.970,258.047,0.902409
0.980,257.514,0.939964
0.990,257.489,0.951104
1.000,257.677,0.939465
1.010,257.997,0.942513
1.020,257.966,0.944621
1.030,257.934,0.941827
1.040,258.083,0.937099
1.050,258.345,0.934364
1.060,258.851,0.942431
1.070,258.945,0.932763
1.080,259.171,0.921303
1.090,259.659,0.916606
1.100,260.047,0.932618
1.110,260.060,0.927088
1.120,260.065,0.940832
1.130,259.734,0.953011
1.140,259.503,0.951892
1.150,259.364,0.955313
1.160,258.869,0.955556
1.170,258.197,0.939260
1.180,257.800,0.960959
1.190,257.695,0.962663
1.200,257.469,0.967891
1.210,257.265,0.972878
1.220,257.277,0.962714
1.230,257.377,0.963379
