time,frequency,confidence
0.000,588.007,0.065258
0.010,604.083,0.067193
0.020,604.167,0.056875
0.030,625.505,0.071909
0.040,639.927,0.061244
0.050,647.405,0.099735
0.060,652.236,0.084319
0.070,669.251,0.044862
0.080,680.759,0.067071
0.090,695.034,0.069037
0.100,709.946,0.069315
0.110,716.827,0.063467
0.120,679.767,0.055044
0.130,644.452,0.080479
0.140,646.592,0.089184
0.150,651.859,0.051874
0.160,657.031,0.085187
0.170,658.657,0.048646
0.180,665.792,0.186229
0.190,669.927,0.066782
0.200,677.550,0.038071
0.210,670.438,0.018033
0.220,659.289,0.007498
0.230,662.526,0.008753
0.240,659.924,0.016292
0.250,662.372,0.010556
0.260,662.610,0.040819
0.270,663.636,0.057738
0.280,660.178,0.040829
0.290,659.147,0.020579
0.300,667.700,0.222103
0.310,671.877,0.124873
0.320,665.741,0.090657
0.330,658.131,0.003094
0.340,664.220,0.119368
0.350,660.534,0.102045
0.360,657.580,0.076346
0.370,656.972,0.093479
0.380,675.126,0.066347
0.390,699.835,0.077596
0.400,720.427,0.069549
0.410,752.936,0.082587
0.420,784.457,0.047382
0.430,788.449,0.322702
0.440,784.984,0.800655
0.450,783.723,0.877104
0.460,782.089,0.913198
0.470,781.503,0.934308
0.480,782.767,0.949184
0.490,785.054,0.954263
0.500,786.681,0.946415
0.510,787.480,0.940242
0.520,787.408,0.936203
0.530,787.017,0.945521
0.540,786.129,0.951967
0.550,785.168,0.957710
0.560,785.111,0.953258
0.570,787.551,0.931507
0.580,791.062,0.891294
0.590,790.517,0.910197
0.600,788.003,0.949854
0.610,787.253,0.955410
0.620,787.940,0.947025
0.630,787.552,0.945847
0.640,787.348,0.933292
0.650,785.035,0.924906
0.660,783.805,0.922698
0.670,784.127,0.942659
0.680,783.320,0.936157
0.690,782.966,0.932878
0.700,784.452,0.932148
0.710,786.383,0.932462
0.720,785.760,0.926759
0.730,785.314,0.923588
0.740,785.034,0.929637
0.750,785.662,0.919483
0.760,784.353,0.913456
0.770,787.721,0.814709
0.780,789.120,0.646428
0.790,788.194,0.460761
0.800,786.045,0.550401
0.810,785.540,0.789752
0.820,786.002,0.836712
0.830,789.545,0.666080
0.840,789.139,0.144729
0.850,783.741,0.106299
0.860,783.566,0.103500
0.870,788.075,0.308038
0.880,786.741,0.482824
0.890,789.219,0.706498
0.900,754.794,0.119003
0.910,692.212,0.109833
0.920,656.998,0.090373
0.930,624.655,0.103828
0.940,658.726,0.117983
0.950,658.262,0.088310
0.960,728.368,0.141356
0.970,838.128,0.133202
0.980,954.223,0.096204
0.990,1035.961,0.101885
1.000,1057.899,0.183415
1.010,1061.607,0.451725
1.020,1057.356,0.658905
1.030,1052.983,0.825261
1.040,1050.138,0.884606
1.050,1047.074,0.939234
1.060,1045.676,0.946506
1.070,1045.476,0.957244
1.080,1046.098,0.962432
1.090,1047.338,0.962966
1.100,1048.411,0.961953
1.110,1048.148,0.963689
1.120,1046.786,0.965395
1.130,1044.229,0.957350
1.140,1039.668,0.942785
1.150,1035.602,0.901281
1.160,1040.008,0.831574
1.170,1042.100,0.802681
1.180,1042.734,0.732084
1.190,972.378,0.586866
1.200,1028.113,0.625082
1.210,1034.596,0.846465
1.220,1042.100,0.929100
1.230,1043.636,0.954601
1.240,1043.017,0.958272
1.250,1043.674,0.962074
1.260,1045.498,0.962770
1.270,1046.666,0.964309
1.280,1047.146,0.963105
1.290,1047.711,0.960714
1.300,1047.041,0.960805
1.310,1045.612,0.961181
1.320,1043.351,0.955238
1.330,1041.984,0.947846
1.340,1042.450,0.950341
1.350,1042.363,0.954926
1.360,1042.188,0.955539
1.370,1041.940,0.949286
1.380,1042.688,0.949239
1.390,1043.771,0.955940
1.400,1045.522,0.962209
1.410,1049.047,0.951386
1.420,1053.391,0.923081
1.430,1055.953,0.896974
1.440,1059.197,0.904898
1.450,1060.278,0.903227
1.460,1060.493,0.916426
1.470,1056.555,0.896263
1.480,1048.211,0.928207
1.490,1043.049,0.935052
1.500,1039.500,0.934956
1.510,1037.157,0.945825
1.520,1036.604,0.953814
1.530,1036.818,0.955414
1.540,1035.859,0.951782
1.550,1036.079,0.943831
1.560,1037.074,0.944342
1.570,1037.689,0.948618
1.580,1039.879,0.948675
1.590,1043.332,0.946179
1.600,1047.330,0.951092
1.610,1052.221,0.928351
1.620,1056.400,0.889165
1.630,1059.865,0.896108
1.640,1062.758,0.901031
1.650,1064.394,0.902064
1.660,1065.321,0.891422
1.670,1063.973,0.879410
1.680,1058.292,0.872734
1.690,1048.613,0.911716
1.700,1042.949,0.929515
1.710,1040.518,0.934290
1.720,1037.995,0.941818
1.730,1036.740,0.944593
1.740,1036.392,0.950609
1.750,1035.316,0.949325
1.760,1036.347,0.940597
1.770,1037.895,0.930265
1.780,1037.891,0.942972
1.790,1038.396,0.954785
1.800,1040.011,0.960536
1.810,1042.126,0.946597
1.820,1044.300,0.956310
1.830,1046.702,0.957761
1.840,1050.242,0.946359
1.850,1052.878,0.935914
1.860,1052.946,0.932007
1.870,1052.920,0.930499
1.880,1052.586,0.938857
1.890,1050.834,0.952957
1.900,1048.861,0.955821
1.910,1046.998,0.951658
1.920,1045.254,0.954116
1.930,1043.570,0.956742
1.940,1042.643,0.958730
1.950,1042.360,0.953871
1.960,1042.438,0.949836
1.970,1042.415,0.948025
1.980,1041.909,0.951463
1.990,1042.219,0.952380
2.000,1043.471,0.961430
2.010,1044.859,0.965622
2.020,1046.589,0.962183
2.030,1049.117,0.951101
2.040,1052.761,0.918503
