time,frequency,confidence
0.000,428.450,0.116078
0.010,431.005,0.069575
0.020,423.475,0.282776
0.030,417.224,0.054268
0.040,397.228,0.113318
0.050,347.947,0.084918
0.060,309.363,0.075447
0.070,305.642,0.102679
0.080,303.030,0.121847
0.090,314.947,0.049777
0.100,342.123,0.051734
0.110,363.003,0.237038
0.120,370.732,0.048082
0.130,349.438,0.108062
0.140,336.574,0.093144
0.150,324.441,0.064769
0.160,319.027,0.050839
0.170,362.246,0.085260
0.180,395.915,0.040601
0.190,358.089,0.079578
0.200,354.620,0.182718
0.210,319.572,0.058183
0.220,319.746,0.056255
0.230,318.025,0.079524
0.240,317.971,0.107590
0.250,305.476,0.071108
0.260,304.775,0.091470
0.270,322.555,0.091713
0.280,315.720,0.121761
0.290,309.482,0.072720
0.300,315.995,0.313309
0.310,334.135,0.026441
0.320,354.855,0.007142
0.330,368.503,0.025374
0.340,388.157,0.029149
0.350,396.206,0.082468
0.360,387.586,0.080570
0.370,379.770,0.066425
0.380,350.821,0.056675
0.390,349.945,0.063365
0.400,352.021,0.063540
0.410,354.060,0.040901
0.420,362.341,0.025408
0.430,397.285,0.066719
0.440,436.852,0.082819
0.450,485.107,0.074082
0.460,533.066,0.130512
0.470,530.658,0.091091
0.480,529.190,0.103743
0.490,537.233,0.093325
0.500,551.190,0.090014
0.510,557.109,0.826368
0.520,566.779,0.427941
0.530,576.874,0.119371
0.540,587.498,0.178711
0.550,587.724,0.066882
0.560,595.758,0.071621
0.570,602.234,0.036336
0.580,614.683,0.542261
0.590,626.212,0.490258
0.600,635.629,0.094473
0.610,635.086,0.033959
0.620,634.290,0.077934
0.630,635.025,0.066237
0.640,627.166,0.015337
0.650,623.170,0.640124
0.660,617.298,0.046872
0.670,606.303,0.078001
0.680,595.720,0.093729
0.690,596.467,0.078835
0.700,608.488,0.107524
0.710,625.912,0.108932
0.720,634.165,0.060388
0.730,636.350,0.092486
0.740,646.122,0.098494
0.750,644.291,0.104945
0.760,597.728,0.117200
0.770,594.855,0.114581
0.780,594.406,0.141660
0.790,594.860,0.107112
0.800,595.062,0.100733
0.810,657.084,0.120907
0.820,660.428,0.152979
0.830,660.362,0.181275
0.840,662.828,0.226680
0.850,660.942,0.206760
0.860,659.181,0.140670
0.870,656.935,0.112500
0.880,595.872,0.065635
0.890,526.583,0.052942
0.900,461.193,0.070658
0.910,406.575,0.039426
0.920,354.987,0.023221
0.930,316.411,0.051354
0.940,278.860,0.287796
0.950,265.530,0.444132
0.960,261.191,0.571091
0.970,261.718,0.775551
0.980,262.531,0.808449
0.990,262.501,0.849797
1.000,263.307,0.874414
1.010,262.960,0.888047
1.020,260.982,0.888121
1.030,259.536,0.921800
1.040,258.761,0.929345
1.050,258.224,0.922368
1.060,257.823,0.933346
1.070,257.868,0.929782
1.080,257.789,0.936275
1.090,257.639,0.941914
1.100,258.498,0.921869
1.110,288.611,0.613123
1.120,313.516,0.257606
1.130,318.596,0.655326
1.140,319.433,0.907591
1.150,319.724,0.957583
1.160,319.573,0.961080
1.170,319.488,0.957564
1.180,319.594,0.950965
1.190,320.057,0.938475
1.200,319.636,0.948353
1.210,319.605,0.943443
1.220,318.493,0.935194
1.230,317.093,0.919459
1.240,315.944,0.949728
1.250,314.436,0.932337
1.260,313.461,0.943376
1.270,312.418,0.950913
1.280,312.390,0.949881
1.290,312.312,0.950205
1.300,312.454,0.953753
1.310,312.797,0.954076
1.320,313.041,0.953087
1.330,313.573,0.939073
1.340,315.117,0.939409
1.350,317.170,0.901996
1.360,319.032,0.925223
1.370,319.653,0.933557
1.380,319.670,0.941538
1.390,318.610,0.931121
1.400,317.930,0.917712
1.410,316.578,0.936331
1.420,315.214,0.941949
1.430,313.193,0.928711
1.440,311.748,0.932079
1.450,310.357,0.931620
1.460,309.815,0.950084
1.470,309.241,0.966645
1.480,309.463,0.965716
1.490,309.994,0.956916
1.500,310.632,0.935215
1.510,311.362,0.943181
1.520,312.248,0.947334
1.530,313.837,0.913681
1.540,314.896,0.937052
1.550,316.341,0.924007
1.560,319.129,0.914714
1.570,320.595,0.897158
1.580,320.975,0.898517
1.590,319.680,0.929757
1.600,318.961,0.924148
1.610,317.246,0.914842
1.620,315.035,0.950739
1.630,313.736,0.939670
1.640,311.721,0.948047
1.650,311.266,0.934862
1.660,310.362,0.942443
1.670,309.694,0.958574
1.680,309.899,0.958993
1.690,310.423,0.944934
1.700,310.949,0.948674
1.710,311.422,0.956566
1.720,311.952,0.961087
