time,frequency,confidence
0.000,188.508,0.328800
0.010,188.760,0.273704
0.020,188.340,0.194833
0.030,189.189,0.099850
0.040,191.263,0.186865
0.050,191.613,0.097172
0.060,190.732,0.106172
0.070,188.863,0.099623
0.080,187.823,0.142097
0.090,188.046,0.099350
0.100,187.483,0.091007
0.110,187.021,0.146967
0.120,187.918,0.163104
0.130,189.098,0.032042
0.140,188.132,0.027067
0.150,187.463,0.064205
0.160,186.742,0.027617
0.170,186.112,0.058968
0.180,186.792,0.045107
0.190,187.452,0.061140
0.200,187.166,0.030907
0.210,187.939,0.079980
0.220,187.819,0.061846
0.230,185.988,0.062120
0.240,187.004,0.204899
0.250,181.087,0.204600
0.260,176.992,0.179530
0.270,175.167,0.399545
0.280,172.853,0.644715
0.290,171.287,0.702940
0.300,169.553,0.819573
0.310,169.651,0.856106
0.320,171.410,0.842253
0.330,173.624,0.894514
0.340,175.743,0.894301
0.350,177.973,0.899143
0.360,179.918,0.911022
0.370,181.548,0.938203
0.380,182.794,0.926449
0.390,183.876,0.945428
0.400,185.048,0.953504
0.410,185.795,0.953107
0.420,186.347,0.928493
0.430,186.953,0.929548
0.440,187.296,0.935819
0.450,187.780,0.938682
0.460,189.190,0.904297
0.470,191.488,0.871944
0.480,194.755,0.877522
0.490,198.126,0.861147
0.500,202.075,0.837763
0.510,206.280,0.901786
0.520,209.952,0.898932
0.530,213.608,0.937839
0.540,217.482,0.933979
0.550,220.672,0.960840
0.560,223.906,0.917970
0.570,228.272,0.898359
0.580,231.543,0.913130
0.590,234.259,0.952433
0.600,236.614,0.940748
0.610,238.802,0.948685
0.620,240.551,0.946303
0.630,240.775,0.960458
0.640,241.161,0.973841
0.650,241.219,0.974933
0.660,241.364,0.975821
0.670,241.782,0.979536
0.680,241.973,0.976996
0.690,242.119,0.977903
0.700,241.928,0.975019
0.710,241.039,0.965357
0.720,240.187,0.947560
0.730,239.559,0.953831
0.740,238.720,0.941540
0.750,238.804,0.940422
0.760,239.408,0.955110
0.770,240.377,0.936653
0.780,241.516,0.968043
0.790,242.634,0.969398
0.800,243.463,0.945483
0.810,244.026,0.938583
0.820,244.661,0.956412
0.830,244.683,0.957116
0.840,244.560,0.955491
0.850,244.621,0.952167
0.860,244.909,0.956245
0.870,244.963,0.958910
0.880,244.950,0.958323
0.890,245.045,0.952572
0.900,245.663,0.941218
0.910,246.486,0.918770
0.920,247.275,0.945086
0.930,248.372,0.940956
0.940,249.433,0.925634
0.950,250.264,0.945494
0.960,250.440,0.946846
0.970,250.278,0.944158
0.980,249.792,0.938561
0.990,249.622,0.932604
1.000,249.609,0.932029
1.010,249.884,0.937662
1.020,250.041,0.941706
1.030,250.305,0.942761
1.040,250.170,0.941879
1.050,250.087,0.939084
1.060,249.775,0.936710
1.070,249.615,0.929523
1.080,249.351,0.921716
1.090,249.181,0.909881
1.100,249.016,0.909910
1.110,249.031,0.909188
1.120,249.165,0.913185
1.130,249.410,0.924128
1.140,249.366,0.924824
1.150,249.226,0.916308
1.160,248.809,0.923549
1.170,248.586,0.931769
1.180,248.444,0.935888
1.190,248.446,0.937289
1.200,248.471,0.933827
1.210,248.505,0.933822
1.220,248.382,0.937756
1.230,248.383,0.936802
1.240,248.481,0.934283
1.250,248.475,0.934805
1.260,248.386,0.934728
1.270,248.195,0.941572
1.280,248.021,0.940307
1.290,247.724,0.947897
1.300,247.400,0.942194
1.310,247.173,0.943997
1.320,247.115,0.944138
1.330,247.189,0.947851
1.340,247.528,0.949195
1.350,247.976,0.948675
1.360,248.461,0.937168
1.370,248.718,0.926791
1.380,249.005,0.916819
1.390,249.210,0.928069
1.400,249.474,0.937509
1.410,249.823,0.945970
1.420,250.260,0.949570
1.430,250.694,0.951336
1.440,250.807,0.947212
1.450,250.737,0.949445
1.460,250.361,0.944214
1.470,249.934,0.943322
1.480,249.438,0.923360
1.490,248.948,0.903823
1.500,248.571,0.915900
