time,frequency,confidence
0.000,285.123,0.052138
0.010,283.746,0.053495
0.020,281.597,0.158904
0.030,278.014,0.037927
0.040,276.365,0.047207
0.050,278.933,0.233696
0.060,280.095,0.027751
0.070,281.506,0.014688
0.080,273.865,0.019447
0.090,269.142,0.040570
0.100,270.877,0.011232
0.110,288.520,0.026069
0.120,294.200,0.061167
0.130,302.627,0.121806
0.140,307.723,0.097841
0.150,317.307,0.072276
0.160,323.050,0.040650
0.170,328.673,0.131314
0.180,332.383,0.144985
0.190,337.213,0.353180
0.200,339.490,0.342465
0.210,341.000,0.398465
0.220,342.661,0.456636
0.230,345.557,0.577237
0.240,348.256,0.708583
0.250,348.817,0.802440
0.260,349.803,0.591582
0.270,349.803,0.339624
0.280,348.789,0.512892
0.290,345.440,0.842829
0.300,345.097,0.931643
0.310,344.865,0.962305
0.320,344.368,0.953515
0.330,344.115,0.902596
0.340,341.336,0.566219
0.350,338.863,0.371944
0.360,341.123,0.718706
0.370,342.835,0.662154
0.380,346.261,0.724931
0.390,349.013,0.884052
0.400,349.800,0.956598
0.410,350.277,0.970291
0.420,350.714,0.974864
0.430,350.690,0.973685
0.440,350.838,0.968760
0.450,350.805,0.955266
0.460,350.708,0.938789
0.470,350.938,0.899010
0.480,349.912,0.785761
0.490,347.578,0.496448
0.500,346.718,0.425199
0.510,346.909,0.469375
0.520,348.729,0.489059
0.530,364.004,0.266332
0.540,391.685,0.322107
0.550,390.948,0.779440
0.560,391.288,0.864045
0.570,392.008,0.910208
0.580,392.165,0.913344
0.590,392.412,0.906071
0.600,392.793,0.901998
0.610,393.010,0.869583
0.620,392.208,0.853995
0.630,390.800,0.780647
0.640,390.390,0.727814
0.650,391.685,0.422500
0.660,399.524,0.264699
0.670,414.550,0.225025
0.680,415.714,0.249255
0.690,415.926,0.321566
0.700,416.985,0.258940
0.710,423.489,0.381189
0.720,425.102,0.398868
0.730,425.759,0.379824
0.740,425.570,0.526799
0.750,425.157,0.644728
0.760,424.118,0.674970
0.770,424.352,0.547646
0.780,424.589,0.650768
0.790,423.475,0.637643
0.800,422.555,0.691473
0.810,422.063,0.458066
0.820,430.147,0.160466
0.830,465.315,0.146206
0.840,475.288,0.441427
0.850,469.253,0.880042
0.860,468.439,0.949132
0.870,466.813,0.960030
0.880,465.532,0.945370
0.890,465.287,0.909646
0.900,464.568,0.770066
0.910,461.222,0.756616
0.920,458.490,0.881990
0.930,459.236,0.932898
0.940,460.457,0.916691
0.950,458.733,0.896722
0.960,458.039,0.910565
0.970,461.537,0.923939
0.980,464.733,0.936527
0.990,468.144,0.962145
1.000,469.505,0.934719
1.010,474.684,0.764470
1.020,479.329,0.804958
1.030,478.736,0.884170
1.040,476.612,0.905106
1.050,474.602,0.901622
1.060,472.308,0.843658
1.070,471.092,0.650110
1.080,471.082,0.740198
1.090,470.392,0.719237
1.100,467.513,0.690182
1.110,467.696,0.865910
1.120,469.648,0.771055
1.130,470.230,0.544314
1.140,468.632,0.560852
1.150,468.312,0.610881
1.160,469.075,0.613307
1.170,470.106,0.596979
1.180,472.137,0.517332
1.190,471.430,0.285724
1.200,474.899,0.457703
1.210,476.026,0.630792
1.220,473.399,0.845946
1.230,471.461,0.883782
1.240,470.363,0.912681
1.250,469.422,0.894121
1.260,469.870,0.820444
1.270,470.423,0.750681
1.280,469.546,0.687433
1.290,468.798,0.726513
1.300,470.617,0.570029
1.310,472.332,0.499110
1.320,466.573,0.446936
1.330,461.426,0.442771
1.340,458.447,0.530752
1.350,462.433,0.628535
1.360,467.890,0.381690
1.370,469.889,0.544452
1.380,472.293,0.510116
1.390,468.596,0.461547
1.400,464.855,0.725135
1.410,466.902,0.596455
1.420,471.238,0.387263
1.430,474.098,0.366548
1.440,472.278,0.289988
1.450,465.894,0.563559
1.460,467.081,0.828136
1.470,471.274,0.896197
1.480,480.157,0.674438
1.490,497.006,0.900047
1.500,499.713,0.942430
1.510,499.410,0.933226
1.520,496.930,0.909388
1.530,490.187,0.744585
1.540,474.869,0.806178
1.550,469.308,0.941989
1.560,467.483,0.954528
1.570,467.880,0.945446
1.580,467.834,0.930609
1.590,467.279,0.926436
1.600,467.012,0.908075
1.610,467.584,0.924871
1.620,468.982,0.928489
1.630,470.184,0.885760
1.640,471.018,0.642510
1.650,472.432,0.515701
1.660,474.029,0.361265
1.670,478.864,0.139204
1.680,431.025,0.612157
1.690,431.010,0.873974
1.700,431.440,0.926035
1.710,432.379,0.917446
1.720,435.920,0.851568
1.730,442.889,0.372773
1.740,492.382,0.702652
1.750,494.721,0.858207
1.760,493.423,0.798315
1.770,494.066,0.578454
1.780,447.024,0.722972
1.790,430.760,0.902008
1.800,431.335,0.921637
1.810,431.852,0.917173
1.820,431.959,0.905650
1.830,431.780,0.904722
1.840,431.934,0.921434
1.850,432.774,0.909078
1.860,434.617,0.884343
1.870,437.504,0.810882
1.880,438.130,0.583458
1.890,438.242,0.462131
1.900,438.038,0.312483
1.910,434.079,0.270727
1.920,432.502,0.492549
1.930,427.279,0.685582
1.940,405.538,0.415888
1.950,394.025,0.659234
1.960,392.557,0.592471
1.970,392.061,0.776851
1.980,392.190,0.835289
1.990,392.148,0.851319
2.000,392.417,0.786282
2.010,392.437,0.719877
2.020,391.932,0.613726
2.030,391.881,0.625061
2.040,392.261,0.762824
2.050,394.151,0.769216
2.060,401.607,0.496726
2.070,417.775,0.671195
2.080,421.827,0.726999
2.090,423.856,0.707789
2.100,424.955,0.716950
2.110,425.837,0.813245
2.120,426.365,0.908193
2.130,425.453,0.913721
2.140,424.822,0.896951
2.150,424.302,0.873862
2.160,423.691,0.886347
2.170,423.840,0.883464
2.180,423.829,0.864626
2.190,422.939,0.851098
2.200,423.282,0.755617
2.210,425.747,0.675031
2.220,454.147,0.496026
2.230,520.913,0.171378
2.240,555.989,0.552162
2.250,591.589,0.713584
2.260,671.443,0.767909
2.270,748.197,0.773561
2.280,781.112,0.748257
2.290,780.359,0.905408
2.300,779.678,0.931075
2.310,779.542,0.925184
2.320,779.346,0.922764
2.330,779.146,0.891013
2.340,774.493,0.647855
2.350,762.649,0.149745
2.360,765.560,0.226511
2.370,767.061,0.192229
2.380,766.319,0.190080
2.390,781.303,0.217564
2.400,837.788,0.396389
2.410,862.851,0.452122
2.420,866.504,0.561285
2.430,865.040,0.599289
2.440,865.211,0.592630
2.450,867.735,0.642671
2.460,870.378,0.656935
2.470,787.952,0.632012
2.480,787.997,0.687961
2.490,786.004,0.292834
2.500,722.302,0.481218
2.510,657.198,0.601713
2.520,631.766,0.601208
2.530,578.366,0.212739
2.540,514.883,0.447208
2.550,473.535,0.433712
2.560,469.631,0.746480
2.570,467.837,0.875575
2.580,465.036,0.861984
2.590,460.802,0.783565
2.600,456.915,0.814444
2.610,460.241,0.851992
2.620,461.593,0.919564
2.630,462.795,0.928288
2.640,465.935,0.909730
2.650,470.217,0.929759
2.660,474.050,0.915950
2.670,480.237,0.860370
2.680,487.453,0.794890
2.690,488.524,0.810999
2.700,487.207,0.847960
2.710,486.320,0.873258
2.720,484.910,0.907879
2.730,482.883,0.923923
2.740,480.015,0.928968
2.750,476.311,0.896723
2.760,470.339,0.880111
2.770,464.800,0.857076
2.780,462.369,0.825351
2.790,460.301,0.773135
2.800,456.835,0.836454
2.810,458.763,0.900873
2.820,460.394,0.910004
2.830,462.334,0.930189
2.840,465.648,0.926141
2.850,468.506,0.958348
2.860,471.149,0.910903
2.870,474.117,0.859167
2.880,482.401,0.716177
2.890,484.991,0.826609
2.900,481.314,0.889332
2.910,479.867,0.935510
2.920,478.299,0.933080
2.930,475.602,0.894281
2.940,473.157,0.929670
2.950,470.648,0.908749
2.960,467.824,0.930635
2.970,465.951,0.898984
2.980,464.171,0.794658
2.990,462.347,0.767925
3.000,460.984,0.768100
3.010,461.230,0.849801
3.020,462.593,0.899983
3.030,465.385,0.890433
3.040,468.172,0.953621
3.050,470.521,0.938118
3.060,472.501,0.936833
3.070,473.835,0.917070
3.080,474.681,0.885649
3.090,473.509,0.911955
3.100,472.081,0.930757
3.110,470.781,0.926447
3.120,469.648,0.947915
3.130,468.446,0.953785
3.140,467.428,0.952265
3.150,466.559,0.932100
3.160,465.374,0.880375
3.170,463.106,0.837996
3.180,461.943,0.886772
3.190,463.466,0.914378
3.200,466.977,0.923620
3.210,470.853,0.896120
3.220,473.515,0.622994
3.230,512.365,0.646474
3.240,520.826,0.834712
3.250,524.039,0.913270
3.260,524.411,0.934318
3.270,524.153,0.930671
3.280,524.373,0.937003
3.290,524.860,0.933730
3.300,525.809,0.935677
3.310,526.120,0.887297
3.320,524.583,0.821744
3.330,524.620,0.605826
3.340,491.657,0.537790
3.350,431.282,0.144487
3.360,428.628,0.676928
3.370,430.097,0.864579
3.380,432.227,0.840774
3.390,435.072,0.414471
3.400,487.413,0.168571
3.410,523.302,0.246281
3.420,524.411,0.648826
3.430,524.045,0.702139
3.440,522.508,0.504977
3.450,518.801,0.231008
3.460,476.266,0.324657
3.470,425.003,0.310727
3.480,423.664,0.495992
3.490,426.118,0.836759
3.500,427.258,0.906053
3.510,427.316,0.910224
3.520,427.374,0.884411
3.530,428.058,0.722424
3.540,461.110,0.247622
3.550,464.328,0.812907
3.560,466.492,0.919532
3.570,466.348,0.931468
3.580,466.225,0.938851
3.590,466.122,0.937716
3.600,466.375,0.933890
3.610,466.480,0.931128
3.620,466.775,0.941048
3.630,466.819,0.939474
3.640,466.255,0.910436
3.650,466.124,0.895286
3.660,466.071,0.866544
3.670,465.855,0.789173
3.680,464.828,0.733745
3.690,461.903,0.838346
3.700,463.132,0.918563
3.710,465.156,0.893617
3.720,467.265,0.947740
3.730,468.397,0.960219
3.740,468.961,0.937646
3.750,469.320,0.849729
3.760,469.821,0.773607
3.770,469.716,0.875471
3.780,469.581,0.869263
3.790,470.020,0.843697
3.800,469.892,0.757381
3.810,471.439,0.534399
3.820,471.931,0.409962
3.830,472.818,0.294876
3.840,469.349,0.364230
3.850,472.919,0.375916
3.860,468.010,0.434454
3.870,469.881,0.712272
3.880,472.297,0.741699
3.890,472.014,0.652416
3.900,471.705,0.817020
3.910,475.309,0.765480
3.920,480.464,0.731092
3.930,494.503,0.250057
3.940,518.328,0.195062
3.950,523.111,0.505796
3.960,524.026,0.691247
3.970,523.486,0.617859
3.980,521.868,0.236756
3.990,498.102,0.221984
4.000,462.760,0.362759
4.010,459.602,0.805869
4.020,460.392,0.877881
4.030,462.409,0.928394
4.040,463.769,0.929878
4.050,463.906,0.936860
4.060,464.093,0.931444
4.070,464.352,0.926361
4.080,464.960,0.907918
4.090,466.232,0.923615
4.100,467.374,0.943586
4.110,468.046,0.936366
4.120,468.483,0.851872
4.130,470.088,0.656024
4.140,476.343,0.530030
4.150,478.488,0.365138
4.160,483.967,0.218883
4.170,492.339,0.277646
4.180,500.449,0.752173
4.190,501.340,0.881364
4.200,501.986,0.908154
4.210,504.335,0.915732
4.220,504.054,0.932274
4.230,502.004,0.936183
4.240,496.196,0.752552
4.250,477.494,0.657743
4.260,471.643,0.910896
4.270,468.852,0.953111
4.280,467.415,0.944263
4.290,466.715,0.925113
4.300,465.804,0.885409
4.310,464.640,0.809191
4.320,463.483,0.794981
4.330,461.812,0.820756
4.340,461.890,0.846228
4.350,466.197,0.887065
4.360,469.761,0.943984
4.370,473.836,0.934458
4.380,479.340,0.921512
4.390,486.467,0.902622
4.400,488.976,0.936949
4.410,490.051,0.943980
4.420,491.149,0.940117
4.430,491.402,0.914978
4.440,489.424,0.929902
4.450,487.334,0.898243
4.460,485.993,0.931395
4.470,485.163,0.926073
4.480,483.533,0.921619
4.490,481.795,0.868409
4.500,479.748,0.738945
4.510,477.237,0.453623
4.520,475.483,0.355341
4.530,468.906,0.440493
4.540,469.563,0.712387
4.550,470.934,0.759368
4.560,469.484,0.454915
4.570,467.192,0.447257
4.580,470.508,0.699934
4.590,473.089,0.811332
4.600,474.622,0.839992
4.610,475.924,0.880651
4.620,478.359,0.937407
4.630,481.676,0.869194
4.640,486.036,0.775571
4.650,489.162,0.514011
4.660,536.333,0.432678
4.670,624.780,0.753495
4.680,700.689,0.845389
4.690,779.769,0.619180
4.700,900.025,0.769026
4.710,963.025,0.621606
4.720,966.172,0.449062
4.730,970.205,0.405646
4.740,952.861,0.249780
4.750,953.567,0.404390
4.760,961.733,0.539867
4.770,969.640,0.375785
4.780,968.719,0.200080
4.790,965.847,0.219031
4.800,962.810,0.289819
4.810,963.843,0.329370
4.820,955.350,0.396068
4.830,953.798,0.510327
4.840,954.148,0.563980
4.850,954.580,0.517248
4.860,948.816,0.595780
4.870,945.057,0.632783
4.880,946.540,0.700177
4.890,951.950,0.687871
4.900,951.666,0.508314
4.910,951.691,0.269738
4.920,962.978,0.116860
4.930,906.375,0.223246
4.940,818.633,0.185050
4.950,721.114,0.111902
4.960,671.452,0.016182
4.970,602.800,0.006516
4.980,536.946,0.013715
4.990,483.937,0.049808
5.000,453.840,0.117418
5.010,400.207,0.024967
5.020,357.622,0.030948
5.030,322.136,0.196674
5.040,287.258,0.069751
5.050,262.203,0.022570
5.060,235.292,0.022290
5.070,209.943,0.048494
5.080,191.309,0.033083
5.090,172.400,0.038743
5.100,157.097,0.103035
5.110,157.363,0.029975
5.120,140.374,0.135670
5.130,128.466,0.100431
5.140,113.707,0.076229
5.150,101.966,0.143163
5.160,93.527,0.027177
5.170,82.104,0.084613
5.180,75.147,0.073451
5.190,66.565,0.231743
5.200,57.949,0.127279
5.210,51.477,0.040521
5.220,47.229,0.023462
5.230,40.968,0.029436
5.240,36.126,0.039941
5.250,32.899,0.046648
5.260,32.867,0.407151
5.270,32.754,0.714356
5.280,32.731,0.840274
5.290,32.742,0.458959
5.300,32.325,0.011775
5.310,32.960,0.005998
5.320,33.091,0.011749
5.330,32.358,0.037327
5.340,32.499,0.014836
5.350,32.464,0.007044
5.360,32.445,0.006804
5.370,32.603,0.025025
5.380,32.388,0.059253
5.390,32.607,0.176539
5.400,32.367,0.039180
5.410,32.416,0.031979
5.420,32.499,0.032185
5.430,32.535,0.014094
5.440,32.476,0.004998
5.450,32.446,0.026654
5.460,32.492,0.018435
5.470,32.247,0.018151
5.480,32.666,0.036863
5.490,33.464,0.034888
5.500,35.406,0.032850
5.510,34.544,0.072352
5.520,34.503,0.625494
5.530,33.767,0.139005
5.540,34.118,0.014269
5.550,32.628,0.018433
5.560,32.573,0.049829
5.570,32.265,0.017775
5.580,32.482,0.124783
5.590,34.127,0.074394
5.600,33.945,0.453556
5.610,35.050,0.044423
5.620,32.596,0.006669
5.630,32.448,0.077421
5.640,32.362,0.082567
5.650,32.496,0.023017
5.660,32.570,0.005712
5.670,32.347,0.108022
5.680,32.384,0.243718
5.690,35.979,0.144988
5.700,35.824,0.293470
5.710,36.769,0.230460
5.720,37.089,0.035447
5.730,37.960,0.127802
5.740,39.954,0.121768
5.750,41.931,0.101275
5.760,42.650,0.130499
5.770,43.482,0.110358
5.780,45.024,0.045033
5.790,46.429,0.125053
5.800,45.587,0.331584
5.810,43.682,0.071245
5.820,39.766,0.265721
5.830,35.868,0.170851
5.840,34.786,0.143505
5.850,32.435,0.092424
5.860,32.302,0.041514
5.870,32.361,0.068634
5.880,32.977,0.010636
5.890,32.793,0.078178
5.900,32.450,0.060925
5.910,32.537,0.109603
5.920,32.316,0.160119
5.930,32.111,0.194522
5.940,32.403,0.071771
5.950,32.559,0.023778
5.960,32.450,0.003833
5.970,32.953,0.009262
5.980,32.588,0.030350
5.990,32.473,0.015010
6.000,32.387,0.022335
6.010,32.412,0.043523
6.020,32.133,0.023554
6.030,32.222,0.095883
6.040,32.352,0.023311
6.050,34.385,0.007208
6.060,36.813,0.052091
6.070,40.418,0.197358
6.080,43.953,0.169711
6.090,48.053,0.066181
6.100,50.582,0.062062
6.110,55.006,0.025823
6.120,57.434,0.025286
