time,frequency,confidence
0.000,158.632,0.038636
0.010,158.554,0.192782
0.020,161.524,0.158170
0.030,162.797,0.172423
0.040,162.185,0.074649
0.050,164.833,0.088828
0.060,163.008,0.135830
0.070,159.113,0.047563
0.080,155.678,0.207486
0.090,155.351,0.192862
0.100,155.129,0.248982
0.110,158.055,0.160216
0.120,154.941,0.307796
0.130,150.881,0.169566
0.140,149.742,0.096270
0.150,147.253,0.067726
0.160,145.293,0.318330
0.170,145.567,0.201630
0.180,129.279,0.147246
0.190,129.250,0.381538
0.200,128.858,0.203031
0.210,126.129,0.118783
0.220,126.225,0.171279
0.230,130.379,0.279993
0.240,130.794,0.090828
0.250,134.686,0.160868
0.260,121.581,0.140358
0.270,121.480,0.041485
0.280,128.840,0.144426
0.290,137.081,0.183136
0.300,149.356,0.143922
0.310,154.191,0.378380
0.320,156.338,0.550399
0.330,157.550,0.293572
0.340,157.747,0.096056
0.350,161.831,0.019882
0.360,175.054,0.035860
0.370,182.497,0.058398
0.380,190.810,0.201667
0.390,197.091,0.054098
0.400,197.328,0.122536
0.410,197.814,0.158919
0.420,178.790,0.086621
0.430,163.349,0.150209
0.440,150.517,0.236650
0.450,135.901,0.343450
0.460,134.846,0.291987
0.470,133.889,0.099764
0.480,131.805,0.440669
0.490,131.758,0.397610
0.500,132.650,0.364098
0.510,131.400,0.424979
0.520,130.836,0.249679
0.530,130.024,0.142317
0.540,129.891,0.346158
0.550,132.748,0.399130
0.560,133.604,0.121674
0.570,132.701,0.099162
0.580,129.331,0.083416
0.590,128.106,0.092510
0.600,128.510,0.162647
0.610,127.340,0.170505
0.620,128.304,0.210785
0.630,131.878,0.399695
0.640,130.805,0.315636
0.650,126.144,0.168091
0.660,125.543,0.148555
0.670,124.944,0.165069
0.680,123.813,0.070857
0.690,131.034,0.132735
0.700,128.799,0.109075
0.710,122.579,0.109621
0.720,111.518,0.022888
0.730,106.471,0.159206
0.740,109.236,0.282826
0.750,117.770,0.449093
0.760,118.335,0.739951
0.770,119.635,0.844270
