time,frequency,confidence
0.000,291.135,0.023010
0.010,299.605,0.023143
0.020,291.817,0.102866
0.030,294.317,0.266946
0.040,296.368,0.297081
0.050,297.607,0.378164
0.060,300.605,0.329426
0.070,303.876,0.469039
0.080,315.346,0.488841
0.090,316.843,0.704279
0.100,318.191,0.754896
0.110,317.967,0.839197
0.120,317.301,0.889976
0.130,316.348,0.949911
0.140,315.965,0.962985
0.150,315.804,0.964749
0.160,315.538,0.967103
0.170,315.709,0.962984
0.180,316.203,0.956988
0.190,316.695,0.947395
0.200,316.583,0.949497
0.210,316.788,0.946363
0.220,316.458,0.956585
0.230,316.517,0.952780
0.240,316.469,0.953567
0.250,316.846,0.947386
0.260,317.006,0.941791
0.270,317.395,0.929662
0.280,316.901,0.948039
0.290,316.487,0.953951
0.300,315.855,0.961950
0.310,314.718,0.951509
0.320,312.522,0.871425
0.330,301.901,0.696867
0.340,293.645,0.927435
0.350,292.535,0.890792
0.360,306.358,0.717552
0.370,342.088,0.526206
0.380,344.461,0.871517
0.390,346.537,0.962914
0.400,347.126,0.965609
0.410,347.164,0.963804
0.420,346.756,0.969798
0.430,346.587,0.967373
0.440,346.241,0.968034
0.450,345.317,0.952094
0.460,344.376,0.929526
0.470,343.278,0.941429
0.480,342.148,0.943551
0.490,341.478,0.927373
0.500,342.374,0.773944
0.510,344.577,0.413283
0.520,375.420,0.811376
0.530,375.569,0.851212
0.540,371.244,0.478233
0.550,349.589,0.846678
0.560,347.077,0.943585
0.570,346.526,0.960886
0.580,347.577,0.943762
0.590,348.401,0.942335
0.600,349.185,0.964251
0.610,349.206,0.968049
0.620,348.765,0.961047
0.630,347.760,0.940695
0.640,345.845,0.948499
0.650,342.413,0.921985
0.660,339.070,0.950868
0.670,336.690,0.937650
0.680,335.144,0.955959
0.690,334.824,0.956862
0.700,335.726,0.937058
0.710,338.328,0.950894
0.720,342.189,0.933621
0.730,345.925,0.957609
0.740,348.700,0.955985
0.750,350.955,0.971091
0.760,352.437,0.947946
0.770,353.215,0.965852
0.780,352.150,0.956157
0.790,350.507,0.948836
0.800,343.760,0.701234
0.810,325.417,0.656619
0.820,318.765,0.931547
0.830,316.250,0.949669
0.840,315.064,0.951445
0.850,314.015,0.934157
0.860,313.872,0.941748
0.870,313.733,0.948636
0.880,313.613,0.953720
0.890,313.777,0.947873
0.900,313.911,0.945582
