time,frequency,confidence
0.000,346.755,0.269828
0.010,344.904,0.403638
0.020,332.842,0.251805
0.030,326.467,0.441153
0.040,321.950,0.431652
0.050,322.785,0.333460
0.060,349.149,0.422409
0.070,353.501,0.675492
0.080,353.317,0.537977
0.090,353.026,0.380917
0.100,349.037,0.309070
0.110,347.344,0.303722
0.120,349.107,0.441531
0.130,353.887,0.633078
0.140,355.354,0.720246
0.150,354.826,0.820426
0.160,353.450,0.938529
0.170,352.156,0.940224
0.180,350.488,0.966501
0.190,349.712,0.971277
0.200,349.145,0.963234
0.210,348.914,0.960294
0.220,348.853,0.957366
0.230,348.671,0.954724
0.240,348.247,0.939772
0.250,347.801,0.941231
0.260,346.932,0.956832
0.270,346.031,0.955713
0.280,345.001,0.940373
0.290,344.013,0.929999
0.300,343.151,0.945312
0.310,342.555,0.942407
0.320,341.835,0.941680
0.330,340.895,0.927090
0.340,339.802,0.937886
0.350,339.756,0.936053
0.360,339.761,0.943746
0.370,339.561,0.940975
0.380,339.431,0.947300
0.390,339.249,0.948553
0.400,339.246,0.946890
0.410,339.555,0.939307
0.420,341.091,0.933916
0.430,343.194,0.941619
0.440,344.931,0.936447
0.450,346.745,0.954953
0.460,348.558,0.945405
0.470,349.362,0.969158
0.480,350.133,0.972747
0.490,350.455,0.976341
0.500,350.545,0.976150
0.510,350.293,0.979254
0.520,349.866,0.976630
0.530,349.488,0.976240
0.540,349.374,0.974082
0.550,349.474,0.975309
0.560,349.247,0.973901
0.570,348.766,0.967871
0.580,348.223,0.952870
0.590,347.558,0.962304
0.600,346.410,0.967671
0.610,344.979,0.945703
0.620,342.653,0.944158
0.630,339.833,0.935790
0.640,337.518,0.953744
0.650,335.606,0.954796
0.660,334.474,0.964364
0.670,334.299,0.967967
0.680,334.251,0.965314
0.690,335.490,0.949405
0.700,337.957,0.949467
0.710,340.614,0.919885
0.720,342.747,0.944352
0.730,344.527,0.938021
0.740,345.893,0.965225
0.750,347.035,0.964623
0.760,347.906,0.951460
0.770,348.430,0.956114
0.780,349.136,0.970132
0.790,349.306,0.968210
0.800,349.490,0.969571
0.810,349.184,0.964245
0.820,348.885,0.957731
0.830,348.329,0.939868
0.840,347.757,0.942540
0.850,346.578,0.954729
0.860,345.458,0.942908
0.870,344.196,0.915170
0.880,342.894,0.932020
0.890,340.816,0.916842
0.900,339.121,0.955617
0.910,337.598,0.959480
0.920,336.064,0.945834
0.930,334.762,0.963944
0.940,334.611,0.966509
0.950,335.376,0.962518
0.960,336.784,0.952753
0.970,338.391,0.958436
0.980,339.980,0.925153
0.990,342.614,0.939317
1.000,345.169,0.943321
1.010,346.833,0.955389
1.020,348.157,0.934819
1.030,349.166,0.963242
1.040,349.923,0.969320
1.050,350.321,0.971784
1.060,350.270,0.972117
1.070,349.914,0.973529
1.080,349.523,0.972345
1.090,349.032,0.968693
1.100,348.667,0.962281
1.110,348.544,0.958708
1.120,348.544,0.954810
1.130,348.119,0.942839
1.140,347.586,0.954593
1.150,347.101,0.960240
1.160,346.090,0.962411
1.170,344.674,0.941782
1.180,343.085,0.952435
1.190,341.327,0.942727
1.200,339.502,0.949396
1.210,338.126,0.962729
1.220,336.525,0.941900
1.230,335.079,0.963689
1.240,334.439,0.968885
1.250,333.769,0.964047
1.260,334.068,0.965483
1.270,334.995,0.962867
1.280,337.075,0.946305
1.290,339.751,0.929822
1.300,342.364,0.937850
1.310,344.972,0.943199
1.320,346.236,0.962625
1.330,347.299,0.953832
1.340,347.775,0.944367
1.350,348.357,0.946948
1.360,348.880,0.963915
1.370,349.087,0.968704
1.380,349.184,0.972194
1.390,349.217,0.971929
1.400,349.228,0.971451
1.410,348.962,0.966994
1.420,348.478,0.955065
1.430,348.026,0.937048
1.440,347.479,0.947184
1.450,346.503,0.953804
1.460,345.012,0.935362
1.470,343.549,0.943456
1.480,341.580,0.946061
1.490,339.151,0.951911
1.500,337.088,0.952101
1.510,335.608,0.949993
1.520,334.310,0.962527
1.530,333.022,0.948554
1.540,332.434,0.946317
1.550,332.559,0.940607
1.560,334.067,0.955556
1.570,336.950,0.936533
1.580,340.164,0.923572
1.590,343.026,0.939801
1.600,345.406,0.951457
1.610,346.932,0.957427
1.620,347.530,0.948405
1.630,347.336,0.952236
1.640,347.186,0.953591
1.650,347.355,0.947527
1.660,347.719,0.939613
1.670,347.756,0.939161
1.680,347.736,0.937957
1.690,347.692,0.939486
1.700,347.679,0.941863
1.710,347.509,0.939869
1.720,347.296,0.949935
1.730,346.757,0.954364
1.740,345.840,0.949941
1.750,344.461,0.916767
1.760,343.374,0.944312
1.770,342.214,0.946638
1.780,340.754,0.929061
1.790,339.090,0.954931
1.800,337.542,0.956951
1.810,335.618,0.958007
1.820,333.645,0.959212
1.830,332.349,0.950846
1.840,332.192,0.954141
1.850,332.585,0.941055
1.860,333.434,0.954891
1.870,334.882,0.957749
1.880,336.435,0.932698
1.890,338.420,0.964821
1.900,339.407,0.959428
1.910,339.604,0.957004
1.920,340.388,0.940813
1.930,341.820,0.956891
1.940,342.748,0.963661
1.950,343.398,0.959149
1.960,343.813,0.957949
1.970,344.368,0.948749
1.980,344.844,0.958299
1.990,345.606,0.971830
2.000,346.186,0.974350
2.010,346.340,0.974602
2.020,346.173,0.970542
2.030,345.761,0.967393
2.040,345.082,0.961966
2.050,344.535,0.948706
2.060,343.417,0.958724
2.070,342.449,0.964855
2.080,341.176,0.951227
2.090,340.063,0.943204
2.100,338.472,0.961472
2.110,337.483,0.956910
2.120,336.257,0.942436
2.130,334.786,0.965149
2.140,333.606,0.962022
2.150,332.860,0.947961
2.160,332.694,0.941331
2.170,332.603,0.941244
2.180,332.926,0.947636
2.190,334.111,0.960141
2.200,335.635,0.950165
2.210,337.580,0.955040
2.220,339.593,0.946402
2.230,340.972,0.934359
2.240,342.580,0.949553
2.250,343.740,0.942641
2.260,344.837,0.949377
2.270,345.483,0.962611
2.280,345.788,0.965905
2.290,345.880,0.970370
2.300,345.857,0.970611
2.310,345.674,0.970534
2.320,345.480,0.968969
