time,frequency,confidence
0.000,159.756,0.022758
0.010,163.298,0.088160
0.020,168.274,0.078429
0.030,174.860,0.093172
0.040,180.397,0.126122
0.050,181.959,0.180250
0.060,185.886,0.214477
0.070,189.962,0.302214
0.080,197.858,0.214367
0.090,204.674,0.241269
0.100,214.956,0.147510
0.110,223.156,0.062793
0.120,226.713,0.096345
0.130,234.375,0.284635
0.140,241.955,0.402930
0.150,248.170,0.232160
0.160,250.692,0.218730
0.170,269.447,0.063548
0.180,286.268,0.089702
0.190,291.960,0.536009
0.200,298.653,0.657521
0.210,302.101,0.772382
0.220,302.052,0.805452
0.230,299.555,0.809244
0.240,296.873,0.849692
0.250,295.584,0.933350
0.260,295.049,0.971534
0.270,294.139,0.978652
0.280,293.392,0.965908
0.290,292.942,0.947763
0.300,293.039,0.950582
0.310,293.377,0.962735
0.320,293.484,0.965475
0.330,293.662,0.973433
0.340,293.761,0.975382
0.350,293.754,0.974748
0.360,293.854,0.975774
0.370,294.006,0.977743
0.380,293.870,0.975068
0.390,293.691,0.974584
0.400,293.631,0.973610
0.410,293.747,0.974185
0.420,293.993,0.978330
0.430,294.362,0.982068
0.440,294.391,0.982234
0.450,294.453,0.982193
0.460,294.542,0.983468
0.470,294.343,0.982188
0.480,294.238,0.980956
0.490,294.190,0.981549
0.500,294.295,0.981601
0.510,294.070,0.979374
0.520,293.770,0.975009
0.530,293.642,0.973384
0.540,293.612,0.970472
0.550,293.719,0.975208
0.560,293.933,0.978029
0.570,294.189,0.979886
0.580,294.182,0.979174
0.590,294.242,0.979456
0.600,294.053,0.977724
0.610,293.958,0.977104
0.620,294.096,0.979830
0.630,293.988,0.976832
0.640,293.557,0.970444
0.650,293.390,0.965872
0.660,293.544,0.968633
0.670,293.806,0.974535
0.680,294.008,0.978936
0.690,294.033,0.978204
0.700,294.032,0.979551
0.710,294.056,0.980725
0.720,294.156,0.979102
0.730,294.341,0.979044
0.740,294.352,0.979840
0.750,294.226,0.978928
0.760,294.050,0.978480
0.770,294.120,0.981238
0.780,294.200,0.980684
0.790,294.282,0.980469
0.800,294.594,0.981652
0.810,295.214,0.979723
0.820,295.610,0.975660
0.830,295.854,0.972066
0.840,295.785,0.975835
0.850,295.373,0.980914
0.860,294.807,0.981721
0.870,294.591,0.982134
0.880,294.379,0.982096
0.890,294.336,0.981612
0.900,294.388,0.981674
