time,frequency,confidence
0.000,124.182,0.050426
0.010,124.824,0.064850
0.020,126.332,0.072438
0.030,131.543,0.022238
0.040,136.694,0.063918
0.050,144.701,0.053741
0.060,159.187,0.162748
0.070,171.282,0.016677
0.080,184.319,0.030569
0.090,196.004,0.048791
0.100,197.653,0.122196
0.110,198.541,0.094460
0.120,200.353,0.073876
0.130,203.473,0.118139
0.140,201.183,0.049119
0.150,197.051,0.098626
0.160,192.475,0.138033
0.170,188.765,0.024152
0.180,179.194,0.018956
0.190,175.257,0.071188
0.200,176.453,0.196371
0.210,174.519,0.144821
0.220,178.945,0.070302
0.230,178.691,0.031942
0.240,166.756,0.039162
0.250,156.568,0.056018
0.260,157.141,0.044295
0.270,161.762,0.095805
0.280,172.764,0.220313
0.290,181.369,0.160544
0.300,181.983,0.011284
0.310,178.994,0.014417
0.320,184.808,0.068395
0.330,198.289,0.168132
0.340,195.155,0.232352
0.350,189.086,0.043763
0.360,182.803,0.027353
0.370,187.025,0.057547
0.380,194.565,0.019257
0.390,202.299,0.038795
0.400,203.810,0.058816
0.410,206.094,0.041075
0.420,224.929,0.051967
0.430,246.366,0.308943
0.440,262.059,0.093810
0.450,279.436,0.058357
0.460,257.231,0.070212
0.470,253.338,0.118313
0.480,249.913,0.218725
0.490,246.179,0.318153
0.500,242.810,0.324808
0.510,235.849,0.123754
0.520,232.003,0.118068
0.530,228.993,0.101919
0.540,226.825,0.106789
0.550,221.137,0.124598
0.560,216.720,0.157712
0.570,215.255,0.374204
0.580,206.995,0.436038
0.590,197.407,0.665153
0.600,196.885,0.580673
0.610,195.774,0.390547
0.620,192.094,0.191871
0.630,191.818,0.457579
0.640,198.860,0.242037
0.650,196.055,0.382392
0.660,192.415,0.718547
0.670,191.559,0.472589
0.680,195.954,0.297975
0.690,196.313,0.829769
0.700,195.939,0.899204
0.710,196.424,0.910719
0.720,197.229,0.860972
0.730,197.505,0.778832
0.740,197.131,0.790852
0.750,196.880,0.777759
0.760,196.739,0.809591
0.770,196.910,0.765727
0.780,196.882,0.726324
0.790,196.851,0.845297
0.800,196.405,0.833656
0.810,195.842,0.591973
0.820,195.810,0.451433
0.830,196.326,0.692905
0.840,197.265,0.617652
0.850,196.867,0.759802
0.860,198.042,0.838471
0.870,202.620,0.583492
0.880,207.684,0.174086
0.890,209.332,0.516513
0.900,208.661,0.631156
