time,frequency,confidence
0.000,884.257,0.019024
0.010,896.601,0.010774
0.020,891.436,0.029933
0.030,880.419,0.599836
0.040,876.785,0.714550
0.050,874.014,0.773560
0.060,871.259,0.830802
0.070,870.384,0.848286
0.080,871.570,0.877432
0.090,871.500,0.905309
0.100,871.903,0.934095
0.110,872.375,0.943298
0.120,874.603,0.950755
0.130,877.452,0.946213
0.140,880.319,0.966460
0.150,881.454,0.974255
0.160,882.104,0.975807
0.170,882.598,0.974887
0.180,882.869,0.971469
0.190,883.178,0.970296
0.200,883.725,0.966720
0.210,884.215,0.964626
0.220,885.053,0.960890
0.230,887.202,0.938493
0.240,887.373,0.908956
0.250,884.328,0.849925
0.260,791.540,0.461537
0.270,819.498,0.670363
0.280,881.230,0.389064
0.290,946.888,0.568677
0.300,952.324,0.901381
0.310,953.826,0.941846
0.320,953.118,0.945722
0.330,951.621,0.929002
0.340,950.892,0.931625
0.350,950.907,0.933697
0.360,951.851,0.930214
0.370,952.624,0.936194
0.380,953.204,0.937249
0.390,953.633,0.939122
0.400,955.328,0.945567
0.410,957.305,0.949207
0.420,959.370,0.948797
0.430,961.068,0.939001
0.440,961.388,0.936594
0.450,961.975,0.937611
0.460,962.025,0.937270
0.470,962.197,0.933757
0.480,962.029,0.936495
0.490,962.048,0.937199
0.500,962.817,0.934232
0.510,962.953,0.933343
0.520,962.143,0.939950
0.530,962.423,0.940055
0.540,962.639,0.934316
0.550,962.392,0.934220
0.560,962.189,0.938491
0.570,961.986,0.939073
0.580,962.241,0.938010
0.590,961.583,0.936713
0.600,960.933,0.940765
0.610,963.093,0.925430
0.620,969.545,0.940405
0.630,975.304,0.942715
0.640,977.356,0.952750
0.650,977.382,0.952328
0.660,975.472,0.939770
0.670,973.035,0.946256
0.680,969.203,0.951291
0.690,964.023,0.938754
0.700,960.239,0.944085
0.710,960.182,0.950862
0.720,961.625,0.943792
0.730,962.930,0.933159
0.740,963.266,0.931628
0.750,962.580,0.924123
0.760,962.449,0.929595
0.770,961.873,0.934945
0.780,961.633,0.939433
0.790,962.368,0.941850
0.800,963.350,0.933014
0.810,971.284,0.904788
0.820,984.258,0.923212
0.830,988.995,0.946412
0.840,991.701,0.933715
0.850,993.691,0.910722
0.860,995.039,0.900316
0.870,994.264,0.921156
0.880,991.259,0.943528
0.890,986.328,0.938562
0.900,980.383,0.942593
0.910,973.512,0.926626
0.920,967.613,0.948609
0.930,964.629,0.939181
0.940,964.207,0.943166
0.950,965.396,0.951872
0.960,967.301,0.955653
0.970,970.068,0.956779
0.980,972.395,0.950499
0.990,976.225,0.889786
1.000,984.354,0.709182
1.010,1101.212,0.447773
1.020,1104.247,0.647215
1.030,1107.059,0.854250
1.040,1106.794,0.886264
1.050,1101.254,0.890213
1.060,1098.248,0.901284
1.070,1098.559,0.910217
1.080,1099.567,0.913247
1.090,1100.616,0.909091
1.100,1101.354,0.902610
1.110,1101.459,0.901674
1.120,1100.937,0.885090
1.130,1099.367,0.827973
1.140,1099.015,0.548936
1.150,994.073,0.283654
1.160,899.417,0.564461
1.170,897.577,0.807143
1.180,896.541,0.880707
1.190,894.607,0.896833
1.200,892.965,0.895579
1.210,892.039,0.893384
1.220,890.957,0.892654
1.230,889.357,0.901611
1.240,888.348,0.920206
1.250,887.188,0.940444
1.260,886.468,0.950856
1.270,885.870,0.956717
1.280,885.624,0.960064
1.290,885.528,0.959873
1.300,885.440,0.960358
1.310,885.490,0.959834
1.320,885.876,0.957890
1.330,886.327,0.955192
1.340,887.300,0.947281
1.350,888.251,0.933958
1.360,890.813,0.897736
1.370,895.497,0.891149
1.380,903.561,0.856027
1.390,913.301,0.896494
1.400,919.445,0.922277
1.410,922.431,0.945151
1.420,922.979,0.948732
1.430,922.575,0.946729
1.440,920.247,0.918600
1.450,915.124,0.893866
1.460,905.558,0.876566
1.470,894.756,0.896146
1.480,886.151,0.930843
1.490,882.547,0.955634
1.500,880.846,0.959374
1.510,880.043,0.961470
1.520,879.674,0.963612
1.530,880.100,0.968011
1.540,880.607,0.969975
1.550,881.451,0.971566
1.560,882.091,0.974355
1.570,883.136,0.973427
1.580,887.274,0.947301
1.590,895.127,0.891116
1.600,904.375,0.885661
1.610,910.906,0.895713
1.620,914.338,0.914598
1.630,915.590,0.918285
1.640,915.798,0.914801
1.650,914.025,0.904395
1.660,910.414,0.869577
1.670,904.635,0.891349
1.680,898.220,0.887705
1.690,892.229,0.916284
1.700,887.688,0.936851
1.710,885.412,0.953477
1.720,884.120,0.961389
1.730,883.155,0.964308
1.740,882.396,0.967993
1.750,882.269,0.970480
1.760,882.593,0.972707
1.770,883.491,0.973481
1.780,886.048,0.960522
1.790,892.494,0.901781
1.800,901.584,0.877104
1.810,909.459,0.814409
1.820,917.618,0.656475
1.830,981.720,0.354045
1.840,1068.859,0.762996
1.850,1084.504,0.281966
1.860,969.670,0.660650
1.870,967.952,0.929362
1.880,964.731,0.954445
1.890,960.404,0.951706
1.900,957.141,0.954877
1.910,957.374,0.956600
1.920,958.078,0.954066
1.930,958.633,0.950207
1.940,958.791,0.946828
1.950,958.323,0.949780
1.960,959.940,0.950652
1.970,962.932,0.931984
1.980,965.581,0.940529
1.990,966.585,0.950905
2.000,966.586,0.952488
2.010,967.723,0.952606
2.020,967.933,0.954237
2.030,967.040,0.953237
2.040,966.793,0.949067
2.050,966.811,0.948393
2.060,966.763,0.950355
2.070,967.994,0.952035
2.080,969.059,0.955833
2.090,968.407,0.956351
2.100,968.504,0.955570
2.110,968.731,0.954372
2.120,968.483,0.955105
2.130,968.999,0.954151
2.140,968.126,0.954545
2.150,966.733,0.952788
2.160,966.549,0.947764
2.170,965.711,0.944165
2.180,964.971,0.942012
2.190,965.086,0.938385
2.200,964.778,0.940934
2.210,965.024,0.946153
