time,frequency,confidence
0.000,133.102,0.016266
0.010,132.024,0.104818
0.020,130.287,0.437100
0.030,129.969,0.777768
0.040,129.419,0.803654
0.050,128.583,0.697013
0.060,128.150,0.523715
0.070,128.152,0.325895
0.080,129.274,0.308130
0.090,130.261,0.214156
0.100,129.605,0.302436
0.110,129.007,0.393609
0.120,129.272,0.160952
0.130,129.649,0.358875
0.140,129.886,0.354871
0.150,132.466,0.427051
0.160,132.663,0.437975
0.170,132.971,0.430297
0.180,129.914,0.471386
0.190,129.602,0.618989
0.200,129.539,0.727651
0.210,129.860,0.799124
0.220,130.166,0.833689
0.230,130.639,0.902123
0.240,131.080,0.911447
0.250,131.290,0.935299
0.260,131.473,0.937377
0.270,131.268,0.934122
0.280,131.175,0.939844
0.290,131.106,0.931349
0.300,131.224,0.936044
0.310,131.313,0.946106
0.320,131.643,0.933851
0.330,131.635,0.933795
0.340,131.752,0.928959
0.350,131.691,0.923890
0.360,131.858,0.909905
0.370,131.883,0.919773
0.380,131.494,0.920546
0.390,130.852,0.845376
0.400,132.952,0.674348
0.410,135.846,0.406517
0.420,144.519,0.661119
0.430,145.480,0.800307
0.440,146.454,0.879540
0.450,147.295,0.925115
0.460,147.398,0.927882
0.470,147.191,0.923706
0.480,146.956,0.930792
0.490,146.936,0.928114
0.500,146.874,0.935049
0.510,147.263,0.948922
0.520,147.350,0.950063
0.530,147.248,0.950111
0.540,146.943,0.954952
0.550,147.084,0.959696
0.560,146.962,0.953982
0.570,147.065,0.961493
0.580,146.975,0.962073
0.590,146.972,0.959389
0.600,147.049,0.955583
0.610,147.223,0.927105
0.620,147.893,0.707666
0.630,149.860,0.489191
0.640,148.907,0.366575
0.650,149.924,0.481972
0.660,153.774,0.414054
0.670,154.940,0.331556
0.680,155.999,0.452226
0.690,155.507,0.490505
0.700,153.894,0.447153
0.710,155.024,0.560757
0.720,155.293,0.762022
0.730,154.960,0.762637
0.740,155.768,0.619431
0.750,157.509,0.557410
0.760,157.460,0.373101
0.770,157.893,0.365922
0.780,157.327,0.402915
0.790,154.619,0.330234
0.800,153.055,0.536370
0.810,154.421,0.737534
0.820,152.742,0.674034
0.830,150.985,0.628008
0.840,148.894,0.653022
0.850,147.158,0.714052
0.860,147.168,0.603629
0.870,147.474,0.697549
0.880,147.338,0.851526
0.890,146.971,0.903609
0.900,147.163,0.944565
0.910,147.253,0.957959
0.920,147.299,0.960744
0.930,147.152,0.964590
0.940,147.173,0.964916
0.950,147.290,0.963271
0.960,147.192,0.966655
0.970,147.268,0.964724
0.980,147.471,0.963966
0.990,147.331,0.962318
1.000,147.255,0.966321
1.010,147.214,0.963543
1.020,147.075,0.961233
1.030,147.116,0.962038
1.040,146.930,0.949517
1.050,146.928,0.953649
1.060,146.907,0.949776
1.070,146.907,0.958723
1.080,146.889,0.959425
1.090,146.966,0.960919
1.100,147.114,0.964885
1.110,147.116,0.971923
1.120,147.014,0.966413
1.130,146.812,0.947692
1.140,146.872,0.912300
1.150,148.030,0.812354
1.160,149.225,0.689080
1.170,149.716,0.662568
1.180,150.868,0.601411
1.190,151.111,0.578038
1.200,152.634,0.575634
1.210,154.421,0.530987
1.220,154.478,0.476890
1.230,156.096,0.585427
1.240,155.880,0.691144
1.250,155.396,0.724618
1.260,155.384,0.627443
1.270,155.442,0.645080
1.280,155.526,0.648065
1.290,155.752,0.620763
1.300,156.256,0.660149
1.310,156.284,0.584838
1.320,155.830,0.605257
1.330,155.915,0.601572
1.340,156.099,0.652961
1.350,156.136,0.657654
1.360,155.229,0.705059
1.370,154.782,0.682396
1.380,155.588,0.726586
1.390,156.392,0.722999
1.400,156.744,0.719548
1.410,156.669,0.748107
1.420,156.906,0.729190
