time,frequency,confidence
0.000,48.003,0.046953
0.010,48.718,0.091679
0.020,48.489,0.134442
0.030,48.807,0.070521
0.040,48.657,0.076617
0.050,48.678,0.109540
0.060,49.744,0.075104
0.070,50.433,0.109980
0.080,51.331,0.125337
0.090,51.653,0.114252
0.100,51.364,0.112172
0.110,49.546,0.139994
0.120,50.625,0.300811
0.130,51.362,0.083497
0.140,51.736,0.440806
0.150,52.175,0.289582
0.160,52.687,0.126242
0.170,54.124,0.121337
0.180,49.745,0.087887
0.190,42.904,0.090979
0.200,37.508,0.132130
0.210,34.471,0.050250
0.220,34.215,0.204843
0.230,34.010,0.339236
0.240,34.392,0.695961
0.250,34.560,0.300164
0.260,36.653,0.107517
0.270,39.534,0.132289
0.280,43.314,0.098547
0.290,45.858,0.391109
0.300,49.113,0.490310
0.310,52.639,0.521849
0.320,55.971,0.384924
0.330,60.361,0.341514
0.340,64.970,0.343546
0.350,68.032,0.194213
0.360,71.792,0.156733
0.370,79.800,0.049011
0.380,84.154,0.018640
0.390,92.442,0.028264
0.400,98.005,0.064989
0.410,104.034,0.320481
0.420,113.926,0.258264
0.430,120.155,0.235395
0.440,122.996,0.134965
0.450,125.141,0.159031
0.460,125.221,0.134928
0.470,118.325,0.354887
0.480,105.457,0.104244
0.490,103.207,0.554976
0.500,103.317,0.772451
0.510,104.139,0.866980
0.520,105.009,0.795969
0.530,106.835,0.826632
0.540,109.288,0.824726
0.550,112.320,0.670594
0.560,125.247,0.397135
0.570,125.257,0.759977
0.580,124.355,0.885247
0.590,123.846,0.932409
0.600,124.274,0.920367
0.610,125.577,0.888587
0.620,127.770,0.887369
0.630,130.229,0.901063
0.640,132.238,0.911618
0.650,135.159,0.838928
0.660,139.112,0.772513
0.670,143.145,0.878566
0.680,144.924,0.927019
0.690,145.995,0.942321
0.700,147.572,0.908131
0.710,151.291,0.828968
0.720,155.149,0.883591
0.730,156.569,0.940641
0.740,157.019,0.923804
0.750,157.170,0.940591
0.760,157.473,0.948736
0.770,157.936,0.951751
