time,frequency,confidence
0.000,55.282,0.179780
0.010,55.360,0.070721
0.020,55.860,0.088409
0.030,55.655,0.160330
0.040,55.321,0.080157
0.050,55.995,0.086580
0.060,56.162,0.073095
0.070,55.975,0.182570
0.080,55.658,0.146174
0.090,55.874,0.075858
0.100,55.172,0.038088
0.110,51.543,0.060807
0.120,52.130,0.108720
0.130,52.652,0.132441
0.140,52.596,0.058640
0.150,52.468,0.090008
0.160,51.768,0.089594
0.170,51.680,0.088852
0.180,56.807,0.139152
0.190,57.478,0.256448
0.200,57.811,0.295966
0.210,56.076,0.111787
0.220,55.968,0.165884
0.230,57.612,0.212519
0.240,51.801,0.276975
0.250,51.789,0.199957
0.260,51.004,0.294097
0.270,51.545,0.144264
0.280,54.317,0.130442
0.290,54.333,0.080136
0.300,55.197,0.081007
0.310,57.947,0.058078
0.320,62.272,0.062897
0.330,65.365,0.107245
0.340,67.953,0.494745
0.350,74.048,0.126627
0.360,79.179,0.249066
0.370,84.822,0.102588
0.380,88.584,0.045355
0.390,97.052,0.228463
0.400,103.614,0.480196
0.410,111.678,0.382994
0.420,121.193,0.070203
0.430,125.399,0.198954
0.440,125.381,0.325240
0.450,131.804,0.417424
0.460,132.833,0.383960
0.470,133.298,0.584947
0.480,134.059,0.393686
0.490,133.485,0.040310
0.500,131.921,0.056978
0.510,129.744,0.053186
0.520,130.004,0.052162
0.530,131.908,0.118566
0.540,130.790,0.339425
0.550,131.662,0.075238
0.560,133.170,0.191485
0.570,132.703,0.286207
0.580,130.948,0.220051
0.590,130.185,0.018082
0.600,129.636,0.020230
0.610,130.085,0.063277
0.620,130.926,0.081686
0.630,131.701,0.138952
0.640,132.152,0.063781
0.650,132.428,0.099817
0.660,129.403,0.134722
0.670,121.231,0.052485
0.680,116.069,0.381808
0.690,121.262,0.483020
0.700,123.239,0.330182
0.710,121.182,0.164296
0.720,122.201,0.057675
0.730,122.638,0.118006
0.740,113.268,0.218963
0.750,105.382,0.509181
0.760,105.824,0.656761
0.770,106.892,0.763837
0.780,108.159,0.818904
0.790,109.664,0.819855
0.800,109.893,0.849524
0.810,109.644,0.868998
0.820,109.717,0.888624
0.830,110.412,0.918883
0.840,113.058,0.749486
0.850,116.686,0.804648
0.860,120.946,0.780826
0.870,123.826,0.876367
0.880,125.066,0.904728
0.890,125.630,0.888819
0.900,125.212,0.833072
0.910,124.132,0.737506
0.920,121.651,0.533731
0.930,119.461,0.347344
0.940,107.693,0.089772
0.950,109.109,0.046891
0.960,110.020,0.133368
0.970,109.416,0.266273
0.980,120.186,0.188109
0.990,124.819,0.188069
1.000,124.925,0.167885
1.010,134.085,0.364393
1.020,144.201,0.182520
1.030,141.975,0.171306
