time,frequency,confidence
0.000,279.216,0.032793
0.010,278.393,0.025604
0.020,280.362,0.019838
0.030,281.318,0.014948
0.040,279.615,0.054577
0.050,279.206,0.040124
0.060,281.648,0.087288
0.070,283.762,0.216275
0.080,283.711,0.338879
0.090,278.967,0.144322
0.100,252.408,0.079608
0.110,222.958,0.151163
0.120,222.949,0.239453
0.130,224.581,0.330658
0.140,222.374,0.065438
0.150,226.199,0.053462
0.160,231.021,0.047425
0.170,240.319,0.084527
0.180,244.339,0.214248
0.190,254.371,0.061386
0.200,261.651,0.374039
0.210,271.192,0.133604
0.220,278.057,0.326443
0.230,281.333,0.317988
0.240,280.307,0.278969
0.250,277.872,0.160514
0.260,261.532,0.187317
0.270,243.000,0.061711
0.280,221.050,0.185589
0.290,232.568,0.157282
0.300,245.214,0.262606
0.310,253.573,0.567433
0.320,270.072,0.543369
0.330,284.635,0.448886
0.340,304.272,0.306213
0.350,334.570,0.306819
0.360,344.692,0.680612
0.370,344.818,0.811343
0.380,344.514,0.857063
0.390,343.629,0.926976
0.400,343.521,0.914077
0.410,343.831,0.912259
0.420,343.966,0.894978
0.430,344.348,0.861130
0.440,344.671,0.832974
0.450,345.495,0.807134
0.460,345.655,0.713148
0.470,314.975,0.824248
0.480,281.334,0.889746
0.490,250.374,0.920233
0.500,223.272,0.915111
0.510,195.322,0.937040
0.520,176.626,0.930983
0.530,176.824,0.939569
0.540,176.519,0.912893
0.550,176.446,0.903815
0.560,176.571,0.925733
0.570,176.493,0.922578
0.580,176.224,0.920786
0.590,175.674,0.939675
0.600,175.030,0.945889
0.610,174.456,0.940973
0.620,173.992,0.937648
0.630,173.678,0.942872
0.640,173.333,0.941275
0.650,173.251,0.940040
0.660,173.289,0.927805
0.670,173.270,0.929496
0.680,173.147,0.934159
0.690,172.860,0.925405
0.700,173.063,0.939009
0.710,173.545,0.940089
0.720,174.323,0.916367
0.730,175.378,0.928669
0.740,176.281,0.905769
0.750,176.912,0.938879
0.760,177.069,0.947404
0.770,176.944,0.935689
0.780,176.885,0.933216
0.790,177.022,0.939925
0.800,176.891,0.936075
0.810,176.584,0.924658
0.820,176.017,0.921995
0.830,174.643,0.935537
0.840,173.755,0.940106
0.850,173.343,0.944753
0.860,173.205,0.949909
0.870,173.162,0.952749
0.880,172.744,0.945521
0.890,172.598,0.940386
0.900,172.662,0.921486
0.910,172.616,0.917211
0.920,173.116,0.871310
0.930,174.527,0.779348
0.940,175.689,0.667994
0.950,174.623,0.704703
0.960,173.943,0.598389
0.970,172.154,0.395148
0.980,193.184,0.192665
0.990,193.208,0.578630
1.000,191.570,0.627130
1.010,192.209,0.635918
1.020,193.317,0.624445
1.030,192.999,0.326387
1.040,193.068,0.414033
1.050,193.521,0.702469
1.060,194.479,0.891199
1.070,196.050,0.913785
1.080,196.190,0.930334
1.090,195.872,0.857995
1.100,194.126,0.490406
1.110,190.628,0.584978
1.120,193.691,0.737557
1.130,195.375,0.830688
1.140,196.185,0.898828
1.150,196.133,0.928942
1.160,196.169,0.926985
1.170,196.288,0.928261
1.180,196.406,0.942599
1.190,196.596,0.954187
1.200,196.469,0.936355
1.210,196.189,0.915828
1.220,196.087,0.920535
1.230,196.092,0.939290
1.240,196.088,0.934767
1.250,196.063,0.906586
1.260,196.060,0.907148
1.270,196.219,0.931776
1.280,196.003,0.929214
1.290,195.934,0.915865
1.300,195.912,0.920011
1.310,196.175,0.932841
1.320,196.312,0.937890
1.330,196.112,0.928640
1.340,195.857,0.917849
1.350,196.023,0.931852
1.360,196.326,0.941502
1.370,196.232,0.939883
1.380,196.280,0.944541
