time,frequency,confidence
0.000,604.693,0.049078
0.010,656.687,0.059158
0.020,661.295,0.089010
0.030,594.924,0.095700
0.040,596.650,0.093159
0.050,598.873,0.089138
0.060,622.918,0.073371
0.070,656.696,0.073763
0.080,659.169,0.096186
0.090,653.197,0.075465
0.100,654.438,0.119966
0.110,659.013,0.125002
0.120,659.110,0.155712
0.130,658.657,0.098109
0.140,596.135,0.053486
0.150,597.906,0.061040
0.160,651.490,0.067595
0.170,650.210,0.112774
0.180,639.685,0.084728
0.190,633.060,0.026061
0.200,626.857,0.144333
0.210,622.099,0.125265
0.220,621.663,0.167489
0.230,616.868,0.080012
0.240,606.946,0.128299
0.250,597.745,0.093001
0.260,649.430,0.076178
0.270,597.259,0.066346
0.280,580.036,0.064110
0.290,527.372,0.102548
0.300,473.732,0.263176
0.310,431.602,0.064680
0.320,395.229,0.035009
0.330,351.348,0.297986
0.340,320.194,0.563297
0.350,298.190,0.713193
0.360,299.129,0.828731
0.370,299.050,0.897518
0.380,297.981,0.919481
0.390,296.654,0.902427
0.400,295.140,0.951105
0.410,293.733,0.956566
0.420,292.481,0.942615
0.430,291.553,0.956500
0.440,290.967,0.956162
0.450,290.598,0.952082
0.460,290.225,0.936927
0.470,289.593,0.908786
0.480,288.952,0.932870
0.490,289.069,0.922811
0.500,289.431,0.877909
0.510,291.662,0.759959
0.520,294.844,0.380384
0.530,296.673,0.365216
0.540,296.540,0.609771
0.550,294.273,0.584466
0.560,293.247,0.418227
0.570,292.549,0.892095
0.580,291.083,0.917641
0.590,289.749,0.894425
0.600,288.825,0.929234
0.610,288.223,0.947526
0.620,288.133,0.952246
0.630,288.344,0.944329
0.640,288.867,0.931236
0.650,289.269,0.913964
0.660,289.544,0.906731
0.670,289.678,0.904189
0.680,289.915,0.918463
0.690,290.086,0.922627
0.700,290.081,0.926991
0.710,289.621,0.851954
0.720,287.844,0.587135
0.730,269.756,0.584652
0.740,263.001,0.856651
0.750,260.026,0.924188
0.760,258.867,0.925156
0.770,258.470,0.904144
0.780,258.449,0.895370
0.790,258.847,0.922728
0.800,259.595,0.917001
0.810,259.473,0.906562
0.820,260.152,0.926938
0.830,260.942,0.913216
0.840,260.936,0.908770
0.850,261.427,0.940732
0.860,263.074,0.942386
0.870,266.353,0.812370
0.880,274.892,0.522498
0.890,289.866,0.629079
0.900,294.451,0.870080
0.910,296.073,0.925297
0.920,296.108,0.942542
0.930,296.189,0.954940
0.940,295.754,0.971195
0.950,295.608,0.972114
0.960,295.692,0.973809
0.970,295.899,0.971285
0.980,296.447,0.952363
0.990,296.809,0.951851
1.000,296.946,0.956019
1.010,296.783,0.950939
1.020,296.197,0.966319
1.030,295.977,0.970711
1.040,295.625,0.976318
1.050,295.542,0.976135
1.060,295.625,0.974537
1.070,295.527,0.975317
1.080,295.490,0.975614
1.090,295.356,0.975942
1.100,295.291,0.978379
1.110,295.319,0.976151
1.120,295.302,0.974203
1.130,295.259,0.974993
1.140,295.107,0.974611
1.150,294.855,0.974401
1.160,294.764,0.973133
1.170,294.608,0.970805
1.180,294.573,0.971276
1.190,294.534,0.971228
1.200,294.455,0.970577
1.210,294.372,0.968427
1.220,294.386,0.966383
1.230,294.554,0.967933
1.240,294.782,0.967509
1.250,294.898,0.968790
1.260,295.227,0.969666
1.270,295.352,0.968612
1.280,295.458,0.968283
1.290,295.713,0.967382
1.300,295.844,0.961665
1.310,295.767,0.964401
1.320,295.702,0.966607
1.330,295.591,0.967915
1.340,295.569,0.965938
1.350,295.632,0.967636
1.360,295.808,0.966107
1.370,295.892,0.962172
1.380,295.860,0.966116
1.390,295.926,0.965586
1.400,296.007,0.963852
1.410,296.186,0.958224
1.420,296.269,0.956981
1.430,296.346,0.953172
1.440,296.637,0.942543
1.450,296.988,0.953375
1.460,297.427,0.963766
1.470,297.622,0.965900
1.480,297.770,0.966934
1.490,297.645,0.966358
1.500,297.429,0.964118
1.510,297.148,0.958957
1.520,296.925,0.953236
1.530,296.777,0.949112
1.540,296.814,0.949599
1.550,297.010,0.955465
1.560,297.180,0.961118
1.570,297.299,0.964270
1.580,297.220,0.962444
1.590,297.279,0.962935
1.600,297.350,0.964124
1.610,297.431,0.965102
1.620,297.420,0.964497
1.630,297.472,0.964430
1.640,297.487,0.965057
1.650,297.577,0.966105
1.660,297.741,0.966235
1.670,298.046,0.967171
1.680,298.277,0.966818
1.690,298.339,0.966490
1.700,298.257,0.966810
1.710,298.062,0.966427
1.720,297.823,0.964897
1.730,297.479,0.962154
1.740,297.143,0.956109
1.750,296.871,0.947902
1.760,296.700,0.942712
1.770,296.573,0.944129
1.780,296.527,0.949356
1.790,296.395,0.956036
1.800,296.063,0.967303
1.810,295.862,0.972136
1.820,295.776,0.975009
1.830,295.800,0.973645
1.840,295.719,0.975076
1.850,295.732,0.972765
1.860,295.768,0.973768
1.870,295.750,0.972465
1.880,295.703,0.972787
1.890,295.717,0.972938
1.900,295.760,0.971989
