time,frequency,confidence
0.000,32.358,0.060380
0.010,32.306,0.019405
0.020,32.522,0.026708
0.030,32.387,0.022673
0.040,32.203,0.038801
0.050,32.375,0.076579
0.060,32.242,0.075226
0.070,32.004,0.028120
0.080,32.204,0.012063
0.090,32.228,0.010869
0.100,31.942,0.017783
0.110,32.158,0.027044
0.120,32.310,0.151083
0.130,32.336,0.188241
0.140,32.384,0.281244
0.150,32.448,0.040974
0.160,32.512,0.084889
0.170,32.673,0.145399
0.180,32.622,0.118957
0.190,32.508,0.061844
0.200,32.318,0.014768
0.210,32.355,0.058421
0.220,32.247,0.166664
0.230,32.785,0.091506
0.240,32.892,0.027182
0.250,32.824,0.008365
0.260,32.701,0.013119
0.270,33.193,0.135550
0.280,33.470,0.615918
0.290,32.933,0.293689
0.300,32.622,0.208809
0.310,32.361,0.025952
0.320,32.285,0.042735
0.330,32.147,0.030400
0.340,32.137,0.075254
0.350,32.261,0.318601
0.360,32.282,0.207470
0.370,32.287,0.184896
0.380,32.337,0.083571
0.390,32.549,0.138176
0.400,32.389,0.050821
0.410,32.633,0.031581
0.420,32.556,0.355530
0.430,32.336,0.115672
0.440,32.318,0.170356
0.450,32.403,0.181714
0.460,32.477,0.496652
0.470,32.107,0.308172
0.480,31.965,0.150281
0.490,32.179,0.175829
0.500,32.535,0.124867
0.510,32.518,0.024555
0.520,32.313,0.008942
0.530,32.190,0.067739
0.540,32.362,0.018400
0.550,32.469,0.011116
0.560,32.345,0.075906
0.570,32.548,0.211312
0.580,32.494,0.331484
0.590,32.591,0.058905
0.600,32.665,0.024157
0.610,32.614,0.011035
0.620,32.449,0.016581
0.630,32.389,0.011367
0.640,32.456,0.059758
0.650,32.568,0.019010
0.660,32.689,0.189297
0.670,32.738,0.100287
0.680,32.720,0.285048
0.690,32.836,0.191148
0.700,32.786,0.055471
0.710,32.479,0.035762
0.720,32.159,0.100708
0.730,32.088,0.417714
0.740,32.126,0.321611
0.750,32.238,0.055831
0.760,32.411,0.167738
0.770,32.200,0.027852
0.780,32.221,0.073826
0.790,32.380,0.013815
0.800,32.497,0.013731
0.810,32.345,0.028857
0.820,32.409,0.055062
0.830,32.394,0.056758
0.840,32.560,0.052705
0.850,32.607,0.055755
0.860,32.560,0.116281
0.870,32.371,0.017476
0.880,32.257,0.005505
0.890,32.517,0.010654
0.900,33.953,0.019265
0.910,36.592,0.488139
0.920,40.301,0.119210
0.930,45.331,0.404600
0.940,49.585,0.190388
0.950,54.657,0.216872
0.960,60.223,0.605572
0.970,69.868,0.653759
0.980,75.865,0.507448
0.990,84.106,0.138414
1.000,93.434,0.053317
1.010,103.036,0.056333
1.020,113.048,0.156651
