time,frequency,confidence
0.000,32.636,0.052337
0.010,36.070,0.031226
0.020,35.650,0.049488
0.030,35.762,0.063494
0.040,39.785,0.051842
0.050,44.682,0.045016
0.060,49.546,0.057278
0.070,51.881,0.036824
0.080,52.754,0.036291
0.090,54.390,0.042357
0.100,54.865,0.020726
0.110,52.315,0.030684
0.120,54.019,0.020559
0.130,55.119,0.015559
0.140,54.445,0.044082
0.150,49.571,0.035445
0.160,48.809,0.325166
0.170,52.028,0.026844
0.180,53.494,0.055545
0.190,59.129,0.023441
0.200,65.609,0.050553
0.210,71.714,0.040703
0.220,79.193,0.042158
0.230,86.422,0.040687
0.240,83.929,0.068589
0.250,83.416,0.072883
0.260,82.722,0.177725
0.270,84.805,0.030738
0.280,89.232,0.065240
0.290,94.801,0.005537
0.300,99.096,0.020174
0.310,104.116,0.104841
0.320,107.084,0.269447
0.330,113.726,0.007902
0.340,118.166,0.008543
0.350,124.071,0.007476
0.360,128.838,0.017607
0.370,132.932,0.022256
0.380,140.071,0.007813
0.390,144.301,0.072560
0.400,157.583,0.054481
0.410,174.448,0.048503
0.420,187.893,0.106932
0.430,204.964,0.267983
0.440,203.444,0.311878
0.450,207.989,0.411148
0.460,204.097,0.607139
0.470,200.892,0.681519
0.480,198.754,0.825477
0.490,198.235,0.836659
0.500,199.020,0.879580
0.510,202.347,0.842456
0.520,205.512,0.911739
0.530,208.298,0.932357
0.540,210.697,0.930065
0.550,213.344,0.913265
0.560,216.489,0.868804
0.570,220.115,0.918883
0.580,223.300,0.910586
0.590,226.818,0.876408
0.600,229.506,0.897414
0.610,230.368,0.902321
0.620,230.312,0.905473
0.630,229.766,0.902666
0.640,228.758,0.948032
0.650,227.923,0.946212
0.660,227.399,0.923847
0.670,226.933,0.938788
0.680,226.466,0.954845
0.690,225.905,0.961585
0.700,225.633,0.960391
0.710,225.204,0.955164
0.720,224.955,0.947405
0.730,224.088,0.950737
0.740,222.613,0.943152
0.750,220.535,0.962036
0.760,219.498,0.932134
0.770,218.789,0.941334
0.780,218.775,0.940537
0.790,219.291,0.918483
0.800,220.150,0.956418
0.810,220.872,0.964089
0.820,221.264,0.956125
0.830,221.513,0.952368
0.840,221.653,0.945147
0.850,221.809,0.938941
0.860,221.911,0.928911
0.870,221.819,0.936698
0.880,221.322,0.955878
0.890,220.398,0.957479
0.900,219.366,0.915785
0.910,218.736,0.942500
0.920,218.843,0.932546
0.930,219.895,0.940727
0.940,221.380,0.945579
0.950,222.874,0.946604
0.960,223.780,0.953602
0.970,224.184,0.943937
0.980,224.272,0.936640
0.990,224.264,0.933680
1.000,223.991,0.943705
1.010,223.179,0.959132
1.020,221.844,0.922051
1.030,220.441,0.953846
1.040,219.192,0.916769
1.050,218.204,0.947391
1.060,217.899,0.949826
1.070,218.183,0.948675
1.080,218.962,0.923433
1.090,219.881,0.939728
1.100,220.767,0.961320
1.110,221.679,0.938904
1.120,222.381,0.941944
1.130,222.761,0.959000
1.140,222.759,0.957310
1.150,222.387,0.948426
1.160,221.485,0.946754
1.170,220.467,0.957567
1.180,219.719,0.935021
1.190,219.004,0.934625
1.200,218.179,0.954711
1.210,217.809,0.960270
1.220,217.963,0.962017
1.230,218.660,0.947243
1.240,219.954,0.956436
1.250,221.120,0.966547
1.260,222.112,0.935802
1.270,222.384,0.949942
1.280,222.255,0.947139
1.290,221.931,0.936349
1.300,221.776,0.943793
1.310,222.048,0.935145
1.320,222.505,0.958017
1.330,223.054,0.967886
1.340,223.480,0.970638
1.350,223.914,0.961624
1.360,224.357,0.944266
1.370,224.931,0.950225
1.380,225.550,0.961860
1.390,226.638,0.950143
1.400,227.910,0.944824
1.410,229.713,0.907390
1.420,231.943,0.908151
1.430,234.968,0.927108
1.440,238.790,0.915094
1.450,243.394,0.889264
1.460,248.783,0.837210
1.470,258.392,0.849256
1.480,263.713,0.864347
1.490,267.487,0.893217
1.500,269.342,0.951522
1.510,270.066,0.953575
1.520,269.667,0.963409
1.530,268.873,0.972909
1.540,267.921,0.957632
1.550,266.540,0.929884
1.560,265.640,0.952070
1.570,265.390,0.952893
1.580,265.633,0.956619
1.590,266.064,0.946813
1.600,267.066,0.913345
1.610,267.810,0.914285
1.620,267.826,0.910598
1.630,267.268,0.872222
1.640,266.915,0.889912
1.650,266.731,0.887523
1.660,266.818,0.878802
1.670,267.206,0.866206
1.680,267.122,0.872389
1.690,266.970,0.879696
1.700,267.132,0.867891
1.710,267.178,0.853741
1.720,267.053,0.859056
1.730,267.115,0.850971
1.740,267.051,0.841626
1.750,266.717,0.872837
1.760,266.225,0.897679
1.770,265.670,0.904387
1.780,264.821,0.906538
1.790,264.346,0.877780
1.800,264.083,0.875261
1.810,264.047,0.899492
1.820,264.377,0.901497
1.830,264.421,0.904389
1.840,264.531,0.917185
1.850,264.719,0.919769
1.860,264.625,0.914629
1.870,264.580,0.917171
1.880,264.304,0.897419
1.890,264.306,0.898654
1.900,264.473,0.915715
1.910,264.580,0.910618
1.920,264.721,0.924832
1.930,264.597,0.921371
