time,frequency,confidence
0.000,139.565,0.087302
0.010,138.518,0.076692
0.020,139.226,0.273931
0.030,140.500,0.408058
0.040,143.792,0.671439
0.050,144.969,0.845354
0.060,145.787,0.912364
0.070,146.489,0.924367
0.080,147.005,0.926141
0.090,147.640,0.840282
0.100,148.088,0.753361
0.110,148.110,0.816392
0.120,146.822,0.515585
0.130,144.329,0.262222
0.140,145.303,0.458158
0.150,145.517,0.628459
0.160,146.014,0.887691
0.170,146.864,0.919240
0.180,147.240,0.939930
0.190,147.385,0.954280
0.200,147.450,0.954578
0.210,147.571,0.949097
0.220,147.676,0.941695
0.230,147.624,0.953139
0.240,147.645,0.954969
0.250,147.490,0.958586
0.260,147.390,0.964113
0.270,147.355,0.962798
0.280,147.384,0.958974
0.290,147.382,0.961844
0.300,147.318,0.948387
0.310,147.252,0.926430
0.320,147.987,0.820145
0.330,148.150,0.271363
0.340,142.031,0.381100
0.350,135.846,0.703727
0.360,132.078,0.575438
0.370,129.737,0.731283
0.380,129.240,0.602670
0.390,131.132,0.636533
0.400,131.588,0.699468
0.410,131.766,0.745883
0.420,131.377,0.738810
0.430,130.369,0.651579
0.440,131.160,0.736766
0.450,131.436,0.743015
0.460,132.044,0.750469
0.470,131.941,0.761040
0.480,131.513,0.765351
0.490,130.420,0.650322
0.500,130.655,0.672063
0.510,132.150,0.557174
0.520,133.062,0.412344
0.530,138.189,0.727672
0.540,141.320,0.666860
0.550,145.652,0.719978
0.560,147.099,0.849374
0.570,147.298,0.893921
0.580,147.485,0.914342
0.590,147.598,0.902089
0.600,147.766,0.883617
0.610,147.904,0.875137
0.620,147.852,0.876093
0.630,147.761,0.854960
0.640,147.594,0.900854
0.650,147.520,0.917424
0.660,147.494,0.913108
0.670,147.387,0.901578
0.680,147.480,0.886695
0.690,147.740,0.877480
0.700,148.228,0.859990
0.710,148.802,0.784652
0.720,150.736,0.218697
0.730,156.327,0.164234
0.740,158.285,0.268159
0.750,157.600,0.428877
0.760,152.394,0.419073
0.770,157.595,0.284935
0.780,159.352,0.468782
0.790,159.688,0.426442
0.800,160.169,0.334494
0.810,160.117,0.492335
0.820,158.642,0.553858
0.830,154.637,0.514342
0.840,153.552,0.432919
0.850,153.064,0.346439
0.860,151.301,0.365086
0.870,149.988,0.561135
0.880,151.855,0.633271
0.890,150.990,0.388776
0.900,150.063,0.424395
0.910,149.929,0.378469
0.920,165.691,0.406343
0.930,171.379,0.569777
0.940,172.060,0.732030
0.950,171.972,0.745910
0.960,172.472,0.851160
0.970,173.607,0.888552
0.980,173.738,0.876224
0.990,173.542,0.815748
1.000,173.966,0.842424
1.010,174.091,0.804164
1.020,174.356,0.759563
1.030,173.608,0.794912
1.040,174.559,0.782022
1.050,175.046,0.759432
1.060,175.221,0.769161
1.070,175.183,0.752232
1.080,175.128,0.592947
1.090,175.341,0.689107
1.100,175.398,0.799219
1.110,175.607,0.676359
1.120,175.427,0.847665
1.130,175.368,0.874008
1.140,175.637,0.866050
1.150,175.663,0.878716
1.160,175.795,0.906083
1.170,175.381,0.876494
1.180,175.267,0.872157
1.190,175.101,0.892463
1.200,175.285,0.892834
1.210,174.874,0.884433
1.220,174.403,0.853052
1.230,174.510,0.846466
1.240,174.608,0.856678
1.250,174.094,0.864498
1.260,173.923,0.844823
1.270,174.216,0.810659
1.280,174.255,0.851270
1.290,174.045,0.786731
1.300,174.696,0.719694
1.310,175.494,0.829535
1.320,175.105,0.819642
1.330,175.210,0.711609
1.340,175.595,0.820849
1.350,175.615,0.849375
1.360,175.623,0.819049
1.370,175.677,0.857281
1.380,175.815,0.853441
1.390,176.196,0.837645
1.400,176.123,0.864276
1.410,175.980,0.845885
1.420,175.625,0.853351
1.430,175.457,0.880594
1.440,175.205,0.900932
1.450,175.058,0.860718
1.460,174.882,0.873550
1.470,174.440,0.857832
1.480,174.081,0.878122
1.490,174.075,0.870432
1.500,174.300,0.861681
1.510,173.693,0.897312
1.520,173.804,0.877911
1.530,173.924,0.891804
1.540,173.995,0.897703
1.550,173.619,0.908955
1.560,173.799,0.894120
1.570,174.064,0.894426
1.580,174.541,0.912872
1.590,174.318,0.892914
1.600,174.649,0.897869
1.610,174.850,0.915175
1.620,174.814,0.923089
1.630,174.809,0.916405
1.640,174.871,0.895582
1.650,175.123,0.913093
1.660,174.772,0.917880
1.670,175.238,0.897995
1.680,175.002,0.893079
1.690,174.887,0.895101
1.700,174.152,0.838199
1.710,174.413,0.806973
1.720,174.332,0.798514
1.730,173.513,0.741829
1.740,172.390,0.636286
1.750,173.078,0.667994
1.760,173.792,0.608871
1.770,173.135,0.609443
1.780,173.044,0.508787
1.790,173.970,0.644343
1.800,174.393,0.650122
1.810,174.205,0.659967
1.820,174.787,0.357393
1.830,175.117,0.600030
1.840,175.118,0.619413
1.850,175.130,0.455672
1.860,175.143,0.380901
1.870,175.330,0.562163
1.880,194.970,0.385019
1.890,222.723,0.227448
1.900,254.265,0.369700
1.910,281.000,0.208784
1.920,304.282,0.179177
1.930,347.457,0.306868
1.940,345.748,0.475855
1.950,346.285,0.174234
1.960,344.886,0.228763
1.970,345.746,0.200847
1.980,344.557,0.282730
1.990,345.663,0.334307
2.000,346.644,0.232977
2.010,345.831,0.231534
2.020,347.310,0.324165
2.030,347.262,0.251957
2.040,349.394,0.226312
2.050,347.605,0.488798
2.060,348.502,0.225331
2.070,348.748,0.264858
2.080,349.125,0.410645
2.090,347.927,0.369836
2.100,348.380,0.287637
2.110,347.522,0.329720
2.120,346.124,0.617481
2.130,347.032,0.271118
2.140,345.442,0.250062
2.150,346.146,0.215512
2.160,344.233,0.369565
2.170,345.886,0.224063
2.180,344.258,0.240421
2.190,298.687,0.298579
