time,frequency,confidence
0.000,629.102,0.052579
0.010,627.078,0.024429
0.020,618.516,0.201130
0.030,621.771,0.064722
0.040,608.561,0.076358
0.050,591.106,0.085540
0.060,595.904,0.114940
0.070,595.786,0.078898
0.080,601.248,0.061259
0.090,607.019,0.024482
0.100,598.154,0.110386
0.110,654.451,0.057535
0.120,645.368,0.078857
0.130,644.498,0.014295
0.140,642.379,0.009874
0.150,637.772,0.038386
0.160,644.521,0.080969
0.170,645.095,0.118369
0.180,650.637,0.151853
0.190,595.141,0.085808
0.200,633.727,0.110060
0.210,658.247,0.069422
0.220,651.691,0.090777
0.230,658.464,0.103483
0.240,635.090,0.072771
0.250,633.798,0.072142
0.260,621.240,0.242875
0.270,613.309,0.348931
0.280,598.864,0.083199
0.290,588.819,0.065083
0.300,571.696,0.129203
0.310,552.382,0.083115
0.320,541.574,0.074212
0.330,530.024,0.061308
0.340,590.971,0.047161
0.350,646.137,0.065313
0.360,644.920,0.076071
0.370,657.180,0.141330
0.380,601.363,0.064847
0.390,543.885,0.043659
0.400,501.896,0.054137
0.410,446.564,0.068201
0.420,397.433,0.057930
0.430,363.566,0.172759
0.440,372.672,0.119742
0.450,377.166,0.078171
0.460,381.834,0.077777
0.470,385.507,0.301118
0.480,355.034,0.294828
0.490,349.510,0.122312
0.500,349.592,0.067060
0.510,393.409,0.059784
0.520,398.628,0.070943
0.530,400.412,0.079473
0.540,398.456,0.061660
0.550,399.351,0.066488
0.560,406.477,0.095727
0.570,416.331,0.054603
0.580,399.560,0.045621
0.590,378.188,0.096012
0.600,352.774,0.022337
0.610,392.350,0.085433
0.620,396.525,0.094565
0.630,397.818,0.055493
0.640,359.662,0.047906
0.650,331.790,0.084938
0.660,329.576,0.097336
0.670,342.680,0.099638
0.680,370.653,0.090376
0.690,399.790,0.077789
0.700,414.970,0.072010
0.710,415.958,0.193805
0.720,415.694,0.179455
0.730,417.557,0.168918
0.740,429.715,0.139284
0.750,399.744,0.091607
0.760,410.472,0.102827
0.770,407.955,0.123185
0.780,401.066,0.128393
0.790,397.756,0.094670
0.800,380.458,0.187804
