time,frequency,confidence
0.000,268.357,0.198145
0.010,273.875,0.086753
0.020,271.009,0.191236
0.030,272.522,0.575326
0.040,275.094,0.526971
0.050,276.738,0.121879
0.060,280.334,0.113957
0.070,283.481,0.425041
0.080,286.538,0.517254
0.090,290.208,0.381604
0.100,288.504,0.116628
0.110,288.702,0.069488
0.120,278.762,0.086410
0.130,268.394,0.088773
0.140,257.727,0.227320
0.150,256.907,0.419873
0.160,258.426,0.129549
0.170,252.582,0.250051
0.180,243.540,0.177361
0.190,237.817,0.116121
0.200,229.167,0.209537
0.210,226.784,0.464005
0.220,222.561,0.178118
0.230,220.171,0.041297
0.240,211.950,0.043493
0.250,200.255,0.048180
0.260,189.002,0.035927
0.270,201.576,0.109201
0.280,217.107,0.029168
0.290,230.748,0.072554
0.300,243.055,0.098175
0.310,274.836,0.120927
0.320,273.800,0.213471
0.330,283.379,0.140319
0.340,288.477,0.415410
0.350,285.691,0.015748
0.360,280.697,0.351506
0.370,267.255,0.192398
0.380,253.701,0.087623
0.390,247.383,0.052055
0.400,235.716,0.061480
0.410,227.194,0.073605
0.420,219.404,0.016193
0.430,216.451,0.013905
0.440,206.211,0.018595
0.450,200.821,0.066527
0.460,198.312,0.084973
0.470,188.206,0.098566
0.480,180.610,0.165478
0.490,174.360,0.208614
0.500,166.572,0.174863
0.510,163.208,0.056670
0.520,154.492,0.133034
0.530,137.337,0.025123
0.540,128.093,0.611218
0.550,127.411,0.723578
0.560,128.350,0.713980
0.570,143.390,0.287330
0.580,147.129,0.523529
0.590,148.707,0.805708
0.600,150.053,0.890926
0.610,152.254,0.893680
0.620,155.346,0.719736
0.630,162.933,0.557466
0.640,169.079,0.587796
0.650,177.229,0.715897
0.660,182.288,0.860138
0.670,184.969,0.928929
0.680,185.684,0.947472
0.690,185.247,0.940390
0.700,184.407,0.859250
0.710,182.041,0.692936
0.720,177.743,0.701342
0.730,172.762,0.609501
0.740,167.164,0.606767
0.750,161.482,0.555458
0.760,155.463,0.715748
0.770,150.248,0.725876
0.780,147.695,0.901882
0.790,148.189,0.898040
0.800,151.581,0.738993
0.810,156.914,0.657128
0.820,163.309,0.688282
0.830,167.806,0.822034
0.840,170.967,0.822734
0.850,174.225,0.859555
0.860,176.355,0.885416
0.870,177.369,0.945093
0.880,177.644,0.952371
0.890,177.644,0.947446
0.900,177.428,0.952199
0.910,177.586,0.953868
0.920,177.274,0.949859
0.930,176.300,0.900541
0.940,175.386,0.942091
0.950,174.224,0.910087
0.960,172.650,0.877079
0.970,169.786,0.821698
0.980,166.271,0.897253
0.990,164.060,0.917035
1.000,162.683,0.904794
1.010,161.348,0.919063
1.020,161.178,0.922630
1.030,162.515,0.896834
1.040,165.040,0.919257
1.050,167.772,0.856030
1.060,172.019,0.810678
1.070,175.939,0.874998
1.080,178.667,0.893741
1.090,180.297,0.877682
1.100,180.140,0.797755
1.110,177.359,0.728372
1.120,174.674,0.560685
1.130,163.550,0.674270
1.140,157.100,0.674857
1.150,151.543,0.454350
1.160,145.206,0.639873
1.170,142.388,0.771117
1.180,143.606,0.762213
1.190,161.862,0.327091
1.200,182.208,0.367617
1.210,188.539,0.618770
1.220,191.035,0.788110
1.230,192.953,0.899943
1.240,195.296,0.931774
1.250,196.823,0.955777
1.260,197.261,0.956503
1.270,197.384,0.955371
1.280,197.608,0.948739
1.290,198.000,0.944376
1.300,198.162,0.948427
1.310,197.890,0.933824
1.320,197.227,0.956477
1.330,196.302,0.961674
1.340,195.210,0.962957
1.350,194.149,0.959370
1.360,192.840,0.940073
1.370,191.891,0.950596
1.380,191.410,0.943327
1.390,191.440,0.943446
1.400,191.991,0.954843
1.410,192.416,0.956284
1.420,192.858,0.949080
1.430,193.299,0.921902
1.440,194.381,0.951703
1.450,196.076,0.934438
1.460,197.884,0.917685
1.470,199.868,0.922233
1.480,201.719,0.935966
1.490,202.633,0.932210
1.500,202.490,0.918833
1.510,201.339,0.931530
1.520,199.344,0.920055
1.530,197.036,0.938732
1.540,194.760,0.958159
1.550,192.640,0.931648
1.560,191.166,0.914802
1.570,190.469,0.940630
1.580,190.708,0.931152
1.590,191.753,0.932580
1.600,192.886,0.923264
1.610,194.366,0.945788
1.620,195.542,0.928101
1.630,196.178,0.914529
1.640,196.820,0.908961
1.650,197.760,0.839279
1.660,199.404,0.876572
1.670,199.500,0.910214
1.680,197.852,0.874727
1.690,195.840,0.902132
1.700,194.059,0.921218
1.710,192.799,0.911301
1.720,192.016,0.909171
1.730,192.389,0.906707
1.740,192.949,0.891426
1.750,194.150,0.929097
1.760,194.942,0.946412
1.770,195.569,0.932389
1.780,196.414,0.945858
1.790,197.427,0.926649
1.800,198.700,0.913146
1.810,200.344,0.885348
1.820,200.976,0.914982
1.830,200.877,0.909286
1.840,200.423,0.887706
1.850,199.934,0.905986
1.860,199.600,0.915036
1.870,199.224,0.920627
1.880,198.921,0.923171
1.890,198.967,0.921247
1.900,199.383,0.913195
1.910,199.938,0.893094
1.920,200.203,0.879030
1.930,200.195,0.880055
1.940,199.970,0.891477
1.950,199.385,0.911552
1.960,198.347,0.911133
1.970,197.242,0.924497
1.980,196.046,0.926886
1.990,194.963,0.939002
2.000,193.739,0.913314
2.010,193.378,0.895629
2.020,193.490,0.900226
2.030,194.087,0.923176
2.040,195.007,0.929532
2.050,195.983,0.929678
2.060,197.088,0.933080
2.070,198.278,0.906842
2.080,199.672,0.906601
2.090,201.125,0.917975
2.100,202.574,0.901726
2.110,204.039,0.952119
2.120,205.317,0.945737
2.130,206.222,0.959365
2.140,206.604,0.954517
2.150,206.451,0.954958
2.160,205.511,0.944334
2.170,204.229,0.946033
2.180,202.668,0.888150
2.190,200.757,0.882569
2.200,198.855,0.906817
2.210,197.403,0.919644
2.220,196.578,0.941026
2.230,196.120,0.937449
2.240,195.992,0.928119
2.250,195.662,0.915419
2.260,195.622,0.919083
2.270,195.689,0.917533
2.280,195.844,0.923163
2.290,196.115,0.933065
2.300,196.570,0.932801
2.310,197.396,0.920647
2.320,198.096,0.917863
2.330,198.445,0.933834
2.340,198.335,0.909291
2.350,197.525,0.816098
2.360,194.450,0.532810
2.370,187.809,0.534687
2.380,180.209,0.398566
2.390,166.838,0.424572
2.400,163.387,0.606991
2.410,165.385,0.309972
2.420,182.856,0.449523
2.430,180.804,0.259408
2.440,177.750,0.023364
2.450,177.989,0.026971
2.460,178.588,0.040838
2.470,178.580,0.032229
2.480,178.807,0.023121
2.490,179.626,0.016365
2.500,180.052,0.022412
2.510,180.759,0.024342
2.520,180.473,0.015042
2.530,180.948,0.014615
2.540,180.881,0.005114
2.550,181.657,0.005841
2.560,180.841,0.008749
2.570,180.562,0.010644
2.580,180.999,0.019086
2.590,181.317,0.013500
2.600,181.278,0.014888
2.610,181.881,0.013511
2.620,181.285,0.009995
2.630,180.184,0.029201
2.640,181.748,0.197713
2.650,181.810,0.136887
2.660,179.490,0.079014
2.670,180.579,0.321181
2.680,165.138,0.462616
