time,frequency,confidence
0.000,199.022,0.276943
0.010,199.821,0.392274
0.020,199.084,0.163354
0.030,214.129,0.138206
0.040,215.587,0.262035
0.050,216.016,0.295752
0.060,212.506,0.319693
0.070,208.834,0.528353
0.080,202.068,0.437119
0.090,197.072,0.434592
0.100,194.789,0.377836
0.110,195.694,0.267355
0.120,203.016,0.075338
0.130,201.433,0.072837
0.140,199.745,0.249709
0.150,198.384,0.187488
0.160,192.873,0.163306
0.170,194.736,0.114596
0.180,196.332,0.131438
0.190,197.332,0.219583
0.200,200.107,0.073226
0.210,205.460,0.007371
0.220,204.792,0.023302
0.230,202.469,0.061793
0.240,197.835,0.054843
0.250,194.859,0.035099
0.260,194.586,0.296020
0.270,198.698,0.215054
0.280,199.571,0.145936
0.290,198.472,0.080021
0.300,195.775,0.042610
0.310,197.291,0.136378
0.320,197.180,0.172997
0.330,197.672,0.024078
0.340,195.176,0.021305
0.350,191.399,0.368023
0.360,192.123,0.452201
0.370,194.151,0.689635
0.380,195.766,0.831760
0.390,196.297,0.884383
0.400,196.513,0.932425
0.410,196.391,0.945997
0.420,196.306,0.950563
0.430,196.310,0.956164
0.440,196.336,0.960873
0.450,196.361,0.959371
0.460,196.226,0.952503
0.470,196.087,0.942458
0.480,195.981,0.942775
0.490,196.071,0.954987
0.500,196.229,0.958475
0.510,196.093,0.948768
0.520,196.080,0.939408
0.530,196.413,0.930707
0.540,196.633,0.828353
0.550,195.792,0.603238
0.560,195.829,0.397580
0.570,207.184,0.512590
0.580,207.250,0.777432
0.590,207.544,0.839954
0.600,208.008,0.776763
0.610,209.813,0.653996
0.620,210.942,0.471192
0.630,207.665,0.393708
0.640,203.538,0.667406
0.650,203.181,0.798361
0.660,200.821,0.697679
0.670,197.057,0.677809
0.680,195.274,0.759834
0.690,195.227,0.775960
0.700,196.414,0.805618
0.710,197.937,0.797378
0.720,200.271,0.711102
0.730,201.079,0.672605
0.740,198.938,0.649230
0.750,195.737,0.700659
0.760,195.200,0.782590
0.770,196.377,0.810052
0.780,197.477,0.858614
0.790,196.872,0.872988
0.800,196.463,0.893845
0.810,197.176,0.878967
0.820,198.233,0.704193
0.830,199.135,0.411732
0.840,198.989,0.352949
0.850,199.945,0.586168
0.860,201.072,0.702539
0.870,203.125,0.654569
0.880,203.964,0.503453
0.890,203.774,0.370454
0.900,199.477,0.316635
0.910,202.828,0.413850
0.920,205.018,0.535516
0.930,205.004,0.631053
0.940,207.199,0.515030
0.950,210.935,0.464836
0.960,211.547,0.552733
0.970,209.854,0.666866
0.980,209.391,0.797015
0.990,209.889,0.889017
1.000,211.823,0.878823
1.010,213.788,0.832359
1.020,215.010,0.746769
1.030,216.515,0.703367
1.040,215.692,0.738895
1.050,214.733,0.762224
1.060,212.414,0.781992
1.070,211.290,0.864524
1.080,210.698,0.928213
1.090,211.183,0.915957
1.100,212.907,0.858996
1.110,214.997,0.760884
1.120,214.848,0.816442
1.130,214.673,0.868381
1.140,214.052,0.909890
1.150,213.989,0.918955
1.160,214.704,0.909068
1.170,216.309,0.844778
1.180,218.165,0.791052
1.190,216.763,0.747718
1.200,214.779,0.792215
1.210,213.657,0.894417
1.220,213.144,0.942461
1.230,212.847,0.942602
1.240,212.448,0.928743
1.250,212.372,0.914562
1.260,213.618,0.870176
1.270,215.116,0.795307
1.280,215.670,0.824947
1.290,214.967,0.875499
1.300,215.094,0.909570
1.310,215.089,0.889086
1.320,214.116,0.824490
1.330,213.204,0.833395
1.340,212.130,0.862823
1.350,212.020,0.896105
1.360,211.888,0.919292
1.370,211.991,0.910946
1.380,211.332,0.925200
1.390,210.894,0.931382
