time,frequency,confidence
0.000,146.957,0.238569
0.010,147.179,0.350259
0.020,146.057,0.392165
0.030,145.745,0.367241
0.040,144.531,0.316800
0.050,145.643,0.680559
0.060,146.841,0.858906
0.070,147.144,0.859897
0.080,147.154,0.865809
0.090,146.825,0.858213
0.100,147.414,0.859793
0.110,147.357,0.825430
0.120,147.614,0.821820
0.130,147.535,0.840528
0.140,146.931,0.841389
0.150,147.667,0.838269
0.160,147.010,0.876182
0.170,147.098,0.830060
0.180,147.603,0.758778
0.190,147.158,0.635313
0.200,147.588,0.618039
0.210,148.162,0.670461
0.220,147.458,0.723984
0.230,147.527,0.591595
0.240,147.457,0.451379
0.250,148.328,0.393881
0.260,149.341,0.458948
0.270,148.195,0.229632
0.280,143.299,0.423387
0.290,140.523,0.269296
0.300,143.492,0.419279
0.310,143.217,0.657877
0.320,144.875,0.551071
0.330,146.345,0.522044
0.340,146.879,0.757394
0.350,147.287,0.826303
0.360,147.470,0.922714
0.370,147.423,0.888862
0.380,147.453,0.905607
0.390,147.579,0.906388
0.400,147.456,0.911562
0.410,147.549,0.908745
0.420,147.559,0.921158
0.430,147.488,0.933041
0.440,147.342,0.935894
0.450,147.564,0.956203
0.460,147.476,0.957868
0.470,147.883,0.928616
0.480,161.488,0.587185
0.490,185.895,0.750868
0.500,196.289,0.844540
0.510,196.070,0.904862
0.520,196.385,0.916505
0.530,196.146,0.878803
0.540,195.778,0.860633
0.550,196.210,0.868727
0.560,196.552,0.910999
0.570,196.065,0.907567
0.580,195.811,0.898778
0.590,195.546,0.889213
0.600,195.919,0.909424
0.610,195.890,0.900564
0.620,195.827,0.876556
0.630,195.761,0.814464
0.640,195.224,0.653118
0.650,192.753,0.505037
0.660,194.058,0.367719
0.670,184.117,0.263961
0.680,172.275,0.266135
0.690,173.393,0.301027
0.700,177.258,0.380520
0.710,176.511,0.469718
0.720,173.615,0.568488
0.730,173.093,0.401372
0.740,176.853,0.335399
0.750,180.984,0.336276
0.760,176.515,0.436309
0.770,173.064,0.627306
0.780,174.007,0.491025
0.790,175.397,0.481294
0.800,179.614,0.405619
0.810,176.671,0.558283
0.820,173.431,0.616461
0.830,173.624,0.503229
0.840,174.410,0.314988
0.850,177.410,0.330821
0.860,176.402,0.534079
0.870,178.700,0.305562
0.880,190.398,0.649908
0.890,195.965,0.365993
0.900,196.670,0.401836
0.910,195.291,0.449475
0.920,193.407,0.413892
0.930,195.110,0.472248
0.940,196.453,0.555150
0.950,195.899,0.495248
0.960,194.048,0.445635
0.970,193.634,0.512073
0.980,195.790,0.627984
0.990,196.853,0.666042
1.000,196.377,0.650388
1.010,194.838,0.523997
1.020,194.049,0.495147
1.030,195.281,0.391989
1.040,196.535,0.339375
1.050,196.130,0.393793
1.060,194.154,0.383008
1.070,192.834,0.373961
1.080,194.952,0.324218
1.090,196.171,0.296385
1.100,195.495,0.329145
1.110,193.038,0.244411
1.120,193.419,0.317518
1.130,193.957,0.327841
1.140,194.768,0.180127
1.150,186.742,0.218338
1.160,172.936,0.537626
1.170,174.243,0.699422
1.180,175.689,0.711675
1.190,177.704,0.593768
1.200,175.222,0.751243
1.210,173.697,0.707740
1.220,174.973,0.690772
1.230,176.218,0.644503
1.240,177.561,0.674684
1.250,175.027,0.708981
1.260,173.467,0.747855
1.270,175.296,0.742535
1.280,176.603,0.750291
1.290,176.728,0.724666
1.300,174.669,0.764085
1.310,174.105,0.775890
1.320,175.366,0.814158
1.330,177.586,0.749569
1.340,177.359,0.789515
1.350,174.934,0.815419
1.360,174.018,0.813961
1.370,175.255,0.832237
