time,frequency,confidence
0.000,50.643,0.038549
0.010,50.916,0.015323
0.020,57.665,0.156062
0.030,56.408,0.638874
0.040,54.004,0.393187
0.050,50.515,0.409845
0.060,48.790,0.642768
0.070,48.377,0.279981
0.080,54.507,0.048266
0.090,49.428,0.088262
0.100,51.414,0.066643
0.110,56.044,0.079590
0.120,58.510,0.101042
0.130,57.515,0.032058
0.140,58.291,0.096426
0.150,59.728,0.212920
0.160,60.129,0.227492
0.170,64.723,0.194949
0.180,69.100,0.072072
0.190,76.410,0.303487
0.200,79.377,0.155585
0.210,86.901,0.234872
0.220,94.227,0.148945
0.230,101.689,0.095175
0.240,111.560,0.068089
0.250,118.299,0.131182
0.260,122.301,0.055460
0.270,134.414,0.062723
0.280,144.802,0.260457
0.290,158.782,0.099158
0.300,165.730,0.022039
0.310,177.993,0.019316
0.320,179.602,0.140269
0.330,175.370,0.334814
0.340,167.355,0.551253
0.350,168.852,0.661437
0.360,171.625,0.753186
0.370,174.158,0.798734
0.380,177.620,0.745480
0.390,183.183,0.816527
0.400,187.277,0.707316
0.410,195.573,0.615831
0.420,202.931,0.669595
0.430,208.527,0.741104
0.440,214.967,0.625407
0.450,223.051,0.868466
0.460,228.373,0.858432
0.470,233.132,0.885140
0.480,236.529,0.914113
0.490,239.780,0.920923
0.500,243.605,0.910287
0.510,248.099,0.917354
0.520,252.693,0.929886
0.530,256.620,0.950720
0.540,261.161,0.878845
0.550,266.820,0.927600
0.560,272.054,0.953765
0.570,275.993,0.932777
0.580,280.427,0.902852
0.590,284.780,0.947718
0.600,287.589,0.948974
0.610,290.177,0.942223
0.620,293.003,0.920065
0.630,296.379,0.918196
0.640,300.405,0.933417
0.650,304.517,0.951926
0.660,309.442,0.947069
0.670,313.526,0.946341
0.680,317.496,0.920990
0.690,320.610,0.945196
0.700,323.437,0.952052
0.710,326.044,0.951286
0.720,328.072,0.947535
0.730,329.149,0.946747
0.740,329.688,0.961555
0.750,329.726,0.962538
0.760,329.447,0.956511
0.770,329.435,0.956341
0.780,329.859,0.960647
0.790,331.032,0.958652
0.800,332.526,0.927971
0.810,334.338,0.953203
0.820,335.495,0.946501
0.830,336.161,0.943855
0.840,336.761,0.918123
0.850,337.106,0.923973
0.860,337.297,0.935821
0.870,338.098,0.947629
0.880,338.371,0.953069
0.890,338.506,0.952471
0.900,338.488,0.958253
0.910,338.221,0.959931
0.920,338.409,0.952377
0.930,338.691,0.959365
0.940,338.786,0.965498
0.950,338.409,0.960345
0.960,337.897,0.964940
0.970,338.163,0.962783
0.980,338.722,0.959322
0.990,339.268,0.965990
1.000,340.262,0.950454
1.010,340.873,0.948580
1.020,341.252,0.948864
1.030,341.809,0.960509
1.040,341.162,0.954568
1.050,339.627,0.954438
1.060,337.196,0.951650
1.070,335.601,0.960529
1.080,333.926,0.964454
1.090,331.793,0.967802
1.100,327.720,0.935545
1.110,320.356,0.871427
1.120,313.098,0.900816
1.130,305.151,0.940202
1.140,300.509,0.935317
1.150,296.753,0.931833
1.160,294.483,0.968622
1.170,293.362,0.948811
1.180,292.907,0.922899
1.190,293.061,0.932586
1.200,293.796,0.958579
1.210,294.589,0.967162
1.220,295.420,0.961827
1.230,296.302,0.941135
1.240,297.121,0.951381
1.250,297.987,0.969577
1.260,298.720,0.971679
1.270,299.402,0.965904
1.280,300.626,0.963032
1.290,302.340,0.967221
1.300,304.793,0.968432
1.310,307.677,0.964523
1.320,310.091,0.956415
1.330,311.177,0.961454
1.340,312.046,0.970298
1.350,312.305,0.971475
1.360,311.975,0.969753
1.370,310.712,0.947483
1.380,307.958,0.968652
1.390,304.296,0.969629
1.400,300.402,0.941838
1.410,296.846,0.927238
1.420,293.835,0.960600
1.430,291.292,0.949638
1.440,289.268,0.911558
1.450,288.683,0.946030
1.460,289.054,0.931409
1.470,289.587,0.927251
1.480,290.344,0.950115
1.490,291.862,0.949524
1.500,293.688,0.951219
1.510,295.686,0.952626
1.520,298.153,0.960940
1.530,301.082,0.955920
1.540,304.591,0.963885
1.550,308.047,0.965327
1.560,310.419,0.945989
1.570,311.090,0.963236
1.580,311.423,0.967554
1.590,311.611,0.969331
1.600,311.435,0.967154
1.610,310.495,0.947233
1.620,308.595,0.975553
1.630,306.256,0.970857
1.640,304.373,0.981491
1.650,302.768,0.967116
1.660,300.991,0.966518
1.670,298.824,0.965313
1.680,296.777,0.934645
1.690,294.708,0.969832
1.700,293.232,0.943220
1.710,292.282,0.943597
1.720,291.841,0.950933
1.730,292.286,0.945910
1.740,293.229,0.941526
1.750,294.385,0.965352
1.760,295.268,0.966310
1.770,296.228,0.948163
1.780,297.688,0.965135
1.790,299.811,0.945841
1.800,302.837,0.955477
1.810,306.002,0.960333
1.820,309.775,0.954728
1.830,311.951,0.970977
1.840,313.578,0.957111
1.850,314.661,0.957263
1.860,314.979,0.963877
1.870,315.168,0.968526
1.880,314.812,0.958763
1.890,313.705,0.952459
1.900,312.196,0.970209
1.910,310.687,0.951729
1.920,309.173,0.973154
1.930,305.821,0.972285
1.940,302.946,0.958581
1.950,300.376,0.952158
1.960,298.722,0.971415
1.970,297.759,0.971217
1.980,297.507,0.966081
1.990,297.384,0.960875
2.000,296.580,0.937740
2.010,295.149,0.971977
2.020,293.896,0.963720
2.030,293.203,0.946025
2.040,293.041,0.943097
2.050,294.111,0.963969
2.060,296.637,0.924848
2.070,299.889,0.930984
2.080,304.096,0.945694
2.090,308.823,0.956349
2.100,312.761,0.957695
2.110,316.561,0.946950
2.120,319.381,0.962656
2.130,320.678,0.949348
2.140,321.545,0.947637
2.150,320.802,0.944154
2.160,319.021,0.962564
2.170,316.718,0.940335
2.180,313.921,0.936878
2.190,310.841,0.947423
2.200,307.229,0.961209
2.210,304.477,0.975815
2.220,302.197,0.971512
2.230,299.674,0.948411
2.240,297.029,0.947634
2.250,294.607,0.972723
2.260,293.217,0.951637
2.270,293.010,0.941848
2.280,294.528,0.957303
2.290,297.968,0.941076
2.300,302.917,0.928866
2.310,309.440,0.900679
2.320,317.202,0.894291
2.330,324.034,0.915047
2.340,328.654,0.922589
2.350,331.287,0.960417
2.360,332.335,0.937352
2.370,332.327,0.943812
2.380,331.671,0.963199
2.390,330.798,0.971959
2.400,329.717,0.965702
2.410,328.854,0.937546
2.420,328.311,0.951432
2.430,328.038,0.958447
2.440,328.279,0.953398
2.450,328.777,0.937704
2.460,330.012,0.966636
2.470,331.153,0.964328
2.480,332.204,0.947863
2.490,333.500,0.947248
2.500,335.094,0.953264
2.510,336.248,0.934700
2.520,336.285,0.931292
2.530,335.430,0.954135
2.540,334.444,0.956231
2.550,333.524,0.952647
2.560,332.918,0.948233
2.570,332.918,0.948148
2.580,333.635,0.956093
2.590,334.899,0.954502
2.600,336.735,0.916565
2.610,340.021,0.825359
2.620,346.809,0.751436
2.630,358.302,0.575043
2.640,371.530,0.792800
2.650,378.404,0.933332
2.660,379.134,0.956050
2.670,379.340,0.959567
2.680,379.684,0.957598
2.690,378.483,0.914813
2.700,375.171,0.913660
2.710,369.441,0.899674
2.720,363.724,0.879331
2.730,355.465,0.923492
2.740,349.170,0.936664
2.750,344.646,0.925794
2.760,338.786,0.921449
2.770,333.935,0.949988
2.780,330.868,0.965887
2.790,328.129,0.955287
2.800,325.641,0.949616
2.810,322.928,0.954409
2.820,318.121,0.913868
2.830,313.522,0.933931
2.840,309.465,0.958571
2.850,305.517,0.960103
2.860,302.079,0.957211
2.870,298.972,0.961538
2.880,296.445,0.947203
2.890,294.601,0.973796
2.900,293.468,0.955638
2.910,293.065,0.933623
2.920,293.790,0.947067
2.930,296.514,0.870791
2.940,301.249,0.733798
2.950,310.096,0.493242
2.960,322.912,0.337855
2.970,336.765,0.310845
2.980,379.323,0.726097
2.990,375.348,0.733129
3.000,365.810,0.841613
3.010,357.370,0.882175
3.020,349.646,0.902723
3.030,341.645,0.803999
3.040,332.635,0.860143
3.050,324.767,0.753818
3.060,314.719,0.762690
3.070,305.659,0.888026
3.080,299.767,0.920684
3.090,294.789,0.949704
3.100,291.464,0.950018
3.110,288.810,0.937589
3.120,287.081,0.959313
3.130,285.705,0.957283
3.140,284.758,0.973896
3.150,284.340,0.975668
3.160,284.162,0.974878
3.170,283.670,0.965155
3.180,282.781,0.936868
3.190,282.002,0.954275
3.200,280.795,0.953643
3.210,279.500,0.934146
3.220,278.360,0.954422
3.230,277.222,0.954314
3.240,276.122,0.931787
3.250,275.182,0.959688
3.260,274.429,0.961623
3.270,273.855,0.950694
3.280,273.236,0.953784
3.290,272.809,0.963577
3.300,272.933,0.962207
3.310,273.398,0.937766
3.320,273.887,0.957057
3.330,274.038,0.955435
3.340,274.273,0.959881
3.350,274.270,0.958518
3.360,274.313,0.963234
3.370,274.065,0.955565
3.380,274.111,0.956284
3.390,273.985,0.954749
3.400,273.941,0.958170
3.410,273.405,0.946158
3.420,272.739,0.962290
3.430,272.011,0.970352
3.440,271.323,0.966975
3.450,271.062,0.961778
3.460,270.715,0.950431
3.470,270.642,0.947680
3.480,270.509,0.944882
3.490,270.457,0.942530
3.500,270.623,0.950292
3.510,270.535,0.949059
3.520,270.907,0.957820
3.530,271.340,0.965979
3.540,271.775,0.971572
3.550,271.972,0.971869
3.560,272.305,0.967894
3.570,272.405,0.969568
3.580,271.820,0.969895
3.590,271.271,0.964835
3.600,270.820,0.954953
3.610,270.424,0.946564
3.620,270.215,0.953072
3.630,270.569,0.948102
3.640,271.369,0.967374
3.650,271.895,0.971865
3.660,272.496,0.967455
3.670,273.075,0.953974
3.680,273.819,0.952420
3.690,274.154,0.956967
3.700,274.279,0.955284
3.710,273.826,0.952045
3.720,273.085,0.955689
3.730,272.670,0.969354
3.740,272.586,0.966402
3.750,272.820,0.965272
3.760,273.007,0.957353
3.770,273.465,0.941688
3.780,273.578,0.943357
3.790,273.811,0.951838
3.800,273.702,0.945113
3.810,274.109,0.950562
3.820,274.215,0.953163
3.830,274.454,0.956180
3.840,274.264,0.950856
3.850,274.124,0.946788
3.860,273.760,0.940814
3.870,273.789,0.941528
3.880,274.070,0.947437
3.890,274.620,0.948934
3.900,274.485,0.953523
3.910,273.659,0.934477
3.920,272.670,0.960061
3.930,271.943,0.964434
3.940,272.014,0.968259
3.950,272.384,0.963102
3.960,273.408,0.929070
3.970,274.309,0.946336
3.980,274.784,0.953587
3.990,274.310,0.947211
4.000,273.392,0.932301
4.010,272.189,0.969662
4.020,270.441,0.945917
4.030,268.556,0.971642
4.040,266.601,0.952509
4.050,263.912,0.917027
4.060,260.852,0.917399
4.070,257.016,0.944485
4.080,253.091,0.930665
4.090,249.782,0.929398
4.100,248.100,0.938385
4.110,247.836,0.948540
4.120,248.304,0.941657
4.130,250.363,0.950136
4.140,252.621,0.941123
4.150,253.939,0.961026
4.160,254.641,0.958802
4.170,255.156,0.945233
4.180,255.046,0.947675
4.190,254.665,0.955529
4.200,254.053,0.967503
4.210,253.901,0.967122
4.220,254.263,0.962554
4.230,254.749,0.957037
4.240,255.438,0.951448
4.250,255.423,0.958327
4.260,254.797,0.946102
4.270,253.894,0.964517
4.280,253.116,0.958251
4.290,252.549,0.949934
4.300,252.379,0.939173
4.310,252.106,0.937518
4.320,252.149,0.936469
4.330,252.076,0.937678
4.340,252.059,0.937161
4.350,251.823,0.946896
4.360,251.547,0.954519
4.370,251.432,0.957627
4.380,251.029,0.961267
4.390,250.729,0.962155
4.400,250.376,0.959684
4.410,250.263,0.956757
4.420,250.108,0.954712
4.430,250.386,0.956146
4.440,250.652,0.958635
4.450,251.039,0.956303
4.460,251.426,0.954542
4.470,252.313,0.937168
4.480,252.946,0.960656
4.490,253.429,0.964930
4.500,253.445,0.967442
4.510,253.438,0.963103
4.520,253.281,0.964652
4.530,253.090,0.958589
4.540,252.823,0.959226
4.550,252.865,0.954203
4.560,252.826,0.957027
4.570,253.264,0.964438
4.580,253.475,0.968810
4.590,253.350,0.967448
4.600,252.866,0.955196
4.610,251.803,0.946763
4.620,251.062,0.959907
4.630,250.561,0.960241
4.640,250.735,0.958602
4.650,250.897,0.957301
4.660,251.403,0.949161
4.670,251.797,0.945829
4.680,252.293,0.937760
4.690,252.374,0.945917
4.700,252.132,0.934687
4.710,251.513,0.950371
4.720,251.536,0.949798
4.730,251.559,0.947258
4.740,251.576,0.948992
4.750,251.217,0.954335
4.760,251.320,0.954577
4.770,251.581,0.952590
4.780,251.940,0.943494
4.790,252.171,0.936923
4.800,252.427,0.941522
4.810,252.504,0.947810
4.820,252.994,0.957451
4.830,253.350,0.968432
4.840,253.678,0.969744
4.850,253.665,0.971143
4.860,253.493,0.969213
4.870,253.263,0.967000
4.880,252.808,0.960327
4.890,252.644,0.952943
4.900,252.047,0.941993
4.910,251.825,0.947003
4.920,251.524,0.952266
4.930,251.710,0.947196
4.940,251.584,0.948707
4.950,251.756,0.943653
4.960,251.337,0.954772
4.970,251.085,0.958536
4.980,250.699,0.962332
4.990,250.817,0.960709
5.000,250.714,0.963344
5.010,250.768,0.960683
5.020,250.699,0.962804
5.030,250.874,0.959370
5.040,250.706,0.961062
5.050,250.315,0.956224
5.060,249.905,0.953481
5.070,249.946,0.952590
5.080,250.353,0.959776
5.090,251.453,0.953132
5.100,252.209,0.937033
5.110,252.851,0.958900
5.120,252.934,0.964086
5.130,252.734,0.958176
5.140,251.915,0.944643
5.150,251.110,0.959889
5.160,250.585,0.962702
5.170,250.527,0.964847
5.180,250.931,0.965226
5.190,251.212,0.963852
5.200,251.388,0.960126
5.210,250.797,0.964584
5.220,250.302,0.962294
5.230,249.631,0.950331
5.240,249.443,0.945543
5.250,249.467,0.945902
5.260,249.987,0.958392
5.270,250.413,0.961476
5.280,250.839,0.960398
5.290,250.704,0.963063
5.300,250.844,0.960670
5.310,251.187,0.960650
5.320,251.958,0.942261
5.330,252.437,0.950441
5.340,253.072,0.963724
5.350,253.105,0.966638
5.360,252.795,0.953091
5.370,252.294,0.937964
5.380,252.180,0.936170
5.390,252.137,0.939415
5.400,252.792,0.957412
5.410,253.309,0.970531
5.420,253.700,0.972253
5.430,253.302,0.971194
5.440,252.912,0.962876
5.450,252.466,0.950393
5.460,252.240,0.938625
5.470,252.171,0.943396
5.480,251.958,0.950140
5.490,252.085,0.942335
5.500,252.212,0.942369
5.510,252.738,0.957112
5.520,252.700,0.957061
5.530,252.612,0.952669
5.540,252.093,0.933819
5.550,251.649,0.949050
5.560,251.014,0.957601
5.570,250.883,0.958953
5.580,250.595,0.960294
5.590,250.905,0.959520
5.600,251.130,0.958903
5.610,251.782,0.948490
5.620,251.910,0.946462
5.630,251.868,0.947277
5.640,251.863,0.946698
5.650,252.481,0.946338
5.660,252.825,0.960014
5.670,253.274,0.967438
5.680,253.144,0.967466
5.690,252.678,0.955172
5.700,251.795,0.948016
5.710,251.191,0.960869
5.720,251.046,0.963043
5.730,250.995,0.963238
5.740,251.340,0.958540
5.750,251.280,0.960441
5.760,251.299,0.957612
5.770,250.920,0.962716
5.780,250.720,0.960856
5.790,250.385,0.961041
5.800,250.344,0.959653
5.810,250.347,0.962546
5.820,250.664,0.963237
5.830,251.163,0.961369
5.840,251.922,0.943319
5.850,252.240,0.940400
5.860,252.235,0.933751
5.870,251.395,0.952192
5.880,250.714,0.958385
5.890,250.443,0.959398
5.900,250.927,0.958655
5.910,251.170,0.958085
5.920,251.414,0.953411
5.930,251.168,0.959149
5.940,251.096,0.959538
5.950,250.916,0.962601
5.960,250.858,0.961255
5.970,250.931,0.961753
5.980,251.459,0.953770
5.990,251.757,0.948553
6.000,252.128,0.938816
6.010,252.139,0.938527
6.020,252.694,0.953947
6.030,253.157,0.966074
6.040,253.416,0.970229
6.050,253.301,0.969559
6.060,253.191,0.968721
6.070,252.924,0.963311
6.080,252.402,0.950387
6.090,252.467,0.948057
6.100,252.300,0.942991
6.110,252.243,0.935510
6.120,251.891,0.939817
6.130,251.832,0.940012
6.140,251.550,0.947244
6.150,251.758,0.941386
6.160,251.721,0.944815
6.170,251.889,0.942369
6.180,251.673,0.951667
6.190,251.654,0.951983
6.200,251.499,0.954872
6.210,251.574,0.949878
6.220,251.307,0.957627
6.230,251.417,0.955087
6.240,250.915,0.961080
6.250,250.621,0.962385
6.260,250.214,0.962924
6.270,250.270,0.959972
6.280,250.360,0.959364
6.290,250.611,0.959188
6.300,250.708,0.958714
6.310,250.757,0.957590
6.320,250.710,0.956986
6.330,250.453,0.952207
6.340,249.599,0.924648
6.350,247.895,0.921648
6.360,246.526,0.897750
6.370,245.850,0.938950
6.380,245.947,0.934360
6.390,245.704,0.943583
6.400,244.620,0.946510
6.410,242.514,0.884280
6.420,238.284,0.614221
6.430,229.434,0.427069
6.440,218.977,0.592652
6.450,215.424,0.831692
6.460,218.854,0.485353
6.470,242.277,0.401506
6.480,259.487,0.547446
6.490,263.277,0.746197
6.500,265.914,0.921478
6.510,268.951,0.946344
6.520,271.986,0.961362
6.530,273.957,0.957674
6.540,274.817,0.963790
6.550,275.718,0.954178
6.560,275.785,0.950265
6.570,275.684,0.954598
6.580,275.346,0.958736
6.590,275.430,0.957037
6.600,274.882,0.961297
6.610,274.042,0.952571
6.620,273.017,0.949363
6.630,272.226,0.962526
6.640,271.086,0.950411
6.650,269.484,0.952239
6.660,267.662,0.937052
6.670,266.084,0.956938
6.680,265.851,0.956915
6.690,267.459,0.918729
6.700,271.077,0.922154
6.710,275.281,0.919726
6.720,279.934,0.823383
6.730,287.724,0.800538
6.740,295.145,0.833651
6.750,301.945,0.895170
6.760,308.273,0.897106
6.770,311.891,0.962044
6.780,312.686,0.965504
6.790,312.037,0.967096
6.800,309.922,0.947292
6.810,306.392,0.911809
6.820,300.952,0.915221
6.830,296.187,0.937265
6.840,292.582,0.928648
6.850,290.193,0.927129
6.860,289.410,0.911485
6.870,290.326,0.827733
6.880,294.045,0.632564
6.890,300.472,0.547336
6.900,306.296,0.351608
6.910,332.860,0.632961
6.920,367.507,0.861001
6.930,365.576,0.672626
6.940,354.447,0.674025
6.950,346.715,0.653208
6.960,332.860,0.609014
6.970,326.141,0.540326
6.980,290.838,0.449907
6.990,282.670,0.680263
7.000,275.424,0.912403
7.010,272.405,0.947539
7.020,269.713,0.949039
7.030,268.192,0.953502
7.040,267.738,0.941391
7.050,267.485,0.936119
7.060,268.176,0.954280
7.070,269.063,0.956727
7.080,269.610,0.952531
7.090,270.157,0.939093
7.100,270.446,0.933568
7.110,270.930,0.944017
7.120,271.869,0.962510
7.130,272.872,0.953538
7.140,273.499,0.934095
7.150,273.854,0.947915
7.160,273.621,0.938553
7.170,272.917,0.954643
7.180,272.378,0.960202
7.190,272.186,0.963124
7.200,272.102,0.964519
7.210,271.985,0.965441
7.220,272.109,0.965232
7.230,272.279,0.966483
7.240,272.539,0.965733
7.250,272.618,0.960816
7.260,272.901,0.954855
7.270,272.783,0.957695
7.280,272.321,0.966492
7.290,271.737,0.965957
7.300,270.695,0.942013
7.310,269.106,0.960904
7.320,267.827,0.949612
7.330,267.363,0.928470
7.340,268.686,0.945284
7.350,271.483,0.939949
7.360,275.572,0.921274
7.370,281.159,0.835415
7.380,288.993,0.817786
7.390,295.067,0.862585
7.400,302.151,0.907498
7.410,308.185,0.917870
7.420,311.039,0.953830
7.430,311.317,0.959114
7.440,309.697,0.949396
7.450,306.114,0.937112
7.460,302.126,0.941050
7.470,299.235,0.949061
7.480,297.740,0.961637
7.490,296.831,0.940509
7.500,295.812,0.969068
7.510,294.701,0.974541
7.520,293.330,0.946426
7.530,291.898,0.943729
7.540,290.783,0.942002
7.550,290.246,0.936863
7.560,290.252,0.935762
7.570,290.570,0.941812
7.580,291.511,0.948802
7.590,293.193,0.931327
7.600,296.026,0.934327
7.610,299.646,0.915256
7.620,303.962,0.926158
7.630,308.121,0.940592
7.640,310.656,0.941991
7.650,311.225,0.957360
7.660,310.635,0.935086
7.670,308.601,0.960366
7.680,305.761,0.956759
7.690,302.878,0.939602
7.700,300.450,0.946484
7.710,298.290,0.957905
7.720,295.773,0.961702
7.730,293.149,0.920155
7.740,290.562,0.926408
7.750,288.061,0.934036
7.760,285.846,0.937449
7.770,284.665,0.957902
7.780,284.123,0.955450
7.790,284.904,0.956651
7.800,286.753,0.932822
7.810,289.193,0.912232
7.820,291.340,0.943265
7.830,293.671,0.937712
7.840,296.831,0.921555
7.850,300.483,0.933079
7.860,303.774,0.940226
7.870,306.399,0.944848
7.880,307.971,0.959757
7.890,308.530,0.967641
7.900,308.251,0.965246
7.910,306.523,0.941414
7.920,303.364,0.922320
7.930,299.644,0.927720
7.940,296.529,0.941740
7.950,293.792,0.951621
7.960,291.710,0.942715
7.970,289.441,0.899078
7.980,287.559,0.946980
7.990,286.181,0.927243
8.000,285.589,0.947271
8.010,286.001,0.932665
8.020,287.558,0.946382
8.030,289.899,0.893002
8.040,293.644,0.871943
8.050,300.259,0.843883
8.060,307.450,0.821570
8.070,313.162,0.912889
8.080,317.050,0.902582
8.090,319.595,0.948012
8.100,320.551,0.925328
8.110,320.028,0.925331
8.120,316.476,0.903638
8.130,313.090,0.929178
8.140,308.982,0.950073
8.150,304.111,0.925715
8.160,299.425,0.918078
8.170,295.366,0.944860
8.180,292.225,0.928834
8.190,290.108,0.920472
8.200,288.987,0.930321
8.210,288.571,0.945354
8.220,288.777,0.936893
8.230,289.957,0.897274
8.240,291.152,0.797273
8.250,295.917,0.584793
8.260,301.270,0.508003
8.270,325.486,0.357945
8.280,352.291,0.840210
8.290,351.781,0.817135
8.300,344.430,0.601160
8.310,331.088,0.561190
8.320,315.687,0.614589
8.330,304.591,0.790432
8.340,295.765,0.860166
8.350,290.004,0.847687
8.360,285.224,0.873691
8.370,279.294,0.892556
8.380,276.548,0.919232
8.390,274.927,0.950372
8.400,273.123,0.938073
8.410,271.359,0.946135
8.420,269.909,0.934427
8.430,270.501,0.783956
8.440,297.055,0.592970
8.450,325.888,0.481619
