time,frequency,confidence
0.000,55.544,0.518558
0.010,55.513,0.568166
0.020,54.756,0.727662
0.030,54.800,0.503345
0.040,54.768,0.180284
0.050,55.165,0.136449
0.060,55.358,0.063218
0.070,55.479,0.052377
0.080,57.400,0.098061
0.090,56.498,0.062567
0.100,54.890,0.232494
0.110,52.977,0.202972
0.120,53.107,0.089317
0.130,54.565,0.141276
0.140,55.798,0.054178
0.150,56.968,0.062327
0.160,56.420,0.172842
0.170,55.417,0.119416
0.180,55.166,0.190644
0.190,58.604,0.198995
0.200,60.257,0.365501
0.210,59.367,0.154292
0.220,57.879,0.056454
0.230,56.909,0.055486
0.240,56.313,0.053223
0.250,56.520,0.041211
0.260,54.896,0.093015
0.270,54.834,0.075628
0.280,53.893,0.552298
0.290,59.007,0.654984
0.300,67.173,0.566016
0.310,76.489,0.030104
0.320,84.894,0.046164
0.330,96.689,0.491962
0.340,107.914,0.479291
0.350,120.749,0.326740
0.360,134.859,0.106973
0.370,153.214,0.039771
0.380,167.811,0.097786
0.390,170.021,0.185751
0.400,183.180,0.372053
0.410,192.136,0.547060
0.420,197.552,0.772502
0.430,202.403,0.848695
0.440,205.937,0.955991
0.450,208.426,0.958284
0.460,210.725,0.961369
0.470,212.733,0.967872
0.480,214.674,0.946400
0.490,216.640,0.937272
0.500,218.445,0.958119
0.510,220.205,0.966985
0.520,221.886,0.930357
0.530,223.212,0.958183
0.540,224.926,0.941020
0.550,227.655,0.929231
0.560,230.568,0.910582
0.570,233.350,0.944436
0.580,235.082,0.940380
0.590,236.813,0.958298
0.600,239.010,0.956435
0.610,241.613,0.975750
0.620,243.077,0.972516
0.630,243.958,0.952682
0.640,244.816,0.964758
0.650,245.670,0.957815
0.660,246.348,0.933365
0.670,246.814,0.941620
0.680,247.563,0.952960
0.690,248.129,0.948002
0.700,248.878,0.917433
0.710,249.883,0.951492
0.720,251.240,0.951321
0.730,252.924,0.957332
0.740,254.421,0.967447
0.750,255.562,0.964303
0.760,256.607,0.978438
0.770,257.289,0.973197
0.780,258.358,0.940885
0.790,259.820,0.951901
0.800,261.728,0.944805
0.810,263.672,0.926705
0.820,266.257,0.959415
0.830,268.323,0.960520
0.840,269.285,0.970736
0.850,269.936,0.969861
0.860,270.330,0.960260
0.870,270.002,0.969962
0.880,269.734,0.973853
0.890,270.062,0.966314
0.900,270.446,0.955460
0.910,271.138,0.969557
0.920,271.392,0.972187
0.930,271.659,0.975920
0.940,271.589,0.976301
0.950,272.115,0.973778
0.960,272.889,0.960607
0.970,274.086,0.958775
