time,frequency,confidence
0.000,318.304,0.056835
0.010,320.712,0.070924
0.020,320.796,0.076180
0.030,314.834,0.088625
0.040,309.289,0.094180
0.050,311.428,0.057139
0.060,305.926,0.017863
0.070,305.124,0.041709
0.080,305.686,0.593793
0.090,305.512,0.162730
0.100,307.127,0.054604
0.110,309.075,0.279689
0.120,311.966,0.357478
0.130,312.012,0.505464
0.140,309.378,0.124088
0.150,311.151,0.426752
0.160,313.170,0.268963
0.170,312.070,0.106237
0.180,313.661,0.348053
0.190,315.041,0.187999
0.200,314.044,0.193563
0.210,309.627,0.111309
0.220,301.596,0.040596
0.230,284.887,0.038834
0.240,283.834,0.080206
0.250,286.772,0.057368
0.260,289.433,0.088984
0.270,290.786,0.130649
0.280,291.117,0.165512
0.290,300.933,0.122732
0.300,303.040,0.055251
0.310,295.498,0.107177
0.320,287.963,0.039248
0.330,282.724,0.174399
0.340,275.696,0.029447
0.350,272.336,0.037000
0.360,271.525,0.016256
0.370,266.198,0.145926
0.380,261.447,0.290929
0.390,258.674,0.096566
0.400,253.073,0.054000
0.410,249.023,0.038783
0.420,246.877,0.055611
0.430,246.911,0.044026
0.440,245.746,0.037500
0.450,241.432,0.038922
0.460,239.902,0.068949
0.470,234.156,0.074880
0.480,232.485,0.063868
0.490,225.065,0.177208
0.500,202.964,0.135257
0.510,195.323,0.292391
0.520,201.641,0.304331
0.530,203.988,0.529051
0.540,203.367,0.748800
0.550,203.124,0.894392
0.560,203.518,0.935878
0.570,203.711,0.944513
0.580,204.441,0.942943
0.590,205.435,0.945648
0.600,206.408,0.952356
0.610,207.715,0.938061
0.620,209.269,0.923071
0.630,211.024,0.939468
0.640,212.997,0.952612
0.650,214.734,0.931274
0.660,217.026,0.911137
0.670,220.317,0.940220
0.680,223.848,0.931449
0.690,227.262,0.903514
0.700,230.595,0.879821
0.710,234.475,0.944337
0.720,237.874,0.898858
0.730,241.901,0.954271
0.740,245.692,0.926003
0.750,250.011,0.919796
0.760,256.668,0.800629
0.770,267.147,0.753920
0.780,274.361,0.920808
0.790,278.531,0.892653
0.800,287.071,0.821671
0.810,295.637,0.796042
0.820,304.417,0.870434
0.830,310.237,0.896518
0.840,312.668,0.962618
0.850,314.404,0.948717
0.860,315.722,0.955760
0.870,317.203,0.925206
0.880,318.110,0.938082
0.890,318.785,0.944585
0.900,319.689,0.942746
0.910,320.875,0.923742
0.920,322.677,0.912637
0.930,324.638,0.894000
0.940,325.096,0.887902
0.950,325.927,0.927092
0.960,326.590,0.943312
0.970,326.259,0.939555
0.980,325.700,0.923676
0.990,326.087,0.937630
1.000,326.498,0.946618
1.010,326.322,0.944808
1.020,325.869,0.932812
1.030,326.259,0.943754
1.040,326.327,0.946287
1.050,325.720,0.931104
1.060,325.006,0.912384
1.070,324.992,0.912285
1.080,324.472,0.921099
1.090,323.757,0.925461
1.100,322.814,0.908753
1.110,321.779,0.875302
1.120,320.190,0.920425
1.130,318.584,0.922731
1.140,317.067,0.905767
1.150,316.014,0.942346
1.160,315.500,0.939469
1.170,315.365,0.952249
1.180,315.892,0.943143
1.190,316.590,0.929550
1.200,317.449,0.893958
1.210,319.003,0.921348
1.220,320.344,0.925180
1.230,321.792,0.885237
1.240,323.045,0.897041
1.250,323.205,0.899780
1.260,323.389,0.906143
1.270,323.919,0.902825
1.280,323.282,0.914140
1.290,322.999,0.917464
1.300,323.153,0.920855
1.310,323.742,0.927893
1.320,324.626,0.907313
1.330,325.226,0.907986
1.340,325.250,0.914127
1.350,325.600,0.926311
1.360,326.256,0.948995
1.370,326.489,0.954995
1.380,326.809,0.961159
1.390,326.932,0.967114
1.400,326.901,0.965752
1.410,326.568,0.964889
1.420,326.039,0.958587
1.430,325.287,0.938605
1.440,325.226,0.927552
1.450,325.126,0.924285
1.460,325.064,0.916537
1.470,324.931,0.918510
1.480,325.010,0.911727
1.490,324.139,0.933833
1.500,323.517,0.938905
1.510,322.371,0.932202
1.520,321.085,0.912646
1.530,320.893,0.924702
1.540,320.978,0.924883
1.550,321.249,0.900582
1.560,321.881,0.919034
1.570,322.412,0.932336
