time,frequency,confidence
0.000,387.337,0.317548
0.010,393.513,0.144240
0.020,399.600,0.076841
0.030,395.100,0.503072
0.040,396.989,0.278576
0.050,392.866,0.215005
0.060,379.848,0.287328
0.070,380.476,0.421164
0.080,391.045,0.338610
0.090,395.149,0.060190
0.100,395.366,0.179186
0.110,394.411,0.288032
0.120,397.318,0.243025
0.130,397.282,0.334097
0.140,393.903,0.636941
0.150,398.126,0.341014
0.160,398.594,0.397839
0.170,393.574,0.215386
0.180,395.137,0.418584
0.190,394.481,0.594749
0.200,391.496,0.603017
0.210,391.305,0.210584
0.220,392.705,0.132100
0.230,393.823,0.086173
0.240,397.763,0.071887
0.250,399.025,0.070458
0.260,392.870,0.086034
0.270,387.900,0.085319
0.280,389.029,0.043777
0.290,391.669,0.059714
0.300,389.264,0.067049
0.310,384.104,0.097953
0.320,392.131,0.097421
0.330,405.508,0.080469
0.340,416.719,0.068306
0.350,436.793,0.021303
0.360,455.624,0.036363
0.370,468.200,0.031510
0.380,485.402,0.088191
0.390,500.395,0.128829
0.400,511.498,0.318891
0.410,535.247,0.181745
0.420,554.023,0.043237
0.430,576.570,0.064862
0.440,594.241,0.055091
0.450,578.667,0.060009
0.460,643.617,0.105674
0.470,649.471,0.041254
0.480,653.258,0.019861
0.490,657.076,0.173500
0.500,655.803,0.047345
0.510,619.664,0.055671
0.520,580.042,0.100884
0.530,594.589,0.106912
0.540,595.364,0.096358
0.550,596.797,0.063037
0.560,596.146,0.055580
0.570,594.231,0.066758
0.580,599.754,0.088948
0.590,605.148,0.047192
0.600,610.327,0.051654
0.610,623.226,0.077384
0.620,621.566,0.110735
0.630,624.082,0.188258
0.640,622.866,0.079836
0.650,622.525,0.060593
0.660,639.120,0.059464
0.670,646.707,0.092820
0.680,658.764,0.130085
0.690,660.018,0.117393
0.700,647.678,0.110383
0.710,646.817,0.107084
0.720,647.917,0.144174
0.730,657.155,0.127295
0.740,645.608,0.101521
0.750,651.211,0.158631
0.760,658.272,0.078173
0.770,662.588,0.058210
0.780,595.043,0.095425
0.790,649.614,0.074910
0.800,658.940,0.092118
0.810,628.769,0.039927
0.820,597.101,0.062424
0.830,601.133,0.072049
0.840,578.488,0.064463
0.850,540.236,0.100156
0.860,519.154,0.058576
0.870,485.970,0.070514
0.880,450.780,0.144064
0.890,411.357,0.361933
0.900,394.450,0.217184
0.910,400.885,0.042558
0.920,406.478,0.054591
0.930,405.622,0.085331
0.940,393.500,0.121499
0.950,400.381,0.500961
0.960,407.883,0.728213
0.970,401.569,0.734778
0.980,393.914,0.778321
0.990,391.193,0.670757
1.000,368.732,0.697979
1.010,325.153,0.498119
1.020,295.795,0.620692
1.030,292.845,0.818377
1.040,290.342,0.783082
1.050,285.528,0.671162
1.060,281.704,0.683517
1.070,290.902,0.585713
1.080,294.606,0.889711
1.090,294.832,0.963914
1.100,293.679,0.966907
1.110,293.208,0.960174
1.120,293.107,0.955833
1.130,292.522,0.942103
1.140,290.948,0.945394
1.150,290.625,0.941921
1.160,291.439,0.944501
1.170,292.692,0.928292
1.180,293.613,0.958674
1.190,294.485,0.973173
1.200,294.800,0.973691
1.210,294.430,0.972288
1.220,293.419,0.946988
1.230,291.931,0.916374
1.240,290.465,0.846071
1.250,289.800,0.719145
1.260,290.434,0.683707
1.270,292.266,0.756736
1.280,293.094,0.831034
1.290,293.536,0.921639
1.300,293.249,0.935584
1.310,292.822,0.912291
1.320,292.678,0.920774
1.330,291.976,0.934321
1.340,292.037,0.897635
1.350,320.169,0.751172
1.360,368.751,0.533575
1.370,394.063,0.781826
1.380,393.610,0.883446
1.390,392.525,0.913646
1.400,391.626,0.914437
1.410,390.067,0.945481
1.420,390.078,0.945227
1.430,390.556,0.942042
1.440,391.212,0.928256
1.450,390.919,0.936287
1.460,390.627,0.934810
1.470,390.103,0.945506
1.480,390.259,0.946480
1.490,390.007,0.950019
1.500,389.454,0.947004
1.510,387.606,0.915579
1.520,386.146,0.832991
1.530,384.912,0.747126
1.540,384.572,0.712219
1.550,386.095,0.843802
1.560,387.658,0.830850
1.570,389.495,0.752291
1.580,390.136,0.768242
1.590,389.841,0.845114
1.600,388.726,0.883119
1.610,388.589,0.913726
1.620,388.801,0.922169
1.630,389.904,0.895887
1.640,392.979,0.872973
1.650,395.044,0.859762
1.660,394.840,0.905986
1.670,395.108,0.920422
1.680,394.688,0.935152
1.690,392.988,0.935391
1.700,391.438,0.893080
1.710,390.198,0.935912
1.720,389.882,0.936438
1.730,389.582,0.931690
1.740,389.211,0.922184
1.750,387.624,0.896929
1.760,386.363,0.879791
1.770,385.326,0.904464
1.780,384.141,0.923263
1.790,384.894,0.930403
1.800,386.223,0.911350
1.810,387.722,0.924916
1.820,389.217,0.945357
1.830,389.807,0.947824
1.840,389.698,0.949068
1.850,389.005,0.951451
1.860,388.956,0.951810
1.870,388.932,0.956424
1.880,389.463,0.954398
1.890,389.867,0.953083
1.900,390.633,0.946295
1.910,391.104,0.941819
1.920,391.325,0.935361
1.930,391.528,0.936299
1.940,391.802,0.937479
1.950,391.662,0.928739
1.960,391.818,0.919259
1.970,391.531,0.908020
1.980,391.748,0.919184
1.990,391.552,0.909073
2.000,391.732,0.919758
2.010,391.825,0.924299
2.020,391.852,0.933486
2.030,392.182,0.943251
2.040,392.057,0.945992
2.050,392.087,0.946966
2.060,391.913,0.941190
2.070,391.451,0.926693
2.080,391.350,0.922451
2.090,391.209,0.928524
2.100,391.604,0.914311
2.110,391.359,0.913628
2.120,391.766,0.903762
2.130,391.456,0.902488
2.140,391.832,0.901841
2.150,391.814,0.901263
2.160,391.963,0.909180
2.170,391.854,0.903445
2.180,391.715,0.907187
2.190,392.087,0.916821
2.200,392.172,0.930575
2.210,392.620,0.937720
2.220,392.796,0.939160
2.230,393.033,0.947827
2.240,393.423,0.944227
2.250,393.671,0.945193
2.260,393.659,0.947949
2.270,393.963,0.938608
2.280,393.932,0.948646
2.290,393.891,0.952016
