time,frequency,confidence
0.000,542.831,0.046964
0.010,546.343,0.026975
0.020,616.325,0.043311
0.030,627.408,0.109672
0.040,640.345,0.120296
0.050,636.090,0.045677
0.060,636.212,0.079349
0.070,646.125,0.069664
0.080,647.746,0.095800
0.090,660.199,0.050104
0.100,646.424,0.050130
0.110,646.543,0.090187
0.120,649.138,0.054578
0.130,654.533,0.055894
0.140,650.999,0.044800
0.150,643.137,0.082184
0.160,645.342,0.084491
0.170,673.085,0.142680
0.180,681.886,0.317466
0.190,684.644,0.576884
0.200,688.254,0.717535
0.210,689.709,0.821017
0.220,690.640,0.896419
0.230,691.847,0.938929
0.240,693.003,0.949116
0.250,694.188,0.945565
0.260,694.712,0.945145
0.270,695.152,0.945238
0.280,695.382,0.941838
0.290,695.621,0.937011
0.300,696.115,0.935543
0.310,696.101,0.940854
0.320,696.357,0.947424
0.330,696.612,0.950077
0.340,696.852,0.951466
0.350,697.118,0.952711
0.360,697.189,0.955088
0.370,697.596,0.954166
0.380,698.106,0.945627
0.390,702.795,0.834301
0.400,769.744,0.755159
0.410,774.044,0.929037
0.420,777.717,0.936765
0.430,775.722,0.861357
0.440,768.302,0.349967
0.450,699.042,0.795303
0.460,695.384,0.901932
0.470,694.387,0.927299
0.480,695.722,0.908147
0.490,696.233,0.921905
0.500,696.672,0.934694
0.510,696.248,0.941454
0.520,696.044,0.940739
0.530,696.539,0.946632
0.540,697.327,0.939901
0.550,701.274,0.857349
0.560,758.109,0.564516
0.570,765.610,0.840863
0.580,768.012,0.831620
0.590,764.294,0.666652
0.600,740.696,0.346638
0.610,723.897,0.428867
0.620,656.909,0.587103
0.630,655.855,0.809494
0.640,652.698,0.883361
0.650,652.567,0.879213
0.660,648.307,0.822655
0.670,646.615,0.736227
0.680,646.088,0.735492
0.690,644.622,0.762456
0.700,645.993,0.741865
0.710,651.306,0.727111
0.720,722.026,0.452267
0.730,737.274,0.565565
0.740,719.941,0.302225
0.750,701.713,0.331075
0.760,648.642,0.684227
0.770,590.054,0.927665
0.780,588.435,0.949375
0.790,587.179,0.968615
0.800,587.138,0.974054
0.810,587.383,0.978692
0.820,587.739,0.975081
0.830,588.211,0.968234
0.840,589.762,0.970290
0.850,591.503,0.958314
0.860,592.966,0.925371
0.870,596.658,0.883523
0.880,602.951,0.780282
0.890,617.809,0.524104
0.900,690.919,0.643549
0.910,697.296,0.880693
0.920,698.481,0.928976
0.930,697.840,0.954567
0.940,696.310,0.943470
0.950,693.714,0.932626
0.960,690.379,0.908440
0.970,688.422,0.857477
0.980,681.803,0.717251
0.990,670.044,0.688194
1.000,674.993,0.716416
1.010,677.220,0.872291
1.020,678.282,0.895804
1.030,682.860,0.903015
1.040,690.036,0.920027
1.050,694.878,0.933290
1.060,698.161,0.943281
1.070,700.088,0.946548
1.080,702.937,0.902372
1.090,706.667,0.853976
1.100,709.619,0.813480
1.110,709.273,0.860018
1.120,707.398,0.907097
1.130,704.210,0.895538
1.140,699.169,0.930952
1.150,695.065,0.915788
1.160,691.481,0.923684
1.170,688.670,0.890677
1.180,688.851,0.888581
1.190,691.338,0.910847
1.200,692.330,0.908427
1.210,690.277,0.877790
1.220,693.060,0.903710
1.230,695.348,0.933250
1.240,695.935,0.935139
1.250,697.148,0.940167
1.260,699.795,0.942004
1.270,703.134,0.903957
1.280,707.008,0.845339
1.290,711.847,0.813289
1.300,714.168,0.860384
1.310,713.822,0.879288
1.320,711.097,0.875598
1.330,708.459,0.892728
1.340,704.707,0.890200
1.350,700.848,0.919195
1.360,697.810,0.940488
1.370,695.735,0.935210
1.380,693.911,0.944673
1.390,692.627,0.938266
1.400,692.827,0.939321
1.410,694.022,0.946227
1.420,694.357,0.948532
1.430,694.859,0.946453
1.440,696.101,0.937415
1.450,697.485,0.951627
1.460,698.771,0.956937
1.470,700.036,0.951361
1.480,701.768,0.929098
1.490,704.133,0.876366
