time,frequency,confidence
0.000,84.958,0.049745
0.010,84.966,0.047544
0.020,83.201,0.057636
0.030,82.012,0.028283
0.040,82.427,0.017298
0.050,82.502,0.011019
0.060,82.483,0.018743
0.070,82.106,0.016839
0.080,81.867,0.100255
0.090,83.482,0.089731
0.100,83.716,0.084974
0.110,84.162,0.119015
0.120,83.788,0.063187
0.130,83.003,0.192735
0.140,84.201,0.164348
0.150,82.199,0.086042
0.160,90.234,0.048548
0.170,97.416,0.044203
0.180,103.118,0.043525
0.190,115.766,0.066601
0.200,121.604,0.061462
0.210,133.167,0.028205
0.220,140.589,0.012094
0.230,143.731,0.030525
0.240,145.829,0.021005
0.250,149.063,0.007304
0.260,160.847,0.021651
0.270,174.252,0.040458
0.280,171.658,0.131304
0.290,167.660,0.012848
0.300,185.241,0.014411
0.310,203.575,0.040600
0.320,225.931,0.031684
0.330,252.182,0.062192
0.340,278.094,0.031917
0.350,315.146,0.106969
0.360,340.536,0.155223
0.370,386.143,0.490935
0.380,388.159,0.726243
0.390,388.102,0.782783
0.400,388.465,0.816173
0.410,388.299,0.822395
0.420,388.401,0.777506
0.430,389.826,0.627302
0.440,390.462,0.552737
0.450,390.273,0.450014
0.460,390.157,0.481368
0.470,390.043,0.671755
0.480,390.442,0.827873
0.490,390.247,0.879120
0.500,390.789,0.903414
0.510,392.082,0.871520
0.520,394.149,0.618414
0.530,407.705,0.412715
0.540,410.310,0.711612
0.550,407.605,0.665796
0.560,399.541,0.751524
0.570,395.066,0.809663
0.580,392.059,0.846094
0.590,391.598,0.886062
0.600,391.928,0.911774
0.610,392.507,0.925725
0.620,393.100,0.934454
0.630,393.412,0.943083
0.640,393.736,0.939581
0.650,393.739,0.919482
0.660,392.942,0.840133
0.670,392.956,0.739377
0.680,394.651,0.612172
0.690,395.572,0.417506
0.700,398.029,0.558592
0.710,403.548,0.630287
0.720,403.239,0.727486
0.730,400.712,0.791173
0.740,398.393,0.924593
0.750,398.199,0.933374
0.760,399.809,0.887989
0.770,404.864,0.647384
0.780,410.769,0.412257
0.790,412.960,0.657755
0.800,412.511,0.361755
0.810,402.802,0.126302
0.820,397.061,0.161641
0.830,391.586,0.406616
0.840,357.190,0.544061
0.850,343.718,0.632094
0.860,346.534,0.932578
0.870,347.100,0.956967
0.880,347.483,0.959766
0.890,347.476,0.963623
0.900,347.590,0.960867
0.910,347.579,0.961537
0.920,347.868,0.956908
0.930,347.729,0.958675
0.940,347.716,0.961623
0.950,347.942,0.958190
0.960,348.066,0.950772
0.970,348.029,0.950069
0.980,347.733,0.946970
0.990,347.609,0.932896
1.000,347.853,0.901569
1.010,348.141,0.854508
1.020,348.794,0.700257
1.030,369.194,0.238595
1.040,393.024,0.233661
1.050,393.240,0.460432
1.060,392.626,0.696064
1.070,392.935,0.803133
1.080,392.958,0.861691
1.090,392.901,0.892003
1.100,393.216,0.903579
1.110,393.324,0.916334
1.120,393.220,0.919304
1.130,393.326,0.928055
1.140,393.096,0.930936
1.150,393.217,0.934457
1.160,393.343,0.933510
1.170,393.493,0.923309
1.180,393.522,0.924359
1.190,393.378,0.929200
1.200,393.437,0.926811
1.210,393.052,0.929185
1.220,393.150,0.940508
1.230,392.901,0.939823
1.240,392.988,0.937758
1.250,393.317,0.935807
1.260,393.099,0.929131
1.270,393.150,0.924351
1.280,393.516,0.917556
1.290,393.682,0.913795
1.300,393.296,0.922722
1.310,392.871,0.921901
1.320,392.481,0.914747
1.330,392.576,0.921990
1.340,392.451,0.919252
1.350,392.687,0.916957
1.360,392.949,0.917951
1.370,393.019,0.919086
1.380,393.302,0.914633
1.390,393.475,0.921178
1.400,393.332,0.919050
1.410,393.126,0.915063
1.420,393.267,0.909844
1.430,393.040,0.906476
1.440,392.884,0.923018
1.450,392.994,0.920459
1.460,393.138,0.926290
1.470,393.089,0.934922
1.480,393.199,0.929270
1.490,393.294,0.929576
1.500,393.459,0.931319
