time,frequency,confidence
0.000,277.376,0.115375
0.010,278.535,0.328368
0.020,278.780,0.168534
0.030,278.449,0.029035
0.040,279.311,0.027605
0.050,277.788,0.129303
0.060,277.790,0.048566
0.070,275.598,0.019825
0.080,274.245,0.018768
0.090,276.275,0.023156
0.100,274.778,0.026023
0.110,270.647,0.020450
0.120,268.037,0.028006
0.130,262.094,0.014630
0.140,256.994,0.140191
0.150,247.427,0.056694
0.160,239.997,0.031289
0.170,220.841,0.072843
0.180,201.751,0.049919
0.190,177.106,0.162678
0.200,159.914,0.005763
0.210,145.236,0.011737
0.220,151.253,0.030947
0.230,147.283,0.060338
0.240,142.324,0.059882
0.250,135.381,0.044916
0.260,130.439,0.063688
0.270,128.119,0.058090
0.280,125.366,0.038712
0.290,124.783,0.033122
0.300,135.809,0.030349
0.310,141.878,0.147076
0.320,142.806,0.188414
0.330,145.643,0.117545
0.340,149.465,0.066914
0.350,149.363,0.209539
0.360,132.786,0.214233
0.370,134.249,0.427386
0.380,134.226,0.532415
0.390,133.097,0.664025
0.400,132.149,0.322120
0.410,131.876,0.159921
0.420,130.172,0.314953
0.430,131.336,0.154014
0.440,133.875,0.378506
0.450,136.592,0.403220
0.460,137.018,0.134529
0.470,137.097,0.124702
0.480,135.768,0.216783
0.490,134.447,0.375732
0.500,133.952,0.176582
0.510,132.631,0.047306
0.520,129.804,0.105149
0.530,127.333,0.131774
0.540,127.755,0.197448
0.550,126.844,0.304227
0.560,127.230,0.606577
0.570,128.914,0.385810
0.580,130.473,0.238539
0.590,129.532,0.148981
0.600,127.657,0.147566
0.610,128.797,0.084656
0.620,129.676,0.050547
0.630,130.278,0.269912
0.640,127.933,0.134831
0.650,124.746,0.377388
0.660,122.966,0.584349
0.670,121.443,0.605462
0.680,115.659,0.476804
0.690,112.178,0.671893
0.700,112.761,0.777747
0.710,114.401,0.811392
0.720,116.785,0.885235
0.730,118.535,0.872899
0.740,119.925,0.907906
0.750,120.809,0.933892
0.760,121.349,0.918203
0.770,122.002,0.922292
0.780,122.632,0.928750
0.790,123.395,0.930682
0.800,123.820,0.940018
0.810,124.236,0.923411
0.820,125.595,0.838877
0.830,126.585,0.827142
0.840,126.033,0.872655
0.850,125.080,0.914725
0.860,124.444,0.926575
0.870,123.824,0.946213
0.880,123.684,0.941291
0.890,123.645,0.948733
0.900,123.452,0.941722
0.910,123.123,0.933637
0.920,122.867,0.947881
0.930,122.828,0.948823
0.940,122.554,0.948709
0.950,122.168,0.923652
0.960,120.537,0.765566
0.970,118.079,0.635318
0.980,124.191,0.667533
0.990,124.614,0.840663
1.000,124.141,0.917259
