time,frequency,confidence
0.000,32.199,0.089752
0.010,32.215,0.102026
0.020,32.673,0.134527
0.030,32.668,0.297128
0.040,32.435,0.674295
0.050,32.370,0.678005
0.060,32.290,0.651420
0.070,32.420,0.684602
0.080,32.742,0.273416
0.090,34.869,0.102853
0.100,37.626,0.234654
0.110,42.757,0.161214
0.120,47.440,0.145023
0.130,47.790,0.247960
0.140,49.242,0.193431
0.150,50.082,0.149713
0.160,52.831,0.098897
0.170,55.127,0.166874
0.180,58.334,0.245623
0.190,60.866,0.228211
0.200,62.390,0.149121
0.210,67.431,0.358864
0.220,75.303,0.359412
0.230,83.963,0.095446
0.240,92.594,0.060150
0.250,98.539,0.038259
0.260,111.995,0.026470
0.270,122.252,0.088040
0.280,132.499,0.370896
0.290,123.685,0.407550
0.300,120.111,0.617288
0.310,119.037,0.771298
0.320,119.270,0.855338
0.330,119.990,0.896274
0.340,121.618,0.883414
0.350,123.084,0.880049
0.360,124.761,0.853454
0.370,127.664,0.808309
0.380,130.731,0.844573
0.390,133.017,0.866997
0.400,135.537,0.896856
0.410,136.971,0.912269
0.420,137.963,0.914848
0.430,138.562,0.937184
0.440,139.345,0.917798
0.450,141.480,0.879845
0.460,144.068,0.885014
0.470,147.759,0.906868
0.480,153.217,0.776873
0.490,158.238,0.835362
0.500,162.614,0.881840
0.510,165.507,0.936451
0.520,167.706,0.925922
0.530,169.859,0.902487
0.540,171.953,0.906865
0.550,173.501,0.951227
0.560,174.357,0.935894
0.570,175.097,0.955061
0.580,175.786,0.939043
0.590,176.436,0.915085
0.600,176.842,0.935296
0.610,177.169,0.947989
0.620,176.922,0.928932
0.630,176.748,0.935481
0.640,176.901,0.937121
0.650,177.721,0.951320
0.660,178.920,0.928655
0.670,180.038,0.941735
0.680,181.375,0.945284
0.690,182.441,0.920625
0.700,183.418,0.942038
0.710,183.751,0.938775
0.720,183.817,0.945646
0.730,183.682,0.947675
0.740,183.600,0.946827
0.750,183.638,0.949321
0.760,183.494,0.943429
0.770,182.851,0.924640
0.780,182.070,0.928122
0.790,181.181,0.937275
0.800,180.408,0.928178
0.810,180.260,0.933077
0.820,180.398,0.929601
0.830,180.723,0.929258
0.840,181.061,0.936708
0.850,181.230,0.941293
0.860,181.440,0.943643
0.870,181.600,0.941239
0.880,182.081,0.934683
0.890,182.289,0.922279
0.900,181.947,0.938240
0.910,181.570,0.940268
0.920,180.905,0.927692
0.930,180.476,0.921371
0.940,179.937,0.938041
0.950,179.610,0.942236
0.960,179.536,0.944350
0.970,179.611,0.946363
0.980,179.949,0.939925
0.990,180.168,0.938003
1.000,180.599,0.927928
1.010,180.998,0.942692
1.020,181.311,0.946473
1.030,181.917,0.942327
1.040,182.679,0.926016
1.050,183.387,0.942766
1.060,183.865,0.949149
1.070,184.194,0.944727
1.080,184.222,0.936240
