time,frequency,confidence
0.000,177.150,0.043222
0.010,178.741,0.154149
0.020,178.219,0.157581
0.030,177.160,0.258143
0.040,177.390,0.040006
0.050,177.882,0.045736
0.060,178.608,0.098733
0.070,182.564,0.280710
0.080,183.736,0.031638
0.090,183.118,0.017500
0.100,180.772,0.025684
0.110,159.072,0.011774
0.120,164.847,0.031911
0.130,172.817,0.039523
0.140,179.965,0.080083
0.150,186.104,0.059345
0.160,192.377,0.063806
0.170,201.888,0.051604
0.180,210.897,0.099208
0.190,220.295,0.051095
0.200,217.099,0.460325
0.210,211.664,0.541221
0.220,206.132,0.655683
0.230,201.971,0.675755
0.240,197.997,0.598522
0.250,194.184,0.848130
0.260,194.564,0.898948
0.270,196.805,0.887953
0.280,199.778,0.866449
0.290,202.903,0.873864
0.300,205.920,0.933544
0.310,207.847,0.936612
0.320,209.553,0.904407
0.330,211.129,0.941280
0.340,212.475,0.938513
0.350,213.667,0.931202
0.360,215.351,0.925916
0.370,217.620,0.926472
0.380,220.128,0.938442
0.390,222.713,0.921551
0.400,225.154,0.916445
0.410,227.540,0.879585
0.420,229.629,0.904369
0.430,230.913,0.928874
0.440,232.175,0.918213
0.450,233.719,0.961588
0.460,235.558,0.924805
0.470,237.356,0.957175
0.480,239.130,0.967111
0.490,240.820,0.957436
0.500,242.516,0.978538
0.510,244.394,0.962964
0.520,246.344,0.928900
0.530,248.993,0.914303
0.540,253.051,0.914025
0.550,258.071,0.821380
0.560,264.543,0.743564
0.570,269.905,0.847006
0.580,273.760,0.901871
0.590,275.499,0.938646
0.600,277.092,0.939452
0.610,278.991,0.942163
0.620,280.107,0.925542
0.630,280.717,0.935941
0.640,281.857,0.946352
0.650,282.654,0.928464
0.660,282.816,0.931913
0.670,282.903,0.926726
0.680,283.408,0.943738
0.690,284.176,0.965114
0.700,284.978,0.964672
0.710,286.116,0.935711
0.720,287.509,0.964287
0.730,289.338,0.921915
0.740,290.749,0.962039
0.750,291.560,0.961357
0.760,292.271,0.942840
0.770,292.852,0.921167
0.780,293.088,0.933890
0.790,293.225,0.929165
0.800,293.944,0.943412
0.810,294.294,0.954185
0.820,293.896,0.933921
0.830,293.169,0.906391
0.840,292.556,0.910606
0.850,292.107,0.928813
0.860,291.796,0.938293
0.870,291.461,0.942170
0.880,291.446,0.944290
0.890,291.432,0.944895
0.900,291.275,0.948270
0.910,291.209,0.952420
0.920,290.864,0.952034
0.930,290.361,0.950564
0.940,290.307,0.949208
0.950,290.057,0.943227
0.960,290.269,0.952223
0.970,290.955,0.957554
0.980,291.806,0.950696
0.990,292.972,0.923905
1.000,293.948,0.960014
1.010,294.503,0.965691
1.020,294.384,0.964951
1.030,293.745,0.947844
1.040,292.770,0.910556
1.050,291.551,0.948214
1.060,290.007,0.937239
1.070,288.446,0.946132
1.080,286.820,0.952460
1.090,285.418,0.958495
1.100,284.591,0.973601
1.110,284.325,0.977622
1.120,284.659,0.978275
1.130,285.751,0.952476
1.140,288.006,0.955629
1.150,290.345,0.941828
1.160,292.997,0.918292
1.170,295.965,0.933562
1.180,298.527,0.961920
1.190,299.869,0.943716
1.200,300.785,0.961427
1.210,301.162,0.968206
1.220,300.535,0.957820
1.230,299.057,0.965138
1.240,296.748,0.934347
1.250,294.290,0.969042
1.260,292.407,0.936314
1.270,290.415,0.943393
1.280,288.907,0.930353
1.290,287.804,0.962642
1.300,287.089,0.964497
1.310,287.167,0.964481
1.320,288.008,0.964147
1.330,289.088,0.935246
1.340,290.353,0.949171
1.350,291.751,0.955245
1.360,293.222,0.940243
1.370,293.941,0.963402
1.380,294.135,0.968852
1.390,294.106,0.968131
1.400,294.031,0.965727
1.410,293.729,0.958344
1.420,293.329,0.946241
1.430,292.520,0.940759
1.440,291.472,0.954617
1.450,290.311,0.944899
1.460,289.133,0.923935
1.470,287.707,0.964066
1.480,287.317,0.968381
1.490,287.503,0.968231
1.500,288.194,0.962008
1.510,289.577,0.920690
1.520,291.393,0.953423
1.530,293.724,0.943479
1.540,296.614,0.920679
1.550,299.054,0.950744
1.560,301.376,0.961886
1.570,302.731,0.956315
1.580,303.186,0.947786
1.590,302.652,0.958877
1.600,301.535,0.966823
1.610,300.186,0.938939
1.620,297.652,0.952007
1.630,294.457,0.967793
1.640,292.436,0.942092
1.650,291.059,0.955553
1.660,289.999,0.942104
1.670,289.389,0.917897
1.680,288.887,0.941571
1.690,289.042,0.932760
1.700,290.081,0.947156
1.710,291.470,0.960406
1.720,293.021,0.932017
1.730,294.926,0.962973
1.740,296.785,0.938424
1.750,297.594,0.964617
1.760,298.037,0.971093
1.770,297.966,0.970505
1.780,296.804,0.942083
1.790,294.831,0.970560
1.800,292.829,0.926131
1.810,290.850,0.952993
1.820,288.926,0.936552
1.830,287.109,0.965668
1.840,285.766,0.960104
1.850,285.460,0.972285
1.860,285.634,0.963064
1.870,286.120,0.943608
1.880,286.960,0.962084
1.890,288.624,0.947795
1.900,290.584,0.950817
1.910,292.789,0.916201
1.920,295.737,0.940965
1.930,298.237,0.964717
1.940,299.898,0.936329
1.950,301.391,0.962212
1.960,302.515,0.953711
1.970,302.930,0.946913
1.980,302.497,0.955840
1.990,301.121,0.961139
2.000,299.099,0.959630
2.010,296.208,0.946742
2.020,293.583,0.948514
2.030,292.454,0.933359
2.040,292.231,0.932813
2.050,292.482,0.924152
2.060,292.488,0.920715
2.070,292.421,0.915165
2.080,292.455,0.921994
2.090,293.116,0.917259
2.100,293.798,0.946987
2.110,294.682,0.960614
2.120,295.748,0.959248
2.130,296.741,0.937829
2.140,297.445,0.959957
2.150,297.831,0.965952
2.160,297.635,0.963113
2.170,296.270,0.952899
2.180,293.871,0.956929
2.190,291.784,0.950907
2.200,289.481,0.916920
2.210,287.325,0.958376
2.220,285.272,0.973380
2.230,284.237,0.981989
2.240,283.988,0.978108
2.250,284.196,0.974749
2.260,284.819,0.971907
2.270,286.152,0.940944
2.280,287.938,0.962330
2.290,290.111,0.943974
2.300,292.606,0.942879
2.310,295.137,0.959014
2.320,297.353,0.956095
2.330,298.311,0.969751
2.340,299.362,0.957958
2.350,300.363,0.954461
2.360,300.402,0.954842
2.370,299.321,0.960654
2.380,297.049,0.947804
2.390,294.661,0.973859
2.400,292.749,0.933396
2.410,290.936,0.950819
2.420,288.632,0.938058
2.430,286.651,0.952879
2.440,285.262,0.969858
2.450,284.480,0.977713
2.460,284.415,0.979805
2.470,284.647,0.977999
2.480,285.758,0.954399
2.490,287.744,0.960437
2.500,289.667,0.928349
2.510,291.307,0.960414
2.520,292.831,0.934805
2.530,294.049,0.961650
2.540,294.928,0.969102
2.550,294.875,0.973606
2.560,294.742,0.974385
2.570,294.384,0.969415
2.580,293.850,0.958198
2.590,293.266,0.935982
2.600,292.550,0.931059
2.610,291.521,0.949377
2.620,289.951,0.932258
2.630,287.942,0.951202
2.640,286.053,0.942806
2.650,285.404,0.966813
2.660,285.725,0.954898
2.670,286.433,0.943323
2.680,287.512,0.957242
2.690,289.236,0.916358
2.700,291.216,0.950867
2.710,293.794,0.947448
2.720,296.028,0.938356
2.730,297.483,0.958265
2.740,298.251,0.967579
2.750,298.929,0.966025
2.760,298.860,0.966420
2.770,297.138,0.946097
2.780,294.454,0.965449
2.790,292.639,0.926111
2.800,291.224,0.949529
2.810,289.456,0.907071
2.820,288.180,0.950363
2.830,287.797,0.955706
2.840,288.571,0.946673
2.850,289.845,0.934599
2.860,291.475,0.958448
2.870,292.960,0.922543
2.880,294.220,0.961426
2.890,295.368,0.966521
2.900,296.322,0.946664
2.910,296.860,0.936358
2.920,297.116,0.945051
2.930,296.418,0.944803
2.940,295.446,0.962613
2.950,294.343,0.958382
2.960,293.488,0.939970
2.970,293.082,0.915380
2.980,292.921,0.909982
2.990,292.689,0.916359
3.000,292.519,0.922597
3.010,292.395,0.926508
3.020,292.101,0.937912
3.030,291.855,0.933579
3.040,291.105,0.901613
3.050,291.933,0.812192
3.060,295.315,0.819100
3.070,297.449,0.891471
3.080,299.221,0.878290
3.090,304.433,0.873402
3.100,305.128,0.957944
3.110,302.051,0.945544
3.120,296.610,0.848790
3.130,288.453,0.823170
3.140,281.012,0.852068
3.150,274.957,0.928898
3.160,270.753,0.905684
3.170,266.318,0.956651
3.180,264.051,0.924182
3.190,264.813,0.953267
3.200,268.036,0.941177
3.210,271.986,0.951394
3.220,275.757,0.905778
3.230,282.176,0.859235
3.240,286.876,0.923912
3.250,290.533,0.851911
3.260,300.607,0.542163
