time,frequency,confidence
0.000,315.592,0.157538
0.010,311.345,0.124530
0.020,312.600,0.189013
0.030,305.616,0.225611
0.040,300.160,0.255555
0.050,284.411,0.380869
0.060,290.847,0.357457
0.070,301.848,0.402820
0.080,320.393,0.394490
0.090,321.038,0.701922
0.100,321.033,0.842624
0.110,321.917,0.884788
0.120,320.299,0.934339
0.130,318.467,0.951197
0.140,317.146,0.941797
0.150,316.314,0.959249
0.160,315.985,0.962722
0.170,315.930,0.958002
0.180,315.637,0.958981
0.190,315.929,0.959481
0.200,315.890,0.963808
0.210,315.952,0.962651
0.220,315.846,0.960999
0.230,315.687,0.960189
0.240,315.227,0.959844
0.250,314.886,0.958504
0.260,314.872,0.960698
0.270,314.391,0.952357
0.280,313.175,0.927842
0.290,307.640,0.637159
0.300,293.483,0.804867
0.310,291.028,0.919300
0.320,292.157,0.743835
0.330,296.777,0.418157
0.340,329.239,0.817448
0.350,344.854,0.941757
0.360,344.644,0.948864
0.370,343.124,0.951666
0.380,341.390,0.943372
0.390,340.115,0.936498
0.400,338.791,0.956268
0.410,337.534,0.954633
0.420,337.492,0.954378
0.430,338.337,0.954237
0.440,338.760,0.956076
0.450,339.276,0.936420
0.460,342.694,0.852035
0.470,346.581,0.670946
0.480,379.538,0.440789
0.490,385.984,0.869248
0.500,388.196,0.950477
0.510,388.545,0.916321
0.520,385.341,0.602895
0.530,355.062,0.814833
0.540,351.670,0.954528
0.550,349.197,0.962858
0.560,348.219,0.931180
0.570,346.805,0.946576
0.580,344.788,0.922203
0.590,342.769,0.931879
0.600,341.113,0.934569
0.610,339.659,0.946841
0.620,338.478,0.959786
0.630,338.535,0.959697
0.640,339.496,0.941249
0.650,341.660,0.930980
0.660,345.534,0.941855
0.670,348.450,0.929727
0.680,351.865,0.938571
0.690,355.320,0.962156
0.700,357.296,0.963640
0.710,358.352,0.974857
0.720,358.516,0.971986
0.730,357.563,0.942275
0.740,353.101,0.801376
0.750,334.228,0.547753
0.760,324.602,0.831877
0.770,319.937,0.944833
0.780,318.240,0.937429
0.790,317.354,0.921816
0.800,317.038,0.928679
0.810,316.670,0.946261
0.820,316.947,0.940478
0.830,317.459,0.925976
0.840,318.743,0.947124
0.850,319.326,0.956312
0.860,319.895,0.955500
0.870,319.754,0.956039
0.880,319.390,0.956524
0.890,317.829,0.876256
0.900,309.410,0.483576
0.910,296.769,0.798256
0.920,294.760,0.867593
0.930,317.474,0.545229
0.940,343.099,0.812543
0.950,345.310,0.949711
0.960,346.885,0.965639
0.970,347.927,0.938327
0.980,349.355,0.971621
0.990,351.559,0.965235
1.000,354.045,0.975710
1.010,355.335,0.974482
1.020,355.934,0.967798
1.030,355.508,0.972339
1.040,353.275,0.968677
1.050,349.858,0.964682
1.060,345.375,0.928192
1.070,339.032,0.932980
1.080,335.420,0.944145
1.090,333.739,0.959582
1.100,333.413,0.962575
1.110,334.561,0.956137
1.120,336.268,0.911572
1.130,340.332,0.820860
1.140,345.941,0.659550
1.150,377.169,0.441340
1.160,383.950,0.874094
1.170,387.140,0.916126
1.180,389.524,0.957611
1.190,390.972,0.947427
1.200,391.539,0.952213
1.210,391.305,0.945307
1.220,390.407,0.950994
1.230,388.729,0.959449
1.240,387.200,0.939167
1.250,386.149,0.934893
1.260,385.098,0.954171
1.270,385.128,0.952180
1.280,385.488,0.948676
1.290,385.681,0.942750
1.300,385.347,0.930729
1.310,384.736,0.825020
1.320,381.319,0.461571
1.330,348.241,0.697390
1.340,319.695,0.942331
1.350,318.171,0.948409
1.360,317.269,0.932884
1.370,316.599,0.950575
1.380,315.999,0.960525
1.390,315.615,0.962401
1.400,315.358,0.962915
1.410,315.734,0.959423
1.420,316.595,0.946840
1.430,316.622,0.946693
1.440,315.266,0.876968
1.450,304.035,0.661943
1.460,295.656,0.946696
1.470,294.891,0.973808
1.480,296.260,0.888314
1.490,321.023,0.682371
1.500,349.702,0.837903
1.510,352.461,0.946804
1.520,354.081,0.982054
1.530,354.829,0.980695
1.540,353.748,0.979236
1.550,351.787,0.969878
1.560,348.161,0.931792
1.570,342.710,0.875989
1.580,336.098,0.922230
1.590,332.521,0.936816
1.600,330.161,0.964317
1.610,329.511,0.948855
1.620,329.771,0.944702
1.630,330.625,0.956737
1.640,332.043,0.939868
1.650,334.144,0.951360
1.660,337.355,0.929385
1.670,340.966,0.912830
1.680,345.042,0.927445
1.690,347.994,0.823671
1.700,376.945,0.358149
1.710,384.388,0.892923
1.720,385.819,0.948311
1.730,385.886,0.942117
1.740,385.952,0.937068
1.750,385.936,0.936453
1.760,386.207,0.927463
1.770,385.596,0.940855
1.780,385.007,0.951843
1.790,385.087,0.951942
1.800,385.094,0.949915
1.810,385.431,0.943075
1.820,385.196,0.947716
1.830,385.266,0.923843
1.840,383.728,0.804378
1.850,360.686,0.462714
1.860,323.559,0.563043
1.870,317.165,0.925673
1.880,315.517,0.964891
1.890,315.129,0.963620
1.900,315.252,0.965279
1.910,314.911,0.962688
1.920,314.751,0.959480
1.930,314.478,0.953493
1.940,313.938,0.949013
1.950,313.459,0.960070
1.960,313.210,0.968840
1.970,312.983,0.969639
