time,frequency,confidence
0.000,594.781,0.103935
0.010,597.470,0.119970
0.020,596.229,0.097533
0.030,608.500,0.049937
0.040,618.880,0.720514
0.050,629.958,0.037607
0.060,635.586,0.108772
0.070,645.289,0.083692
0.080,644.683,0.047918
0.090,631.096,0.068870
0.100,613.051,0.091682
0.110,597.411,0.069456
0.120,649.983,0.067885
0.130,654.146,0.081648
0.140,663.027,0.040695
0.150,659.834,0.010590
0.160,656.171,0.038876
0.170,644.203,0.014634
0.180,644.202,0.012657
0.190,639.511,0.029550
0.200,642.753,0.058759
0.210,643.422,0.064507
0.220,646.380,0.124375
0.230,646.606,0.072589
0.240,644.499,0.100858
0.250,644.714,0.126337
0.260,650.314,0.137612
0.270,658.345,0.106648
0.280,722.174,0.115158
0.290,814.620,0.027027
0.300,897.327,0.220367
0.310,965.995,0.495667
0.320,963.476,0.828024
0.330,960.042,0.934201
0.340,958.139,0.965859
0.350,959.232,0.962509
0.360,963.045,0.932085
0.370,966.536,0.955283
0.380,966.440,0.961052
0.390,966.002,0.959714
0.400,965.472,0.954259
0.410,965.933,0.949549
0.420,966.769,0.950274
0.430,963.585,0.920814
0.440,965.295,0.883667
0.450,980.361,0.676198
0.460,1040.453,0.519570
0.470,1056.623,0.807028
0.480,1056.769,0.881343
0.490,1049.625,0.895127
0.500,1044.733,0.827162
0.510,1042.182,0.577559
0.520,985.855,0.382157
0.530,974.539,0.525977
0.540,965.451,0.750862
0.550,965.022,0.845733
0.560,965.308,0.898209
0.570,965.919,0.918929
0.580,966.569,0.910527
0.590,966.913,0.923999
0.600,965.111,0.911723
0.610,962.791,0.880164
0.620,964.832,0.585597
0.630,1040.058,0.583681
0.640,1044.077,0.800876
0.650,1033.964,0.837533
0.660,1031.554,0.863409
0.670,1034.243,0.795408
0.680,974.334,0.578900
0.690,879.873,0.740026
0.700,880.906,0.933421
0.710,883.694,0.932294
0.720,883.330,0.907857
0.730,882.470,0.904009
0.740,882.373,0.917953
0.750,883.172,0.946249
0.760,883.687,0.960659
0.770,884.153,0.964801
0.780,885.768,0.947842
0.790,886.558,0.937988
0.800,887.109,0.934995
0.810,888.938,0.886057
0.820,889.109,0.809460
0.830,933.644,0.624264
0.840,944.171,0.812505
0.850,947.245,0.718915
0.860,954.953,0.695089
0.870,957.265,0.807193
0.880,959.394,0.818749
0.890,959.461,0.837744
0.900,958.684,0.839866
0.910,959.463,0.886659
0.920,960.790,0.887523
0.930,961.019,0.877364
0.940,964.464,0.596284
0.950,1022.003,0.649211
0.960,1033.296,0.866244
0.970,1034.575,0.911272
0.980,1029.920,0.870649
0.990,1028.576,0.814704
1.000,1028.395,0.705139
1.010,971.022,0.565199
1.020,879.821,0.715570
1.030,880.933,0.841237
1.040,881.416,0.884538
1.050,881.397,0.930684
1.060,881.756,0.946676
1.070,881.169,0.959214
1.080,880.819,0.959662
1.090,880.282,0.959235
1.100,880.311,0.958256
1.110,880.213,0.956234
1.120,880.122,0.947631
1.130,880.621,0.942946
1.140,881.608,0.957342
1.150,882.569,0.966849
1.160,884.187,0.966972
1.170,888.252,0.932683
1.180,897.797,0.829932
1.190,909.487,0.802750
1.200,915.218,0.853071
1.210,917.400,0.901328
1.220,919.395,0.910999
1.230,922.716,0.933211
1.240,926.126,0.948889
1.250,925.073,0.943885
1.260,921.134,0.924496
1.270,917.369,0.832116
1.280,911.998,0.585370
1.290,882.851,0.820674
1.300,882.286,0.927985
1.310,880.517,0.930270
1.320,875.010,0.856452
1.330,872.977,0.813924
