time,frequency,confidence
0.000,138.621,0.244354
0.010,137.620,0.246538
0.020,137.149,0.163750
0.030,136.443,0.058846
0.040,136.325,0.440074
0.050,136.520,0.215419
0.060,136.715,0.220880
0.070,137.094,0.385663
0.080,138.117,0.212514
0.090,146.843,0.250027
0.100,150.637,0.183493
0.110,154.806,0.232735
0.120,150.868,0.116222
0.130,151.832,0.147399
0.140,154.413,0.024938
0.150,160.781,0.058794
0.160,169.830,0.111356
0.170,179.026,0.186850
0.180,192.310,0.513844
0.190,207.502,0.406270
0.200,216.339,0.292760
0.210,232.676,0.106964
0.220,235.051,0.241080
0.230,242.581,0.217819
0.240,261.202,0.312916
0.250,262.236,0.416561
0.260,252.904,0.401807
0.270,251.032,0.205919
0.280,236.383,0.340177
0.290,217.994,0.540559
0.300,196.911,0.062308
0.310,182.184,0.349520
0.320,173.200,0.470037
0.330,174.488,0.639765
0.340,176.271,0.786653
0.350,178.618,0.818920
0.360,181.497,0.789455
0.370,185.807,0.800983
0.380,191.866,0.834178
0.390,195.551,0.887967
0.400,197.096,0.934855
0.410,198.060,0.897491
0.420,198.941,0.909705
0.430,200.021,0.884572
0.440,200.776,0.909127
0.450,201.474,0.917781
0.460,203.178,0.905256
0.470,204.354,0.915249
0.480,205.178,0.909560
0.490,205.971,0.947774
0.500,206.322,0.959849
0.510,206.348,0.962404
0.520,206.293,0.962669
0.530,206.508,0.963122
0.540,206.973,0.953308
0.550,207.582,0.945615
0.560,207.976,0.936207
0.570,207.643,0.885418
0.580,206.471,0.828236
0.590,205.197,0.565352
0.600,188.718,0.397962
0.610,183.221,0.695089
0.620,179.468,0.618760
0.630,202.855,0.296689
0.640,222.629,0.517980
0.650,229.683,0.596210
0.660,231.672,0.737732
0.670,232.787,0.832915
0.680,233.511,0.915590
0.690,233.827,0.941352
0.700,234.472,0.948390
0.710,234.996,0.940119
0.720,235.307,0.926945
0.730,235.308,0.927691
0.740,235.046,0.942643
0.750,234.097,0.962276
0.760,232.632,0.922521
0.770,231.423,0.934127
0.780,230.553,0.928695
0.790,230.588,0.929184
0.800,231.059,0.934893
0.810,231.725,0.932630
0.820,232.036,0.926876
0.830,231.816,0.931671
0.840,231.289,0.934425
0.850,230.495,0.915579
0.860,229.374,0.933983
0.870,228.221,0.946687
0.880,227.129,0.920781
0.890,226.068,0.951325
0.900,225.295,0.950013
0.910,224.737,0.937293
0.920,224.147,0.940919
0.930,223.877,0.951288
0.940,223.875,0.952860
0.950,224.195,0.940036
0.960,224.524,0.932078
0.970,224.759,0.936747
0.980,224.951,0.946375
0.990,225.697,0.951611
1.000,226.359,0.945401
1.010,226.880,0.923139
1.020,227.182,0.904008
1.030,227.456,0.919661
1.040,227.652,0.927373
1.050,227.648,0.931444
1.060,227.431,0.923085
1.070,227.042,0.916780
1.080,226.749,0.933893
1.090,226.552,0.939068
1.100,226.607,0.940881
1.110,226.502,0.938083
1.120,226.428,0.939537
1.130,226.489,0.937107
