time,frequency,confidence
0.000,196.907,0.169953
0.010,196.220,0.430944
0.020,195.540,0.455048
0.030,195.120,0.140937
0.040,196.326,0.665752
0.050,197.334,0.362220
0.060,197.033,0.170282
0.070,198.955,0.083100
0.080,197.700,0.118843
0.090,198.166,0.051654
0.100,199.447,0.047685
0.110,196.614,0.084368
0.120,197.477,0.067963
0.130,196.656,0.154815
0.140,195.289,0.243841
0.150,194.816,0.297909
0.160,194.554,0.180265
0.170,194.456,0.119570
0.180,195.734,0.165973
0.190,196.219,0.185097
0.200,196.985,0.088602
0.210,197.242,0.074589
0.220,198.464,0.012759
0.230,199.175,0.023531
0.240,197.744,0.294716
0.250,197.868,0.180479
0.260,198.668,0.374068
0.270,199.350,0.409698
0.280,202.399,0.101727
0.290,196.092,0.139549
0.300,189.360,0.128635
0.310,174.888,0.125474
0.320,167.071,0.197125
0.330,158.693,0.121466
0.340,147.051,0.106918
0.350,138.600,0.220466
0.360,132.806,0.147842
0.370,125.959,0.219171
0.380,115.105,0.444634
0.390,106.920,0.581017
0.400,100.477,0.600234
0.410,98.506,0.504229
0.420,97.759,0.767308
0.430,97.558,0.772270
0.440,97.798,0.864087
0.450,97.978,0.883379
0.460,98.109,0.912661
0.470,98.210,0.907390
0.480,98.108,0.874507
0.490,98.063,0.873725
0.500,97.987,0.906947
0.510,97.869,0.920976
0.520,97.877,0.918296
0.530,98.016,0.925158
0.540,98.176,0.931632
0.550,98.272,0.941789
0.560,98.185,0.947806
0.570,98.052,0.908275
0.580,98.030,0.696008
0.590,98.616,0.366259
0.600,103.280,0.247275
0.610,107.687,0.325789
0.620,113.379,0.482454
0.630,116.271,0.801240
0.640,118.732,0.820072
0.650,127.306,0.667350
0.660,130.912,0.623448
0.670,131.499,0.767358
0.680,132.126,0.763207
0.690,132.521,0.819820
0.700,132.174,0.793585
0.710,132.382,0.804087
0.720,132.154,0.726087
0.730,131.780,0.815491
0.740,132.383,0.836046
0.750,132.715,0.853080
0.760,132.706,0.894951
0.770,132.572,0.891168
0.780,132.370,0.836495
0.790,132.383,0.881224
0.800,132.465,0.899083
0.810,132.803,0.903279
0.820,132.919,0.896122
0.830,132.662,0.900726
0.840,132.917,0.907415
0.850,132.745,0.879341
0.860,132.648,0.881839
0.870,132.905,0.906016
0.880,132.913,0.886995
0.890,132.650,0.875749
0.900,132.213,0.830456
0.910,132.079,0.809274
0.920,131.745,0.828343
0.930,131.344,0.852826
0.940,131.610,0.821117
0.950,131.546,0.798256
0.960,131.302,0.767172
0.970,131.736,0.749665
0.980,131.944,0.792375
0.990,131.984,0.781378
1.000,132.395,0.786835
1.010,132.379,0.823447
1.020,132.264,0.815276
1.030,132.328,0.825618
1.040,132.393,0.843573
1.050,132.476,0.858193
1.060,132.578,0.858090
1.070,132.619,0.836023
1.080,132.555,0.834324
1.090,132.305,0.794264
1.100,132.060,0.677760
1.110,132.316,0.730248
1.120,132.328,0.704665
1.130,132.016,0.588701
1.140,132.096,0.711043
1.150,132.310,0.563269
1.160,132.103,0.597431
1.170,131.992,0.688907
1.180,132.464,0.599707
1.190,132.280,0.615725
1.200,132.171,0.610578
1.210,132.499,0.560812
1.220,132.374,0.466033
1.230,132.190,0.541927
