time,frequency,confidence
0.000,662.972,0.084739
0.010,665.669,0.584104
0.020,666.248,0.430801
0.030,666.802,0.094519
0.040,660.583,0.057909
0.050,662.598,0.056375
0.060,667.457,0.008298
0.070,660.794,0.008119
0.080,666.155,0.026904
0.090,665.405,0.043730
0.100,663.727,0.031383
0.110,655.871,0.041460
0.120,656.374,0.029627
0.130,650.864,0.019996
0.140,644.462,0.067623
0.150,620.045,0.041797
0.160,588.149,0.071511
0.170,587.577,0.063513
0.180,578.639,0.066106
0.190,544.793,0.052322
0.200,521.530,0.054167
0.210,521.666,0.190862
0.220,504.244,0.142514
0.230,468.179,0.396233
0.240,439.348,0.025969
0.250,398.859,0.003335
0.260,386.063,0.005839
0.270,354.649,0.008690
0.280,328.036,0.010822
0.290,305.081,0.130329
0.300,288.591,0.582461
0.310,290.593,0.483260
0.320,293.651,0.395233
0.330,295.802,0.286683
0.340,301.106,0.082295
0.350,305.068,0.084835
0.360,301.937,0.154283
0.370,302.936,0.208380
0.380,285.027,0.366416
0.390,268.810,0.670134
0.400,240.000,0.513456
0.410,229.439,0.130886
0.420,224.963,0.643910
0.430,223.642,0.857246
0.440,224.226,0.895588
0.450,225.698,0.941505
0.460,226.411,0.938735
0.470,226.433,0.942585
0.480,226.698,0.935740
0.490,227.203,0.908516
0.500,226.944,0.912828
0.510,226.865,0.907115
0.520,227.192,0.852416
0.530,227.883,0.840985
0.540,229.544,0.684718
0.550,258.712,0.753131
0.560,260.454,0.919154
0.570,261.390,0.951737
0.580,261.053,0.942728
0.590,260.382,0.954878
0.600,259.943,0.960128
0.610,259.811,0.957731
0.620,259.978,0.957044
0.630,260.028,0.960995
0.640,260.535,0.955990
0.650,261.059,0.955904
0.660,261.316,0.957731
0.670,262.150,0.958943
0.680,263.367,0.932837
0.690,263.310,0.905958
0.700,262.501,0.745803
0.710,290.927,0.447138
0.720,291.088,0.572502
0.730,292.698,0.663511
0.740,293.891,0.684945
0.750,294.264,0.805953
0.760,294.724,0.923867
0.770,296.689,0.846708
0.780,304.335,0.669070
0.790,311.236,0.929479
0.800,311.864,0.943553
0.810,310.864,0.924298
0.820,309.374,0.955058
0.830,307.392,0.914648
0.840,302.034,0.859251
0.850,296.263,0.920530
0.860,294.308,0.960002
0.870,293.696,0.953056
0.880,293.570,0.939606
0.890,293.534,0.938294
0.900,293.118,0.939082
0.910,293.444,0.913546
0.920,296.567,0.752687
0.930,308.974,0.741141
0.940,312.563,0.939648
0.950,313.746,0.919126
0.960,314.042,0.896104
0.970,313.605,0.901532
0.980,312.651,0.826752
0.990,311.840,0.525530
1.000,289.504,0.511965
1.010,259.836,0.833400
1.020,259.957,0.946778
1.030,259.952,0.959196
1.040,260.250,0.955834
1.050,260.670,0.927285
1.060,261.371,0.930911
1.070,262.096,0.927842
1.080,261.927,0.950879
1.090,261.569,0.949466
1.100,261.467,0.885665
1.110,259.604,0.512274
1.120,288.236,0.664410
1.130,288.993,0.819876
1.140,290.193,0.909733
1.150,291.275,0.943401
1.160,292.129,0.941472
1.170,292.646,0.933567
1.180,293.443,0.931266
1.190,294.010,0.956987
1.200,295.059,0.962583
1.210,296.615,0.927889
1.220,297.556,0.945870
1.230,298.127,0.953043
1.240,299.301,0.937179
1.250,300.848,0.933318
1.260,299.956,0.869732
1.270,295.862,0.610435
1.280,271.914,0.514006
1.290,259.616,0.929765
1.300,260.182,0.956107
1.310,260.484,0.948174
1.320,260.775,0.930828
1.330,260.560,0.906075
1.340,281.060,0.723661
1.350,315.231,0.517786
1.360,315.245,0.810399
1.370,314.647,0.696502
1.380,312.168,0.402484
1.390,275.764,0.704466
1.400,260.354,0.905816
1.410,260.429,0.949379
1.420,260.503,0.954660
1.430,260.566,0.951714
1.440,261.022,0.943299
1.450,261.609,0.954352
1.460,262.069,0.952723
1.470,262.683,0.955142
1.480,262.361,0.958987
1.490,262.104,0.965402
1.500,261.936,0.964676
1.510,262.057,0.964326
1.520,262.606,0.962407
1.530,263.432,0.941403
1.540,262.597,0.908660
1.550,259.602,0.788404
1.560,287.752,0.237365
1.570,321.384,0.292602
1.580,339.943,0.370704
