time,frequency,confidence
0.000,263.799,0.191799
0.010,280.126,0.164504
0.020,298.119,0.074385
0.030,315.988,0.058701
0.040,343.945,0.274503
0.050,355.187,0.277782
0.060,348.949,0.164549
0.070,333.533,0.075227
0.080,306.244,0.228957
0.090,304.544,0.385076
0.100,308.503,0.357503
0.110,308.258,0.398683
0.120,306.867,0.358938
0.130,342.033,0.226665
0.140,388.934,0.193589
0.150,437.277,0.161542
0.160,489.262,0.097529
0.170,551.021,0.049923
0.180,626.611,0.076448
0.190,709.538,0.154058
0.200,761.049,0.195820
0.210,872.288,0.248708
0.220,974.691,0.230379
0.230,1061.695,0.487835
0.240,1055.624,0.817714
0.250,1055.105,0.863196
0.260,1052.799,0.890783
0.270,1051.602,0.910066
0.280,1050.503,0.926794
0.290,1050.478,0.935362
0.300,1050.615,0.941691
0.310,1050.314,0.946312
0.320,1049.249,0.951335
0.330,1047.964,0.954294
0.340,1046.820,0.955106
0.350,1045.319,0.955884
0.360,1044.756,0.957045
0.370,1044.711,0.958251
0.380,1045.160,0.959326
0.390,1045.517,0.960386
0.400,1045.802,0.961078
0.410,1046.135,0.960935
0.420,1046.496,0.961133
0.430,1046.862,0.960184
0.440,1046.787,0.960928
0.450,1046.749,0.960428
0.460,1046.614,0.961353
0.470,1046.507,0.960763
0.480,1046.343,0.961021
0.490,1046.293,0.960812
0.500,1046.359,0.961237
0.510,1046.344,0.961661
0.520,1046.126,0.962568
0.530,1045.994,0.962969
0.540,1045.923,0.962872
0.550,1045.965,0.962142
0.560,1046.179,0.961510
0.570,1046.838,0.960314
0.580,1047.134,0.959689
0.590,1047.353,0.958987
0.600,1047.306,0.958305
0.610,1047.246,0.959221
0.620,1046.774,0.959361
0.630,1046.516,0.960788
0.640,1046.300,0.960308
0.650,1046.212,0.960297
0.660,1046.172,0.961575
0.670,1046.532,0.961415
0.680,1047.138,0.961826
0.690,1048.093,0.957294
0.700,1048.019,0.956987
0.710,1047.517,0.956767
0.720,1046.894,0.959653
0.730,1046.616,0.959370
0.740,1045.881,0.959039
0.750,1045.489,0.958132
0.760,1044.904,0.957596
0.770,1044.671,0.958546
0.780,1044.729,0.957956
0.790,1044.726,0.958283
0.800,1044.665,0.957109
0.810,1044.537,0.957449
0.820,1044.450,0.956604
0.830,1044.217,0.957444
0.840,1043.981,0.955554
0.850,1043.924,0.955828
