time,frequency,confidence
0.000,179.455,0.014640
0.010,178.714,0.055292
0.020,176.973,0.105144
0.030,176.849,0.129283
0.040,177.874,0.078674
0.050,177.398,0.154921
0.060,178.338,0.205287
0.070,178.652,0.237150
0.080,180.120,0.219783
0.090,180.591,0.494900
0.100,181.621,0.707345
0.110,183.966,0.709773
0.120,186.233,0.742366
0.130,186.427,0.833138
0.140,185.534,0.913912
0.150,184.191,0.919346
0.160,183.164,0.939502
0.170,183.453,0.932093
0.180,183.634,0.940745
0.190,183.703,0.945930
0.200,183.439,0.946498
0.210,183.407,0.948130
0.220,183.398,0.945032
0.230,183.079,0.936751
0.240,182.460,0.921210
0.250,181.880,0.930794
0.260,181.333,0.932858
0.270,181.181,0.932880
0.280,181.020,0.930837
0.290,181.105,0.935796
0.300,181.319,0.933754
0.310,181.217,0.933563
0.320,181.231,0.938232
0.330,181.390,0.936828
0.340,181.961,0.933373
0.350,182.866,0.931278
0.360,183.894,0.941430
0.370,184.614,0.937846
0.380,185.414,0.956004
0.390,186.029,0.951747
0.400,186.030,0.959642
0.410,185.479,0.970191
0.420,184.738,0.958152
0.430,183.795,0.959183
0.440,182.807,0.944247
0.450,181.599,0.952774
0.460,181.157,0.952749
0.470,180.926,0.949183
0.480,180.517,0.937792
0.490,179.821,0.955580
0.500,179.154,0.948937
0.510,178.903,0.937783
0.520,179.325,0.945516
0.530,180.418,0.937525
0.540,181.254,0.958025
0.550,181.978,0.947037
0.560,181.760,0.947618
0.570,180.818,0.920300
0.580,179.375,0.925656
0.590,179.406,0.925998
0.600,181.393,0.904297
0.610,185.038,0.800235
0.620,192.474,0.585905
0.630,198.806,0.847017
0.640,200.403,0.903610
0.650,199.933,0.903481
0.660,198.097,0.922955
0.670,196.152,0.941212
0.680,194.770,0.962749
0.690,194.133,0.955741
0.700,194.201,0.952581
0.710,194.861,0.955331
0.720,195.387,0.952765
0.730,195.792,0.937770
0.740,196.352,0.948635
0.750,197.806,0.893725
0.760,201.183,0.842088
0.770,205.076,0.908925
0.780,206.897,0.953368
0.790,207.582,0.946841
0.800,208.025,0.957242
0.810,208.005,0.960466
0.820,206.975,0.943118
0.830,204.976,0.895836
0.840,199.785,0.618897
0.850,191.801,0.699350
0.860,186.932,0.891923
0.870,184.962,0.954115
0.880,184.088,0.949693
0.890,183.726,0.959332
0.900,183.216,0.948759
0.910,183.038,0.938626
0.920,183.527,0.944892
0.930,184.705,0.940249
0.940,185.820,0.947269
0.950,186.695,0.916074
0.960,187.369,0.931609
0.970,187.747,0.937301
0.980,187.713,0.940007
0.990,187.390,0.941475
1.000,186.524,0.931686
1.010,185.739,0.964697
1.020,185.404,0.965074
1.030,185.703,0.949828
1.040,187.693,0.847269
1.050,193.756,0.673421
1.060,200.129,0.715053
1.070,205.970,0.870030
1.080,208.955,0.934537
1.090,209.924,0.943888
1.100,209.642,0.942174
1.110,208.303,0.960016
1.120,206.757,0.954390
1.130,205.331,0.953106
1.140,204.181,0.952880
1.150,202.852,0.926253
1.160,201.439,0.923668
1.170,200.313,0.900409
1.180,199.747,0.914880
1.190,199.896,0.903993
1.200,200.731,0.900395
1.210,202.124,0.897756
1.220,203.009,0.917516
1.230,202.999,0.910031
1.240,202.282,0.878783
1.250,200.827,0.863708
1.260,200.293,0.839089
1.270,200.716,0.869548
1.280,200.340,0.880753
1.290,198.189,0.866149
1.300,194.036,0.800928
1.310,188.396,0.791272
1.320,184.376,0.885604
1.330,181.972,0.934523
1.340,180.190,0.937919
1.350,179.498,0.939218
1.360,179.387,0.922023
1.370,180.177,0.925722
1.380,181.558,0.937187
1.390,183.477,0.935485
1.400,185.340,0.938685
1.410,187.662,0.867461
1.420,192.487,0.686119
1.430,199.906,0.630393
1.440,206.855,0.663775
1.450,212.646,0.839171
1.460,216.446,0.907329
1.470,217.820,0.957313
1.480,217.110,0.938369
1.490,215.327,0.935157
1.500,211.719,0.911685
1.510,208.575,0.925663
1.520,205.992,0.953635
1.530,204.491,0.927704
1.540,203.292,0.914483
1.550,202.312,0.891020
1.560,202.130,0.897640
1.570,202.580,0.878073
1.580,204.213,0.915072
1.590,206.524,0.940076
1.600,209.009,0.920008
1.610,212.209,0.868305
1.620,217.207,0.802754
1.630,223.637,0.831282
1.640,229.089,0.816736
1.650,231.767,0.883053
1.660,230.020,0.773500
1.670,224.268,0.763843
1.680,217.301,0.755499
1.690,211.103,0.752486
1.700,204.679,0.743922
1.710,198.866,0.868754
1.720,196.060,0.942228
1.730,195.154,0.955769
1.740,194.835,0.955982
1.750,194.681,0.953045
1.760,194.598,0.951340
1.770,193.978,0.943537
1.780,192.889,0.909051
1.790,191.708,0.912974
1.800,190.307,0.908354
1.810,189.076,0.896264
1.820,188.306,0.928365
1.830,187.613,0.937113
1.840,186.923,0.925636
1.850,186.290,0.944914
1.860,185.856,0.956475
1.870,185.839,0.953560
1.880,186.111,0.947892
1.890,186.302,0.944702
1.900,186.252,0.946829
1.910,186.048,0.952912
1.920,185.733,0.956514
1.930,185.314,0.957799
1.940,184.809,0.947918
1.950,184.465,0.937227
1.960,184.204,0.944334
1.970,183.939,0.946240
1.980,183.753,0.952134
1.990,183.401,0.941298
2.000,183.332,0.939463
2.010,183.242,0.948089
2.020,183.388,0.949147
2.030,183.571,0.946423
2.040,183.899,0.944367
2.050,184.077,0.926952
2.060,184.496,0.921903
2.070,184.894,0.946170
2.080,185.373,0.956144
2.090,186.035,0.945789
2.100,186.396,0.927733
2.110,187.168,0.917047
2.120,187.809,0.917465
2.130,188.280,0.905922
2.140,188.723,0.882075
2.150,189.021,0.903094
2.160,188.570,0.895988
2.170,187.833,0.932854
2.180,187.246,0.932144
2.190,187.000,0.931488
2.200,187.010,0.918303
2.210,187.291,0.927175
2.220,187.453,0.933449
2.230,187.932,0.919529
2.240,188.569,0.887401
2.250,189.423,0.913905
2.260,189.956,0.924457
2.270,190.499,0.914245
2.280,190.622,0.907112
2.290,190.397,0.922535
2.300,189.976,0.931846
2.310,189.163,0.924153
2.320,188.289,0.929885
2.330,187.602,0.941274
2.340,186.909,0.937321
2.350,186.484,0.944775
2.360,186.131,0.956009
2.370,186.285,0.947328
2.380,186.727,0.919097
2.390,186.463,0.923697
2.400,185.260,0.946305
2.410,183.567,0.946034
2.420,182.515,0.936869
2.430,182.606,0.938340
2.440,183.630,0.956712
2.450,184.801,0.949275
2.460,186.129,0.948284
2.470,187.457,0.946450
2.480,188.815,0.918096
2.490,190.151,0.943581
2.500,191.615,0.949930
2.510,193.467,0.911327
2.520,195.885,0.910174
2.530,198.313,0.912932
2.540,201.610,0.891827
2.550,203.914,0.946858
2.560,204.806,0.936020
2.570,204.525,0.946941
2.580,203.842,0.954771
2.590,203.086,0.930785
2.600,202.042,0.905664
2.610,200.293,0.885899
2.620,198.491,0.928156
2.630,197.577,0.937064
2.640,197.464,0.948121
2.650,197.972,0.931020
2.660,199.004,0.948159
2.670,200.252,0.903116
2.680,201.431,0.926953
2.690,202.491,0.904754
2.700,202.978,0.929612
2.710,203.015,0.929426
2.720,202.810,0.914325
2.730,202.435,0.901862
