time,frequency,confidence
0.000,179.618,0.065969
0.010,178.858,0.037992
0.020,178.190,0.028277
0.030,177.725,0.042059
0.040,177.083,0.078368
0.050,177.542,0.034780
0.060,175.097,0.040609
0.070,169.043,0.018549
0.080,161.343,0.083167
0.090,172.434,0.085290
0.100,179.740,0.035355
0.110,186.733,0.073073
0.120,195.424,0.011766
0.130,206.913,0.062694
0.140,215.240,0.019841
0.150,215.373,0.009110
0.160,208.489,0.116890
0.170,207.346,0.272914
0.180,205.548,0.146595
0.190,194.636,0.049768
0.200,183.862,0.015627
0.210,180.424,0.019163
0.220,175.941,0.044351
0.230,176.734,0.027939
0.240,178.897,0.017596
0.250,182.029,0.038216
0.260,184.192,0.015068
0.270,185.409,0.013187
0.280,187.599,0.009317
0.290,188.431,0.024884
0.300,186.964,0.083452
0.310,169.221,0.133868
0.320,166.209,0.183803
0.330,172.304,0.060074
0.340,196.615,0.010803
0.350,215.684,0.051067
0.360,228.823,0.061745
0.370,219.513,0.166651
0.380,205.313,0.009998
0.390,209.445,0.025746
0.400,210.435,0.013696
0.410,209.360,0.042349
0.420,210.165,0.138408
0.430,206.516,0.106596
0.440,204.509,0.034928
0.450,202.129,0.009332
0.460,183.166,0.016432
0.470,162.137,0.061097
0.480,145.383,0.068696
0.490,147.395,0.134430
0.500,147.403,0.107699
0.510,156.790,0.110849
0.520,159.219,0.091724
0.530,159.977,0.174389
0.540,157.424,0.040235
0.550,147.041,0.027792
0.560,139.801,0.011801
0.570,129.103,0.065351
0.580,132.498,0.075998
0.590,140.513,0.253026
0.600,151.032,0.267549
0.610,156.703,0.092295
0.620,165.156,0.116179
0.630,175.588,0.054187
0.640,184.048,0.032334
0.650,193.473,0.048122
0.660,203.350,0.127591
0.670,210.704,0.273509
0.680,208.670,0.633936
0.690,207.166,0.604755
0.700,206.361,0.522542
0.710,206.505,0.253161
0.720,211.503,0.387200
0.730,216.443,0.085395
0.740,196.454,0.220058
0.750,177.613,0.431390
0.760,162.873,0.475594
0.770,163.021,0.534221
0.780,158.671,0.244949
0.790,158.020,0.143299
0.800,157.894,0.277151
0.810,162.766,0.119041
0.820,159.457,0.070446
0.830,162.948,0.095888
0.840,165.801,0.137468
0.850,170.778,0.146068
0.860,171.857,0.066275
0.870,175.465,0.104176
0.880,179.174,0.019346
0.890,181.505,0.027286
0.900,179.997,0.167903
0.910,179.751,0.131873
0.920,179.411,0.024287
0.930,177.994,0.038462
0.940,181.828,0.063102
0.950,185.942,0.133887
0.960,187.873,0.087386
0.970,191.442,0.098761
0.980,196.671,0.082414
0.990,203.037,0.122358
1.000,208.035,0.056785
1.010,211.545,0.081722
1.020,215.629,0.089724
1.030,221.104,0.149469
1.040,226.579,0.220471
1.050,231.465,0.075983
1.060,232.166,0.106151
1.070,234.724,0.174706
1.080,236.217,0.047705
1.090,220.424,0.354838
1.100,219.433,0.296142
1.110,211.943,0.516438
1.120,209.566,0.694634
1.130,207.118,0.834860
1.140,205.937,0.929921
1.150,205.576,0.938669
1.160,206.156,0.943599
1.170,207.672,0.927456
1.180,209.623,0.902460
1.190,212.106,0.893334
1.200,215.528,0.871383
1.210,219.625,0.875331
1.220,222.894,0.909265
1.230,226.008,0.890557
1.240,229.060,0.901279
1.250,231.335,0.912973
1.260,233.591,0.936731
1.270,236.728,0.937319
1.280,239.561,0.950150
1.290,242.608,0.946545
1.300,245.898,0.931540
1.310,248.473,0.925146
1.320,252.266,0.916544
1.330,256.233,0.964189
1.340,258.915,0.955365
1.350,261.355,0.937908
1.360,264.117,0.905185
1.370,267.273,0.912681
1.380,269.524,0.948873
1.390,270.930,0.945293
1.400,272.591,0.948756
1.410,274.504,0.935388
1.420,276.330,0.908102
1.430,277.824,0.941298
1.440,278.710,0.944256
1.450,280.565,0.924200
1.460,282.560,0.928599
1.470,283.562,0.956314
1.480,284.111,0.968409
