time,frequency,confidence
0.000,324.109,0.375615
0.010,329.687,0.182921
0.020,330.152,0.362904
0.030,326.035,0.509406
0.040,317.686,0.711605
0.050,294.009,0.259701
0.060,278.589,0.438670
0.070,289.570,0.350945
0.080,301.814,0.466745
0.090,320.214,0.452850
0.100,318.483,0.682096
0.110,316.406,0.868063
0.120,315.870,0.913982
0.130,315.378,0.953496
0.140,314.806,0.957352
0.150,314.470,0.952668
0.160,314.125,0.944104
0.170,314.380,0.951837
0.180,314.182,0.945307
0.190,314.267,0.945073
0.200,314.409,0.950373
0.210,314.409,0.949358
0.220,314.239,0.942239
0.230,314.062,0.939074
0.240,314.460,0.948925
0.250,314.315,0.946104
0.260,314.812,0.955253
0.270,315.281,0.962599
0.280,315.480,0.963710
0.290,315.345,0.963898
0.300,315.247,0.963844
0.310,315.258,0.964351
0.320,314.856,0.961641
0.330,314.892,0.960818
0.340,315.084,0.962893
0.350,315.539,0.964771
0.360,315.718,0.963114
0.370,316.258,0.959138
0.380,316.027,0.963574
0.390,316.280,0.961380
0.400,316.065,0.962671
0.410,316.327,0.955875
0.420,316.687,0.949586
0.430,317.327,0.934884
0.440,317.639,0.937681
0.450,318.000,0.944341
0.460,318.228,0.950802
0.470,318.754,0.959294
0.480,318.645,0.956879
0.490,318.718,0.959250
0.500,318.002,0.945698
0.510,317.951,0.947373
0.520,317.763,0.939027
0.530,317.705,0.932500
0.540,317.389,0.931175
0.550,317.214,0.942723
0.560,317.321,0.937969
0.570,318.362,0.954325
0.580,319.122,0.963809
0.590,319.356,0.962042
0.600,319.580,0.956864
0.610,319.260,0.959438
0.620,319.290,0.959277
0.630,318.740,0.956147
0.640,318.534,0.953313
0.650,318.555,0.951712
0.660,318.660,0.958579
0.670,318.572,0.953261
0.680,318.763,0.956202
0.690,319.110,0.958677
0.700,319.235,0.957992
0.710,319.523,0.960410
0.720,319.121,0.962511
0.730,318.841,0.959465
0.740,318.441,0.951451
0.750,318.422,0.947093
0.760,318.850,0.954144
0.770,318.824,0.959060
0.780,318.661,0.955367
0.790,318.829,0.959260
0.800,319.418,0.960656
0.810,320.180,0.954180
0.820,321.329,0.936961
0.830,321.844,0.952771
0.840,321.959,0.956028
0.850,322.315,0.961503
0.860,321.801,0.948743
0.870,320.539,0.947920
0.880,319.525,0.960004
0.890,318.784,0.957826
0.900,318.530,0.951563
0.910,318.683,0.952586
0.920,318.673,0.957325
0.930,318.471,0.956230
0.940,318.504,0.954640
0.950,318.716,0.957132
0.960,318.741,0.955129
0.970,318.750,0.956301
0.980,317.673,0.937860
0.990,316.784,0.945505
1.000,315.930,0.958237
1.010,315.360,0.959075
1.020,315.344,0.960646
1.030,315.783,0.959291
1.040,315.667,0.962964
1.050,315.839,0.960288
1.060,315.699,0.963143
1.070,315.744,0.961634
1.080,315.696,0.960114
1.090,316.387,0.953563
1.100,316.578,0.953008
1.110,317.427,0.930739
1.120,318.156,0.951358
1.130,318.959,0.959214
1.140,319.095,0.960348
1.150,319.286,0.962581
1.160,318.930,0.962264
1.170,318.787,0.960900
1.180,318.654,0.959491
1.190,318.931,0.958857
1.200,319.207,0.959115
1.210,319.076,0.962381
1.220,318.751,0.956780
1.230,318.114,0.946987
1.240,317.785,0.933424
1.250,317.477,0.921720
1.260,317.646,0.929989
1.270,317.048,0.940313
1.280,316.427,0.953953
1.290,315.712,0.960554
1.300,315.113,0.959681
1.310,314.779,0.954263
1.320,314.753,0.954587
1.330,314.642,0.951972
1.340,314.593,0.952320
1.350,314.529,0.950889
1.360,314.597,0.949608
1.370,314.801,0.953034
1.380,315.607,0.958276
1.390,316.063,0.956690
1.400,316.438,0.954902
1.410,316.628,0.951497
1.420,316.714,0.950636
1.430,316.765,0.947968
1.440,316.853,0.946928
1.450,316.898,0.947311
1.460,316.244,0.958901
1.470,315.853,0.963088
1.480,315.960,0.962256
1.490,316.199,0.959493
1.500,316.310,0.956393
1.510,316.879,0.943975
1.520,316.869,0.945446
1.530,316.892,0.941390
1.540,316.966,0.937496
1.550,316.904,0.936453
1.560,316.590,0.947277
1.570,316.579,0.948366
1.580,316.255,0.956391
1.590,316.042,0.958285
1.600,316.040,0.961579
1.610,315.824,0.963242
1.620,315.693,0.964360
1.630,315.880,0.961561
1.640,315.930,0.961715
1.650,316.060,0.959533
1.660,316.021,0.962177
1.670,316.144,0.958764
1.680,316.753,0.947245
1.690,317.474,0.926795
