time,frequency,confidence
0.000,173.417,0.157041
0.010,174.027,0.097984
0.020,175.118,0.078868
0.030,176.040,0.166314
0.040,175.976,0.657685
0.050,174.524,0.592703
0.060,174.866,0.492699
0.070,174.684,0.099183
0.080,174.953,0.143685
0.090,175.820,0.043129
0.100,174.732,0.035726
0.110,175.771,0.073048
0.120,176.075,0.080944
0.130,176.736,0.012596
0.140,176.532,0.060160
0.150,173.540,0.019694
0.160,175.280,0.056291
0.170,174.520,0.071901
0.180,175.575,0.075098
0.190,175.039,0.037519
0.200,174.444,0.011964
0.210,174.472,0.029586
0.220,175.579,0.089168
0.230,174.325,0.248910
0.240,171.409,0.184605
0.250,169.266,0.216700
0.260,168.993,0.047516
0.270,171.615,0.014544
0.280,176.395,0.192646
0.290,180.067,0.623124
0.300,180.664,0.583003
0.310,185.449,0.245018
0.320,189.194,0.110259
0.330,189.890,0.087188
0.340,189.065,0.567605
0.350,189.810,0.097480
0.360,190.585,0.018118
0.370,193.671,0.058496
0.380,196.954,0.017006
0.390,198.575,0.037159
0.400,202.265,0.032063
0.410,203.862,0.042383
0.420,204.335,0.096526
0.430,204.094,0.109680
0.440,204.930,0.031128
0.450,205.581,0.083834
0.460,206.270,0.333665
0.470,208.838,0.458602
0.480,205.279,0.304950
0.490,204.028,0.300875
0.500,206.414,0.343303
0.510,207.422,0.781245
0.520,208.215,0.865053
0.530,207.989,0.914422
0.540,207.041,0.920313
0.550,206.985,0.925442
0.560,206.589,0.930890
0.570,205.970,0.942246
0.580,205.666,0.942204
0.590,206.441,0.921529
0.600,207.849,0.903097
0.610,208.863,0.942635
0.620,209.632,0.918853
0.630,210.145,0.931609
0.640,210.525,0.949247
0.650,210.879,0.945624
0.660,211.157,0.949697
0.670,210.541,0.955731
0.680,209.575,0.940357
0.690,207.416,0.908109
0.700,203.442,0.774384
0.710,196.675,0.852799
0.720,194.868,0.931819
0.730,194.380,0.906731
0.740,194.381,0.879048
0.750,195.070,0.874164
0.760,195.263,0.787816
0.770,195.306,0.548900
0.780,203.967,0.460165
0.790,208.699,0.726033
0.800,209.555,0.703977
0.810,210.273,0.613750
0.820,209.438,0.542525
0.830,229.502,0.506805
0.840,259.434,0.526754
0.850,294.141,0.181513
0.860,315.356,0.250856
0.870,351.852,0.139867
0.880,351.471,0.656475
0.890,350.096,0.811907
0.900,349.507,0.885770
0.910,349.292,0.924064
0.920,349.001,0.914770
0.930,348.088,0.876070
0.940,344.585,0.597577
0.950,321.379,0.358203
0.960,296.021,0.155435
0.970,254.855,0.357886
0.980,234.663,0.611822
0.990,210.303,0.477179
1.000,210.209,0.612506
1.010,210.669,0.548600
1.020,210.652,0.761642
1.030,209.888,0.907917
1.040,209.908,0.913249
1.050,210.645,0.917871
1.060,210.653,0.937919
1.070,210.459,0.940729
1.080,210.535,0.940896
1.090,210.202,0.935796
1.100,209.600,0.910318
1.110,209.684,0.899257
1.120,210.242,0.910861
