time,frequency,confidence
0.000,810.124,0.019773
0.010,811.073,0.007947
0.020,806.408,0.035318
0.030,787.573,0.077491
0.040,786.051,0.725752
0.050,785.811,0.856502
0.060,785.983,0.897308
0.070,786.508,0.922357
0.080,786.133,0.942010
0.090,785.882,0.932830
0.100,785.442,0.917825
0.110,783.911,0.903937
0.120,783.174,0.907547
0.130,781.586,0.914733
0.140,778.584,0.951703
0.150,776.632,0.960395
0.160,776.501,0.962525
0.170,776.990,0.962626
0.180,777.733,0.960279
0.190,778.333,0.960345
0.200,779.369,0.955719
0.210,780.392,0.948915
0.220,781.581,0.940299
0.230,782.122,0.945412
0.240,782.708,0.948506
0.250,783.272,0.947962
0.260,783.214,0.946122
0.270,782.779,0.940645
0.280,782.423,0.937190
0.290,781.768,0.927718
0.300,781.421,0.928256
0.310,781.338,0.932863
0.320,781.590,0.933480
0.330,782.403,0.945907
0.340,783.052,0.954031
0.350,783.459,0.957618
0.360,784.148,0.959281
0.370,784.662,0.961543
0.380,788.465,0.932483
0.390,801.237,0.853859
0.400,809.621,0.923226
0.410,810.846,0.932740
0.420,808.413,0.919917
0.430,804.587,0.928025
0.440,799.983,0.910405
0.450,796.202,0.933022
0.460,792.890,0.921619
0.470,790.157,0.910701
0.480,787.562,0.939124
0.490,785.322,0.948599
0.500,783.921,0.949753
0.510,782.921,0.949319
0.520,781.951,0.946423
0.530,781.468,0.943615
0.540,781.723,0.944499
0.550,782.315,0.950506
0.560,783.228,0.955031
0.570,785.622,0.956741
0.580,791.425,0.912165
0.590,798.581,0.917591
0.600,804.159,0.937753
0.610,809.061,0.919078
0.620,813.449,0.937618
0.630,816.289,0.937313
0.640,818.066,0.926585
0.650,818.356,0.924271
0.660,817.274,0.929316
0.670,813.756,0.927953
0.680,808.162,0.910602
0.690,802.148,0.924544
0.700,797.002,0.928630
0.710,793.318,0.925942
0.720,788.849,0.935889
0.730,785.197,0.952860
0.740,783.836,0.955603
0.750,783.427,0.954255
0.760,783.196,0.958476
0.770,783.449,0.959440
0.780,784.400,0.960073
0.790,786.162,0.958655
0.800,789.042,0.942684
0.810,793.061,0.908004
0.820,798.660,0.850202
0.830,805.517,0.775188
0.840,814.157,0.684711
0.850,820.923,0.720346
0.860,818.888,0.570845
0.870,798.779,0.446548
0.880,791.631,0.601878
0.890,789.432,0.749333
0.900,799.899,0.569238
0.910,813.871,0.457174
0.920,818.401,0.448298
0.930,799.429,0.143817
0.940,801.926,0.056017
0.950,829.292,0.014592
0.960,856.658,0.027744
0.970,880.864,0.028931
0.980,898.807,0.032839
0.990,929.101,0.012436
1.000,943.055,0.074999
1.010,957.470,0.096423
1.020,962.416,0.088086
1.030,987.808,0.121742
1.040,1016.166,0.025860
1.050,1041.662,0.076759
1.060,1075.336,0.020938
1.070,1091.947,0.009546
1.080,1092.625,0.031729
1.090,1075.418,0.256561
1.100,1077.891,0.525991
1.110,1073.110,0.723426
1.120,1070.698,0.749200
1.130,1067.440,0.821116
1.140,1065.088,0.851556
1.150,1063.844,0.858266
1.160,1061.281,0.871786
1.170,1058.977,0.896046
1.180,1057.026,0.903885
1.190,1055.219,0.905041
1.200,1053.283,0.924314
1.210,1051.956,0.936296
1.220,1051.661,0.939272
1.230,1051.303,0.943428
1.240,1051.116,0.945533
1.250,1050.485,0.950820
1.260,1049.717,0.953665
1.270,1048.902,0.955909
1.280,1048.745,0.956759
1.290,1048.687,0.956247
1.300,1048.738,0.956738
1.310,1048.709,0.956224
1.320,1048.376,0.957647
1.330,1047.899,0.958045
1.340,1047.356,0.961296
1.350,1047.427,0.961368
1.360,1047.136,0.960649
1.370,1046.951,0.958964
1.380,1046.485,0.958865
1.390,1045.968,0.959348
1.400,1045.520,0.960649
1.410,1045.606,0.961162
1.420,1045.564,0.961108
1.430,1045.434,0.958985
1.440,1045.348,0.959978
1.450,1045.324,0.960612
1.460,1045.237,0.960056
1.470,1044.963,0.960149
1.480,1044.563,0.958525
1.490,1044.204,0.958296
1.500,1043.793,0.955631
1.510,1043.649,0.955506
1.520,1043.703,0.956143
1.530,1043.698,0.956250
1.540,1044.080,0.959077
1.550,1044.434,0.959950
1.560,1045.301,0.961486
1.570,1046.282,0.962213
1.580,1047.215,0.960884
1.590,1047.238,0.960672
1.600,1046.898,0.960318
1.610,1046.319,0.961883
1.620,1046.374,0.961004
1.630,1046.383,0.962104
1.640,1046.832,0.961370
1.650,1047.212,0.962830
1.660,1048.139,0.960725
1.670,1048.053,0.961336
1.680,1048.142,0.960329
1.690,1047.855,0.961697
1.700,1048.114,0.960031
1.710,1048.290,0.959469
1.720,1048.382,0.958528
1.730,1048.132,0.958405
1.740,1048.272,0.959826
1.750,1048.710,0.957595
1.760,1049.398,0.955276
1.770,1049.412,0.953973
1.780,1049.129,0.953954
1.790,1049.426,0.954088
1.800,1049.614,0.953534
1.810,1050.009,0.950872
1.820,1050.157,0.949889
1.830,1050.539,0.948056
1.840,1051.011,0.942987
1.850,1051.304,0.940443
1.860,1051.757,0.936477
1.870,1051.869,0.937962
1.880,1052.419,0.934714
1.890,1052.289,0.934916
1.900,1052.986,0.931132
1.910,1048.580,0.927582
1.920,1026.676,0.590135
1.930,982.053,0.888229
1.940,978.904,0.941699
1.950,978.718,0.941911
1.960,978.269,0.946177
1.970,978.046,0.942607
1.980,977.890,0.946884
1.990,977.232,0.939399
2.000,976.725,0.947034
2.010,977.224,0.934893
2.020,1050.372,0.841938
2.030,1159.854,0.397337
2.040,1170.905,0.913479
2.050,1177.313,0.960156
2.060,1177.798,0.893222
2.070,1168.933,0.487759
2.080,1065.580,0.815399
2.090,1060.637,0.894023
2.100,1055.438,0.902846
2.110,1053.502,0.927951
2.120,1052.949,0.929263
2.130,1051.746,0.938201
2.140,1050.636,0.945701
2.150,1049.635,0.951561
2.160,1049.016,0.952733
2.170,1048.179,0.955312
2.180,1047.144,0.957780
2.190,1045.991,0.958763
2.200,1044.936,0.958725
2.210,1044.176,0.957745
2.220,1043.922,0.957604
2.230,1043.773,0.956811
2.240,1043.981,0.957937
2.250,1044.161,0.957930
2.260,1044.639,0.959279
2.270,1045.401,0.961577
2.280,1046.866,0.956241
2.290,1051.447,0.927651
2.300,1059.086,0.884841
2.310,1062.652,0.900879
2.320,1064.447,0.893556
2.330,1065.204,0.891806
2.340,1065.725,0.887464
2.350,1064.464,0.889677
2.360,1063.560,0.897943
2.370,1061.101,0.901627
2.380,1057.779,0.895898
2.390,1054.952,0.899522
2.400,1052.414,0.926149
2.410,1049.534,0.943939
2.420,1046.522,0.952699
2.430,1044.207,0.953465
2.440,1043.037,0.951036
2.450,1042.951,0.950241
2.460,1042.778,0.949872
2.470,1042.556,0.946961
2.480,1042.484,0.944913
2.490,1042.759,0.947003
2.500,1043.027,0.950135
2.510,1043.315,0.952937
2.520,1043.824,0.955131
2.530,1044.203,0.958523
2.540,1045.168,0.960363
2.550,1046.308,0.960467
2.560,1048.620,0.948865
2.570,1054.631,0.899209
2.580,1062.337,0.890849
2.590,1066.061,0.881616
2.600,1068.454,0.863491
2.610,1070.438,0.876751
2.620,1071.064,0.875477
2.630,1070.797,0.875571
2.640,1068.806,0.867264
2.650,1066.119,0.885425
2.660,1063.200,0.897594
2.670,1059.597,0.905858
2.680,1056.126,0.893869
2.690,1051.967,0.932918
2.700,1049.156,0.948656
2.710,1047.603,0.958848
2.720,1047.173,0.958654
2.730,1046.396,0.960318
2.740,1046.134,0.960111
2.750,1045.687,0.959773
2.760,1045.369,0.959616
2.770,1044.842,0.959308
2.780,1044.559,0.958864
2.790,1045.049,0.960033
2.800,1045.632,0.960923
2.810,1046.087,0.961424
2.820,1046.621,0.959446
2.830,1048.027,0.952234
2.840,1052.796,0.914164
2.850,1060.888,0.881532
2.860,1066.939,0.865022
2.870,1071.238,0.857664
2.880,1075.198,0.866418
2.890,1077.093,0.847405
2.900,1077.052,0.861451
2.910,1074.701,0.873933
2.920,1071.643,0.869233
2.930,1066.837,0.871145
2.940,1062.463,0.902516
2.950,1058.048,0.897184
2.960,1055.801,0.895535
2.970,1054.392,0.910630
2.980,1053.876,0.919810
2.990,1053.654,0.924241
3.000,1053.019,0.930675
3.010,1052.439,0.932826
3.020,1051.896,0.938596
3.030,1051.212,0.942729
3.040,1050.455,0.949736
3.050,1050.299,0.949957
3.060,1050.119,0.950198
3.070,1050.588,0.947975
3.080,1051.190,0.943495
3.090,1052.099,0.938729
3.100,1053.706,0.923782
3.110,1055.188,0.905358
3.120,1055.837,0.900244
3.130,1056.688,0.890500
3.140,1057.645,0.890516
3.150,1058.404,0.895726
3.160,1058.834,0.900804
3.170,1059.965,0.896619
3.180,1060.568,0.898079
3.190,1061.313,0.904073
3.200,1061.421,0.903014
3.210,1060.155,0.902914
3.220,1059.045,0.903392
3.230,1057.770,0.892348
3.240,1056.511,0.890414
3.250,1054.732,0.910257
3.260,1052.482,0.931519
3.270,1049.912,0.943518
3.280,1047.551,0.953299
3.290,1045.609,0.958059
3.300,1044.682,0.956786
3.310,1044.430,0.957936
3.320,1043.891,0.955646
3.330,1043.593,0.954799
3.340,1043.649,0.954944
3.350,1043.489,0.954138
3.360,1043.434,0.953602
3.370,1043.304,0.952106
3.380,1043.305,0.953023
3.390,1043.756,0.955996
3.400,1044.246,0.958207
3.410,1045.671,0.958934
3.420,1049.397,0.943466
3.430,1056.151,0.882620
3.440,1061.576,0.901366
3.450,1063.177,0.899876
3.460,1065.189,0.891951
3.470,1065.509,0.891534
3.480,1064.837,0.895790
3.490,1062.737,0.904482
3.500,1060.094,0.906275
3.510,1057.045,0.893848
3.520,1054.454,0.910631
3.530,1051.713,0.937102
3.540,1049.280,0.946114
3.550,1047.058,0.951724
3.560,1045.008,0.955316
3.570,1043.663,0.954404
3.580,1042.953,0.952058
3.590,1042.865,0.950460
3.600,1042.705,0.947529
3.610,1042.480,0.948068
3.620,1042.111,0.941126
3.630,1041.652,0.941474
3.640,1041.819,0.941132
3.650,1042.857,0.950696
3.660,1046.037,0.953955
