time,frequency,confidence
0.000,604.685,0.040331
0.010,615.025,0.040259
0.020,634.857,0.087911
0.030,649.095,0.065250
0.040,656.511,0.111010
0.050,649.482,0.079243
0.060,633.489,0.098812
0.070,639.628,0.138895
0.080,645.686,0.055750
0.090,642.581,0.083140
0.100,632.605,0.081003
0.110,652.524,0.113063
0.120,666.987,0.165219
0.130,675.868,0.265607
0.140,679.263,0.283720
0.150,668.146,0.108604
0.160,659.305,0.074253
0.170,659.158,0.074397
0.180,642.209,0.075507
0.190,609.201,0.219744
0.200,591.124,0.137056
0.210,577.278,0.051959
0.220,595.531,0.041578
0.230,615.538,0.050321
0.240,633.257,0.076646
0.250,635.657,0.030808
0.260,637.995,0.024583
0.270,634.602,0.064903
0.280,646.379,0.085104
0.290,647.050,0.089586
0.300,647.605,0.085975
0.310,649.055,0.043631
0.320,654.475,0.059227
0.330,656.859,0.096548
0.340,597.680,0.081638
0.350,612.517,0.142699
0.360,621.325,0.233596
0.370,629.823,0.104389
0.380,635.502,0.083843
0.390,644.130,0.102782
0.400,633.089,0.071908
0.410,570.641,0.065801
0.420,504.562,0.071708
0.430,441.649,0.010027
0.440,395.533,0.047145
0.450,373.530,0.125262
0.460,345.239,0.207067
0.470,350.960,0.309533
0.480,352.489,0.426275
0.490,351.393,0.583147
0.500,350.229,0.321971
0.510,353.339,0.304363
0.520,352.847,0.450716
0.530,349.966,0.565331
0.540,354.185,0.789281
0.550,356.775,0.650962
0.560,351.860,0.729027
0.570,349.156,0.861840
0.580,346.743,0.923042
0.590,345.627,0.956660
0.600,345.234,0.959107
0.610,345.073,0.949280
0.620,344.291,0.928491
0.630,343.925,0.937571
0.640,343.772,0.936929
0.650,343.009,0.943264
0.660,342.781,0.944390
0.670,343.678,0.933504
0.680,343.886,0.931846
0.690,343.947,0.924762
0.700,345.640,0.946892
0.710,348.519,0.949510
0.720,350.865,0.947283
0.730,352.360,0.838861
0.740,352.120,0.429342
0.750,387.364,0.804997
0.760,387.118,0.722885
0.770,356.171,0.617676
0.780,351.980,0.902175
0.790,348.921,0.933606
0.800,347.220,0.948128
0.810,345.799,0.940418
0.820,344.162,0.927419
0.830,343.391,0.934446
0.840,341.904,0.920259
0.850,342.563,0.918254
0.860,344.680,0.913720
0.870,346.074,0.960140
0.880,347.467,0.941853
0.890,349.468,0.867739
0.900,377.929,0.345837
0.910,384.527,0.857211
0.920,384.036,0.879005
0.930,381.785,0.672245
0.940,373.704,0.246146
0.950,344.352,0.528661
0.960,315.185,0.947703
0.970,314.338,0.930846
0.980,314.641,0.943125
0.990,315.032,0.947915
1.000,315.568,0.946348
1.010,316.168,0.944663
1.020,317.081,0.921510
1.030,317.827,0.923867
1.040,317.350,0.901054
1.050,315.172,0.848593
1.060,306.868,0.667485
1.070,300.366,0.891732
1.080,300.397,0.936383
1.090,301.419,0.925653
1.100,302.728,0.836342
1.110,321.502,0.577311
1.120,346.601,0.861813
1.130,346.971,0.944700
1.140,344.539,0.917399
1.150,343.028,0.947056
1.160,341.521,0.939029
1.170,340.508,0.912917
1.180,341.162,0.904911
1.190,344.495,0.904272
1.200,346.428,0.954094
1.210,348.176,0.938663
1.220,350.048,0.966462
1.230,351.676,0.959465
1.240,352.838,0.957690
1.250,353.106,0.966735
1.260,353.171,0.969353
1.270,352.530,0.957114
1.280,350.694,0.969323
1.290,348.077,0.925032
1.300,344.355,0.892819
1.310,341.858,0.942389
1.320,340.876,0.923937
1.330,339.297,0.944985
1.340,339.580,0.908935
1.350,343.554,0.933773
1.360,345.720,0.967377
1.370,347.441,0.941810
1.380,350.929,0.860240
1.390,385.356,0.698192
1.400,387.849,0.918859
1.410,389.209,0.940230
1.420,389.243,0.932989
1.430,389.011,0.917404
1.440,388.711,0.909708
1.450,387.212,0.868687
1.460,384.359,0.717147
1.470,379.381,0.398242
1.480,354.073,0.281891
1.490,318.354,0.796500
1.500,316.814,0.880828
1.510,317.235,0.893576
1.520,317.208,0.914200
1.530,317.072,0.922785
1.540,316.323,0.946135
1.550,316.435,0.947233
1.560,316.351,0.947636
1.570,316.772,0.937344
1.580,316.558,0.943550
1.590,316.680,0.938679
1.600,315.918,0.954232
1.610,315.675,0.952164
1.620,315.431,0.956447
1.630,315.535,0.953926
1.640,315.475,0.954860
1.650,315.547,0.953335
1.660,314.766,0.951001
1.670,314.021,0.930970
1.680,313.476,0.947803
1.690,313.507,0.949647
1.700,313.785,0.937536
1.710,314.049,0.926993
1.720,314.582,0.938470
1.730,314.768,0.945430
1.740,315.127,0.950934
1.750,315.451,0.951042
1.760,315.653,0.953426
1.770,316.157,0.946404
1.780,316.637,0.936178
1.790,317.244,0.915805
1.800,317.718,0.910518
1.810,318.179,0.925928
1.820,317.960,0.917202
1.830,317.897,0.911886
1.840,318.004,0.914884
1.850,317.645,0.899979
1.860,317.519,0.899660
1.870,317.396,0.914401
1.880,318.280,0.926186
1.890,318.735,0.933590
1.900,319.517,0.944000
