time,frequency,confidence
0.000,1431.863,0.147402
0.010,1424.597,0.026996
0.020,1422.192,0.022191
0.030,1421.077,0.037206
0.040,1422.564,0.018756
0.050,1433.764,0.052403
0.060,1435.842,0.064291
0.070,1456.249,0.168699
0.080,1458.016,0.197604
0.090,1486.547,0.509251
0.100,1475.789,0.306991
0.110,1523.385,0.077830
0.120,1575.776,0.074805
0.130,1598.243,0.074574
0.140,1758.107,0.035785
0.150,1739.710,0.078851
0.160,1688.065,0.078465
0.170,1582.096,0.032512
0.180,1697.746,0.048990
0.190,1771.881,0.075811
0.200,1751.167,0.059565
0.210,1707.581,0.078968
0.220,1616.004,0.358289
0.230,1566.821,0.317722
0.240,1529.267,0.254915
0.250,1506.754,0.185824
0.260,1559.630,0.233777
0.270,1591.701,0.292217
0.280,1692.280,0.224803
0.290,1743.377,0.277953
0.300,1741.503,0.252333
0.310,1743.360,0.240866
0.320,1571.445,0.295094
0.330,1573.548,0.292588
0.340,1571.627,0.140780
0.350,1752.032,0.219581
0.360,1667.672,0.222100
0.370,1660.880,0.149563
0.380,1643.590,0.161722
0.390,1646.100,0.149787
0.400,1709.359,0.166519
0.410,1745.053,0.149127
0.420,1745.960,0.126959
0.430,1762.863,0.090924
0.440,1761.042,0.203030
0.450,1758.428,0.386126
0.460,1669.672,0.119431
0.470,1572.865,0.133605
0.480,1564.866,0.146645
0.490,1563.746,0.236597
0.500,1568.344,0.353433
0.510,1571.303,0.279230
0.520,1570.601,0.210601
0.530,1580.902,0.109830
0.540,1431.348,0.081733
0.550,1243.677,0.142106
0.560,1135.891,0.285181
0.570,975.519,0.174882
0.580,880.591,0.088571
0.590,795.488,0.164287
0.600,688.897,0.124714
0.610,621.362,0.045784
0.620,570.801,0.063795
0.630,493.267,0.043912
0.640,438.549,0.038378
0.650,395.649,0.067575
0.660,349.795,0.051596
0.670,310.148,0.041989
0.680,273.973,0.311372
0.690,241.395,0.525980
0.700,235.497,0.648539
0.710,236.689,0.831902
0.720,238.500,0.848678
0.730,241.143,0.885968
0.740,245.392,0.872468
0.750,250.182,0.880396
0.760,255.587,0.780722
0.770,264.461,0.680562
0.780,272.878,0.864021
0.790,277.491,0.903553
0.800,283.382,0.826620
0.810,287.814,0.919446
0.820,289.508,0.905290
0.830,288.335,0.931974
0.840,287.617,0.948046
0.850,288.871,0.940283
0.860,291.188,0.948773
0.870,294.709,0.924717
0.880,300.862,0.898982
0.890,307.255,0.875440
0.900,314.690,0.929174
0.910,319.463,0.952703
0.920,326.374,0.890116
0.930,332.516,0.929587
0.940,337.550,0.946652
0.950,341.772,0.958744
0.960,345.168,0.966623
