time,frequency,confidence
0.000,99.044,0.057936
0.010,103.359,0.067375
0.020,112.639,0.011323
0.030,116.902,0.024559
0.040,122.464,0.183786
0.050,128.171,0.012387
0.060,123.535,0.046130
0.070,125.485,0.033472
0.080,129.712,0.012584
0.090,130.317,0.026414
0.100,131.138,0.017225
0.110,131.127,0.008220
0.120,133.008,0.019526
0.130,134.811,0.145637
0.140,130.782,0.082267
0.150,148.350,0.110672
0.160,161.315,0.029701
0.170,159.822,0.043501
0.180,157.372,0.087026
0.190,148.431,0.030625
0.200,140.156,0.038551
0.210,142.085,0.068896
0.220,142.235,0.075472
0.230,143.428,0.104864
0.240,143.961,0.050522
0.250,143.479,0.037191
0.260,139.226,0.100865
0.270,137.436,0.025784
0.280,136.703,0.015423
0.290,135.700,0.390432
0.300,134.813,0.074975
0.310,132.244,0.047320
0.320,130.415,0.050373
0.330,129.267,0.018411
0.340,131.305,0.043166
0.350,133.673,0.191010
0.360,136.955,0.006415
0.370,139.826,0.007705
0.380,142.988,0.066900
0.390,145.628,0.023802
0.400,147.068,0.030451
0.410,133.715,0.049113
0.420,138.108,0.065837
0.430,135.325,0.172320
0.440,134.990,0.023929
0.450,130.800,0.292623
0.460,128.161,0.165424
0.470,126.879,0.129033
0.480,129.292,0.391872
0.490,133.712,0.485189
0.500,140.390,0.472314
0.510,145.733,0.604496
0.520,148.449,0.742128
0.530,155.539,0.653037
0.540,158.859,0.188239
0.550,163.037,0.410760
0.560,174.802,0.451305
0.570,183.776,0.524379
0.580,190.273,0.617425
0.590,193.300,0.705032
0.600,194.380,0.714644
0.610,195.323,0.749717
0.620,195.943,0.794683
0.630,196.285,0.827940
0.640,196.224,0.804857
0.650,195.436,0.659308
0.660,193.862,0.671224
0.670,193.316,0.541656
0.680,193.765,0.483344
0.690,200.372,0.406589
0.700,218.928,0.511513
0.710,232.797,0.705122
0.720,258.180,0.733655
0.730,261.475,0.641179
0.740,261.714,0.848262
0.750,261.291,0.907802
0.760,259.861,0.915428
0.770,258.818,0.901160
0.780,256.954,0.897364
0.790,254.283,0.883967
0.800,250.673,0.763423
0.810,245.673,0.885129
0.820,245.011,0.938726
0.830,245.600,0.951317
0.840,245.608,0.952270
0.850,245.888,0.941368
0.860,246.109,0.937920
0.870,246.443,0.912754
0.880,247.366,0.936646
0.890,249.722,0.917756
0.900,254.038,0.917728
0.910,257.789,0.953214
0.920,259.109,0.962252
0.930,259.838,0.964673
0.940,260.146,0.957386
0.950,260.583,0.937041
0.960,260.698,0.927317
0.970,260.781,0.912643
0.980,261.241,0.909455
0.990,261.188,0.921284
1.000,261.091,0.928451
1.010,260.805,0.937578
1.020,260.876,0.936024
1.030,260.857,0.932435
1.040,260.689,0.939373
1.050,260.874,0.934692
1.060,261.002,0.940372
1.070,261.135,0.951265
1.080,261.362,0.954835
1.090,261.362,0.954962
1.100,261.571,0.956658
1.110,262.738,0.954783
1.120,263.638,0.923947
1.130,262.977,0.921995
1.140,261.831,0.899286
1.150,261.704,0.924216
1.160,261.962,0.935108
1.170,262.430,0.951226
1.180,262.632,0.956346
1.190,262.484,0.968451
1.200,263.177,0.963096
1.210,263.683,0.943079
1.220,263.501,0.955575
1.230,263.239,0.963011
1.240,263.225,0.957843
1.250,262.930,0.962617
1.260,262.125,0.960556
1.270,261.533,0.955735
1.280,261.378,0.953316
1.290,261.390,0.951574
1.300,261.263,0.953924
1.310,260.464,0.956226
1.320,259.798,0.965278
1.330,259.322,0.968598
1.340,259.490,0.970101
1.350,259.689,0.971652
1.360,259.628,0.972788
1.370,259.728,0.968428
1.380,259.910,0.968214
1.390,260.330,0.958824
1.400,260.349,0.958750
1.410,260.192,0.966129
1.420,260.334,0.956470
1.430,261.184,0.945482
1.440,262.872,0.947731
1.450,263.409,0.941315
1.460,262.373,0.970742
1.470,261.519,0.964206
1.480,260.868,0.947422
1.490,260.360,0.961712
1.500,259.848,0.965137
1.510,259.476,0.967031
1.520,259.266,0.965862
1.530,259.111,0.968669
1.540,258.986,0.966867
1.550,258.879,0.964514
1.560,258.609,0.962026
1.570,258.341,0.950404
1.580,258.259,0.948769
1.590,258.280,0.951643
1.600,258.379,0.946395
1.610,258.577,0.951325
1.620,258.554,0.953007
1.630,258.735,0.958545
1.640,259.181,0.964828
1.650,259.376,0.965310
1.660,260.132,0.956632
1.670,260.796,0.924624
1.680,261.055,0.927215
1.690,261.661,0.931329
1.700,261.162,0.917830
1.710,260.544,0.952077
1.720,260.425,0.961655
1.730,260.233,0.961890
1.740,259.960,0.966092
1.750,259.375,0.965246
1.760,258.688,0.954755
1.770,257.620,0.954785
1.780,256.467,0.963971
1.790,256.957,0.942284
1.800,259.416,0.869675
1.810,259.900,0.818953
1.820,257.367,0.877917
1.830,258.104,0.904143
1.840,259.118,0.937632
1.850,258.435,0.933676
1.860,258.315,0.935706
1.870,259.218,0.962153
1.880,259.400,0.953384
1.890,260.553,0.909015
1.900,263.077,0.921939
1.910,261.891,0.945471
1.920,261.698,0.965571
1.930,262.137,0.972167
1.940,261.855,0.971140
1.950,261.239,0.953357
1.960,260.707,0.942963
1.970,260.087,0.960650
1.980,260.020,0.959463
1.990,260.170,0.961031
2.000,260.198,0.959311
2.010,260.018,0.962952
2.020,259.765,0.966172
2.030,260.340,0.955961
2.040,260.793,0.943287
2.050,260.460,0.957153
2.060,260.195,0.965309
2.070,259.728,0.967917
2.080,259.890,0.961013
2.090,260.763,0.932072
2.100,261.137,0.934373
2.110,261.382,0.947614
2.120,261.570,0.959660
2.130,261.773,0.971658
2.140,261.780,0.971950
2.150,262.151,0.972212
2.160,263.155,0.961835
2.170,263.366,0.951082
2.180,263.469,0.945686
2.190,263.692,0.942284
2.200,262.850,0.961827
2.210,262.241,0.972486
2.220,262.184,0.971209
2.230,261.453,0.963810
2.240,260.867,0.942583
2.250,260.733,0.947650
2.260,260.205,0.964817
2.270,260.268,0.962233
2.280,260.315,0.962072
2.290,260.233,0.963820
2.300,260.253,0.960076
2.310,260.299,0.955291
2.320,261.474,0.957799
2.330,262.483,0.966187
2.340,262.891,0.959947
2.350,262.994,0.957200
2.360,263.109,0.949539
2.370,262.724,0.961929
2.380,262.014,0.964371
2.390,261.329,0.963295
2.400,261.214,0.957816
2.410,261.015,0.948298
2.420,261.346,0.959683
2.430,261.342,0.958332
2.440,261.327,0.955813
2.450,260.739,0.942780
2.460,260.390,0.953483
2.470,260.145,0.961574
2.480,260.016,0.963332
2.490,259.993,0.958209
2.500,259.855,0.964438
2.510,259.388,0.967370
2.520,259.089,0.968930
2.530,258.984,0.968798
2.540,259.219,0.969452
2.550,259.386,0.971172
2.560,259.410,0.967795
2.570,259.382,0.967471
2.580,259.463,0.956904
2.590,259.887,0.937034
2.600,260.505,0.923192
2.610,260.808,0.930534
2.620,261.300,0.952864
2.630,261.384,0.957943
2.640,261.518,0.959721
2.650,261.388,0.961516
