time,frequency,confidence
0.000,667.838,0.023909
0.010,659.674,0.020021
0.020,637.019,0.045064
0.030,645.472,0.060557
0.040,642.350,0.053997
0.050,628.520,0.079712
0.060,616.611,0.103135
0.070,611.736,0.027818
0.080,599.857,0.026502
0.090,592.798,0.089161
0.100,591.377,0.243756
0.110,586.888,0.145429
0.120,580.253,0.059454
0.130,578.702,0.112981
0.140,561.547,0.093272
0.150,524.214,0.181151
0.160,502.125,0.206055
0.170,471.706,0.257805
0.180,460.797,0.014571
0.190,432.993,0.204386
0.200,399.516,0.604674
0.210,387.528,0.354959
0.220,359.134,0.256783
0.230,342.112,0.304338
0.240,337.841,0.709164
0.250,331.468,0.768463
0.260,333.313,0.796932
0.270,337.445,0.893468
0.280,339.899,0.926892
0.290,341.376,0.940400
0.300,342.642,0.956135
0.310,343.378,0.955841
0.320,343.327,0.955519
0.330,343.523,0.956382
0.340,343.786,0.952980
0.350,343.594,0.955965
0.360,343.232,0.957638
0.370,343.031,0.961438
0.380,343.075,0.961801
0.390,343.249,0.957760
0.400,343.566,0.957357
0.410,344.103,0.946926
0.420,344.647,0.948971
0.430,345.515,0.965287
0.440,346.498,0.969228
0.450,346.980,0.965374
0.460,347.205,0.965467
0.470,347.395,0.962476
0.480,347.510,0.964260
0.490,347.631,0.959409
0.500,347.416,0.960830
0.510,347.232,0.963966
0.520,346.745,0.962227
0.530,346.596,0.947236
0.540,346.585,0.888559
0.550,346.821,0.761095
0.560,345.995,0.630546
0.570,347.094,0.579606
0.580,326.024,0.292018
0.590,324.525,0.641382
0.600,323.894,0.706217
0.610,325.725,0.689192
0.620,326.073,0.689701
0.630,324.755,0.764582
0.640,323.760,0.786210
0.650,325.769,0.643893
0.660,341.021,0.504335
0.670,345.091,0.794697
0.680,345.853,0.925970
0.690,346.504,0.960539
0.700,347.353,0.964204
0.710,347.941,0.953395
0.720,348.381,0.956439
0.730,348.745,0.965722
0.740,348.910,0.968403
0.750,348.963,0.969378
0.760,349.014,0.965247
0.770,348.965,0.960904
0.780,348.724,0.917232
0.790,348.468,0.838384
0.800,349.383,0.738558
0.810,352.521,0.788142
0.820,360.872,0.819593
0.830,368.348,0.684108
0.840,385.050,0.449079
0.850,387.972,0.293154
0.860,389.451,0.730692
0.870,390.360,0.849583
0.880,391.372,0.832927
0.890,392.486,0.861662
0.900,428.536,0.866046
0.910,500.359,0.824205
0.920,564.584,0.702051
0.930,639.151,0.585659
0.940,694.346,0.435934
0.950,783.686,0.358977
0.960,787.708,0.375966
0.970,835.779,0.487111
0.980,837.035,0.688354
0.990,836.680,0.779409
1.000,835.227,0.767326
1.010,835.838,0.781837
1.020,834.210,0.772900
1.030,835.112,0.763397
1.040,835.015,0.711889
1.050,832.998,0.712577
1.060,831.928,0.636865
1.070,819.027,0.331732
1.080,763.567,0.294571
1.090,700.499,0.390992
1.100,642.247,0.375524
1.110,558.192,0.546902
1.120,482.608,0.463696
1.130,444.742,0.381463
1.140,392.499,0.679021
1.150,392.366,0.667012
1.160,392.571,0.685946
1.170,392.807,0.734250
1.180,392.998,0.764854
1.190,393.108,0.790286
1.200,392.986,0.835165
1.210,392.549,0.860491
1.220,392.639,0.878488
1.230,392.693,0.850924
1.240,392.081,0.813607
1.250,391.883,0.799658
1.260,391.988,0.839516
1.270,393.499,0.719482
1.280,396.450,0.360145
1.290,428.567,0.336855
1.300,428.034,0.629912
1.310,429.187,0.805795
1.320,429.513,0.848349
1.330,430.105,0.877152
1.340,430.225,0.901501
1.350,430.606,0.919643
1.360,430.785,0.925438
1.370,431.739,0.927810
1.380,432.997,0.902346
1.390,436.923,0.816832
1.400,487.377,0.369570
1.410,489.777,0.615024
1.420,490.643,0.719433
1.430,490.691,0.530165
1.440,490.086,0.408430
1.450,456.675,0.222040
1.460,427.422,0.648407
1.470,429.696,0.882519
1.480,430.226,0.920729
1.490,430.429,0.924910
1.500,430.445,0.926103
1.510,430.728,0.925460
1.520,430.802,0.926576
1.530,430.627,0.935897
1.540,431.969,0.929202
1.550,434.378,0.837138
1.560,438.935,0.340779
1.570,496.371,0.877678
1.580,499.501,0.915858
1.590,501.626,0.945726
1.600,502.981,0.935042
1.610,503.466,0.923223
1.620,503.289,0.910180
1.630,502.708,0.886158
1.640,502.212,0.845089
1.650,503.434,0.694116
1.660,441.866,0.313974
1.670,391.285,0.757788
1.680,390.840,0.895179
1.690,390.851,0.919154
1.700,391.254,0.914258
1.710,391.759,0.932416
1.720,391.948,0.934557
1.730,392.203,0.939318
1.740,392.811,0.946334
1.750,392.745,0.947195
1.760,392.576,0.948352
1.770,392.382,0.944422
1.780,392.263,0.940624
1.790,392.235,0.941356
1.800,392.273,0.942022
1.810,392.507,0.939989
1.820,392.548,0.943340
1.830,392.510,0.944412
1.840,392.588,0.941372
1.850,392.619,0.944974
1.860,392.459,0.936671
1.870,392.563,0.932869
1.880,392.685,0.937494
1.890,392.672,0.931819
1.900,392.591,0.935373
1.910,392.362,0.929444
1.920,392.561,0.925671
1.930,392.341,0.934596
1.940,392.129,0.929639
1.950,392.364,0.929332
1.960,392.312,0.933604
1.970,392.196,0.933839
1.980,392.680,0.929363
1.990,393.123,0.926327
2.000,392.725,0.900588
2.010,393.782,0.828408
2.020,396.971,0.702260
2.030,407.597,0.570755
2.040,412.723,0.776545
2.050,413.853,0.869080
2.060,414.602,0.913392
2.070,415.027,0.909603
2.080,415.744,0.864811
2.090,415.758,0.784116
2.100,416.002,0.741190
2.110,416.521,0.572518
2.120,416.480,0.419498
2.130,409.670,0.280976
2.140,399.718,0.429078
2.150,399.404,0.577169
2.160,394.715,0.732358
2.170,392.194,0.893718
2.180,391.629,0.909513
2.190,391.683,0.911512
2.200,391.995,0.915585
2.210,392.494,0.931760
2.220,392.836,0.935014
2.230,393.557,0.938271
2.240,393.635,0.939990
2.250,393.223,0.945657
2.260,392.642,0.950352
2.270,392.473,0.950917
2.280,392.504,0.947576
2.290,392.302,0.948468
2.300,392.566,0.950771
2.310,392.899,0.946700
2.320,392.794,0.950302
2.330,392.705,0.949486
2.340,392.670,0.946022
2.350,392.658,0.950491
2.360,392.746,0.951680
2.370,392.718,0.946173
2.380,392.652,0.948685
2.390,392.697,0.950276
2.400,392.519,0.950690
2.410,392.363,0.952457
2.420,392.498,0.952070
2.430,392.585,0.949511
2.440,392.493,0.951895
2.450,392.563,0.950737
2.460,392.573,0.946591
2.470,392.445,0.951415
2.480,392.631,0.952497
2.490,392.727,0.952052
2.500,392.650,0.954376
2.510,392.697,0.952985
2.520,392.712,0.951176
2.530,392.631,0.952109
2.540,392.650,0.952292
2.550,392.649,0.952779
2.560,392.422,0.951719
2.570,392.625,0.951681
2.580,392.865,0.950359
2.590,392.697,0.953329
2.600,392.822,0.950698
2.610,392.845,0.948817
2.620,392.595,0.949781
2.630,392.627,0.948446
2.640,392.658,0.946205
2.650,392.549,0.948888
2.660,392.587,0.947079
2.670,392.520,0.944150
2.680,392.378,0.945130
2.690,392.341,0.946104
2.700,392.321,0.949427
2.710,392.089,0.947861
2.720,392.209,0.945593
2.730,392.292,0.949428
2.740,392.245,0.948953
2.750,392.385,0.947482
2.760,392.485,0.949390
2.770,392.357,0.945180
2.780,392.355,0.934049
2.790,392.349,0.908395
2.800,392.287,0.690594
2.810,395.865,0.904869
2.820,418.028,0.943508
2.830,437.446,0.942330
2.840,466.954,0.859370
2.850,491.552,0.207935
2.860,493.590,0.869909
2.870,492.526,0.902853
2.880,490.903,0.922728
2.890,488.952,0.919784
2.900,488.143,0.904092
2.910,487.740,0.900382
2.920,487.969,0.916625
2.930,487.734,0.907539
2.940,487.373,0.898403
2.950,487.522,0.910400
2.960,488.390,0.939309
2.970,490.742,0.945918
2.980,493.353,0.947567
2.990,495.907,0.967215
3.000,498.440,0.937040
3.010,500.716,0.952677
3.020,503.574,0.930947
3.030,505.996,0.945099
3.040,506.979,0.942086
3.050,506.741,0.938303
3.060,505.821,0.933453
3.070,504.009,0.923322
3.080,502.286,0.945604
3.090,500.383,0.939378
3.100,498.170,0.906848
3.110,494.263,0.927674
3.120,489.566,0.909799
3.130,485.711,0.914375
3.140,482.048,0.906553
3.150,479.428,0.932376
3.160,477.585,0.911440
3.170,476.331,0.852092
3.180,476.207,0.831815
3.190,479.149,0.862616
3.200,485.494,0.901541
3.210,490.543,0.945332
3.220,494.086,0.949229
3.230,497.724,0.949088
3.240,499.941,0.951957
3.250,500.951,0.961823
3.260,501.597,0.958087
3.270,501.183,0.953965
3.280,500.701,0.946507
