time,frequency,confidence
0.000,244.872,0.074448
0.010,250.437,0.033488
0.020,255.154,0.069670
0.030,256.798,0.066214
0.040,227.552,0.097046
0.050,204.757,0.017897
0.060,182.294,0.029836
0.070,182.475,0.095973
0.080,185.221,0.667323
0.090,191.451,0.031088
0.100,191.418,0.064955
0.110,195.300,0.072957
0.120,198.984,0.100007
0.130,189.877,0.171455
0.140,175.178,0.141958
0.150,166.322,0.215249
0.160,166.763,0.615388
0.170,166.143,0.752710
0.180,165.556,0.822722
0.190,166.097,0.845546
0.200,166.036,0.922871
0.210,165.348,0.862366
0.220,164.762,0.549624
0.230,166.691,0.651467
0.240,165.834,0.705871
0.250,166.599,0.868296
0.260,166.203,0.883537
0.270,166.607,0.897231
0.280,166.629,0.931874
0.290,166.701,0.948981
0.300,166.704,0.947872
0.310,166.558,0.945209
0.320,166.622,0.954177
0.330,166.630,0.948305
0.340,166.560,0.949037
0.350,166.764,0.954542
0.360,167.718,0.927070
0.370,170.488,0.851276
0.380,173.435,0.936432
0.390,174.341,0.927347
0.400,174.514,0.921754
0.410,175.097,0.936598
0.420,175.332,0.932523
0.430,175.282,0.938875
0.440,175.255,0.941716
0.450,175.289,0.942417
0.460,175.072,0.945286
0.470,175.218,0.947889
0.480,175.102,0.949020
0.490,175.179,0.945956
0.500,175.141,0.947291
0.510,175.245,0.948002
0.520,175.263,0.948205
0.530,175.298,0.940055
0.540,175.333,0.944649
0.550,175.309,0.944189
0.560,175.162,0.947164
0.570,175.082,0.939997
0.580,174.990,0.945693
0.590,175.118,0.944636
0.600,175.053,0.945710
0.610,174.999,0.946098
0.620,174.964,0.950731
0.630,174.993,0.948968
0.640,174.920,0.950160
0.650,174.629,0.948225
0.660,174.542,0.948499
0.670,174.550,0.946276
0.680,174.552,0.947780
0.690,174.231,0.939555
0.700,174.248,0.940857
0.710,174.241,0.938849
0.720,174.427,0.944839
0.730,174.568,0.948067
0.740,174.806,0.952609
0.750,174.972,0.953604
0.760,175.151,0.954518
0.770,175.351,0.948181
0.780,175.532,0.951317
0.790,175.505,0.949484
0.800,175.550,0.948516
0.810,175.672,0.944644
0.820,175.636,0.950583
0.830,175.253,0.952825
0.840,175.169,0.952793
0.850,175.028,0.953196
0.860,174.861,0.955894
0.870,174.610,0.947990
0.880,174.495,0.943279
0.890,174.721,0.947478
0.900,174.944,0.955221
0.910,174.921,0.953300
0.920,175.029,0.949043
0.930,175.303,0.951207
0.940,175.466,0.949796
0.950,175.377,0.950841
0.960,175.209,0.947881
0.970,175.477,0.950404
0.980,175.760,0.945268
0.990,175.925,0.936561
1.000,175.455,0.942047
1.010,175.261,0.956887
1.020,174.977,0.954847
1.030,174.872,0.950663
1.040,174.732,0.946607
1.050,174.567,0.951343
1.060,174.444,0.944656
1.070,174.551,0.942082
1.080,174.609,0.939317
1.090,174.778,0.945763
1.100,174.868,0.948439
1.110,175.227,0.947820
1.120,175.376,0.937995
1.130,175.478,0.935639
1.140,175.501,0.941968
1.150,175.684,0.941352
1.160,175.977,0.922278
