time,frequency,confidence
0.000,646.729,0.093058
0.010,645.477,0.123317
0.020,658.204,0.146521
0.030,660.027,0.104476
0.040,595.676,0.085123
0.050,602.928,0.065574
0.060,602.437,0.125839
0.070,603.936,0.060473
0.080,607.923,0.069867
0.090,607.263,0.021464
0.100,613.053,0.065167
0.110,617.956,0.092626
0.120,622.927,0.124249
0.130,625.524,0.104222
0.140,623.328,0.081036
0.150,629.648,0.016206
0.160,630.764,0.040900
0.170,629.660,0.041081
0.180,627.317,0.035864
0.190,627.467,0.065390
0.200,639.077,0.068513
0.210,644.921,0.091118
0.220,650.935,0.068424
0.230,658.221,0.161683
0.240,655.338,0.204786
0.250,651.878,0.093719
0.260,659.514,0.106140
0.270,633.649,0.062987
0.280,597.617,0.091974
0.290,596.460,0.075881
0.300,645.078,0.085782
0.310,646.963,0.100047
0.320,646.862,0.094598
0.330,590.849,0.090710
0.340,596.612,0.123198
0.350,598.338,0.080572
0.360,596.604,0.099923
0.370,634.723,0.081002
0.380,657.470,0.080206
0.390,660.646,0.069881
0.400,597.656,0.077898
0.410,601.700,0.034214
0.420,590.604,0.083737
0.430,593.632,0.032599
0.440,585.693,0.018711
0.450,588.489,0.128138
0.460,596.500,0.119946
0.470,599.081,0.091048
0.480,659.290,0.086301
0.490,660.485,0.078402
0.500,657.932,0.101946
0.510,645.475,0.148364
0.520,643.925,0.098207
0.530,652.775,0.099075
0.540,659.476,0.071756
0.550,663.831,0.060223
0.560,661.648,0.031856
0.570,656.834,0.072565
0.580,646.789,0.057974
0.590,646.519,0.062875
0.600,650.075,0.015819
0.610,657.437,0.071142
0.620,644.887,0.100568
0.630,646.198,0.158974
0.640,658.793,0.096779
0.650,660.477,0.095759
0.660,601.589,0.099123
0.670,596.362,0.077009
0.680,597.356,0.069705
0.690,607.629,0.093076
0.700,623.543,0.126715
0.710,640.400,0.098880
0.720,646.306,0.085007
0.730,632.023,0.060621
0.740,631.471,0.135969
0.750,631.493,0.134330
0.760,630.461,0.043639
0.770,636.036,0.014363
0.780,635.433,0.032637
0.790,635.252,0.040720
0.800,635.957,0.084857
0.810,634.936,0.024061
0.820,632.420,0.066799
0.830,635.426,0.084479
0.840,658.888,0.152836
0.850,647.706,0.139865
0.860,657.240,0.127843
0.870,659.941,0.127734
0.880,704.192,0.379217
0.890,712.134,0.506205
0.900,713.817,0.787958
0.910,713.486,0.889273
0.920,714.475,0.922150
0.930,717.115,0.882871
0.940,723.914,0.804809
0.950,728.228,0.825390
0.960,728.829,0.840361
0.970,728.661,0.861301
0.980,725.466,0.870004
0.990,718.321,0.837651
1.000,709.738,0.880826
1.010,703.292,0.902082
1.020,699.344,0.949794
1.030,697.165,0.948844
1.040,696.287,0.942446
1.050,695.193,0.930208
1.060,695.586,0.928486
1.070,698.448,0.948248
1.080,699.684,0.953895
1.090,701.322,0.936227
1.100,707.245,0.862987
1.110,715.470,0.827332
1.120,718.986,0.803194
1.130,717.253,0.841122
1.140,718.651,0.796317
1.150,726.461,0.802898
1.160,723.773,0.829850
1.170,710.096,0.855157
1.180,704.839,0.899847
1.190,700.258,0.941965
1.200,698.406,0.953713
1.210,697.562,0.956197
1.220,696.517,0.950516
1.230,696.134,0.940671
1.240,697.030,0.947852
1.250,698.212,0.953811
1.260,699.120,0.951341
1.270,701.919,0.914363
1.280,707.343,0.849585
1.290,713.065,0.811368
1.300,715.316,0.840524
1.310,714.191,0.865130
1.320,714.792,0.853056
1.330,721.642,0.751302
1.340,727.019,0.773878
1.350,725.408,0.852934
1.360,716.992,0.862464
1.370,710.403,0.886427
1.380,706.568,0.911118
1.390,703.852,0.891836
1.400,702.734,0.903383
1.410,701.109,0.927331
1.420,699.398,0.942595
1.430,699.006,0.944716
1.440,699.930,0.939073
1.450,702.525,0.900060
1.460,706.038,0.880025
1.470,707.644,0.890624
1.480,708.837,0.900587
1.490,709.379,0.905011
1.500,709.929,0.866762
1.510,714.108,0.826313
1.520,719.092,0.764410
1.530,722.401,0.804969
1.540,719.151,0.818911
