time,frequency,confidence
0.000,318.973,0.132600
0.010,318.549,0.129770
0.020,319.134,0.363699
0.030,321.016,0.534582
0.040,320.934,0.373665
0.050,317.091,0.089971
0.060,317.009,0.045976
0.070,288.738,0.079917
0.080,252.329,0.128923
0.090,255.679,0.245919
0.100,254.980,0.330209
0.110,250.200,0.239613
0.120,252.638,0.534480
0.130,274.708,0.217607
0.140,287.704,0.324617
0.150,292.458,0.576022
0.160,293.852,0.665465
0.170,293.349,0.722475
0.180,291.596,0.816346
0.190,290.300,0.894919
0.200,289.526,0.919216
0.210,289.483,0.933965
0.220,290.017,0.940319
0.230,290.852,0.959426
0.240,291.627,0.963884
0.250,292.456,0.955246
0.260,292.970,0.947379
0.270,293.437,0.962936
0.280,293.887,0.974638
0.290,294.336,0.980644
0.300,294.545,0.980684
0.310,294.699,0.981969
0.320,294.849,0.982816
0.330,294.677,0.982809
0.340,294.595,0.981855
0.350,294.539,0.982776
0.360,294.694,0.983290
0.370,294.840,0.982834
0.380,294.639,0.982583
0.390,294.472,0.982560
0.400,294.426,0.981965
0.410,294.550,0.982758
0.420,294.658,0.981866
0.430,294.654,0.982198
0.440,294.870,0.983068
0.450,295.275,0.982835
0.460,295.621,0.979409
0.470,295.883,0.974630
0.480,295.918,0.972314
0.490,295.882,0.974518
0.500,295.839,0.976738
0.510,295.695,0.978572
0.520,295.282,0.982628
0.530,295.018,0.982981
0.540,294.619,0.983190
0.550,294.552,0.981772
0.560,294.878,0.982824
0.570,295.292,0.980711
0.580,295.662,0.976896
0.590,295.660,0.976846
0.600,295.582,0.977317
0.610,295.432,0.979192
0.620,295.647,0.976963
0.630,295.721,0.976336
0.640,296.130,0.966548
0.650,296.699,0.952928
0.660,297.046,0.963759
0.670,296.952,0.962588
0.680,296.981,0.963709
0.690,297.179,0.965648
0.700,297.587,0.970343
0.710,298.269,0.973942
0.720,298.585,0.972712
0.730,298.784,0.970593
0.740,299.016,0.966658
0.750,299.285,0.960161
0.760,299.846,0.944480
0.770,300.470,0.951267
0.780,301.098,0.962585
0.790,302.005,0.967671
0.800,302.940,0.956033
0.810,303.846,0.967067
0.820,304.535,0.976130
0.830,305.479,0.979319
0.840,306.547,0.963638
0.850,307.453,0.974358
0.860,308.084,0.978297
0.870,308.702,0.978163
0.880,308.912,0.976646
0.890,308.614,0.978452
0.900,308.136,0.979169
0.910,308.215,0.979206
0.920,308.186,0.977712
0.930,308.241,0.977644
0.940,308.058,0.977177
0.950,308.171,0.978543
0.960,308.760,0.979087
0.970,309.108,0.978441
0.980,309.362,0.977067
0.990,309.570,0.976457
1.000,309.748,0.974234
1.010,309.952,0.968320
1.020,310.349,0.959245
1.030,310.711,0.952302
1.040,310.528,0.956280
1.050,310.509,0.950467
1.060,310.847,0.950146
1.070,311.213,0.957763
1.080,310.995,0.953969
1.090,310.953,0.957515
1.100,310.739,0.957680
1.110,310.253,0.962073
1.120,309.706,0.971145
1.130,309.016,0.976603
1.140,308.529,0.977930
1.150,307.851,0.970277
1.160,306.951,0.953224
1.170,306.178,0.962102
1.180,305.744,0.968779
1.190,305.652,0.971381
1.200,305.583,0.974549
1.210,305.307,0.973778
1.220,304.615,0.972667
1.230,303.529,0.957088
1.240,302.389,0.963384
1.250,301.666,0.970905
1.260,301.494,0.969440
1.270,301.361,0.966550
1.280,301.017,0.962177
1.290,300.613,0.959522
1.300,300.399,0.957407
1.310,300.246,0.953726
1.320,299.982,0.944768
1.330,299.586,0.953375
1.340,299.282,0.961303
1.350,299.038,0.965275
1.360,298.653,0.971001
1.370,298.400,0.973271
1.380,298.252,0.974499
1.390,298.338,0.973749
1.400,298.520,0.973622
1.410,298.374,0.973921
1.420,298.013,0.975080
1.430,297.873,0.974386
1.440,297.992,0.973338
1.450,298.356,0.972587
1.460,298.439,0.973803
1.470,298.340,0.974282
1.480,298.100,0.975208
1.490,297.839,0.973952
1.500,297.570,0.972032
1.510,297.195,0.965169
1.520,296.860,0.957097
1.530,296.737,0.953201
1.540,296.720,0.952048
1.550,296.827,0.954899
1.560,296.856,0.955720
1.570,296.813,0.955209
1.580,296.871,0.958570
1.590,296.896,0.959208
1.600,296.799,0.953642
1.610,296.790,0.955832
1.620,296.629,0.949015
1.630,296.365,0.958160
1.640,296.403,0.955872
1.650,296.284,0.955923
1.660,296.393,0.951043
1.670,296.599,0.944331
1.680,296.454,0.951062
1.690,296.421,0.952205
1.700,296.527,0.947615
1.710,296.702,0.947709
1.720,296.772,0.949268
1.730,296.569,0.942869
1.740,296.397,0.951831
1.750,296.210,0.956846
1.760,296.238,0.956136
1.770,296.419,0.949161
1.780,296.566,0.941188
1.790,296.633,0.936641
1.800,296.450,0.945158
1.810,296.470,0.944038
1.820,296.869,0.947044
1.830,297.368,0.960261
1.840,297.661,0.966064
1.850,297.668,0.964816
1.860,297.564,0.965046
1.870,297.490,0.963540
1.880,297.435,0.962029
1.890,297.520,0.963854
1.900,297.801,0.966557
1.910,298.203,0.967681
1.920,298.727,0.966134
1.930,299.559,0.953632
1.940,300.237,0.943901
1.950,300.729,0.957486
1.960,301.018,0.963854
1.970,301.309,0.968268
1.980,301.480,0.969126
1.990,301.100,0.965043
2.000,300.427,0.950641
2.010,299.659,0.952213
2.020,298.838,0.967000
2.030,297.878,0.965163
2.040,296.477,0.945119
2.050,294.835,0.974263
2.060,293.336,0.954524
2.070,292.206,0.959134
2.080,291.203,0.964907
2.090,290.328,0.957749
2.100,290.135,0.950160
2.110,290.379,0.956175
2.120,290.465,0.958682
2.130,291.319,0.964775
2.140,292.461,0.948870
2.150,293.655,0.955911
2.160,294.806,0.976052
2.170,295.670,0.971625
2.180,296.480,0.945093
2.190,297.364,0.967243
2.200,297.896,0.969754
2.210,298.069,0.969609
2.220,298.163,0.969682
2.230,298.337,0.969417
2.240,298.597,0.968459
2.250,298.600,0.969227
2.260,298.604,0.970602
2.270,298.221,0.970395
2.280,297.487,0.964617
2.290,296.312,0.953820
2.300,295.026,0.976412
2.310,294.151,0.970633
2.320,293.498,0.960546
2.330,292.864,0.941037
2.340,292.025,0.961394
2.350,291.382,0.964578
2.360,290.732,0.964317
2.370,290.672,0.960371
2.380,290.656,0.960689
2.390,290.855,0.963718
2.400,291.844,0.963319
2.410,293.046,0.936711
2.420,293.989,0.965760
2.430,294.633,0.976653
2.440,294.959,0.979464
2.450,295.315,0.976482
2.460,295.872,0.968758
2.470,296.240,0.957187
2.480,296.600,0.940482
2.490,297.033,0.956085
2.500,297.462,0.964294
2.510,297.827,0.967858
2.520,297.993,0.969800
2.530,297.869,0.968985
2.540,297.387,0.962728
2.550,296.835,0.947160
2.560,296.589,0.940441
2.570,296.510,0.944602
2.580,296.420,0.951217
2.590,296.007,0.966594
2.600,295.234,0.978130
2.610,294.361,0.975207
2.620,293.709,0.968180
2.630,293.425,0.960868
2.640,293.179,0.951865
2.650,293.278,0.956323
2.660,293.396,0.961427
2.670,293.468,0.960846
2.680,293.424,0.963212
2.690,293.233,0.956299
2.700,292.854,0.941775
2.710,292.302,0.954237
2.720,292.364,0.953827
2.730,292.727,0.946895
2.740,293.500,0.961172
2.750,294.243,0.973389
2.760,294.908,0.978258
