time,frequency,confidence
0.000,269.267,0.352127
0.010,269.319,0.285211
0.020,268.810,0.330407
0.030,267.767,0.248587
0.040,263.392,0.249332
0.050,262.157,0.379752
0.060,264.177,0.206977
0.070,271.408,0.313906
0.080,275.105,0.219924
0.090,275.127,0.301606
0.100,290.154,0.470762
0.110,295.522,0.550554
0.120,296.640,0.677293
0.130,293.121,0.732515
0.140,291.102,0.880741
0.150,290.547,0.920777
0.160,290.648,0.951499
0.170,290.700,0.958354
0.180,290.842,0.958862
0.190,290.965,0.959092
0.200,291.200,0.962408
0.210,292.012,0.955084
0.220,292.710,0.939299
0.230,293.276,0.945725
0.240,293.390,0.954526
0.250,293.396,0.963034
0.260,293.399,0.962248
0.270,293.501,0.964096
0.280,293.561,0.966200
0.290,293.592,0.966435
0.300,293.443,0.965536
0.310,293.752,0.961744
0.320,294.961,0.887883
0.330,301.567,0.707940
0.340,313.811,0.845158
0.350,316.728,0.947328
0.360,316.442,0.953737
0.370,316.109,0.960162
0.380,316.108,0.955220
0.390,315.907,0.958570
0.400,315.860,0.960661
0.410,315.118,0.964551
0.420,314.847,0.960669
0.430,314.510,0.952154
0.440,313.744,0.934111
0.450,310.073,0.768359
0.460,297.972,0.779750
0.470,293.209,0.931274
0.480,293.108,0.952388
0.490,293.752,0.908825
0.500,314.369,0.666895
0.510,343.831,0.703235
0.520,346.100,0.927163
0.530,347.809,0.947027
0.540,347.364,0.959258
0.550,346.041,0.960158
0.560,344.370,0.922934
0.570,342.968,0.943784
0.580,341.426,0.945490
0.590,340.748,0.933913
0.600,340.393,0.932700
0.610,340.847,0.930706
0.620,340.076,0.889358
0.630,335.427,0.732061
0.640,321.743,0.790844
0.650,319.415,0.834499
0.660,351.580,0.644652
0.670,387.199,0.547712
0.680,388.260,0.926544
0.690,388.696,0.959124
0.700,388.262,0.956959
0.710,387.633,0.951209
0.720,387.445,0.950127
0.730,387.532,0.944951
0.740,387.026,0.933755
0.750,386.584,0.923010
0.760,386.145,0.936425
0.770,386.146,0.939890
0.780,387.017,0.934363
0.790,388.124,0.952656
0.800,389.193,0.957790
0.810,390.043,0.951074
0.820,390.178,0.948381
0.830,389.070,0.929839
0.840,387.597,0.798693
0.850,356.564,0.482378
0.860,350.267,0.898008
0.870,346.151,0.949056
0.880,343.867,0.938449
0.890,341.538,0.945585
0.900,339.028,0.960280
0.910,337.284,0.957668
0.920,335.634,0.953374
0.930,334.923,0.962055
0.940,334.975,0.959120
0.950,336.251,0.935425
0.960,338.523,0.948561
0.970,340.898,0.925696
0.980,344.474,0.921116
0.990,346.414,0.964777
1.000,348.067,0.938998
1.010,349.347,0.971054
1.020,350.357,0.975248
1.030,350.596,0.977454
1.040,350.534,0.976295
1.050,350.342,0.976766
1.060,349.706,0.971763
1.070,348.843,0.957973
1.080,347.778,0.942004
1.090,346.050,0.951173
1.100,343.830,0.924786
1.110,341.630,0.938611
1.120,339.850,0.948784
1.130,338.116,0.965074
1.140,336.821,0.954494
1.150,334.979,0.965808
1.160,333.660,0.965736
1.170,333.020,0.958760
1.180,333.220,0.958148
