time,frequency,confidence
0.000,189.930,0.080040
0.010,186.200,0.165118
0.020,186.779,0.645683
0.030,184.172,0.752475
0.040,187.373,0.531518
0.050,190.178,0.458470
0.060,198.764,0.196972
0.070,207.642,0.133668
0.080,211.507,0.385469
0.090,217.201,0.201155
0.100,218.739,0.191271
0.110,222.831,0.250186
0.120,219.644,0.104070
0.130,224.660,0.180762
0.140,222.886,0.106794
0.150,221.488,0.118083
0.160,216.538,0.383502
0.170,211.881,0.694544
0.180,208.805,0.802856
0.190,208.258,0.718846
0.200,206.056,0.157503
0.210,185.382,0.366945
0.220,160.253,0.167900
0.230,145.203,0.655676
0.240,145.855,0.824967
0.250,146.529,0.882269
0.260,147.016,0.950929
0.270,147.028,0.966793
0.280,147.101,0.963080
0.290,147.048,0.963449
0.300,147.160,0.962511
0.310,147.119,0.947163
0.320,146.896,0.926810
0.330,146.952,0.906572
0.340,146.578,0.772439
0.350,144.533,0.412315
0.360,133.987,0.239309
0.370,128.506,0.275495
0.380,129.719,0.500955
0.390,130.209,0.693332
0.400,130.662,0.877372
0.410,131.109,0.909753
0.420,131.570,0.926498
0.430,131.551,0.937737
0.440,131.487,0.937965
0.450,130.968,0.926257
0.460,130.971,0.916006
0.470,131.085,0.921351
0.480,131.030,0.921847
0.490,130.571,0.875851
0.500,129.597,0.809338
0.510,127.173,0.758626
0.520,125.545,0.814180
0.530,124.572,0.748041
0.540,123.630,0.756484
0.550,122.798,0.727956
0.560,122.716,0.724489
0.570,122.484,0.592112
0.580,121.129,0.626303
0.590,120.523,0.703655
0.600,121.562,0.541816
0.610,132.944,0.558856
0.620,154.849,0.567276
0.630,176.478,0.500612
0.640,198.294,0.448714
0.650,229.408,0.522531
0.660,248.330,0.291897
0.670,255.268,0.189046
0.680,259.643,0.401012
0.690,260.404,0.333654
0.700,261.269,0.371749
0.710,262.759,0.410132
0.720,263.199,0.350937
0.730,261.554,0.408142
0.740,260.929,0.302151
0.750,258.737,0.283049
0.760,248.465,0.206822
0.770,240.525,0.319240
0.780,259.938,0.161742
0.790,253.201,0.551099
0.800,247.003,0.496738
0.810,240.784,0.596999
0.820,238.543,0.550367
0.830,242.561,0.541008
0.840,245.367,0.552067
0.850,245.086,0.629243
0.860,241.692,0.758883
0.870,241.210,0.805714
0.880,242.575,0.840469
0.890,243.681,0.810765
0.900,242.824,0.856607
0.910,241.746,0.835001
0.920,242.416,0.830658
0.930,242.422,0.793287
0.940,219.635,0.586831
0.950,194.092,0.713240
0.960,170.601,0.581230
0.970,151.414,0.744087
0.980,132.057,0.803488
0.990,121.284,0.844345
1.000,121.236,0.885440
1.010,120.823,0.868331
1.020,120.911,0.822078
1.030,120.953,0.845157
1.040,120.322,0.846485
1.050,119.648,0.868201
1.060,119.882,0.836703
1.070,120.253,0.896512
1.080,119.625,0.887278
1.090,119.672,0.887912
1.100,120.023,0.874900
1.110,120.207,0.874391
1.120,120.163,0.872434
1.130,120.121,0.865716
1.140,120.233,0.841926
1.150,120.161,0.831421
1.160,120.650,0.848319
1.170,120.449,0.828321
1.180,120.412,0.809721
1.190,120.310,0.811743
1.200,120.306,0.781730
1.210,120.056,0.784720
1.220,120.090,0.813028
1.230,119.698,0.850053
1.240,119.828,0.843477
1.250,120.140,0.850714
1.260,119.922,0.822822
1.270,119.834,0.822372
1.280,120.133,0.798895
1.290,120.473,0.768818
1.300,120.238,0.807313
1.310,120.527,0.780511
1.320,120.568,0.737414
1.330,120.897,0.784467
1.340,120.937,0.848947
1.350,120.667,0.836776
1.360,120.425,0.803581
1.370,121.015,0.854723
1.380,120.979,0.831152
1.390,120.835,0.788737
1.400,120.940,0.796942
1.410,120.470,0.769018
1.420,120.475,0.728010
1.430,120.815,0.804401
1.440,120.411,0.810765
1.450,120.224,0.796643
1.460,120.894,0.794595
1.470,120.961,0.786398
1.480,120.235,0.734899
1.490,120.576,0.758831
1.500,120.351,0.761102
1.510,120.347,0.702087
1.520,120.462,0.731350
1.530,120.179,0.728169
1.540,121.661,0.618262
1.550,122.212,0.610161
1.560,122.027,0.643115
1.570,121.141,0.687093
1.580,121.235,0.692631
1.590,121.184,0.665259
1.600,121.478,0.671452
1.610,121.410,0.677822
1.620,120.694,0.577711
1.630,121.238,0.445437
1.640,121.489,0.538778
1.650,121.865,0.617459
1.660,121.497,0.725590
1.670,121.562,0.694985
1.680,121.273,0.681087
1.690,121.155,0.783491
1.700,121.043,0.812446
1.710,120.761,0.725256
1.720,120.646,0.724502
1.730,122.012,0.646644
1.740,122.376,0.743484
1.750,121.522,0.741600
1.760,121.746,0.702825
1.770,121.380,0.746993
1.780,121.620,0.732440
1.790,121.629,0.813580
1.800,121.427,0.801103
1.810,121.322,0.756834
1.820,122.196,0.720482
1.830,122.213,0.765253
1.840,121.554,0.753241
1.850,121.422,0.756218
1.860,121.191,0.712034
1.870,120.939,0.649993
1.880,121.614,0.691433
1.890,121.358,0.779643
1.900,120.105,0.741558
1.910,121.461,0.648562
1.920,121.657,0.691593
1.930,121.288,0.763864
1.940,121.063,0.831753
1.950,121.029,0.770240
1.960,121.228,0.753057
1.970,121.804,0.782817
1.980,121.076,0.826352
1.990,120.282,0.807817
2.000,121.350,0.714038
2.010,121.980,0.738874
2.020,121.616,0.773369
2.030,121.122,0.744118
2.040,120.998,0.791586
2.050,121.275,0.742206
2.060,121.574,0.741881
2.070,121.564,0.765873
2.080,120.152,0.760466
2.090,120.621,0.769859
2.100,121.064,0.787865
2.110,121.097,0.767679
2.120,120.986,0.777469
2.130,120.690,0.770297
2.140,121.039,0.757574
2.150,121.765,0.764755
2.160,121.898,0.804628
2.170,121.107,0.814544
2.180,121.244,0.723810
2.190,121.560,0.735728
2.200,121.873,0.729940
2.210,121.524,0.750348
2.220,121.627,0.623124
2.230,121.212,0.594251
2.240,121.481,0.665981
2.250,121.415,0.728430
2.260,120.679,0.703772
2.270,120.502,0.685638
2.280,120.730,0.709936
2.290,120.258,0.668882
2.300,120.341,0.747299
2.310,120.423,0.715896
2.320,120.610,0.581978
2.330,121.714,0.534707
2.340,121.728,0.682865
2.350,120.190,0.602973
2.360,120.908,0.526181
2.370,121.803,0.463724
2.380,122.458,0.532147
2.390,121.412,0.627394
2.400,121.609,0.564865
2.410,120.691,0.522726
2.420,121.437,0.445159
2.430,120.645,0.510932
