time,frequency,confidence
0.000,391.112,0.138558
0.010,394.622,0.085053
0.020,393.102,0.160825
0.030,394.568,0.246016
0.040,400.606,0.076452
0.050,399.003,0.035785
0.060,399.836,0.017862
0.070,402.150,0.024155
0.080,400.787,0.038048
0.090,396.136,0.055665
0.100,393.970,0.033204
0.110,393.502,0.025491
0.120,393.835,0.030196
0.130,396.183,0.066814
0.140,398.767,0.076893
0.150,398.970,0.078300
0.160,399.686,0.138480
0.170,395.304,0.085819
0.180,374.767,0.085660
0.190,336.118,0.047159
0.200,314.983,0.086772
0.210,287.958,0.154401
0.220,267.741,0.121521
0.230,244.014,0.098177
0.240,230.117,0.097017
0.250,206.305,0.139789
0.260,191.008,0.139441
0.270,175.721,0.064667
0.280,159.957,0.044828
0.290,147.775,0.135319
0.300,148.423,0.133802
0.310,147.078,0.109825
0.320,147.384,0.094054
0.330,146.679,0.095571
0.340,144.205,0.094285
0.350,146.259,0.171037
0.360,149.180,0.217567
0.370,154.020,0.043570
0.380,155.937,0.090190
0.390,165.230,0.101299
0.400,178.553,0.097592
0.410,191.003,0.067331
0.420,201.977,0.186040
0.430,221.651,0.066661
0.440,240.034,0.112786
0.450,249.810,0.117199
0.460,268.491,0.085494
0.470,287.768,0.274124
0.480,310.094,0.026597
0.490,325.065,0.027379
0.500,345.763,0.129722
0.510,362.875,0.342651
0.520,368.864,0.560948
0.530,372.408,0.725072
0.540,371.775,0.784215
0.550,371.732,0.678214
0.560,372.404,0.517240
0.570,339.044,0.415392
0.580,298.266,0.697634
0.590,258.546,0.927951
0.600,257.812,0.950707
0.610,257.887,0.944887
0.620,257.993,0.941277
0.630,257.881,0.942201
0.640,257.972,0.940254
0.650,257.936,0.943869
0.660,257.926,0.941264
0.670,258.218,0.936313
0.680,258.414,0.939641
0.690,259.220,0.944449
0.700,260.103,0.789721
0.710,286.492,0.355586
0.720,315.803,0.529179
0.730,317.785,0.854120
0.740,318.246,0.928088
0.750,317.304,0.914946
0.760,316.118,0.944619
0.770,314.966,0.944004
0.780,314.162,0.918594
0.790,313.278,0.948563
0.800,312.559,0.958595
0.810,311.790,0.953864
0.820,311.255,0.940005
0.830,310.046,0.937584
0.840,308.702,0.963093
0.850,308.305,0.971004
0.860,308.311,0.971690
0.870,308.201,0.970009
0.880,308.902,0.970850
0.890,310.126,0.950452
0.900,311.954,0.963854
0.910,313.660,0.937225
0.920,316.390,0.941277
0.930,319.464,0.934445
0.940,322.065,0.932893
0.950,323.528,0.944077
0.960,323.219,0.958027
0.970,322.349,0.961692
0.980,321.754,0.950970
0.990,321.428,0.934241
1.000,319.599,0.933609
1.010,316.328,0.921498
1.020,313.862,0.912482
1.030,311.877,0.936793
1.040,310.729,0.926029
1.050,309.886,0.953664
1.060,310.015,0.957411
1.070,310.241,0.956274
1.080,310.846,0.953080
1.090,311.620,0.965394
1.100,312.295,0.966398
1.110,313.417,0.952687
1.120,314.785,0.947117
1.130,317.153,0.915938
1.140,319.566,0.934759
1.150,320.911,0.908078
1.160,322.069,0.948962
1.170,322.031,0.956861
1.180,321.869,0.953067
1.190,321.334,0.936845
1.200,319.829,0.943878
1.210,318.757,0.936404
1.220,317.360,0.904388
1.230,315.929,0.945144
1.240,315.089,0.946808
1.250,313.891,0.927227
1.260,313.393,0.946267
1.270,313.336,0.945458
1.280,313.509,0.939742
1.290,313.650,0.932292
1.300,314.380,0.926720
1.310,315.180,0.946909
1.320,316.126,0.944435
1.330,317.019,0.915248
1.340,318.098,0.924176
1.350,319.136,0.941162
1.360,319.546,0.939206
1.370,319.675,0.944478
1.380,318.557,0.927797
1.390,316.641,0.924884
1.400,314.345,0.918762
1.410,312.788,0.944557
1.420,312.151,0.949561
1.430,311.929,0.948893
1.440,311.435,0.951120
1.450,311.460,0.956907
1.460,311.307,0.958319
1.470,311.310,0.957136
1.480,311.306,0.957605
1.490,311.661,0.962956
1.500,311.856,0.965027
1.510,312.080,0.964958
1.520,313.369,0.953103
1.530,314.437,0.937108
1.540,315.460,0.949730
1.550,316.764,0.921310
1.560,317.287,0.908161
1.570,317.830,0.920456
1.580,317.538,0.907416
1.590,317.579,0.912759
1.600,316.651,0.934295
1.610,315.883,0.940169
1.620,314.692,0.940505
1.630,313.941,0.930817
1.640,313.438,0.948691
1.650,313.076,0.951541
1.660,312.579,0.953209
1.670,312.485,0.957743
1.680,312.164,0.962089
1.690,312.036,0.961272
1.700,312.142,0.961808
1.710,312.547,0.961954
1.720,313.383,0.954803
1.730,314.580,0.945982
1.740,315.620,0.956044
1.750,316.640,0.936412
1.760,317.730,0.922683
1.770,317.870,0.921888
1.780,317.624,0.908938
1.790,316.809,0.929724
1.800,315.841,0.946863
1.810,315.040,0.949320
1.820,314.253,0.927931
1.830,313.835,0.936889
1.840,313.169,0.952654
1.850,312.681,0.957931
1.860,312.310,0.957425
1.870,311.677,0.957982
1.880,311.503,0.958943
1.890,311.234,0.959679
1.900,310.957,0.959696
1.910,310.745,0.955176
1.920,310.734,0.949357
1.930,310.809,0.952270
1.940,311.287,0.960960
1.950,311.992,0.965113
1.960,312.429,0.963888
1.970,312.936,0.955123
1.980,313.666,0.945485
1.990,314.037,0.931076
2.000,314.312,0.936865
2.010,314.206,0.930631
2.020,314.045,0.928556
2.030,314.059,0.928497
2.040,313.608,0.944107
2.050,313.357,0.952937
2.060,312.469,0.963299
2.070,312.238,0.962045
2.080,311.749,0.964517
2.090,311.345,0.961996
2.100,311.065,0.957701
2.110,310.758,0.952497
2.120,310.124,0.956052
2.130,309.954,0.961653
2.140,309.723,0.966295
2.150,310.078,0.957190
2.160,310.876,0.949509
2.170,311.707,0.955425
2.180,312.493,0.959079
2.190,313.417,0.947782
2.200,314.921,0.949772
2.210,315.708,0.954625
2.220,316.804,0.937843
2.230,317.803,0.922597
2.240,317.741,0.924956
2.250,317.871,0.928264
2.260,317.109,0.929089
2.270,316.409,0.944376
2.280,314.998,0.954408
2.290,314.084,0.940617
2.300,313.048,0.970308
2.310,312.615,0.970852
2.320,312.120,0.972657
2.330,311.987,0.970751
2.340,311.793,0.971068
2.350,311.725,0.972197
2.360,311.694,0.974904
2.370,311.765,0.973849
2.380,311.840,0.975080
2.390,312.101,0.973275
2.400,312.237,0.975399
2.410,312.576,0.972912
2.420,313.361,0.962742
2.430,313.701,0.954882
2.440,314.040,0.943733
2.450,314.657,0.953589
2.460,314.522,0.948035
2.470,314.658,0.947527
2.480,314.021,0.941560
2.490,313.594,0.953511
2.500,312.622,0.965383
2.510,312.188,0.964876
2.520,311.522,0.963596
2.530,311.435,0.961870
2.540,311.278,0.957673
2.550,311.260,0.957769
2.560,311.331,0.959904
2.570,311.325,0.959441
2.580,311.257,0.962422
2.590,311.396,0.963831
2.600,311.516,0.966891
2.610,311.679,0.969256
2.620,311.856,0.969613
2.630,312.092,0.968445
2.640,312.245,0.969742
2.650,312.399,0.971926
2.660,312.802,0.969186
2.670,312.841,0.963366
2.680,313.215,0.956051
2.690,313.556,0.949304
2.700,313.243,0.959515
2.710,313.057,0.962876
2.720,312.645,0.964395
2.730,312.655,0.965247
2.740,312.471,0.964333
2.750,312.269,0.961943
2.760,312.227,0.962931
2.770,312.111,0.964006
2.780,312.279,0.962973
2.790,312.300,0.963207
2.800,312.478,0.960267
2.810,313.254,0.950680
2.820,313.435,0.942909
2.830,313.802,0.923456
2.840,314.259,0.918837
2.850,314.617,0.931966
2.860,315.067,0.938372
2.870,315.170,0.937037
2.880,315.731,0.938283
2.890,315.933,0.932737
2.900,316.092,0.933671
2.910,316.581,0.919847
2.920,316.991,0.910831
2.930,317.334,0.894358
2.940,317.386,0.896679
2.950,317.172,0.908558
2.960,316.830,0.917176
2.970,316.325,0.927809
2.980,316.299,0.932593
2.990,315.969,0.936791
3.000,315.822,0.940373
3.010,315.485,0.936636
3.020,315.513,0.942293
3.030,315.600,0.941302
3.040,315.415,0.945661
3.050,315.576,0.944242
3.060,315.874,0.943963
3.070,315.958,0.937756
3.080,315.614,0.942201
3.090,315.500,0.938582
3.100,314.990,0.932093
3.110,314.927,0.929429
3.120,314.799,0.928984
3.130,314.762,0.923234
3.140,314.388,0.914074
3.150,314.287,0.913464
3.160,314.067,0.907795
3.170,314.051,0.905625
3.180,313.922,0.911280
3.190,313.982,0.906022
3.200,313.976,0.908847
3.210,313.676,0.918629
3.220,313.631,0.930936
3.230,313.320,0.942469
3.240,313.176,0.942723
3.250,313.274,0.946575
3.260,313.551,0.935483
3.270,313.697,0.933155
3.280,313.691,0.929828
3.290,313.971,0.923354
3.300,314.110,0.928843
3.310,314.096,0.927106
3.320,313.851,0.936306
3.330,313.731,0.937160
3.340,313.807,0.938134
3.350,313.831,0.932443
3.360,314.037,0.924503
3.370,314.264,0.937137
3.380,314.283,0.938052
3.390,314.238,0.937655
3.400,313.934,0.941011
3.410,313.695,0.952661
3.420,313.826,0.950661
3.430,314.018,0.936786
3.440,314.602,0.950741
3.450,315.006,0.961988
3.460,315.252,0.964773
3.470,315.460,0.963527
3.480,315.135,0.959603
3.490,314.958,0.955733
3.500,314.537,0.945966
3.510,314.546,0.946542
3.520,313.856,0.945071
3.530,313.950,0.940243
3.540,314.192,0.937838
3.550,314.640,0.948996
3.560,314.691,0.952255
3.570,314.673,0.949850
3.580,315.118,0.954678
3.590,315.045,0.959360
3.600,315.439,0.960271
3.610,315.417,0.959709
3.620,315.503,0.957628
3.630,315.377,0.957281
3.640,315.847,0.956123
3.650,315.602,0.963928
3.660,315.280,0.959095
3.670,314.529,0.947039
3.680,314.345,0.938609
3.690,314.440,0.942369
3.700,314.651,0.950843
3.710,314.940,0.955206
3.720,314.639,0.950071
3.730,314.922,0.954449
3.740,314.954,0.956901
3.750,315.120,0.956363
3.760,314.787,0.949594
3.770,314.977,0.951810
3.780,315.041,0.956275
3.790,314.586,0.946003
3.800,314.053,0.927792
3.810,313.628,0.947460
3.820,313.627,0.943873
3.830,313.565,0.945726
3.840,313.740,0.936935
3.850,313.602,0.940376
3.860,313.612,0.940603
3.870,313.470,0.944731
3.880,313.275,0.950669
3.890,312.861,0.959007
3.900,311.834,0.957325
3.910,311.560,0.956453
3.920,311.651,0.958603
3.930,311.968,0.961638
3.940,312.336,0.955697
3.950,312.124,0.954434
3.960,311.859,0.949972
3.970,311.642,0.947049
3.980,311.101,0.946700
3.990,310.748,0.938641
4.000,310.742,0.944411
4.010,311.115,0.953795
4.020,311.677,0.960229
4.030,311.943,0.960054
4.040,311.641,0.958565
4.050,311.045,0.950913
4.060,310.798,0.949638
4.070,310.815,0.947281
4.080,310.605,0.943991
4.090,310.495,0.937906
4.100,310.276,0.948400
4.110,310.175,0.954901
4.120,310.106,0.955344
4.130,310.436,0.941139
4.140,310.601,0.945126
4.150,310.773,0.948677
4.160,311.203,0.956092
4.170,311.873,0.958794
4.180,312.061,0.958581
4.190,312.317,0.955772
4.200,312.611,0.953172
4.210,313.195,0.945240
4.220,314.058,0.915560
4.230,313.758,0.928903
4.240,312.750,0.896426
4.250,308.077,0.609717
4.260,294.777,0.792999
4.270,291.650,0.927186
4.280,290.688,0.931835
4.290,289.248,0.910401
