time,frequency,confidence
0.000,125.142,0.049814
0.010,126.647,0.024261
0.020,129.226,0.015481
0.030,130.485,0.063205
0.040,130.807,0.106585
0.050,134.292,0.034203
0.060,138.683,0.090497
0.070,141.025,0.019883
0.080,159.920,0.014631
0.090,160.258,0.041949
0.100,158.312,0.056684
0.110,144.260,0.078250
0.120,129.817,0.041713
0.130,132.883,0.011258
0.140,135.678,0.042045
0.150,148.178,0.185093
0.160,167.525,0.359059
0.170,190.948,0.323417
0.180,215.134,0.093549
0.190,233.892,0.238109
0.200,235.170,0.440436
0.210,236.265,0.702949
0.220,229.484,0.562862
0.230,237.140,0.403919
0.240,234.684,0.283922
0.250,222.939,0.110326
0.260,205.191,0.286031
0.270,186.273,0.345743
0.280,192.817,0.616192
0.290,194.432,0.793970
0.300,194.995,0.899814
0.310,195.199,0.928927
0.320,195.618,0.927762
0.330,195.944,0.937866
0.340,196.223,0.940389
0.350,196.334,0.943330
0.360,196.383,0.947483
0.370,196.333,0.952321
0.380,196.257,0.956567
0.390,196.075,0.951836
0.400,196.117,0.950702
0.410,196.240,0.952544
0.420,196.127,0.949506
0.430,196.020,0.946306
0.440,195.884,0.942073
0.450,195.951,0.947497
0.460,196.021,0.950849
0.470,195.970,0.946725
0.480,195.957,0.946065
0.490,196.010,0.949408
0.500,196.107,0.956804
0.510,196.127,0.956160
0.520,196.019,0.949223
0.530,195.964,0.946065
0.540,196.103,0.955723
0.550,196.192,0.963853
0.560,196.112,0.962321
0.570,195.939,0.953965
0.580,195.861,0.943153
0.590,195.949,0.947779
0.600,196.176,0.962723
0.610,195.901,0.954725
0.620,195.858,0.948300
0.630,195.933,0.947224
0.640,195.978,0.943706
0.650,196.116,0.952009
0.660,195.937,0.945351
0.670,195.854,0.930498
0.680,195.975,0.928224
0.690,196.023,0.920307
0.700,196.163,0.924534
0.710,196.147,0.922252
0.720,196.070,0.918121
0.730,195.991,0.901098
0.740,196.052,0.901424
0.750,196.089,0.909035
0.760,196.040,0.903592
0.770,195.972,0.915489
0.780,195.934,0.905963
0.790,195.884,0.904144
0.800,195.964,0.918176
0.810,195.865,0.913201
0.820,195.826,0.918136
0.830,195.941,0.931449
0.840,195.971,0.933854
0.850,195.957,0.942604
0.860,195.990,0.940749
0.870,196.045,0.943714
0.880,196.083,0.947576
0.890,196.149,0.952358
0.900,196.127,0.952897
0.910,196.124,0.945413
0.920,196.010,0.943235
0.930,196.047,0.944694
0.940,196.067,0.939585
0.950,196.075,0.934390
0.960,196.140,0.919552
0.970,196.135,0.911330
0.980,196.076,0.917221
0.990,196.209,0.910394
1.000,196.248,0.901313
1.010,196.270,0.874858
1.020,196.281,0.862866
1.030,196.154,0.892399
1.040,196.344,0.906494
1.050,196.342,0.916346
1.060,196.261,0.921340
1.070,196.315,0.934843
1.080,196.217,0.934642
1.090,196.322,0.934034
1.100,196.341,0.935550
1.110,196.210,0.941354
1.120,196.302,0.941657
1.130,196.165,0.938575
1.140,196.244,0.939164
1.150,196.405,0.944933
1.160,196.264,0.949969
1.170,196.350,0.951555
1.180,196.177,0.945273
1.190,196.158,0.940860
1.200,196.300,0.944991
1.210,196.267,0.947788
1.220,196.309,0.951503
1.230,196.275,0.946891
1.240,196.113,0.935760
1.250,196.131,0.938426
1.260,196.209,0.945064
1.270,196.256,0.947134
1.280,196.238,0.940437
1.290,196.188,0.937287
1.300,196.199,0.943226
1.310,196.192,0.943914
1.320,196.216,0.944737
1.330,196.194,0.939513
1.340,196.193,0.940557
1.350,196.098,0.943619
1.360,195.962,0.943169
1.370,196.006,0.939099
1.380,195.909,0.933242
1.390,195.840,0.932590
1.400,195.829,0.931327
1.410,195.804,0.933952
1.420,195.784,0.932756
1.430,195.955,0.935376
1.440,196.174,0.945543
1.450,196.175,0.946599
1.460,196.119,0.944723
1.470,196.103,0.946637
1.480,196.067,0.944708
1.490,196.173,0.941524
1.500,196.192,0.947244
1.510,196.097,0.942158
1.520,196.242,0.944386
1.530,196.162,0.943556
1.540,196.099,0.944221
1.550,196.146,0.945710
1.560,196.081,0.935238
1.570,196.351,0.937127
1.580,196.356,0.942471
1.590,196.164,0.946315
1.600,196.177,0.944934
1.610,195.992,0.935701
1.620,196.315,0.942491
1.630,196.435,0.947258
1.640,196.330,0.949740
1.650,196.242,0.948784
1.660,196.090,0.938630
1.670,196.241,0.940992
1.680,196.433,0.944560
1.690,196.182,0.939294
1.700,196.193,0.943713
1.710,196.124,0.938791
1.720,196.105,0.936015
1.730,196.407,0.939991
1.740,196.445,0.943535
1.750,196.327,0.940929
1.760,196.281,0.937389
1.770,196.297,0.939767
1.780,196.409,0.948182
1.790,196.569,0.953327
1.800,196.444,0.956574
1.810,196.334,0.953716
1.820,196.270,0.946780
1.830,196.353,0.948026
1.840,196.394,0.950631
1.850,196.402,0.954375
1.860,196.384,0.952814
1.870,196.417,0.952716
1.880,196.398,0.951716
1.890,196.306,0.948716
1.900,196.264,0.946527
1.910,196.362,0.950447
1.920,196.324,0.943428
1.930,196.247,0.938557
1.940,196.065,0.929794
