time,frequency,confidence
0.000,387.314,0.114590
0.010,383.595,0.112951
0.020,383.026,0.091634
0.030,397.514,0.103264
0.040,416.218,0.074140
0.050,414.252,0.092967
0.060,394.395,0.159736
0.070,391.469,0.306547
0.080,442.233,0.343300
0.090,508.184,0.293418
0.100,566.490,0.107026
0.110,633.758,0.059440
0.120,645.342,0.138507
0.130,644.397,0.109778
0.140,645.873,0.126828
0.150,595.964,0.070075
0.160,598.732,0.086187
0.170,602.341,0.129807
0.180,611.590,0.092114
0.190,625.896,0.091894
0.200,628.769,0.128208
0.210,622.072,0.081768
0.220,619.935,0.201037
0.230,615.116,0.068337
0.240,611.910,0.065076
0.250,615.437,0.053012
0.260,617.486,0.055069
0.270,614.116,0.036313
0.280,613.398,0.100533
0.290,615.596,0.231793
0.300,606.932,0.460711
0.310,612.760,0.236928
0.320,619.902,0.033410
0.330,624.917,0.027712
0.340,623.168,0.052122
0.350,630.171,0.027479
0.360,633.758,0.097584
0.370,626.153,0.104327
0.380,645.913,0.123523
0.390,646.026,0.131840
0.400,646.260,0.148561
0.410,595.743,0.121996
0.420,657.415,0.104608
0.430,653.788,0.061714
0.440,655.028,0.046732
0.450,640.349,0.054406
0.460,636.441,0.113124
0.470,646.327,0.133185
0.480,645.389,0.127179
0.490,595.183,0.135903
0.500,598.049,0.119755
0.510,597.534,0.131961
0.520,598.181,0.096655
0.530,562.725,0.077192
0.540,518.801,0.089896
0.550,484.733,0.035999
0.560,445.128,0.118222
0.570,421.690,0.154711
0.580,392.926,0.437877
0.590,391.768,0.790060
0.600,392.661,0.892725
0.610,393.977,0.937331
0.620,394.090,0.941498
0.630,392.596,0.942617
0.640,391.151,0.921729
0.650,390.188,0.947156
0.660,389.960,0.944094
0.670,390.116,0.942073
0.680,390.623,0.937073
0.690,390.450,0.942400
0.700,390.222,0.939951
0.710,390.501,0.924133
0.720,391.723,0.904426
0.730,392.444,0.905258
0.740,391.618,0.880591
0.750,390.326,0.897856
0.760,390.135,0.862171
0.770,390.131,0.813528
0.780,388.895,0.763527
0.790,386.849,0.616629
0.800,352.306,0.354817
0.810,349.736,0.827110
0.820,348.281,0.873508
0.830,346.627,0.938845
0.840,345.908,0.944011
0.850,346.194,0.947027
0.860,346.558,0.947601
0.870,346.118,0.954570
0.880,344.720,0.932812
0.890,343.564,0.947946
0.900,343.622,0.943307
0.910,344.413,0.918362
0.920,345.304,0.947212
0.930,346.421,0.962546
0.940,348.470,0.949691
0.950,350.261,0.975576
0.960,351.479,0.970038
0.970,353.050,0.953982
0.980,356.759,0.907272
0.990,360.755,0.909995
1.000,362.362,0.940467
1.010,362.902,0.931097
1.020,360.613,0.838505
1.030,354.763,0.957045
1.040,351.769,0.949922
1.050,348.981,0.951658
1.060,346.094,0.936581
1.070,342.395,0.865631
1.080,339.577,0.832992
1.090,338.322,0.742928
1.100,339.394,0.857408
1.110,340.937,0.888777
1.120,342.841,0.881583
1.130,345.306,0.909847
1.140,347.790,0.914150
1.150,350.535,0.962026
1.160,352.546,0.950917
1.170,353.446,0.971946
1.180,353.656,0.972605
1.190,353.467,0.973657
1.200,353.460,0.972897
1.210,352.824,0.962876
1.220,351.639,0.964129
1.230,350.212,0.974592
1.240,348.864,0.953641
1.250,347.743,0.922246
1.260,344.788,0.886418
1.270,342.321,0.889909
1.280,339.472,0.838684
1.290,339.451,0.888996
1.300,342.405,0.856404
1.310,345.813,0.915114
1.320,349.108,0.946948
1.330,352.026,0.935699
1.340,353.832,0.966750
1.350,356.513,0.937903
1.360,359.072,0.951219
1.370,359.574,0.932571
1.380,357.544,0.942011
1.390,354.854,0.966176
1.400,352.744,0.950525
1.410,350.418,0.957510
1.420,348.896,0.914254
1.430,346.835,0.914660
1.440,345.326,0.870481
1.450,346.221,0.912537
1.460,347.544,0.925858
1.470,348.930,0.947003
1.480,350.247,0.967780
1.490,351.640,0.955192
1.500,352.285,0.942393
1.510,352.483,0.950291
1.520,352.318,0.941827
1.530,351.184,0.945493
1.540,349.044,0.805337
1.550,334.072,0.562163
1.560,329.004,0.597561
1.570,358.845,0.399576
1.580,387.148,0.425012
1.590,389.035,0.858582
1.600,390.468,0.930883
1.610,391.734,0.932190
1.620,392.508,0.949657
1.630,392.463,0.955295
1.640,392.261,0.951277
1.650,392.873,0.959215
1.660,392.578,0.958589
1.670,392.356,0.947703
1.680,392.240,0.946002
1.690,392.041,0.940997
1.700,392.422,0.945249
1.710,392.545,0.945655
1.720,392.603,0.941802
1.730,392.424,0.940451
1.740,392.016,0.937339
1.750,392.234,0.939301
1.760,392.098,0.943203
1.770,392.088,0.938368
1.780,391.626,0.922732
1.790,391.283,0.921378
1.800,391.071,0.927101
1.810,391.296,0.918772
1.820,391.475,0.906261
1.830,391.524,0.907767
1.840,391.929,0.925759
1.850,391.889,0.934442
1.860,392.454,0.946483
1.870,392.505,0.953021
1.880,392.487,0.951518
1.890,392.757,0.956446
1.900,392.537,0.957999
1.910,392.500,0.952078
1.920,392.558,0.954108
1.930,392.422,0.957681
1.940,392.720,0.955291
1.950,392.448,0.957612
1.960,392.404,0.959073
1.970,392.581,0.961753
1.980,392.458,0.965658
1.990,392.860,0.967749
2.000,393.242,0.970608
2.010,393.632,0.969461
2.020,394.213,0.963315
2.030,394.468,0.959065
2.040,394.761,0.955832
2.050,394.910,0.948589
2.060,394.829,0.945279
2.070,394.746,0.950512
2.080,394.683,0.956979
2.090,394.434,0.958727
2.100,394.140,0.960564
2.110,393.862,0.966437
2.120,393.723,0.966183
2.130,393.861,0.960743
2.140,393.830,0.960772
2.150,393.659,0.960786
2.160,393.885,0.954697
2.170,394.043,0.954066
2.180,394.264,0.953641
2.190,394.803,0.939973
2.200,395.181,0.933029
2.210,395.726,0.925489
2.220,396.042,0.937000
2.230,396.017,0.930393
2.240,395.694,0.920325
2.250,395.435,0.932155
2.260,395.220,0.944507
2.270,395.004,0.950695
2.280,394.803,0.945846
2.290,394.541,0.947846
2.300,393.943,0.951837
2.310,393.780,0.942173
2.320,393.926,0.937275
2.330,394.121,0.939647
2.340,393.941,0.940402
2.350,394.109,0.933488
2.360,394.077,0.940635
2.370,393.854,0.944378
2.380,394.164,0.932322
2.390,394.556,0.928404
2.400,394.609,0.926534
2.410,394.176,0.924563
2.420,394.242,0.922832
2.430,394.670,0.928057
2.440,395.345,0.916966
2.450,396.270,0.924562
2.460,397.095,0.938474
2.470,398.172,0.944310
2.480,399.274,0.926916
2.490,400.361,0.896226
2.500,401.055,0.912276
2.510,400.680,0.884786
2.520,398.141,0.844461
2.530,394.095,0.763300
2.540,365.417,0.417481
2.550,358.877,0.905006
2.560,355.311,0.940587
2.570,352.963,0.934418
2.580,351.465,0.941365
2.590,349.554,0.947851
2.600,348.583,0.930934
2.610,347.165,0.887916
2.620,347.078,0.712060
2.630,350.105,0.465301
2.640,388.897,0.757135
2.650,390.449,0.915613
2.660,390.526,0.939660
2.670,390.848,0.935082
2.680,392.093,0.928383
2.690,392.606,0.943490
2.700,393.920,0.946249
2.710,394.523,0.937704
2.720,395.017,0.926420
2.730,395.884,0.905675
2.740,396.126,0.914259
2.750,396.034,0.919106
2.760,396.329,0.935779
2.770,396.494,0.940343
2.780,396.380,0.928338
2.790,395.823,0.909350
2.800,395.555,0.922350
2.810,395.594,0.928229
2.820,395.802,0.924014
2.830,395.988,0.924219
2.840,396.050,0.926531
2.850,396.360,0.941057
2.860,396.860,0.958151
2.870,397.074,0.961290
2.880,396.940,0.954126
2.890,396.518,0.943409
2.900,396.149,0.933656
2.910,395.762,0.926443
2.920,395.885,0.934491
2.930,396.173,0.943241
2.940,396.476,0.942072
2.950,396.458,0.938386
